team,stadium_name,total_capacity,lawn_heating,field_length,field_width,link
Borussia Dortmund,SIGNAL IDUNA PARK,81365.0,True,105.0,68.0,/borussia-dortmund/spielplan/verein/16/saison_id/
VfL Wolfsburg,Volkswagen Arena,28917.0,True,105.0,68.0,/vfl-wolfsburg/spielplan/verein/82/saison_id/
FC Bayern München,Allianz Arena,750.0,True,105.0,68.0,/fc-bayern-munchen/spielplan/verein/27/saison_id/
Arminia Bielefeld,SchücoArena,27332.0,True,105.0,68.0,/arminia-bielefeld/spielplan/verein/10/saison_id/
SC Freiburg,Europa-Park Stadion,347.0,True,105.0,68.0,/sc-freiburg/spielplan/verein/60/saison_id/
TSG 1899 Hoffenheim,PreZero Arena,3015.0,True,105.0,68.0,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/
Borussia Mönchengladbach,Stadion im Borussia-Park,54042.0,True,105.0,68.0,/borussia-monchengladbach/spielplan/verein/18/saison_id/
Bayer 04 Leverkusen,BayArena,3021.0,True,105.0,68.0,/bayer-04-leverkusen/spielplan/verein/15/saison_id/
VfR Aalen,CENTUS Arena,145.0,True,,,/vfr-aalen/spielplan/verein/83/saison_id/
1.FC Kaiserslautern,Fritz-Walter-Stadion,4935.0,True,105.0,68.0,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/
SG Dynamo Dresden,Rudolf-Harbig-Stadion,32123.0,True,105.0,68.0,/sg-dynamo-dresden/spielplan/verein/129/saison_id/
1.FC Köln,RheinEnergieSTADION,500.0,True,105.0,68.0,/1-fc-koln/spielplan/verein/3/saison_id/
SV Werder Bremen,Weserstadion,421.0,True,105.0,68.0,/sv-werder-bremen/spielplan/verein/86/saison_id/
RB Leipzig,Red Bull Arena,47069.0,True,105.0,68.0,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/
Eintracht Braunschweig,EINTRACHT-Stadion,23325.0,True,105.0,68.0,/eintracht-braunschweig/spielplan/verein/23/saison_id/
Kickers Offenbach,Stadion am Bieberer Berg,205.0,True,,,/kickers-offenbach/spielplan/verein/107/saison_id/
Hannover 96,Heinz-von-Heiden-Arena,490.0,True,105.0,68.0,/hannover-96/spielplan/verein/42/saison_id/
Chemnitzer FC,Stadion - An der Gellertstraße,152.0,True,,,/chemnitzer-fc/spielplan/verein/21/saison_id/
Karlsruher SC,BBBank Wildpark,3219.0,True,105.0,68.0,/karlsruher-sc/spielplan/verein/48/saison_id/
Hertha BSC,Olympiastadion Berlin,74667.0,True,105.0,68.0,/hertha-bsc/spielplan/verein/44/saison_id/
FC St. Pauli,Millerntor-Stadion,29546.0,True,105.0,68.0,/fc-st-pauli/spielplan/verein/35/saison_id/
SpVgg Greuther Fürth,Sportpark Ronhof | Thomas Sommer,16626.0,True,105.0,68.0,/spvgg-greuther-furth/spielplan/verein/65/saison_id/
VfL Bochum,Vonovia Ruhrstadion,260.0,True,105.0,68.0,/vfl-bochum/spielplan/verein/80/saison_id/
MSV Duisburg,Schauinsland-Reisen-Arena,31502.0,True,105.0,68.0,/msv-duisburg/spielplan/verein/52/saison_id/
1.FC Magdeburg,Avnet-Arena,30098.0,True,105.0,68.0,/1-fc-magdeburg/spielplan/verein/187/saison_id/
Würzburger Kickers,AKON ARENA,1309.0,True,105.0,68.0,/wurzburger-kickers/spielplan/verein/1557/saison_id/
TSV 1860 München,Städtisches Stadion an der Grünwalder Straße,150.0,True,,,/tsv-1860-munchen/spielplan/verein/72/saison_id/
FC Erzgebirge Aue,Erzgebirgsstadion,155.0,True,105.0,70.0,/fc-erzgebirge-aue/spielplan/verein/94/saison_id/
Hamburger SV,Volksparkstadion,570.0,True,105.0,68.0,/hamburger-sv/spielplan/verein/41/saison_id/
FSV Frankfurt,PSD Bank Arena,12542.0,True,,,/fsv-frankfurt/spielplan/verein/293/saison_id/
