datetime,home_team,away_team,participants,home_score,away_score,season,round,home_division,away_division,match_link
2021-08-07 15:30:00,1. FC Lokomotive Leipzig,B. Leverkusen,6185,0,3,2021,1,4,1,/spielbericht/index/spielbericht/3601593
2023-08-13 15:30:00,1. FC Lokomotive Leipzig,E. Frankfurt,11100,0,7,2023,1,4,1,/spielbericht/index/spielbericht/4088605
2018-08-18 15:30:00,1.CfR Pforzheim,B. Leverkusen,4725,0,1,2018,1,4,1,/spielbericht/index/spielbericht/3048441
2016-08-21 15:30:00,1.FC Germania Egestorf/Langreder,TSG Hoffenheim,2585,0,6,2016,1,4,1,/spielbericht/index/spielbericht/2699120
2023-08-13 13:00:00,Rostocker FC,1.FC Heidenheim 1846,3500,0,8,2023,1,4,2,/spielbericht/index/spielbericht/4088595
2023-10-31 20:45:00,Bor. M'gladbach,1.FC Heidenheim 1846,41660,3,1,2023,2,1,1,/spielbericht/index/spielbericht/4194147
2024-08-17 15:30:00,FC 08 Villingen,1.FC Heidenheim 1846,6800,0,4,2024,1,4,1,/spielbericht/index/spielbericht/4353902
2024-10-30 18:00:00,Hertha BSC,1.FC Heidenheim 1846,44135,2,1,2024,2,2,1,/spielbericht/index/spielbericht/4446791
2022-07-29 18:01:00,1.FC Kaan-Marienborn,1.FC Nürnberg,8000,0,2,2022,1,4,2,/spielbericht/index/spielbericht/3825589
2014-08-16 18:00:00,Wehen Wiesbaden,1.FC Kaiserslautern,9496,3,5,2014,1,3,2,/spielbericht/index/spielbericht/2458326
2014-10-28 20:30:00,1.FC Kaiserslautern,Greuther Fürth,23111,2,0,2014,2,2,2,/spielbericht/index/spielbericht/2488536
2015-03-03 19:00:00,B. Leverkusen,1.FC Kaiserslautern,26601,2,0,2014,3,1,2,/spielbericht/index/spielbericht/2507893
2015-08-09 18:30:00,Hansa Rostock,1.FC Kaiserslautern,20100,4,5,2015,1,3,2,/spielbericht/index/spielbericht/2576669
2015-10-27 20:30:00,VfL Bochum,1.FC Kaiserslautern,18514,1,0,2015,2,2,2,/spielbericht/index/spielbericht/2615045
2016-08-20 15:30:00,Hallescher FC,1.FC Kaiserslautern,10021,4,3,2016,1,3,2,/spielbericht/index/spielbericht/2699235
2017-08-12 15:30:00,SV Eichede,1.FC Kaiserslautern,4038,0,4,2017,1,4,2,/spielbericht/index/spielbericht/2864738
2017-10-25 18:30:00,1.FC Kaiserslautern,VfB Stuttgart,28322,1,3,2017,2,2,1,/spielbericht/index/spielbericht/2914251
2018-08-18 15:30:00,1.FC Kaiserslautern,TSG Hoffenheim,22818,1,6,2018,1,3,1,/spielbericht/index/spielbericht/3048432
2019-08-10 15:30:00,1.FC Kaiserslautern,1.FSV Mainz 05,40694,2,0,2019,1,3,1,/spielbericht/index/spielbericht/3195514
2019-10-30 18:30:00,1.FC Kaiserslautern,1.FC Nürnberg,21714,8,7,2019,2,3,2,/spielbericht/index/spielbericht/3245510
2020-02-04 18:30:00,1.FC Kaiserslautern,F. Düsseldorf,35340,2,5,2019,3,3,1,/spielbericht/index/spielbericht/3279211
2020-09-13 15:30:00,1.FC Kaiserslautern,J. Regensburg,0,4,5,2020,1,3,2,/spielbericht/index/spielbericht/3422927
2021-08-09 20:45:00,1.FC Kaiserslautern,Bor. M'gladbach,5000,0,1,2021,1,3,1,/spielbericht/index/spielbericht/3601592
2022-07-31 15:31:00,1.FC Kaiserslautern,SC Freiburg,38317,1,2,2022,1,2,1,/spielbericht/index/spielbericht/3825604
2023-08-13 15:30:00,RW Koblenz,1.FC Kaiserslautern,10176,0,5,2023,1,4,2,/spielbericht/index/spielbericht/4088593
2023-10-31 20:45:00,1.FC Kaiserslautern,1.FC Köln,49327,3,2,2023,2,2,1,/spielbericht/index/spielbericht/4194154
2023-12-05 18:00:00,1.FC Kaiserslautern,1.FC Nürnberg,48349,2,0,2023,3,2,2,/spielbericht/index/spielbericht/4222803
2024-01-31 20:45:00,Hertha BSC,1.FC Kaiserslautern,74245,1,3,2023,4,2,2,/spielbericht/index/spielbericht/4240126
2024-04-02 20:45:00,Saarbrücken,1.FC Kaiserslautern,15903,0,2,2023,5,3,2,/spielbericht/index/spielbericht/4311215
2024-05-25 20:00:00,1.FC Kaiserslautern,B. Leverkusen,74322,0,1,2023,6,2,1,/spielbericht/index/spielbericht/4323506
2024-08-17 15:30:00,FC Ingolstadt,1.FC Kaiserslautern,11655,1,2,2024,1,3,2,/spielbericht/index/spielbericht/4353908
2024-10-29 20:45:00,VfB Stuttgart,1.FC Kaiserslautern,60000,2,1,2024,2,1,2,/spielbericht/index/spielbericht/4446793
2018-08-19 15:30:00,BFC Dynamo,1.FC Köln,14357,1,9,2018,1,4,2,/spielbericht/index/spielbericht/3048428
2018-10-31 18:30:00,1.FC Köln,FC Schalke 04,50000,6,7,2018,2,2,1,/spielbericht/index/spielbericht/3096455
2022-07-30 15:31:00,J. Regensburg,1.FC Köln,13236,6,5,2022,1,2,1,/spielbericht/index/spielbericht/3825586
2024-08-18 15:30:00,SV Sandhausen,1.FC Köln,9705,2,3,2024,1,3,2,/spielbericht/index/spielbericht/4353909
2024-10-29 20:45:00,1.FC Köln,Holstein Kiel,48000,3,0,2024,2,2,1,/spielbericht/index/spielbericht/4446802
2024-12-04 18:00:00,1.FC Köln,Hertha BSC,50000,2,1,2024,3,2,2,/spielbericht/index/spielbericht/4485937
2025-02-05 20:45:00,B. Leverkusen,1.FC Köln,30210,3,2,2024,4,1,2,/spielbericht/index/spielbericht/4511626
2018-08-19 15:30:00,1.FC Lok Stendal,Arm. Bielefeld,2870,0,5,2018,1,4,2,/spielbericht/index/spielbericht/3048415
2014-08-17 18:30:00,1.FC Magdeburg,FC Augsburg,17854,1,0,2014,1,4,1,/spielbericht/index/spielbericht/2458318
2014-10-29 19:00:00,1.FC Magdeburg,B. Leverkusen,23855,6,7,2014,2,4,1,/spielbericht/index/spielbericht/2488525
2016-08-21 15:30:00,1.FC Magdeburg,E. Frankfurt,24606,4,5,2016,1,3,1,/spielbericht/index/spielbericht/2699124
2017-08-13 18:30:00,1.FC Magdeburg,FC Augsburg,21641,2,0,2017,1,3,1,/spielbericht/index/spielbericht/2864719
2017-10-24 20:45:00,1.FC Magdeburg,Bor. Dortmund,23102,0,5,2017,2,3,1,/spielbericht/index/spielbericht/2914241
2018-08-17 20:45:00,1.FC Magdeburg,Darmstadt 98,20165,0,1,2018,1,2,2,/spielbericht/index/spielbericht/3048414
2019-08-10 15:30:00,1.FC Magdeburg,SC Freiburg,14093,0,1,2019,1,3,1,/spielbericht/index/spielbericht/3195551
2020-09-13 18:30:00,1.FC Magdeburg,Darmstadt 98,5000,2,3,2020,1,3,2,/spielbericht/index/spielbericht/3404455
2021-08-07 18:30:00,1.FC Magdeburg,FC St. Pauli,14405,2,3,2021,1,3,2,/spielbericht/index/spielbericht/3601614
2022-08-01 20:46:00,1.FC Magdeburg,E. Frankfurt,26350,0,4,2022,1,2,1,/spielbericht/index/spielbericht/3825617
2023-08-14 18:00:00,J. Regensburg,1.FC Magdeburg,9464,1,2,2023,1,3,2,/spielbericht/index/spielbericht/4088597
