player_name,match_link,home_team,first_team
Manuel Riemann,/spielbericht/index/spielbericht/2914242,0,1
Felix Bastians,/spielbericht/index/spielbericht/2914242,0,1
Patrick Fabian,/spielbericht/index/spielbericht/2914242,0,1
Danilo Soares,/spielbericht/index/spielbericht/2914242,0,1
Jan Gyamerah,/spielbericht/index/spielbericht/2914242,0,0
Stefano Celozzi,/spielbericht/index/spielbericht/2914242,0,1
Luke Hemmerich,/spielbericht/index/spielbericht/2914242,0,0
Kevin Stöger,/spielbericht/index/spielbericht/2914242,0,1
Sidney Sam,/spielbericht/index/spielbericht/2914242,0,1
Johannes Wurtz,/spielbericht/index/spielbericht/2914242,0,0
Lukas Hinterseer,/spielbericht/index/spielbericht/2914242,0,0
Ørjan Nyland,/spielbericht/index/spielbericht/2957391,0,1
Hauke Wahl,/spielbericht/index/spielbericht/2957391,0,1
Marvin Matip,/spielbericht/index/spielbericht/2957391,0,1
Marcel Gaus,/spielbericht/index/spielbericht/2957391,0,1
Tobias Levels,/spielbericht/index/spielbericht/2957391,0,1
Christian Träsch,/spielbericht/index/spielbericht/2957391,0,1
Alfredo Morales,/spielbericht/index/spielbericht/2957391,0,0
Almog Cohen,/spielbericht/index/spielbericht/2957391,0,1
Stefan Lex,/spielbericht/index/spielbericht/2957391,0,0
Thomas Pledl,/spielbericht/index/spielbericht/2957391,0,1
Darío Lezcano,/spielbericht/index/spielbericht/2957391,0,0
Robin Himmelmann,/spielbericht/index/spielbericht/3048412,0,1
Philipp Ziereis,/spielbericht/index/spielbericht/3048412,0,1
Christopher Avevor,/spielbericht/index/spielbericht/3048412,0,1
Daniel Buballa,/spielbericht/index/spielbericht/3048412,0,1
Jeremy Dudziak,/spielbericht/index/spielbericht/3048412,0,0
Marvin Knoll,/spielbericht/index/spielbericht/3048412,0,1
Johannes Flum,/spielbericht/index/spielbericht/3048412,0,0
Richard Neudecker,/spielbericht/index/spielbericht/3048412,0,0
Mats Møller Dæhli,/spielbericht/index/spielbericht/3048412,0,1
Waldemar Sobota,/spielbericht/index/spielbericht/3048412,0,1
Sami Allagui,/spielbericht/index/spielbericht/3048412,0,1
Frederik Rönnow,/spielbericht/index/spielbericht/3048442,0,1
Carlos Salcedo,/spielbericht/index/spielbericht/3048442,0,1
David Abraham,/spielbericht/index/spielbericht/3048442,0,1
Makoto Hasebe,/spielbericht/index/spielbericht/3048442,0,1
Lucas Torró,/spielbericht/index/spielbericht/3048442,0,1
Jonathan de Guzmán,/spielbericht/index/spielbericht/3048442,0,1
Danny da Costa,/spielbericht/index/spielbericht/3048442,0,1
Jetro Willems,/spielbericht/index/spielbericht/3048442,0,1
Luka Jović,/spielbericht/index/spielbericht/3048442,0,0
Sébastien Haller,/spielbericht/index/spielbericht/3048442,0,1
Markus Schubert,/spielbericht/index/spielbericht/3048413,0,1
Jannis Nikolaou,/spielbericht/index/spielbericht/3048413,0,0
Dario Dumic,/spielbericht/index/spielbericht/3048413,0,1
Brian Hämäläinen,/spielbericht/index/spielbericht/3048413,0,1
Aias Aosman,/spielbericht/index/spielbericht/3048413,0,0
Patrick Ebert,/spielbericht/index/spielbericht/3048413,0,1
