team,stadium_name,total_capacity,lawn_heating,field_length,field_width,link,overall,location,view,facilities,police,atmosphere,overall_percentage,location_percentage,view_percentage,facilities_percentage,police_percentage,atmosphere_percentage
Borussia Dortmund,SIGNAL IDUNA PARK,813650.0,True,105.0,68.0,/borussia-dortmund/spielplan/verein/16/saison_id/,4.5,4.2,4.4,4.1,3.6,4.5,90.0,84.0,88.0,82.0,72.0,90.0
VfL Wolfsburg,Volkswagen Arena,289170.0,True,105.0,68.0,/vfl-wolfsburg/spielplan/verein/82/saison_id/,3.2,4.5,3.8,4.0,4.3,4.3,64.0,90.0,76.0,80.0,86.0,86.0
FC Bayern MÃ¼nchen,Allianz Arena,750000.0,True,105.0,68.0,/fc-bayern-munchen/spielplan/verein/27/saison_id/,4.2,3.1,4.5,4.2,3.8,3.9,84.0,62.0,90.0,84.0,76.0,78.0
Arminia Bielefeld,SchÃ¼coArena,273320.0,True,105.0,68.0,/arminia-bielefeld/spielplan/verein/10/saison_id/,2.9,3.5,4.0,4.0,3.8,3.8,58.0,70.0,80.0,80.0,76.0,76.0
SC Freiburg,Europa-Park Stadion,347000.0,True,105.0,68.0,/sc-freiburg/spielplan/verein/60/saison_id/,4.1,3.5,4.0,4.0,3.8,3.8,82.0,70.0,80.0,80.0,76.0,76.0
TSG 1899 Hoffenheim,PreZero Arena,301500.0,True,105.0,68.0,/tsg-1899-hoffenheim/spielplan/verein/533/saison_id/,2.9,2.0,4.0,4.0,3.8,4.0,58.0,40.0,80.0,80.0,76.0,80.0
Borussia MÃ¶nchengladbach,Stadion im Borussia-Park,540420.0,True,105.0,68.0,/borussia-monchengladbach/spielplan/verein/18/saison_id/,3.7,3.0,4.2,4.3,3.6,4.1,74.0,60.0,84.0,86.0,72.0,82.0
Bayer 04 Leverkusen,BayArena,302100.0,True,105.0,68.0,/bayer-04-leverkusen/spielplan/verein/15/saison_id/,3.5,3.0,4.2,3.7,3.3,3.3,70.0,60.0,84.0,74.0,66.0,66.0
VfR Aalen,CENTUS Arena,145000.0,True,105.14285714285714,67.49350649350649,/vfr-aalen/spielplan/verein/83/saison_id/,2.3,3.0,3.0,1.5,3.8,2.0,46.0,60.0,60.0,30.0,76.0,40.0
1.FC Kaiserslautern,Fritz-Walter-Stadion,493500.0,True,105.0,68.0,/1-fc-kaiserslautern/spielplan/verein/2/saison_id/,3.8,4.0,4.5,4.0,3.9,4.5,76.0,80.0,90.0,80.0,78.0,90.0
SG Dynamo Dresden,Rudolf-Harbig-Stadion,3.2123e+16,True,105.0,68.0,/sg-dynamo-dresden/spielplan/verein/129/saison_id/,3.5,4.7,4.5,4.7,3.8,4.9,70.0,94.0,90.0,94.0,76.0,98.0
1.FC KÃ¶ln,RheinEnergieSTADION,500000.0,True,105.0,68.0,/1-fc-koln/spielplan/verein/3/saison_id/,3.8,3.5,4.3,3.7,4.1,4.4,76.0,70.0,86.0,74.0,82.0,88.0
SV Werder Bremen,Weserstadion,421000.0,True,105.0,68.0,/sv-werder-bremen/spielplan/verein/86/saison_id/,3.3,5.0,4.5,4.2,4.5,5.0,66.0,100.0,90.0,84.0,90.0,100.0
RB Leipzig,Red Bull Arena,470690.0,True,105.0,68.0,/rasenballsport-leipzig/spielplan/verein/23826/saison_id/,3.7,3.7,4.2,4.0,3.8,3.1,74.0,74.0,84.0,80.0,76.0,62.0
Eintracht Braunschweig,EINTRACHT-Stadion,233250.0,True,105.0,68.0,/eintracht-braunschweig/spielplan/verein/23/saison_id/,2.9,3.7,4.2,4.2,4.5,4.2,58.0,74.0,84.0,84.0,90.0,84.0
Kickers Offenbach,Stadion am Bieberer Berg,205000.0,True,105.14285714285714,67.49350649350649,/kickers-offenbach/spielplan/verein/107/saison_id/,3.2,1.3,3.7,2.7,2.5,3.7,64.0,26.0,74.0,54.0,50.0,74.0
Hannover 96,Heinz-von-Heiden-Arena,490000.0,True,105.0,68.0,/hannover-96/spielplan/verein/42/saison_id/,3.6,4.0,4.0,4.0,3.8,3.0,72.0,80.0,80.0,80.0,76.0,60.0
Chemnitzer FC,Stadion - An der GellertstraÃe,152000.0,True,105.14285714285714,67.49350649350649,/chemnitzer-fc/spielplan/verein/21/saison_id/,2.9,3.5,4.0,4.0,3.8,3.8,58.0,70.0,80.0,80.0,76.0,76.0
