name,position,age,value,team,season
Manuel Salz,GK,29,-,1.CfR Pforzheim,2014
Yasar Köymen,GK,24,-,1.CfR Pforzheim,2014
David Dittrich,GK,20,-,1.CfR Pforzheim,2014
Timo Fuhrmann,CB,28,-,1.CfR Pforzheim,2014
Marvin Rayling,CB,22,-,1.CfR Pforzheim,2014
Marius Kraus,CB,20,-,1.CfR Pforzheim,2014
Oliver Wiedemann,CB,31,-,1.CfR Pforzheim,2014
Marco Schröder,CB,21,-,1.CfR Pforzheim,2014
Patrick Bingert,CB,21,-,1.CfR Pforzheim,2014
Matthias Fixel,CB,24,-,1.CfR Pforzheim,2014
Marc Mägerle,CB,23,-,1.CfR Pforzheim,2014
Janick Schramm,RB,22,-,1.CfR Pforzheim,2014
Marco Bornhauser,RB,24,-,1.CfR Pforzheim,2014
Robin Herzog,Midfielder,29,-,1.CfR Pforzheim,2014
Sebastian Rutz,CDM,26,-,1.CfR Pforzheim,2014
Daniel Calo,Midfielder,21,-,1.CfR Pforzheim,2014
Fabian Kuhn,Midfielder,23,-,1.CfR Pforzheim,2014
Pascal Legner,Midfielder,24,-,1.CfR Pforzheim,2014
Tobias Herzog,CDM,28,-,1.CfR Pforzheim,2014
Marko Kovac,CM,28,-,1.CfR Pforzheim,2014
Fatih Ceylan,LM,34,-,1.CfR Pforzheim,2014
Joao Tardelli,LM,26,-,1.CfR Pforzheim,2014
Dirk Prediger,CAM,28,-,1.CfR Pforzheim,2014
Michael Schrammel,CAM,28,-,1.CfR Pforzheim,2014
Dominik Salz,ST,27,-,1.CfR Pforzheim,2014
Philipp Hochstein,ST,20,-,1.CfR Pforzheim,2014
Markus Bosch,ST,23,-,1.CfR Pforzheim,2014
Mousa El Arkoubi,ST,20,-,1.CfR Pforzheim,2014
Bahoz Mendanlioglu,ST,20,-,1.CfR Pforzheim,2014
Davide Di Giovanna,ST,19,-,1.CfR Pforzheim,2014
Manuel Salz,GK,30,-,1.CfR Pforzheim,2015
Kevin Kuschewitz,GK,21,-,1.CfR Pforzheim,2015
Joshua Nagy,GK,19,-,1.CfR Pforzheim,2015
Marius Kraus,CB,21,-,1.CfR Pforzheim,2015
Matthias Fixel,CB,25,-,1.CfR Pforzheim,2015
Bogdan Cristescu,CB,25,-,1.CfR Pforzheim,2015
Marc Mägerle,CB,24,-,1.CfR Pforzheim,2015
Tim Schwaiger,LB,19,-,1.CfR Pforzheim,2015
Serach von Nordheim,RB,26,-,1.CfR Pforzheim,2015
Marco Bornhauser,RB,25,-,1.CfR Pforzheim,2015
Janick Schramm,RB,23,-,1.CfR Pforzheim,2015
Sebastian Rutz,CDM,27,-,1.CfR Pforzheim,2015
Mustafa Altun,Midfielder,19,-,1.CfR Pforzheim,2015
Kazim Murati,Midfielder,23,-,1.CfR Pforzheim,2015
Tugay Izgi,Midfielder,21,-,1.CfR Pforzheim,2015
Samet Dogdu,CDM,20,-,1.CfR Pforzheim,2015
Daniel Calo,Midfielder,22,-,1.CfR Pforzheim,2015
Pascal Legner,Midfielder,25,-,1.CfR Pforzheim,2015
Nathanael Bamenaw,Midfielder,19,-,1.CfR Pforzheim,2015
Dragan Paljic,LM,33,-,1.CfR Pforzheim,2015
Max Knorn,LM,27,-,1.CfR Pforzheim,2015
Fatih Ceylan,LM,35,-,1.CfR Pforzheim,2015
Joao Tardelli,LM,27,-,1.CfR Pforzheim,2015
Laurin Masurica,LM,19,-,1.CfR Pforzheim,2015
Salvatore Varese,LM,21,-,1.CfR Pforzheim,2015
Michael Schrammel,CAM,29,-,1.CfR Pforzheim,2015
Dirk Prediger,CAM,29,-,1.CfR Pforzheim,2015
Ernesto de Santis,LW,21,-,1.CfR Pforzheim,2015
Dominik Salz,ST,28,-,1.CfR Pforzheim,2015
Davide Di Giovanna,ST,20,-,1.CfR Pforzheim,2015
Mousa El Arkoubi,ST,21,-,1.CfR Pforzheim,2015
Salvatore Tommasi,ST,23,-,1.CfR Pforzheim,2015
Manuel Salz,GK,31,-,1.CfR Pforzheim,2016
Kevin Kuschewitz,GK,22,-,1.CfR Pforzheim,2016
Xaver Pendinger,GK,22,-,1.CfR Pforzheim,2016
Daniel Schiek,CB,22,-,1.CfR Pforzheim,2016
Marius Kraus,CB,22,-,1.CfR Pforzheim,2016
Devin Cillidag,CB,25,-,1.CfR Pforzheim,2016
Matthias Fixel,CB,26,-,1.CfR Pforzheim,2016
Denis Gudzevic,CB,20,-,1.CfR Pforzheim,2016
Bogdan Cristescu,CB,26,-,1.CfR Pforzheim,2016
Filip Milisic,CB,23,-,1.CfR Pforzheim,2016
Marc Mägerle,CB,25,-,1.CfR Pforzheim,2016
Tim Schwaiger,LB,20,-,1.CfR Pforzheim,2016
Serach von Nordheim,RB,27,-,1.CfR Pforzheim,2016
Janick Schramm,RB,24,-,1.CfR Pforzheim,2016
Sebastian Rutz,CDM,28,-,1.CfR Pforzheim,2016
Daniel Calo,Midfielder,23,-,1.CfR Pforzheim,2016
Pascal Legner,Midfielder,26,-,1.CfR Pforzheim,2016
Mustafa Altun,Midfielder,20,-,1.CfR Pforzheim,2016
Kazim Murati,Midfielder,24,-,1.CfR Pforzheim,2016
Ruben Reisig,CM,21,-,1.CfR Pforzheim,2016
Robin Binder,RM,22,-,1.CfR Pforzheim,2016
Ulas Saglam,RM,22,-,1.CfR Pforzheim,2016
Fatih Ceylan,LM,36,-,1.CfR Pforzheim,2016
Joao Tardelli,LM,28,-,1.CfR Pforzheim,2016
Laurin Masurica,LM,20,-,1.CfR Pforzheim,2016
Dirk Prediger,CAM,30,-,1.CfR Pforzheim,2016
Cemal Durmus,CAM,21,-,1.CfR Pforzheim,2016
Ernesto de Santis,LW,22,-,1.CfR Pforzheim,2016
Oguzhan Tasli,ST,24,-,1.CfR Pforzheim,2016
Dominik Salz,ST,29,-,1.CfR Pforzheim,2016
Salman Can Torun,ST,19,-,1.CfR Pforzheim,2016
Mousa El Arkoubi,ST,22,-,1.CfR Pforzheim,2016
Salvatore Tommasi,ST,24,-,1.CfR Pforzheim,2016
Lars Kuhn,ST,21,-,1.CfR Pforzheim,2016
Manuel Salz,GK,32,-,1.CfR Pforzheim,2017
Xaver Pendinger,GK,23,-,1.CfR Pforzheim,2017
Niclas Mummert,GK,19,-,1.CfR Pforzheim,2017
Stavros Eirinikos,GK,20,-,1.CfR Pforzheim,2017
Julian Grupp,CB,26,-,1.CfR Pforzheim,2017
Benjamin Sturm,CB,30,-,1.CfR Pforzheim,2017
Denis Gudzevic,CB,21,-,1.CfR Pforzheim,2017
Robert Stark,CB,31,-,1.CfR Pforzheim,2017
Zvonimir Borac,CB,20,-,1.CfR Pforzheim,2017
Rudy Vargas-Müller,LB,27,-,1.CfR Pforzheim,2017
Tim Schwaiger,LB,21,-,1.CfR Pforzheim,2017
Serach von Nordheim,RB,28,-,1.CfR Pforzheim,2017
Toni Suddoth,RB,19,-,1.CfR Pforzheim,2017
Akiyoshi Saito,CDM,30,-,1.CfR Pforzheim,2017
Eldin Hadzic,CDM,25,-,1.CfR Pforzheim,2017
Raphael App,Midfielder,20,-,1.CfR Pforzheim,2017
Arber Beqiri,Midfielder,19,-,1.CfR Pforzheim,2017
Vittorio Cali,Midfielder,19,-,1.CfR Pforzheim,2017
Alan Delic,Midfielder,20,-,1.CfR Pforzheim,2017
Besart Krasniqi,Midfielder,20,-,1.CfR Pforzheim,2017
Kreshnik Nebihu,Midfielder,21,-,1.CfR Pforzheim,2017
Ruben Reisig,CM,22,-,1.CfR Pforzheim,2017
Advan Halili,CM,29,-,1.CfR Pforzheim,2017
Joao Tardelli,LM,29,-,1.CfR Pforzheim,2017
Laurin Masurica,LM,21,-,1.CfR Pforzheim,2017
Nico Charrier,CAM,24,-,1.CfR Pforzheim,2017
Kushtrim Lushtaku,CAM,28,-,1.CfR Pforzheim,2017
Cemal Durmus,CAM,22,-,1.CfR Pforzheim,2017
Kreshnik Lushtaku,LW,23,-,1.CfR Pforzheim,2017
Anthony Jarvis Coppola,RW,25,-,1.CfR Pforzheim,2017
Sidy Niang,ST,24,-,1.CfR Pforzheim,2017
Dominik Salz,ST,30,-,1.CfR Pforzheim,2017
Sven Bode,ST,24,-,1.CfR Pforzheim,2017
Christopher Dittrich,ST,18,-,1.CfR Pforzheim,2017
Daniel Filkovic,ST,20,-,1.CfR Pforzheim,2017
Jan Mörgenthaler,ST,19,-,1.CfR Pforzheim,2017
Salman Can Torun,ST,20,-,1.CfR Pforzheim,2017
Kevin Kuschewitz,GK,24,-,1.CfR Pforzheim,2018
Manuel Salz,GK,33,-,1.CfR Pforzheim,2018
Danny Eberhart,GK,19,-,1.CfR Pforzheim,2018
Niclas Mummert,GK,20,-,1.CfR Pforzheim,2018
Stavros Eirinikos,GK,21,-,1.CfR Pforzheim,2018
Julian Grupp,CB,27,-,1.CfR Pforzheim,2018
Denis Gudzevic,CB,22,-,1.CfR Pforzheim,2018
Robert Stark,CB,32,-,1.CfR Pforzheim,2018
Dominique Jourdan,CB,27,-,1.CfR Pforzheim,2018
Bogdan Cristescu,CB,28,-,1.CfR Pforzheim,2018
Zvonimir Borac,CB,21,-,1.CfR Pforzheim,2018
Fatih Özge,CB,25,-,1.CfR Pforzheim,2018
Georgios Doufas,CB,25,-,1.CfR Pforzheim,2018
Hakan Aslantas,RB,33,25 Tsd. €,1.CfR Pforzheim,2018
Serach von Nordheim,RB,29,-,1.CfR Pforzheim,2018
Akiyoshi Saito,CDM,31,-,1.CfR Pforzheim,2018
Alan Delic,Midfielder,21,-,1.CfR Pforzheim,2018
Vittorio Cali,Midfielder,20,-,1.CfR Pforzheim,2018
Johnathan Zinram-Kisch,CM,27,-,1.CfR Pforzheim,2018
Fatih Ceylan,LM,38,-,1.CfR Pforzheim,2018
Joao Tardelli,LM,30,-,1.CfR Pforzheim,2018
Laurin Masurica,LM,22,-,1.CfR Pforzheim,2018
Kushtrim Lushtaku,CAM,29,-,1.CfR Pforzheim,2018
Kreshnik Lushtaku,LW,24,-,1.CfR Pforzheim,2018
Tim Oman,LW,21,-,1.CfR Pforzheim,2018
Stanley Ratifo,ST,24,75 Tsd. €,1.CfR Pforzheim,2018
Daisuke Ando,ST,27,-,1.CfR Pforzheim,2018
Daniel Reule,ST,36,-,1.CfR Pforzheim,2018
Dominik Salz,ST,31,-,1.CfR Pforzheim,2018
Meldin Kovacevic,ST,19,-,1.CfR Pforzheim,2018
Sadik Yilmaz,ST,25,-,1.CfR Pforzheim,2018
Manuel Salz,GK,34,-,1.CfR Pforzheim,2019
Lukas Mai,GK,20,-,1.CfR Pforzheim,2019
Julian Grupp,CB,28,-,1.CfR Pforzheim,2019
Alex Butschek,CB,20,-,1.CfR Pforzheim,2019
Serkan Baloglu,CB,22,-,1.CfR Pforzheim,2019
Denis Gudzevic,CB,23,-,1.CfR Pforzheim,2019
Bogdan Cristescu,CB,29,-,1.CfR Pforzheim,2019
Lucas Turci,CB,23,-,1.CfR Pforzheim,2019
Patrick Huckle,LB,36,-,1.CfR Pforzheim,2019
Serach von Nordheim,RB,30,-,1.CfR Pforzheim,2019
Benjamin Sailer,RB,24,-,1.CfR Pforzheim,2019
Akiyoshi Saito,CDM,32,-,1.CfR Pforzheim,2019
Levin Hutmacher,Midfielder,18,-,1.CfR Pforzheim,2019
Nico Plattek,CM,27,-,1.CfR Pforzheim,2019
Johnathan Zinram-Kisch,CM,28,-,1.CfR Pforzheim,2019
Kerim Kubat Keseroglu,CM,19,-,1.CfR Pforzheim,2019
Enes Türköz,CM,21,-,1.CfR Pforzheim,2019
Salvatore Varese,LM,25,-,1.CfR Pforzheim,2019
Fatih Ceylan,LM,39,-,1.CfR Pforzheim,2019
Joao Tardelli,LM,31,-,1.CfR Pforzheim,2019
Laurin Masurica,LM,23,-,1.CfR Pforzheim,2019
Ilias Soultani,CAM,24,-,1.CfR Pforzheim,2019
Armin Crnkic,CAM,19,-,1.CfR Pforzheim,2019
Andre Redekop,CAM,25,-,1.CfR Pforzheim,2019
Stanley Ratifo,ST,25,75 Tsd. €,1.CfR Pforzheim,2019
Meldin Kovacevic,ST,20,-,1.CfR Pforzheim,2019
Fabian Czaker,ST,28,-,1.CfR Pforzheim,2019
Manuel Salz,GK,35,-,1.CfR Pforzheim,2020
Kevin Rombach,GK,29,-,1.CfR Pforzheim,2020
Yusuf Tirso,GK,20,-,1.CfR Pforzheim,2020
Denis Gudzevic,CB,24,-,1.CfR Pforzheim,2020
Serkan Baloglu,CB,23,-,1.CfR Pforzheim,2020
Bogdan Cristescu,CB,30,-,1.CfR Pforzheim,2020
Maurizio Macorig,CB,24,-,1.CfR Pforzheim,2020
Baba Mbodji,CB,23,-,1.CfR Pforzheim,2020
Serach von Nordheim,RB,31,-,1.CfR Pforzheim,2020
Benjamin Sailer,RB,25,-,1.CfR Pforzheim,2020
Luca Alberici,CDM,23,-,1.CfR Pforzheim,2020
Kestrin Gashi,Midfielder,22,-,1.CfR Pforzheim,2020
Kerim Kubat Keseroglu,CM,20,-,1.CfR Pforzheim,2020
Emre Kahriman,CM,20,-,1.CfR Pforzheim,2020
Enes Türköz,CM,22,-,1.CfR Pforzheim,2020
Salvatore Varese,LM,26,-,1.CfR Pforzheim,2020
Laurin Masurica,LM,24,-,1.CfR Pforzheim,2020
Lukas Böhm,CAM,26,-,1.CfR Pforzheim,2020
Philipp Strobel,CAM,23,-,1.CfR Pforzheim,2020
Armin Crnkic,CAM,20,-,1.CfR Pforzheim,2020
Robin Münst,CAM,21,-,1.CfR Pforzheim,2020
Andre Redekop,CAM,26,-,1.CfR Pforzheim,2020
Salvatore Catanzano,LW,21,-,1.CfR Pforzheim,2020
Stanley Ratifo,ST,26,75 Tsd. €,1.CfR Pforzheim,2020
Tamás Herbály,ST,24,-,1.CfR Pforzheim,2020
Marco Rienhardt,ST,22,-,1.CfR Pforzheim,2020
Ekrem Sarikaya,ST,19,-,1.CfR Pforzheim,2020
Kevin Rombach,GK,30,-,1.CfR Pforzheim,2021
Dustin Ajder,GK,19,-,1.CfR Pforzheim,2021
Mateo Drljo,GK,18,-,1.CfR Pforzheim,2021
Yusuf Tirso,GK,21,-,1.CfR Pforzheim,2021
Marco di Biccari,CB,39,-,1.CfR Pforzheim,2021
Julian Erhardt,CB,18,-,1.CfR Pforzheim,2021
Denis Gudzevic,CB,25,-,1.CfR Pforzheim,2021
Serkan Baloglu,CB,24,-,1.CfR Pforzheim,2021
Bogdan Cristescu,CB,31,-,1.CfR Pforzheim,2021
Demarveay Sheron,CB,25,-,1.CfR Pforzheim,2021
Maurizio Macorig,CB,25,-,1.CfR Pforzheim,2021
Jonas Engler,LB,24,-,1.CfR Pforzheim,2021
Serach von Nordheim,RB,32,-,1.CfR Pforzheim,2021
Benjamin Sailer,RB,26,-,1.CfR Pforzheim,2021
Luca Alberici,CDM,24,-,1.CfR Pforzheim,2021
Alessio Allkollari,Midfielder,19,-,1.CfR Pforzheim,2021
Isa Ibrahim Bradara,CDM,25,-,1.CfR Pforzheim,2021
Denis Latifovic,CM,23,-,1.CfR Pforzheim,2021
Kerim Kubat Keseroglu,CM,21,-,1.CfR Pforzheim,2021
Emre Kahriman,CM,21,-,1.CfR Pforzheim,2021
Enes Türköz,CM,23,-,1.CfR Pforzheim,2021
Terry Asare,RM,24,-,1.CfR Pforzheim,2021
Salvatore Varese,LM,27,-,1.CfR Pforzheim,2021
Lukas Böhm,CAM,27,-,1.CfR Pforzheim,2021
Robin Münst,CAM,22,-,1.CfR Pforzheim,2021
Salvatore Catanzano,LW,22,-,1.CfR Pforzheim,2021
Stanley Ratifo,ST,27,75 Tsd. €,1.CfR Pforzheim,2021
Georgios Kotsoglou,ST,19,-,1.CfR Pforzheim,2021
Ayman Mouhssine,ST,19,-,1.CfR Pforzheim,2021
Marco Rienhardt,ST,23,-,1.CfR Pforzheim,2021
Willie Sauerborn,ST,28,-,1.CfR Pforzheim,2021
Noah Lulic,ST,22,-,1.CfR Pforzheim,2021
Nico Trabaldi,GK,20,-,1.CfR Pforzheim,2022
Leon Gabriel Hauser,GK,-,-,1.CfR Pforzheim,2022
Yusuf Tirso,GK,22,-,1.CfR Pforzheim,2022
Mateo Drljo,GK,19,-,1.CfR Pforzheim,2022
Denis Gudzevic,CB,26,-,1.CfR Pforzheim,2022
Serkan Baloglu,CB,25,-,1.CfR Pforzheim,2022
Demarveay Sheron,CB,26,-,1.CfR Pforzheim,2022
Maurizio Macorig,CB,26,-,1.CfR Pforzheim,2022
Ibrahim Njie,CB,23,-,1.CfR Pforzheim,2022
Tim Schwaiger,LB,26,-,1.CfR Pforzheim,2022
Marcel Bahm,LB,23,-,1.CfR Pforzheim,2022
Marvin Benefo,RB,22,-,1.CfR Pforzheim,2022
Patrick Yuri,Midfielder,27,-,1.CfR Pforzheim,2022
Enes Koc,Midfielder,18,-,1.CfR Pforzheim,2022
Alessio Allkollari,Midfielder,20,-,1.CfR Pforzheim,2022
Emre Kahriman,CM,22,-,1.CfR Pforzheim,2022
Denis Latifovic,CM,24,-,1.CfR Pforzheim,2022
Wycliff Yeboah,CM,20,-,1.CfR Pforzheim,2022
Terry Asare,RM,25,-,1.CfR Pforzheim,2022
Salvatore Varese,LM,28,-,1.CfR Pforzheim,2022
Alexander Götz,CAM,30,-,1.CfR Pforzheim,2022
Robin Münst,CAM,23,-,1.CfR Pforzheim,2022
Salvatore Catanzano,LW,23,-,1.CfR Pforzheim,2022
Mykola Musolitin,RW,24,150 Tsd. €,1.CfR Pforzheim,2022
Stanley Ratifo,ST,28,75 Tsd. €,1.CfR Pforzheim,2022
Konstantinos Markopoulos,ST,31,-,1.CfR Pforzheim,2022
Julius Reinbold,ST,23,-,1.CfR Pforzheim,2022
Jonas Eichinger,ST,18,-,1.CfR Pforzheim,2022
Willie Sauerborn,ST,29,-,1.CfR Pforzheim,2022
Noah Lulic,ST,23,-,1.CfR Pforzheim,2022
Thomas Bromma,GK,31,-,1.CfR Pforzheim,2023
Elvin Kovac,GK,25,-,1.CfR Pforzheim,2023
Sunny Simone,GK,18,-,1.CfR Pforzheim,2023
Yusuf Tirso,GK,23,-,1.CfR Pforzheim,2023
Yannick Sagert,CB,24,-,1.CfR Pforzheim,2023
Denis Gudzevic,CB,27,-,1.CfR Pforzheim,2023
Dan Constantinescu,CB,30,-,1.CfR Pforzheim,2023
Maurizio Macorig,CB,27,-,1.CfR Pforzheim,2023
Ibrahim Njie,CB,24,-,1.CfR Pforzheim,2023
Tim Schwaiger,LB,27,-,1.CfR Pforzheim,2023
Marcel Bahm,LB,24,-,1.CfR Pforzheim,2023
Michel Schwarz,RB,19,-,1.CfR Pforzheim,2023
Marvin Benefo,RB,23,-,1.CfR Pforzheim,2023
Emre Kahriman,CM,23,-,1.CfR Pforzheim,2023
Mehmet Güzelcoban,CM,26,-,1.CfR Pforzheim,2023
Wycliff Yeboah,CM,21,-,1.CfR Pforzheim,2023
Salvatore Varese,LM,29,-,1.CfR Pforzheim,2023
Mustafa Sungur,CAM,19,-,1.CfR Pforzheim,2023
Alexander Götz,CAM,31,-,1.CfR Pforzheim,2023
Robin Münst,CAM,24,-,1.CfR Pforzheim,2023
Francis Ubabuike,LW,29,-,1.CfR Pforzheim,2023
Salvatore Catanzano,LW,24,-,1.CfR Pforzheim,2023
Stanley Ratifo,ST,29,75 Tsd. €,1.CfR Pforzheim,2023
Konstantinos Markopoulos,ST,32,-,1.CfR Pforzheim,2023
Niklas Hofmeister,ST,22,-,1.CfR Pforzheim,2023
Willie Sauerborn,ST,30,-,1.CfR Pforzheim,2023
Noah Lulic,ST,24,-,1.CfR Pforzheim,2023
Elvin Kovac,GK,25,-,1.CfR Pforzheim,2024
Yusuf Tirso,GK,,-,1.CfR Pforzheim,2024
Karan Altuntas,GK,,-,1.CfR Pforzheim,2024
Marlon Herderich,CB,,-,1.CfR Pforzheim,2024
Yannick Sagert,CB,25,-,1.CfR Pforzheim,2024
Denis Gudzevic,CB,,-,1.CfR Pforzheim,2024
Tim Schwaiger,LB,,-,1.CfR Pforzheim,2024
Marcel Bahm,LB,25,-,1.CfR Pforzheim,2024
Niklas Koroll,LB,,-,1.CfR Pforzheim,2024
Sven Mende,CDM,31,-,1.CfR Pforzheim,2024
Luca Wöhrle,CDM,,-,1.CfR Pforzheim,2024
Luka Bilac,CDM,,-,1.CfR Pforzheim,2024
Rion Gashi,CDM,,-,1.CfR Pforzheim,2024
Alessio Allkollari,Midfielder,,-,1.CfR Pforzheim,2024
Emre Kahriman,CM,,-,1.CfR Pforzheim,2024
Wycliff Yeboah,CM,,-,1.CfR Pforzheim,2024
Kenay Ferli,CM,,-,1.CfR Pforzheim,2024
Robin Münst,CAM,,-,1.CfR Pforzheim,2024
Francis Ubabuike,LW,30,-,1.CfR Pforzheim,2024
Walter Vegelin,LW,24,-,1.CfR Pforzheim,2024
Berzan Ural,LW,,-,1.CfR Pforzheim,2024
Salvatore Catanzano,LW,,-,1.CfR Pforzheim,2024
Niklas Hofmeister,ST,,-,1.CfR Pforzheim,2024
Yves Borie,ST,,-,1.CfR Pforzheim,2024
Stefano Savarese,ST,,-,1.CfR Pforzheim,2024
