name,position,age,value,team,season
Philipp Ferebauer,GK,21,-,1.FC Düren,2018
Tim Nickstadt,GK,20,-,1.FC Düren,2018
Steffen Wirtz,GK,29,-,1.FC Düren,2018
Kevin Jackmuth,GK,24,-,1.FC Düren,2018
Marius Schonauer,CB,20,-,1.FC Düren,2018
Jannis Becker,CB,24,-,1.FC Düren,2018
Tobias Breuer,CB,33,-,1.FC Düren,2018
Jumpei Ebisu,RB,29,-,1.FC Düren,2018
Julian Wiersberg,RB,24,-,1.FC Düren,2018
Alexander Hürtgen,RB,23,-,1.FC Düren,2018
Yunus Kocak,CDM,29,-,1.FC Düren,2018
Nico Schröteler,CDM,24,-,1.FC Düren,2018
Julian Nießen,CDM,24,-,1.FC Düren,2018
Klaas Kurzke,CDM,24,-,1.FC Düren,2018
Felix Faure,Midfielder,19,-,1.FC Düren,2018
Dominik Behr,CM,23,-,1.FC Düren,2018
Lucas Kirschbaum,CM,22,-,1.FC Düren,2018
Luca Kirschbaum,CM,17,-,1.FC Düren,2018
Maximilian Fichtl,CM,25,-,1.FC Düren,2018
Marvin Störmann,CM,25,-,1.FC Düren,2018
Tobias Frohn,CM,24,-,1.FC Düren,2018
Daniel Bleja,LM,24,-,1.FC Düren,2018
Philipp Simon,CAM,25,-,1.FC Düren,2018
Timo Braun,CAM,21,-,1.FC Düren,2018
Dominik Dick,CAM,22,-,1.FC Düren,2018
Dogukan Türkmen,CAM,20,-,1.FC Düren,2018
Kariem Emara,LW,21,-,1.FC Düren,2018
Jannis Steltzner,RW,25,-,1.FC Düren,2018
Dennis Dreyer,ST,21,-,1.FC Düren,2018
Kevin Baumann,ST,32,-,1.FC Düren,2018
Marc Wollersheim,ST,29,-,1.FC Düren,2018
Nico Braun,ST,19,-,1.FC Düren,2018
Patrick Bade,GK,23,25 Tsd. €,1.FC Düren,2019
Kevin Jackmuth,GK,25,-,1.FC Düren,2019
Mario Weber,CB,30,75 Tsd. €,1.FC Düren,2019
Marvin Steiger,CB,26,-,1.FC Düren,2019
Joran Sobiech,CB,24,-,1.FC Düren,2019
Onur Alagöz,CB,26,-,1.FC Düren,2019
Jannis Becker,CB,25,-,1.FC Düren,2019
Stefan Baumgart,CB,31,-,1.FC Düren,2019
Markus Wipperfürth,LB,24,100 Tsd. €,1.FC Düren,2019
Günter Mabanza,LB,24,-,1.FC Düren,2019
Adis Omerbasic,RB,25,125 Tsd. €,1.FC Düren,2019
Jumpei Ebisu,RB,30,-,1.FC Düren,2019
Julian Wiersberg,RB,25,-,1.FC Düren,2019
David Pütz,CDM,23,100 Tsd. €,1.FC Düren,2019
Hajdar Shala,CDM,21,-,1.FC Düren,2019
Yuta Tateno,Midfielder,19,-,1.FC Düren,2019
Yunus Kocak,CDM,30,-,1.FC Düren,2019
Nico Schröteler,CDM,25,-,1.FC Düren,2019
Julian Nießen,CDM,25,-,1.FC Düren,2019
Klaas Kurzke,CDM,25,-,1.FC Düren,2019
Maximilian Fichtl,CM,26,-,1.FC Düren,2019
Marvin Störmann,CM,26,-,1.FC Düren,2019
Kanischka Taher,CM,29,-,1.FC Düren,2019
Jan Bach,CM,22,-,1.FC Düren,2019
Daniel Bleja,LM,25,-,1.FC Düren,2019
Philipp Simon,CAM,26,-,1.FC Düren,2019
Gjorgji Antoski,CAM,28,-,1.FC Düren,2019
Chang Kim,CAM,22,-,1.FC Düren,2019
Baris Sarikaya,CAM,24,-,1.FC Düren,2019
Tiziano Lo Iacono,CAM,26,-,1.FC Düren,2019
Dominik Dick,CAM,23,-,1.FC Düren,2019
Jannis Steltzner,RW,26,-,1.FC Düren,2019
