name,position,age,value,team,season
Markus Straten-Wolf,GK,26,-,1.FC Germania Egestorf/Langreder,2014
Julian Lenz,GK,23,-,1.FC Germania Egestorf/Langreder,2014
Christoph Raum,GK,30,-,1.FC Germania Egestorf/Langreder,2014
Patrick Makiela,GK,19,-,1.FC Germania Egestorf/Langreder,2014
Florian Büchler,CB,26,-,1.FC Germania Egestorf/Langreder,2014
Alexander Hessel,CB,27,-,1.FC Germania Egestorf/Langreder,2014
Bastian Stellmacher,CB,32,-,1.FC Germania Egestorf/Langreder,2014
Robin Gaida,CB,20,-,1.FC Germania Egestorf/Langreder,2014
Marek Waldschmidt,CB,24,-,1.FC Germania Egestorf/Langreder,2014
Yannick Oelmann,CB,23,-,1.FC Germania Egestorf/Langreder,2014
Mirko Dismer,RB,24,-,1.FC Germania Egestorf/Langreder,2014
Jan Baßler,CDM,37,-,1.FC Germania Egestorf/Langreder,2014
Jannik Oltrogge,CDM,20,-,1.FC Germania Egestorf/Langreder,2014
Marvin Stieler,CDM,25,-,1.FC Germania Egestorf/Langreder,2014
Sebastian Ratzsch,CDM,31,-,1.FC Germania Egestorf/Langreder,2014
Joshua Siegert,CDM,21,-,1.FC Germania Egestorf/Langreder,2014
Marco Schikora,CDM,20,-,1.FC Germania Egestorf/Langreder,2014
Sebastian Schirrmacher,CM,28,-,1.FC Germania Egestorf/Langreder,2014
Thorben Schierholz,LM,28,-,1.FC Germania Egestorf/Langreder,2014
Sascha Derr,CAM,25,-,1.FC Germania Egestorf/Langreder,2014
Lukas Kelle,CAM,25,-,1.FC Germania Egestorf/Langreder,2014
Andreas Baranek,RW,32,-,1.FC Germania Egestorf/Langreder,2014
Sebastian Baar,RW,20,-,1.FC Germania Egestorf/Langreder,2014
Sebastian Bönig,RW,28,-,1.FC Germania Egestorf/Langreder,2014
Delil Sincar,RW,25,-,1.FC Germania Egestorf/Langreder,2014
Tilman Zychlinski,Second Striker,27,-,1.FC Germania Egestorf/Langreder,2014
Christoph Beismann,ST,28,-,1.FC Germania Egestorf/Langreder,2014
Tugrancan Singin,ST,20,-,1.FC Germania Egestorf/Langreder,2014
Hendrik Weydandt,ST,19,-,1.FC Germania Egestorf/Langreder,2014
Markus Straten-Wolf,GK,27,-,1.FC Germania Egestorf/Langreder,2015
Ole Schöttelndreier,GK,18,-,1.FC Germania Egestorf/Langreder,2015
Julian Lenz,GK,24,-,1.FC Germania Egestorf/Langreder,2015
Christoph Raum,GK,31,-,1.FC Germania Egestorf/Langreder,2015
Marius Carstens,GK,19,-,1.FC Germania Egestorf/Langreder,2015
Marcel Busse,CB,20,-,1.FC Germania Egestorf/Langreder,2015
Alexander Hessel,CB,28,-,1.FC Germania Egestorf/Langreder,2015
Marc Bodenburg,CB,18,-,1.FC Germania Egestorf/Langreder,2015
Bastian Stellmacher,CB,33,-,1.FC Germania Egestorf/Langreder,2015
Robin Gaida,CB,21,-,1.FC Germania Egestorf/Langreder,2015
Marek Waldschmidt,CB,25,-,1.FC Germania Egestorf/Langreder,2015
Scott Millard,CB,20,-,1.FC Germania Egestorf/Langreder,2015
Yannick Oelmann,CB,24,-,1.FC Germania Egestorf/Langreder,2015
Mirko Dismer,RB,25,-,1.FC Germania Egestorf/Langreder,2015
Christopher Kowohl-Buschner,CDM,18,-,1.FC Germania Egestorf/Langreder,2015
Jan Baßler,CDM,38,-,1.FC Germania Egestorf/Langreder,2015
Jannik Oltrogge,CDM,21,-,1.FC Germania Egestorf/Langreder,2015
Marvin Stieler,CDM,26,-,1.FC Germania Egestorf/Langreder,2015
Sebastian Ratzsch,CDM,32,-,1.FC Germania Egestorf/Langreder,2015
Joshua Siegert,CDM,22,-,1.FC Germania Egestorf/Langreder,2015
Marco Schikora,CDM,21,-,1.FC Germania Egestorf/Langreder,2015
Tolga Nemnezi,CAM,19,-,1.FC Germania Egestorf/Langreder,2015
Sascha Derr,CAM,26,-,1.FC Germania Egestorf/Langreder,2015
Lukas Kelle,CAM,26,-,1.FC Germania Egestorf/Langreder,2015
Torben Engelking,LW,20,-,1.FC Germania Egestorf/Langreder,2015
Andreas Baranek,RW,33,-,1.FC Germania Egestorf/Langreder,2015
Sebastian Baar,RW,21,-,1.FC Germania Egestorf/Langreder,2015
Sebastian Bönig,RW,29,-,1.FC Germania Egestorf/Langreder,2015
Delil Sincar,RW,26,-,1.FC Germania Egestorf/Langreder,2015
Christoph Beismann,ST,29,-,1.FC Germania Egestorf/Langreder,2015
Dominik Behnsen,ST,19,-,1.FC Germania Egestorf/Langreder,2015
Roman Busse,ST,20,-,1.FC Germania Egestorf/Langreder,2015
Hendrik Weydandt,ST,20,-,1.FC Germania Egestorf/Langreder,2015
Markus Straten-Wolf,GK,28,75 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Julian Lenz,GK,25,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Christoph Raum,GK,32,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Ole Schöttelndreier,GK,19,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Patrick Makiela,GK,21,-,1.FC Germania Egestorf/Langreder,2016
Robin Gaida,CB,22,50 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Marek Waldschmidt,CB,26,50 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Yannick Oelmann,CB,25,50 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Kris-Lennart Müller,CB,20,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Marc Bodenburg,CB,19,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
Alexander Hessel,CB,29,25 Tsd. €,1.FC Germania Egestorf/Langreder,2016
