name,position,age,value,team,season
Jan Zimmermann,GK,30,650 Tsd. €,1.FC Heidenheim 1846,2014
Rouven Sattelmaier,GK,27,150 Tsd. €,1.FC Heidenheim 1846,2014
Felix Kielkopf,GK,18,100 Tsd. €,1.FC Heidenheim 1846,2014
Felix-Adrian Körber,GK,22,100 Tsd. €,1.FC Heidenheim 1846,2014
Kevin Kraus,CB,22,650 Tsd. €,1.FC Heidenheim 1846,2014
Mathias Wittek,CB,26,600 Tsd. €,1.FC Heidenheim 1846,2014
Sebastian Griesbeck,CB,24,600 Tsd. €,1.FC Heidenheim 1846,2014
Tim Göhlert,CB,30,350 Tsd. €,1.FC Heidenheim 1846,2014
Michael Vitzthum,CB,23,350 Tsd. €,1.FC Heidenheim 1846,2014
Timo Beermann,CB,24,200 Tsd. €,1.FC Heidenheim 1846,2014
Philip Heise,LB,24,600 Tsd. €,1.FC Heidenheim 1846,2014
Robert Strauß,RB,28,400 Tsd. €,1.FC Heidenheim 1846,2014
Dennis Malura,RB,31,350 Tsd. €,1.FC Heidenheim 1846,2014
Maurizio Scioscia,RB,23,100 Tsd. €,1.FC Heidenheim 1846,2014
Julius Reinhardt,CDM,27,400 Tsd. €,1.FC Heidenheim 1846,2014
Philipp Riese,CDM,25,400 Tsd. €,1.FC Heidenheim 1846,2014
Dave Gnaase,CDM,18,100 Tsd. €,1.FC Heidenheim 1846,2014
Marcel Titsch Rivero,CM,25,500 Tsd. €,1.FC Heidenheim 1846,2014
Alper Bagceci,RM,31,200 Tsd. €,1.FC Heidenheim 1846,2014
Robert Leipertz,CAM,22,550 Tsd. €,1.FC Heidenheim 1846,2014
Marc Schnatterer,LW,29,"1,00 Mio. €",1.FC Heidenheim 1846,2014
Manuel Schwenk,LW,23,300 Tsd. €,1.FC Heidenheim 1846,2014
Tim Skarke,RW,18,100 Tsd. €,1.FC Heidenheim 1846,2014
Smail Morabit,Second Striker,26,500 Tsd. €,1.FC Heidenheim 1846,2014
Florian Niederlechner,ST,24,900 Tsd. €,1.FC Heidenheim 1846,2014
Andreas Voglsammer,ST,23,400 Tsd. €,1.FC Heidenheim 1846,2014
Adriano Grimaldi,ST,24,400 Tsd. €,1.FC Heidenheim 1846,2014
Patrick Mayer,ST,27,350 Tsd. €,1.FC Heidenheim 1846,2014
Jan Zimmermann,GK,31,650 Tsd. €,1.FC Heidenheim 1846,2015
Kevin Müller,GK,25,400 Tsd. €,1.FC Heidenheim 1846,2015
Sven Ullrich,GK,19,100 Tsd. €,1.FC Heidenheim 1846,2015
Sebastian Griesbeck,CB,25,800 Tsd. €,1.FC Heidenheim 1846,2015
Kevin Kraus,CB,23,800 Tsd. €,1.FC Heidenheim 1846,2015
Mathias Wittek,CB,27,600 Tsd. €,1.FC Heidenheim 1846,2015
Tim Göhlert,CB,31,350 Tsd. €,1.FC Heidenheim 1846,2015
Timo Beermann,CB,25,350 Tsd. €,1.FC Heidenheim 1846,2015
Arne Feick,LB,28,600 Tsd. €,1.FC Heidenheim 1846,2015
Robert Strauß,RB,29,500 Tsd. €,1.FC Heidenheim 1846,2015
Ronny Philp,RB,27,450 Tsd. €,1.FC Heidenheim 1846,2015
Maurizio Scioscia,RB,24,150 Tsd. €,1.FC Heidenheim 1846,2015
Norman Theuerkauf,CDM,29,700 Tsd. €,1.FC Heidenheim 1846,2015
Julius Reinhardt,CDM,28,300 Tsd. €,1.FC Heidenheim 1846,2015
Marcel Titsch Rivero,CM,26,500 Tsd. €,1.FC Heidenheim 1846,2015
Sebastian Heidinger,RM,30,250 Tsd. €,1.FC Heidenheim 1846,2015
Robert Leipertz,CAM,23,"1,30 Mio. €",1.FC Heidenheim 1846,2015
Denis Thomalla,CAM,23,350 Tsd. €,1.FC Heidenheim 1846,2015
Marc Schnatterer,LW,30,"1,00 Mio. €",1.FC Heidenheim 1846,2015
Ben Halloran,RW,24,600 Tsd. €,1.FC Heidenheim 1846,2015
Dominik Widemann,RW,19,300 Tsd. €,1.FC Heidenheim 1846,2015
Tim Skarke,RW,19,200 Tsd. €,1.FC Heidenheim 1846,2015
Smail Morabit,Second Striker,27,500 Tsd. €,1.FC Heidenheim 1846,2015
Bård Finne,ST,21,700 Tsd. €,1.FC Heidenheim 1846,2015
Andreas Voglsammer,ST,24,400 Tsd. €,1.FC Heidenheim 1846,2015
Daniel Frahn,ST,29,375 Tsd. €,1.FC Heidenheim 1846,2015
Adriano Grimaldi,ST,25,300 Tsd. €,1.FC Heidenheim 1846,2015
Felix Schröter,ST,20,125 Tsd. €,1.FC Heidenheim 1846,2015
Kevin Müller,GK,26,800 Tsd. €,1.FC Heidenheim 1846,2016
Vitus Eicher,GK,26,250 Tsd. €,1.FC Heidenheim 1846,2016
Oliver Schnitzler,GK,21,200 Tsd. €,1.FC Heidenheim 1846,2016
Sebastian Griesbeck,CB,26,"1,20 Mio. €",1.FC Heidenheim 1846,2016
Kevin Kraus,CB,24,800 Tsd. €,1.FC Heidenheim 1846,2016
Hauke Wahl,CB,23,700 Tsd. €,1.FC Heidenheim 1846,2016
Mathias Wittek,CB,28,700 Tsd. €,1.FC Heidenheim 1846,2016
Timo Beermann,CB,26,550 Tsd. €,1.FC Heidenheim 1846,2016
Ibrahim Hajtic,CB,19,100 Tsd. €,1.FC Heidenheim 1846,2016
Arne Feick,LB,29,800 Tsd. €,1.FC Heidenheim 1846,2016
Robert Strauß,RB,30,500 Tsd. €,1.FC Heidenheim 1846,2016
Ronny Philp,RB,28,350 Tsd. €,1.FC Heidenheim 1846,2016
Robin Becker,RB,20,300 Tsd. €,1.FC Heidenheim 1846,2016
Norman Theuerkauf,CDM,30,600 Tsd. €,1.FC Heidenheim 1846,2016
Dave Gnaase,CDM,20,175 Tsd. €,1.FC Heidenheim 1846,2016
Marcel Titsch Rivero,CM,27,750 Tsd. €,1.FC Heidenheim 1846,2016
Martin Rasner,CM,22,400 Tsd. €,1.FC Heidenheim 1846,2016
Denis Thomalla,CAM,24,500 Tsd. €,1.FC Heidenheim 1846,2016
Marc Schnatterer,LW,31,"1,00 Mio. €",1.FC Heidenheim 1846,2016
David Atanga,RW,20,600 Tsd. €,1.FC Heidenheim 1846,2016
Ben Halloran,RW,25,550 Tsd. €,1.FC Heidenheim 1846,2016
Tim Skarke,RW,20,500 Tsd. €,1.FC Heidenheim 1846,2016
Dominik Widemann,RW,20,200 Tsd. €,1.FC Heidenheim 1846,2016
Smail Morabit,Second Striker,28,350 Tsd. €,1.FC Heidenheim 1846,2016
Tim Kleindienst,ST,21,800 Tsd. €,1.FC Heidenheim 1846,2016
John Verhoek,ST,28,550 Tsd. €,1.FC Heidenheim 1846,2016
Bård Finne,ST,22,500 Tsd. €,1.FC Heidenheim 1846,2016
Kevin Lankford,ST,18,200 Tsd. €,1.FC Heidenheim 1846,2016
Kevin Müller,GK,27,800 Tsd. €,1.FC Heidenheim 1846,2017
Vitus Eicher,GK,27,250 Tsd. €,1.FC Heidenheim 1846,2017
Matthias Köbbing,GK,21,100 Tsd. €,1.FC Heidenheim 1846,2017
Sebastian Griesbeck,CB,27,"1,25 Mio. €",1.FC Heidenheim 1846,2017
Mathias Wittek,CB,29,700 Tsd. €,1.FC Heidenheim 1846,2017
Timo Beermann,CB,27,700 Tsd. €,1.FC Heidenheim 1846,2017
Kevin Kraus,CB,25,500 Tsd. €,1.FC Heidenheim 1846,2017
Oliver Steurer,CB,23,200 Tsd. €,1.FC Heidenheim 1846,2017
Ibrahim Hajtic,CB,20,100 Tsd. €,1.FC Heidenheim 1846,2017
Arne Feick,LB,30,700 Tsd. €,1.FC Heidenheim 1846,2017
Robert Strauß,RB,31,450 Tsd. €,1.FC Heidenheim 1846,2017
Marnon Busch,RB,23,300 Tsd. €,1.FC Heidenheim 1846,2017
Ronny Philp,RB,29,175 Tsd. €,1.FC Heidenheim 1846,2017
Norman Theuerkauf,CDM,31,550 Tsd. €,1.FC Heidenheim 1846,2017
Dave Gnaase,CDM,21,150 Tsd. €,1.FC Heidenheim 1846,2017
Marcel Titsch Rivero,CM,28,850 Tsd. €,1.FC Heidenheim 1846,2017
Kevin Sessa,CM,17,100 Tsd. €,1.FC Heidenheim 1846,2017
Denis Thomalla,CAM,25,450 Tsd. €,1.FC Heidenheim 1846,2017
Kolja Pusch,CAM,25,450 Tsd. €,1.FC Heidenheim 1846,2017
Marc Schnatterer,LW,32,"1,00 Mio. €",1.FC Heidenheim 1846,2017
Ben Halloran,RW,26,550 Tsd. €,1.FC Heidenheim 1846,2017
Tim Skarke,RW,21,500 Tsd. €,1.FC Heidenheim 1846,2017
Dominik Widemann,RW,21,200 Tsd. €,1.FC Heidenheim 1846,2017
Maurice Multhaup,RW,21,150 Tsd. €,1.FC Heidenheim 1846,2017
Nikola Dovedan,Second Striker,23,800 Tsd. €,1.FC Heidenheim 1846,2017
John Verhoek,ST,29,750 Tsd. €,1.FC Heidenheim 1846,2017
Maximilian Thiel,ST,25,750 Tsd. €,1.FC Heidenheim 1846,2017
Robert Glatzel,ST,24,550 Tsd. €,1.FC Heidenheim 1846,2017
Kevin Lankford,ST,19,450 Tsd. €,1.FC Heidenheim 1846,2017
Kevin Müller,GK,28,800 Tsd. €,1.FC Heidenheim 1846,2018
Vitus Eicher,GK,28,250 Tsd. €,1.FC Heidenheim 1846,2018
Matthias Köbbing,GK,22,100 Tsd. €,1.FC Heidenheim 1846,2018
Diant Ramaj,GK,17,-,1.FC Heidenheim 1846,2018
Patrick Mainka,CB,24,"1,25 Mio. €",1.FC Heidenheim 1846,2018
Sebastian Griesbeck,CB,28,"1,25 Mio. €",1.FC Heidenheim 1846,2018
Timo Beermann,CB,28,800 Tsd. €,1.FC Heidenheim 1846,2018
Mathias Wittek,CB,30,500 Tsd. €,1.FC Heidenheim 1846,2018
Oliver Steurer,CB,24,200 Tsd. €,1.FC Heidenheim 1846,2018
Tobias Reithmeir,CB,19,200 Tsd. €,1.FC Heidenheim 1846,2018
Arne Feick,LB,31,450 Tsd. €,1.FC Heidenheim 1846,2018
