name,position,age,value,team,season
Dominique Nowak,GK,29,-,1.FC Kaan-Marienborn,2014
Patrick Stock,GK,24,-,1.FC Kaan-Marienborn,2014
Tobias Wurm,CB,33,-,1.FC Kaan-Marienborn,2014
Thomas Rainer Brühl,CB,-,-,1.FC Kaan-Marienborn,2014
Toni Gänge,CB,27,-,1.FC Kaan-Marienborn,2014
Dennis Noll,CB,26,-,1.FC Kaan-Marienborn,2014
Jared Jörgens,LB,30,-,1.FC Kaan-Marienborn,2014
Manuel Jung,Midfielder,30,-,1.FC Kaan-Marienborn,2014
Michael May,Midfielder,22,-,1.FC Kaan-Marienborn,2014
Bastian Sellau,Midfielder,23,-,1.FC Kaan-Marienborn,2014
Mats-Lukas Scheld,CDM,21,-,1.FC Kaan-Marienborn,2014
Torben Schmidt,CDM,23,-,1.FC Kaan-Marienborn,2014
Enrico Balijaj,Midfielder,20,-,1.FC Kaan-Marienborn,2014
Marius Jung,Midfielder,27,-,1.FC Kaan-Marienborn,2014
Alexander Ecker,CM,32,50 Tsd. €,1.FC Kaan-Marienborn,2014
Jan-Peter Stein,CM,27,-,1.FC Kaan-Marienborn,2014
Michael Kügler,RM,33,-,1.FC Kaan-Marienborn,2014
Patrick Sonntag,RM,26,-,1.FC Kaan-Marienborn,2014
Michael Reed,RM,32,-,1.FC Kaan-Marienborn,2014
Daniel Schnittchen,RM,20,-,1.FC Kaan-Marienborn,2014
Steve Sam,CAM,29,-,1.FC Kaan-Marienborn,2014
Florian Bublitz,RW,20,-,1.FC Kaan-Marienborn,2014
René Lewejohann,ST,31,-,1.FC Kaan-Marienborn,2014
Patrick Waginzik,ST,24,-,1.FC Kaan-Marienborn,2014
Florian Hammel,GK,26,-,1.FC Kaan-Marienborn,2015
Pascal Rüsche,GK,23,-,1.FC Kaan-Marienborn,2015
Patrick Stock,GK,25,-,1.FC Kaan-Marienborn,2015
Tobias Wurm,CB,34,-,1.FC Kaan-Marienborn,2015
Toni Gänge,CB,28,-,1.FC Kaan-Marienborn,2015
Sebastian Wasem,CB,26,-,1.FC Kaan-Marienborn,2015
Dennis Noll,CB,27,-,1.FC Kaan-Marienborn,2015
Jared Jörgens,LB,31,-,1.FC Kaan-Marienborn,2015
Michael May,Midfielder,23,-,1.FC Kaan-Marienborn,2015
Bastian Sellau,Midfielder,24,-,1.FC Kaan-Marienborn,2015
Mats-Lukas Scheld,CDM,22,-,1.FC Kaan-Marienborn,2015
Torben Schmidt,CDM,24,-,1.FC Kaan-Marienborn,2015
Enrico Balijaj,Midfielder,21,-,1.FC Kaan-Marienborn,2015
Marius Jung,Midfielder,28,-,1.FC Kaan-Marienborn,2015
Alexander Ecker,CM,33,50 Tsd. €,1.FC Kaan-Marienborn,2015
Michael Kügler,RM,34,-,1.FC Kaan-Marienborn,2015
Patrick Sonntag,RM,27,-,1.FC Kaan-Marienborn,2015
Michael Reed,RM,33,-,1.FC Kaan-Marienborn,2015
Daniel Schnittchen,RM,21,-,1.FC Kaan-Marienborn,2015
Johannes Burk,CAM,28,-,1.FC Kaan-Marienborn,2015
Steve Sam,CAM,30,-,1.FC Kaan-Marienborn,2015
Christian Runkel,LW,26,-,1.FC Kaan-Marienborn,2015
André Schilamow,RW,27,-,1.FC Kaan-Marienborn,2015
Florian Bublitz,RW,21,-,1.FC Kaan-Marienborn,2015
Patrick Diehl,ST,27,-,1.FC Kaan-Marienborn,2015
Patrick Waginzik,ST,25,-,1.FC Kaan-Marienborn,2015
Florian Hammel,GK,27,-,1.FC Kaan-Marienborn,2016
Oktay Düzgün,GK,28,-,1.FC Kaan-Marienborn,2016
Tobias Wurm,CB,35,-,1.FC Kaan-Marienborn,2016
Thomas Rainer Brühl,CB,-,-,1.FC Kaan-Marienborn,2016
Janis Kipping,CB,21,-,1.FC Kaan-Marienborn,2016
Toni Gänge,CB,29,-,1.FC Kaan-Marienborn,2016
Sebastian Wasem,CB,27,-,1.FC Kaan-Marienborn,2016
Dennis Noll,CB,28,-,1.FC Kaan-Marienborn,2016
Jared Jörgens,LB,32,-,1.FC Kaan-Marienborn,2016
Arthur Tomas,LB,23,-,1.FC Kaan-Marienborn,2016
Semih Yigit,LB,28,-,1.FC Kaan-Marienborn,2016
Michael May,Midfielder,24,-,1.FC Kaan-Marienborn,2016
Mats-Lukas Scheld,CDM,23,-,1.FC Kaan-Marienborn,2016
Torben Schmidt,CDM,25,-,1.FC Kaan-Marienborn,2016
Enrico Balijaj,Midfielder,22,-,1.FC Kaan-Marienborn,2016
Marius Jung,Midfielder,29,-,1.FC Kaan-Marienborn,2016
Daniel Waldrich,RM,27,-,1.FC Kaan-Marienborn,2016
Michael Reed,RM,34,-,1.FC Kaan-Marienborn,2016
Yevgeniy Khorolskyi,LM,28,25 Tsd. €,1.FC Kaan-Marienborn,2016
Johannes Burk,CAM,29,-,1.FC Kaan-Marienborn,2016
Christian Runkel,LW,27,-,1.FC Kaan-Marienborn,2016
André Schilamow,RW,28,-,1.FC Kaan-Marienborn,2016
Dawid Krieger,ST,28,-,1.FC Kaan-Marienborn,2016
Ilir Zeneli,ST,30,-,1.FC Kaan-Marienborn,2016
Patrick Diehl,ST,28,-,1.FC Kaan-Marienborn,2016
Florian Hammel,GK,28,-,1.FC Kaan-Marienborn,2017
Ingmar Klose,GK,24,-,1.FC Kaan-Marienborn,2017
Oktay Düzgün,GK,29,-,1.FC Kaan-Marienborn,2017
Tobias Wurm,CB,36,-,1.FC Kaan-Marienborn,2017
Toni Gänge,CB,30,-,1.FC Kaan-Marienborn,2017
Marcel Radschuweit,CB,28,-,1.FC Kaan-Marienborn,2017
Moritz Brato,CB,22,-,1.FC Kaan-Marienborn,2017
Jared Jörgens,LB,33,-,1.FC Kaan-Marienborn,2017
Arthur Tomas,LB,24,-,1.FC Kaan-Marienborn,2017
Semih Yigit,LB,29,-,1.FC Kaan-Marienborn,2017
Dorian Madani,CDM,19,-,1.FC Kaan-Marienborn,2017
Mats-Lukas Scheld,CDM,24,-,1.FC Kaan-Marienborn,2017
Torben Schmidt,CDM,26,-,1.FC Kaan-Marienborn,2017
Tim Schulz,Midfielder,18,-,1.FC Kaan-Marienborn,2017
Enrico Balijaj,Midfielder,23,-,1.FC Kaan-Marienborn,2017
Marius Jung,Midfielder,30,-,1.FC Kaan-Marienborn,2017
Talha Varli,CM,19,-,1.FC Kaan-Marienborn,2017
Daniel Waldrich,RM,28,-,1.FC Kaan-Marienborn,2017
Haluk Arslan,LM,23,-,1.FC Kaan-Marienborn,2017
Johannes Burk,CAM,30,-,1.FC Kaan-Marienborn,2017
Burak Gençal,CAM,23,-,1.FC Kaan-Marienborn,2017
André Schilamow,RW,29,-,1.FC Kaan-Marienborn,2017
Dawid Krieger,ST,29,-,1.FC Kaan-Marienborn,2017
Norman Wermes,ST,29,-,1.FC Kaan-Marienborn,2017
Ennis Madani,ST,20,-,1.FC Kaan-Marienborn,2017
Christian Bölker,GK,31,75 Tsd. €,1.FC Kaan-Marienborn,2018
Florian Hammel,GK,29,25 Tsd. €,1.FC Kaan-Marienborn,2018
Jonas Brammen,GK,21,25 Tsd. €,1.FC Kaan-Marienborn,2018
Tobias Wurm,CB,37,-,1.FC Kaan-Marienborn,2018
Jannik Schneider,CB,23,75 Tsd. €,1.FC Kaan-Marienborn,2018
Tom Zündorf,CB,22,50 Tsd. €,1.FC Kaan-Marienborn,2018
