name,position,age,value,team,season
Tobias Sippel,GK,27,"1,00 Mio. €",1.FC Kaiserslautern,2014
Marius Müller,GK,21,400 Tsd. €,1.FC Kaiserslautern,2014
Julian Pollersbeck,GK,20,100 Tsd. €,1.FC Kaiserslautern,2014
Raphael Sallinger,GK,19,50 Tsd. €,1.FC Kaiserslautern,2014
Willi Orbán,CB,22,"1,80 Mio. €",1.FC Kaiserslautern,2014
Marc Torrejón,CB,29,"1,75 Mio. €",1.FC Kaiserslautern,2014
Dominique Heintz,CB,21,"1,50 Mio. €",1.FC Kaiserslautern,2014
Tim Heubach,CB,27,600 Tsd. €,1.FC Kaiserslautern,2014
Michael Schindele,CB,21,100 Tsd. €,1.FC Kaiserslautern,2014
Chris Löwe,LB,26,"1,50 Mio. €",1.FC Kaiserslautern,2014
Marcel Gaus,LB,25,600 Tsd. €,1.FC Kaiserslautern,2014
André Fomitschow,LB,24,300 Tsd. €,1.FC Kaiserslautern,2014
Jean Zimmer,RB,21,"1,20 Mio. €",1.FC Kaiserslautern,2014
Michael Schulze,RB,26,700 Tsd. €,1.FC Kaiserslautern,2014
Markus Karl,CDM,29,"1,00 Mio. €",1.FC Kaiserslautern,2014
Alexander Ring,CM,24,"1,50 Mio. €",1.FC Kaiserslautern,2014
Kerem Demirbay,CM,21,"1,00 Mio. €",1.FC Kaiserslautern,2014
Ruben Yttergård Jenssen,CM,27,"1,00 Mio. €",1.FC Kaiserslautern,2014
Mateusz Klich,CM,25,"1,00 Mio. €",1.FC Kaiserslautern,2014
Florian Riedel,RM,25,200 Tsd. €,1.FC Kaiserslautern,2014
Kevin Stöger,CAM,21,"1,00 Mio. €",1.FC Kaiserslautern,2014
Erik Thommy,CAM,20,300 Tsd. €,1.FC Kaiserslautern,2014
Amin Younes,LW,21,"1,00 Mio. €",1.FC Kaiserslautern,2014
Manfred Osei Kwadwo,LW,20,150 Tsd. €,1.FC Kaiserslautern,2014
Karim Matmour,RW,30,800 Tsd. €,1.FC Kaiserslautern,2014
Simon Zoller,ST,24,"2,00 Mio. €",1.FC Kaiserslautern,2014
Philipp Hofmann,ST,22,"1,00 Mio. €",1.FC Kaiserslautern,2014
Srdjan Lakic,ST,31,800 Tsd. €,1.FC Kaiserslautern,2014
Stefan Mugosa,ST,23,400 Tsd. €,1.FC Kaiserslautern,2014
Sebastian Jacob,ST,22,300 Tsd. €,1.FC Kaiserslautern,2014
Marius Müller,GK,22,"1,00 Mio. €",1.FC Kaiserslautern,2015
Zlatan Alomerovic,GK,25,350 Tsd. €,1.FC Kaiserslautern,2015
Julian Pollersbeck,GK,21,100 Tsd. €,1.FC Kaiserslautern,2015
Stipe Vucur,CB,24,800 Tsd. €,1.FC Kaiserslautern,2015
Tim Heubach,CB,28,650 Tsd. €,1.FC Kaiserslautern,2015
Patrick Ziegler,CB,26,650 Tsd. €,1.FC Kaiserslautern,2015
Sascha Mockenhaupt,CB,24,500 Tsd. €,1.FC Kaiserslautern,2015
Michael Schindele,CB,22,125 Tsd. €,1.FC Kaiserslautern,2015
Johannes Reichert,CB,24,100 Tsd. €,1.FC Kaiserslautern,2015
Chris Löwe,LB,27,"1,50 Mio. €",1.FC Kaiserslautern,2015
Marcel Gaus,LB,26,600 Tsd. €,1.FC Kaiserslautern,2015
André Fomitschow,LB,25,300 Tsd. €,1.FC Kaiserslautern,2015
Erik Wekesser,LB,18,100 Tsd. €,1.FC Kaiserslautern,2015
Jean Zimmer,RB,22,"2,00 Mio. €",1.FC Kaiserslautern,2015
Michael Schulze,RB,27,700 Tsd. €,1.FC Kaiserslautern,2015
Markus Karl,CDM,30,750 Tsd. €,1.FC Kaiserslautern,2015
Alexander Ring,CM,25,"1,00 Mio. €",1.FC Kaiserslautern,2015
Ruben Yttergård Jenssen,CM,28,"1,00 Mio. €",1.FC Kaiserslautern,2015
Mateusz Klich,CM,26,600 Tsd. €,1.FC Kaiserslautern,2015
Lukas Görtler,RM,22,350 Tsd. €,1.FC Kaiserslautern,2015
Daniel Halfar,CAM,28,"1,00 Mio. €",1.FC Kaiserslautern,2015
Marcus Piossek,CAM,26,500 Tsd. €,1.FC Kaiserslautern,2015
Robert Pich,CAM,27,350 Tsd. €,1.FC Kaiserslautern,2015
Erik Thommy,CAM,21,250 Tsd. €,1.FC Kaiserslautern,2015
Mario Pokar,CAM,26,150 Tsd. €,1.FC Kaiserslautern,2015
Manfred Osei Kwadwo,LW,21,250 Tsd. €,1.FC Kaiserslautern,2015
Tino Schmidt,LW,22,125 Tsd. €,1.FC Kaiserslautern,2015
Jón Dadi Bödvarsson,ST,24,800 Tsd. €,1.FC Kaiserslautern,2015
Kacper Przybylko,ST,23,800 Tsd. €,1.FC Kaiserslautern,2015
Stefan Mugosa,ST,24,500 Tsd. €,1.FC Kaiserslautern,2015
Antonio Colak,ST,22,500 Tsd. €,1.FC Kaiserslautern,2015
Maurice Deville,ST,23,400 Tsd. €,1.FC Kaiserslautern,2015
Sebastian Jacob,ST,23,250 Tsd. €,1.FC Kaiserslautern,2015
Julian Pollersbeck,GK,22,"2,50 Mio. €",1.FC Kaiserslautern,2016
André Weis,GK,27,450 Tsd. €,1.FC Kaiserslautern,2016
Jan-Ole Sievers,GK,22,100 Tsd. €,1.FC Kaiserslautern,2016
Lennart Grill,GK,18,100 Tsd. €,1.FC Kaiserslautern,2016
Ewerton,CB,28,"2,00 Mio. €",1.FC Kaiserslautern,2016
Robin Koch,CB,20,800 Tsd. €,1.FC Kaiserslautern,2016
Patrick Ziegler,CB,27,600 Tsd. €,1.FC Kaiserslautern,2016
Stipe Vucur,CB,25,600 Tsd. €,1.FC Kaiserslautern,2016
Naser Aliji,CB,23,550 Tsd. €,1.FC Kaiserslautern,2016
Tim Heubach,CB,29,500 Tsd. €,1.FC Kaiserslautern,2016
Phillipp Mwene,LB,23,850 Tsd. €,1.FC Kaiserslautern,2016
Marcel Gaus,LB,27,750 Tsd. €,1.FC Kaiserslautern,2016
Erik Wekesser,LB,19,100 Tsd. €,1.FC Kaiserslautern,2016
Mensur Mujdza,RB,33,250 Tsd. €,1.FC Kaiserslautern,2016
Marlon Frey,CDM,21,350 Tsd. €,1.FC Kaiserslautern,2016
Mateusz Klich,CM,27,"2,25 Mio. €",1.FC Kaiserslautern,2016
Christoph Moritz,CM,27,900 Tsd. €,1.FC Kaiserslautern,2016
Alexander Ring,CM,26,600 Tsd. €,1.FC Kaiserslautern,2016
Nils Seufert,CM,20,100 Tsd. €,1.FC Kaiserslautern,2016
