name,position,age,value,team,season
Timo Horn,GK,22,"5,00 Mio. €",1.FC Köln,2014
Thomas Kessler,GK,29,400 Tsd. €,1.FC Köln,2014
Daniel Mesenhöler,GK,19,150 Tsd. €,1.FC Köln,2014
Kevin Wimmer,CB,22,"6,00 Mio. €",1.FC Köln,2014
Tomas Kalas,CB,22,"3,50 Mio. €",1.FC Köln,2014
Kevin Vogt,CB,23,"3,50 Mio. €",1.FC Köln,2014
Mergim Mavraj,CB,29,"1,70 Mio. €",1.FC Köln,2014
Dominic Maroh,CB,28,"1,50 Mio. €",1.FC Köln,2014
Jonas Hector,LB,25,"3,50 Mio. €",1.FC Köln,2014
Dusan Svento,LB,29,"1,30 Mio. €",1.FC Köln,2014
Pawel Olkowski,RB,25,"3,00 Mio. €",1.FC Köln,2014
Miso Brecko,RB,31,"1,20 Mio. €",1.FC Köln,2014
Adam Matuszczyk,CDM,26,"1,00 Mio. €",1.FC Köln,2014
Matthias Lehmann,CDM,32,750 Tsd. €,1.FC Köln,2014
Yannick Gerhardt,CM,21,"3,50 Mio. €",1.FC Köln,2014
Kazuki Nagasawa,CM,23,600 Tsd. €,1.FC Köln,2014
Marcel Risse,RM,25,"2,00 Mio. €",1.FC Köln,2014
Daniel Halfar,CAM,27,"1,70 Mio. €",1.FC Köln,2014
Slawomir Peszko,LW,30,750 Tsd. €,1.FC Köln,2014
Lucas Cueto,LW,19,100 Tsd. €,1.FC Köln,2014
Anthony Ujah,ST,24,"3,00 Mio. €",1.FC Köln,2014
Simon Zoller,ST,24,"2,00 Mio. €",1.FC Köln,2014
Yuya Osako,ST,25,"1,60 Mio. €",1.FC Köln,2014
Patrick Helmes,ST,31,"1,00 Mio. €",1.FC Köln,2014
Deyverson,ST,24,"1,00 Mio. €",1.FC Köln,2014
Thomas Bröker,ST,30,500 Tsd. €,1.FC Köln,2014
Bård Finne,ST,20,500 Tsd. €,1.FC Köln,2014
Timo Horn,GK,23,"8,00 Mio. €",1.FC Köln,2015
Thomas Kessler,GK,30,400 Tsd. €,1.FC Köln,2015
Daniel Mesenhöler,GK,20,150 Tsd. €,1.FC Köln,2015
Dominique Heintz,CB,22,"4,00 Mio. €",1.FC Köln,2015
Kevin Vogt,CB,24,"4,00 Mio. €",1.FC Köln,2015
Frederik Sørensen,CB,24,"2,50 Mio. €",1.FC Köln,2015
Dominic Maroh,CB,29,"2,50 Mio. €",1.FC Köln,2015
Mergim Mavraj,CB,30,"1,75 Mio. €",1.FC Köln,2015
Lukas Klünter,CB,20,200 Tsd. €,1.FC Köln,2015
Jonas Hector,LB,26,"11,00 Mio. €",1.FC Köln,2015
Filip Mladenovic,LB,24,"2,00 Mio. €",1.FC Köln,2015
Dusan Svento,LB,30,750 Tsd. €,1.FC Köln,2015
Pawel Olkowski,RB,26,"2,75 Mio. €",1.FC Köln,2015
Matthias Lehmann,CDM,33,750 Tsd. €,1.FC Köln,2015
Yannick Gerhardt,CM,22,"4,50 Mio. €",1.FC Köln,2015
Leonardo Bittencourt,CM,22,"4,00 Mio. €",1.FC Köln,2015
Milos Jojic,CM,24,"2,00 Mio. €",1.FC Köln,2015
Kazuki Nagasawa,CM,24,775 Tsd. €,1.FC Köln,2015
Marcel Hartel,CM,20,150 Tsd. €,1.FC Köln,2015
Marcel Risse,RM,26,"3,50 Mio. €",1.FC Köln,2015
Anthony Modeste,ST,28,"6,00 Mio. €",1.FC Köln,2015
Simon Zoller,ST,25,"2,75 Mio. €",1.FC Köln,2015
Yuya Osako,ST,26,"2,25 Mio. €",1.FC Köln,2015
Philipp Hosiner,ST,27,"1,25 Mio. €",1.FC Köln,2015
Bård Finne,ST,21,700 Tsd. €,1.FC Köln,2015
Timo Horn,GK,24,"12,00 Mio. €",1.FC Köln,2016
Thomas Kessler,GK,31,500 Tsd. €,1.FC Köln,2016
Sven Müller,GK,21,300 Tsd. €,1.FC Köln,2016
Matthias Hamrol,GK,23,75 Tsd. €,1.FC Köln,2016
Sven Bacher,GK,28,25 Tsd. €,1.FC Köln,2016
Dominique Heintz,CB,23,"7,50 Mio. €",1.FC Köln,2016
Frederik Sørensen,CB,25,"7,50 Mio. €",1.FC Köln,2016
Neven Subotic,CB,28,"5,00 Mio. €",1.FC Köln,2016
Mergim Mavraj,CB,31,"2,00 Mio. €",1.FC Köln,2016
Dominic Maroh,CB,30,"2,00 Mio. €",1.FC Köln,2016
Lukas Klünter,CB,21,"1,50 Mio. €",1.FC Köln,2016
Birk Risa,CB,19,-,1.FC Köln,2016
Jonas Hector,LB,27,"20,00 Mio. €",1.FC Köln,2016
Konstantin Rausch,LB,27,"2,00 Mio. €",1.FC Köln,2016
Filip Mladenovic,LB,25,"1,20 Mio. €",1.FC Köln,2016
Pawel Olkowski,RB,27,"2,25 Mio. €",1.FC Köln,2016
Marco Höger,CDM,27,"4,00 Mio. €",1.FC Köln,2016
Salih Özcan,CDM,19,750 Tsd. €,1.FC Köln,2016
Matthias Lehmann,CDM,34,750 Tsd. €,1.FC Köln,2016
Leonardo Bittencourt,CM,23,"6,00 Mio. €",1.FC Köln,2016
Milos Jojic,CM,25,"2,50 Mio. €",1.FC Köln,2016
Marcel Hartel,CM,21,300 Tsd. €,1.FC Köln,2016
Hikmet Çiftçi,CM,19,-,1.FC Köln,2016
Marcel Risse,RM,27,"4,50 Mio. €",1.FC Köln,2016
Christian Clemens,RW,25,"2,50 Mio. €",1.FC Köln,2016
Anthony Modeste,ST,29,"20,00 Mio. €",1.FC Köln,2016
Yuya Osako,ST,27,"5,50 Mio. €",1.FC Köln,2016
Simon Zoller,ST,26,"2,50 Mio. €",1.FC Köln,2016
Artjoms Rudnevs,ST,29,"1,50 Mio. €",1.FC Köln,2016
Serhou Guirassy,ST,21,"1,50 Mio. €",1.FC Köln,2016
Timo Horn,GK,25,"7,00 Mio. €",1.FC Köln,2017
Thomas Kessler,GK,32,350 Tsd. €,1.FC Köln,2017
Sven Müller,GK,22,200 Tsd. €,1.FC Köln,2017
Brady Scott,GK,19,25 Tsd. €,1.FC Köln,2017
Dominique Heintz,CB,24,"7,50 Mio. €",1.FC Köln,2017
Jorge Meré,CB,21,"7,00 Mio. €",1.FC Köln,2017
Frederik Sørensen,CB,26,"4,50 Mio. €",1.FC Köln,2017
Jannes Horn,CB,21,"3,00 Mio. €",1.FC Köln,2017
Lukas Klünter,CB,22,"3,00 Mio. €",1.FC Köln,2017
Dominic Maroh,CB,31,"1,00 Mio. €",1.FC Köln,2017
João Queirós,CB,20,800 Tsd. €,1.FC Köln,2017
Yann Bisseck,CB,17,250 Tsd. €,1.FC Köln,2017
Birk Risa,CB,20,150 Tsd. €,1.FC Köln,2017
Filip Kusic,CB,22,150 Tsd. €,1.FC Köln,2017
Jonas Hector,LB,28,"15,00 Mio. €",1.FC Köln,2017
Konstantin Rausch,LB,28,"2,20 Mio. €",1.FC Köln,2017
Tim Handwerker,LB,20,500 Tsd. €,1.FC Köln,2017
Ismail Jakobs,LB,18,50 Tsd. €,1.FC Köln,2017
