name,position,age,value,team,season
Matthias Tischer,GK,29,175 Tsd. €,1.FC Magdeburg,2014
Jan Glinker,GK,31,150 Tsd. €,1.FC Magdeburg,2014
Lukas Cichos,GK,19,25 Tsd. €,1.FC Magdeburg,2014
Steffen Puttkammer,CB,26,175 Tsd. €,1.FC Magdeburg,2014
Silvio Bankert,CB,30,150 Tsd. €,1.FC Magdeburg,2014
Felix Schiller,CB,25,125 Tsd. €,1.FC Magdeburg,2014
Christopher Handke,CB,26,75 Tsd. €,1.FC Magdeburg,2014
Torge Bremer,LB,20,25 Tsd. €,1.FC Magdeburg,2014
Fabian Zittlau,LB,25,-,1.FC Magdeburg,2014
Nils Butzen,RB,22,25 Tsd. €,1.FC Magdeburg,2014
Tarek Chahed,RB,19,-,1.FC Magdeburg,2014
Nico Hammann,CDM,27,175 Tsd. €,1.FC Magdeburg,2014
Niklas Brandt,CDM,23,125 Tsd. €,1.FC Magdeburg,2014
René Lange,CDM,26,100 Tsd. €,1.FC Magdeburg,2014
Sven Reimann,CDM,21,100 Tsd. €,1.FC Magdeburg,2014
Marius Sowislo,CM,32,125 Tsd. €,1.FC Magdeburg,2014
Paul Fricke,CAM,19,-,1.FC Magdeburg,2014
Marcel Schlosser,LW,27,150 Tsd. €,1.FC Magdeburg,2014
Kevin Kruschke,LW,23,75 Tsd. €,1.FC Magdeburg,2014
Christoph Siefkes,RW,24,100 Tsd. €,1.FC Magdeburg,2014
Matthias Steinborn,RW,26,50 Tsd. €,1.FC Magdeburg,2014
Morris Schröter,RW,19,50 Tsd. €,1.FC Magdeburg,2014
Christian Beck,ST,27,200 Tsd. €,1.FC Magdeburg,2014
Lars Fuchs,ST,33,175 Tsd. €,1.FC Magdeburg,2014
Nicolas Hebisch,ST,25,75 Tsd. €,1.FC Magdeburg,2014
Jan Glinker,GK,32,175 Tsd. €,1.FC Magdeburg,2015
Matthias Tischer,GK,30,125 Tsd. €,1.FC Magdeburg,2015
Lukas Cichos,GK,20,50 Tsd. €,1.FC Magdeburg,2015
André Hainault,CB,30,375 Tsd. €,1.FC Magdeburg,2015
Jan Löhmannsröben,CB,25,225 Tsd. €,1.FC Magdeburg,2015
Steffen Puttkammer,CB,27,225 Tsd. €,1.FC Magdeburg,2015
Christopher Handke,CB,27,200 Tsd. €,1.FC Magdeburg,2015
Felix Schiller,CB,26,200 Tsd. €,1.FC Magdeburg,2015
Silvio Bankert,CB,31,175 Tsd. €,1.FC Magdeburg,2015
Ryan Malone,CB,23,100 Tsd. €,1.FC Magdeburg,2015
Michel Niemeyer,LB,20,200 Tsd. €,1.FC Magdeburg,2015
Nils Butzen,RB,23,300 Tsd. €,1.FC Magdeburg,2015
