name,position,age,value,team,season
Patrick Rakovsky,GK,22,"1,00 Mio. €",1.FC Nürnberg,2014
Raphael Schäfer,GK,36,400 Tsd. €,1.FC Nürnberg,2014
Samuel Sahin-Radlinger,GK,22,200 Tsd. €,1.FC Nürnberg,2014
Benjamin Uphoff,GK,21,100 Tsd. €,1.FC Nürnberg,2014
Alexander Stephan,GK,28,-,1.FC Nürnberg,2014
Niklas Stark,CB,20,"2,00 Mio. €",1.FC Nürnberg,2014
Even Hovland,CB,26,"1,10 Mio. €",1.FC Nürnberg,2014
Ondrej Celustka,CB,26,"1,00 Mio. €",1.FC Nürnberg,2014
Martin Angha,CB,21,700 Tsd. €,1.FC Nürnberg,2014
Dave Bulthuis,CB,25,700 Tsd. €,1.FC Nürnberg,2014
Manuel Bihr,CB,21,350 Tsd. €,1.FC Nürnberg,2014
Özgür Özdemir,CB,20,150 Tsd. €,1.FC Nürnberg,2014
Javier Pinola,LB,32,800 Tsd. €,1.FC Nürnberg,2014
Cristian Ramírez,LB,20,700 Tsd. €,1.FC Nürnberg,2014
Tobias Pachonik,RB,20,350 Tsd. €,1.FC Nürnberg,2014
Ondrej Petrak,CDM,23,"1,25 Mio. €",1.FC Nürnberg,2014
Jürgen Mössmer,CDM,26,900 Tsd. €,1.FC Nürnberg,2014
Jan Polák,CDM,34,700 Tsd. €,1.FC Nürnberg,2014
Willi Evseev,CDM,23,250 Tsd. €,1.FC Nürnberg,2014
Alessandro Schöpf,CM,21,"1,00 Mio. €",1.FC Nürnberg,2014
Robert Koch,CM,29,500 Tsd. €,1.FC Nürnberg,2014
Maximilian Dittgen,LM,20,250 Tsd. €,1.FC Nürnberg,2014
Sebastian Kerk,CAM,21,"1,00 Mio. €",1.FC Nürnberg,2014
Timo Gebhart,CAM,26,500 Tsd. €,1.FC Nürnberg,2014
Mike Ott,CAM,20,150 Tsd. €,1.FC Nürnberg,2014
Ivan Knezevic,CAM,21,100 Tsd. €,1.FC Nürnberg,2014
