name,position,age,value,team,season
Jürgen Rittenauer,GK,29,-,1.FC Rielasingen-Arlen,2014
Jim-Aaron Amann,GK,17,-,1.FC Rielasingen-Arlen,2014
Sascha Jörs,GK,32,-,1.FC Rielasingen-Arlen,2014
Arkadius Richard Patyk,GK,34,-,1.FC Rielasingen-Arlen,2014
Michael Büche,CB,34,-,1.FC Rielasingen-Arlen,2014
Marco Wellhäuser,CB,19,-,1.FC Rielasingen-Arlen,2014
Frederik Lehn,CB,21,-,1.FC Rielasingen-Arlen,2014
Philip Dietrich,CB,18,-,1.FC Rielasingen-Arlen,2014
Benjamin Winterhalder,CB,30,-,1.FC Rielasingen-Arlen,2014
Yanik Becker,CB,18,-,1.FC Rielasingen-Arlen,2014
Denis Lang,CB,30,-,1.FC Rielasingen-Arlen,2014
Björn Unden,CB,27,-,1.FC Rielasingen-Arlen,2014
Robin Kasprick,CB,25,-,1.FC Rielasingen-Arlen,2014
Marco Armbruster,CB,22,-,1.FC Rielasingen-Arlen,2014
Daniel Wölfle,CB,29,-,1.FC Rielasingen-Arlen,2014
Tobias Kratt,LB,27,-,1.FC Rielasingen-Arlen,2014
Timo Werne,RB,25,-,1.FC Rielasingen-Arlen,2014
Alexander Schneider,Midfielder,19,-,1.FC Rielasingen-Arlen,2014
Tobias Bertsch,CDM,22,-,1.FC Rielasingen-Arlen,2014
Patrick Leschinski,CDM,29,-,1.FC Rielasingen-Arlen,2014
André Kohli,CDM,22,-,1.FC Rielasingen-Arlen,2014
Blerim Ismajli,Midfielder,20,-,1.FC Rielasingen-Arlen,2014
Abbas Karaki,CDM,22,-,1.FC Rielasingen-Arlen,2014
Lukas Uhler,Midfielder,19,-,1.FC Rielasingen-Arlen,2014
Alessandro Pofelski,Midfielder,22,-,1.FC Rielasingen-Arlen,2014
Sebastian Lehn,RM,23,-,1.FC Rielasingen-Arlen,2014
Frank Stark,RW,21,-,1.FC Rielasingen-Arlen,2014
Andreas Keller,ST,32,-,1.FC Rielasingen-Arlen,2014
Alen Lekavski,ST,26,-,1.FC Rielasingen-Arlen,2014
Alexander Stricker,ST,27,-,1.FC Rielasingen-Arlen,2014
Timo Traber,ST,24,-,1.FC Rielasingen-Arlen,2014
Tobias Weppelmann,ST,24,-,1.FC Rielasingen-Arlen,2014
Esad Plavci,ST,23,-,1.FC Rielasingen-Arlen,2014
Dennis Klose,GK,21,25 Tsd. €,1.FC Rielasingen-Arlen,2015
Jürgen Rittenauer,GK,30,-,1.FC Rielasingen-Arlen,2015
Daniel Labuj,GK,41,-,1.FC Rielasingen-Arlen,2015
Tobias Böhm,GK,33,-,1.FC Rielasingen-Arlen,2015
Arkadius Richard Patyk,GK,35,-,1.FC Rielasingen-Arlen,2015
Jim-Aaron Amann,GK,18,-,1.FC Rielasingen-Arlen,2015
Michael Haag,CB,20,-,1.FC Rielasingen-Arlen,2015
Yanik Becker,CB,19,-,1.FC Rielasingen-Arlen,2015
Philip Dietrich,CB,19,-,1.FC Rielasingen-Arlen,2015
Michael Büche,CB,35,-,1.FC Rielasingen-Arlen,2015
Pascal Rasmus,CB,21,-,1.FC Rielasingen-Arlen,2015
Benjamin Winterhalder,CB,31,-,1.FC Rielasingen-Arlen,2015
Denis Lang,CB,31,-,1.FC Rielasingen-Arlen,2015
Christoph Matt,CB,20,-,1.FC Rielasingen-Arlen,2015
Björn Unden,CB,28,-,1.FC Rielasingen-Arlen,2015
Christian Jeske,CB,29,-,1.FC Rielasingen-Arlen,2015
Philipp Altmann,CB,20,-,1.FC Rielasingen-Arlen,2015
Moritz Strauß,LB,20,-,1.FC Rielasingen-Arlen,2015
Tobias Kratt,LB,28,-,1.FC Rielasingen-Arlen,2015
Timo Werne,RB,26,-,1.FC Rielasingen-Arlen,2015
Tobias Bertsch,CDM,23,-,1.FC Rielasingen-Arlen,2015
Patrick Leschinski,CDM,30,-,1.FC Rielasingen-Arlen,2015
Maximilian Jeckl,Midfielder,24,-,1.FC Rielasingen-Arlen,2015
René Greuter,RM,26,-,1.FC Rielasingen-Arlen,2015
Sebastian Lehn,RM,24,-,1.FC Rielasingen-Arlen,2015
Marc Kuczkowski,LW,28,-,1.FC Rielasingen-Arlen,2015
Frank Stark,RW,22,-,1.FC Rielasingen-Arlen,2015
Sebastian Stark,ST,25,-,1.FC Rielasingen-Arlen,2015
Alen Lekavski,ST,27,-,1.FC Rielasingen-Arlen,2015
Andreas Keller,ST,33,-,1.FC Rielasingen-Arlen,2015
Alexander Stricker,ST,28,-,1.FC Rielasingen-Arlen,2015
Robin Niedhardt,ST,25,-,1.FC Rielasingen-Arlen,2015
Dennis Klose,GK,22,-,1.FC Rielasingen-Arlen,2016
Daniel Labuj,GK,42,-,1.FC Rielasingen-Arlen,2016
Dominik Renner,GK,28,-,1.FC Rielasingen-Arlen,2016
Patrick Blum,GK,19,-,1.FC Rielasingen-Arlen,2016
Arkadius Richard Patyk,GK,36,-,1.FC Rielasingen-Arlen,2016
Jim-Aaron Amann,GK,19,-,1.FC Rielasingen-Arlen,2016
Yanik Becker,CB,20,-,1.FC Rielasingen-Arlen,2016
Brian Helmlinger,CB,19,-,1.FC Rielasingen-Arlen,2016
Stanislas-Jiresse Tsimba-Tsassa,CB,25,-,1.FC Rielasingen-Arlen,2016
Franklin Diomed Ymele,CB,20,-,1.FC Rielasingen-Arlen,2016
Philip Dietrich,CB,20,-,1.FC Rielasingen-Arlen,2016
Pascal Rasmus,CB,22,-,1.FC Rielasingen-Arlen,2016
Benjamin Winterhalder,CB,32,-,1.FC Rielasingen-Arlen,2016
Denis Lang,CB,32,-,1.FC Rielasingen-Arlen,2016
Christoph Matt,CB,21,-,1.FC Rielasingen-Arlen,2016
Björn Unden,CB,29,-,1.FC Rielasingen-Arlen,2016
Christian Jeske,CB,30,-,1.FC Rielasingen-Arlen,2016
Kevin Kling,CB,17,-,1.FC Rielasingen-Arlen,2016
Danny Berger,CB,19,-,1.FC Rielasingen-Arlen,2016
Moritz Strauß,LB,21,-,1.FC Rielasingen-Arlen,2016
Tobias Bertsch,CDM,24,-,1.FC Rielasingen-Arlen,2016
Patrick Leschinski,CDM,31,-,1.FC Rielasingen-Arlen,2016
Nelson Jeckl,Midfielder,23,-,1.FC Rielasingen-Arlen,2016
David Gräble,Midfielder,21,-,1.FC Rielasingen-Arlen,2016
Mahmud Mohammed,Midfielder,21,-,1.FC Rielasingen-Arlen,2016
Dominik Wichtrey,Midfielder,19,-,1.FC Rielasingen-Arlen,2016
Lukas Uhler,Midfielder,21,-,1.FC Rielasingen-Arlen,2016
René Greuter,RM,27,-,1.FC Rielasingen-Arlen,2016
Adrian Martic,LW,23,-,1.FC Rielasingen-Arlen,2016
Frank Stark,RW,23,-,1.FC Rielasingen-Arlen,2016
Nathaniel Hailemariam,ST,23,175 Tsd. €,1.FC Rielasingen-Arlen,2016
Sebastian Stark,ST,26,-,1.FC Rielasingen-Arlen,2016
Alen Lekavski,ST,28,-,1.FC Rielasingen-Arlen,2016
Andreas Keller,ST,34,-,1.FC Rielasingen-Arlen,2016
Nazif Hajdarovic,ST,32,-,1.FC Rielasingen-Arlen,2016
Tobias Mössinger,ST,-,-,1.FC Rielasingen-Arlen,2016
Robin Niedhardt,ST,26,-,1.FC Rielasingen-Arlen,2016
Dennis Klose,GK,23,-,1.FC Rielasingen-Arlen,2017
Florian Sieler,GK,19,-,1.FC Rielasingen-Arlen,2017
Arkadius Richard Patyk,GK,37,-,1.FC Rielasingen-Arlen,2017
Sven Schorpp,CB,19,-,1.FC Rielasingen-Arlen,2017
David Heisrath,CB,18,-,1.FC Rielasingen-Arlen,2017
Philip Dietrich,CB,21,-,1.FC Rielasingen-Arlen,2017
Pascal Rasmus,CB,23,-,1.FC Rielasingen-Arlen,2017
Benjamin Winterhalder,CB,33,-,1.FC Rielasingen-Arlen,2017
Christoph Matt,CB,22,-,1.FC Rielasingen-Arlen,2017
Philip Müller,CB,19,-,1.FC Rielasingen-Arlen,2017
Kevin Kling,CB,18,-,1.FC Rielasingen-Arlen,2017
Dominik Almeida,CB,24,-,1.FC Rielasingen-Arlen,2017
Danny Berger,CB,20,-,1.FC Rielasingen-Arlen,2017
Moritz Strauß,LB,22,-,1.FC Rielasingen-Arlen,2017
Tobias Bertsch,CDM,25,-,1.FC Rielasingen-Arlen,2017
Patrick Leschinski,CDM,32,-,1.FC Rielasingen-Arlen,2017
Gian-Luca Wellhäuser,CDM,20,-,1.FC Rielasingen-Arlen,2017
Sebastian Sauter,Midfielder,21,-,1.FC Rielasingen-Arlen,2017
Veysel Kayantas,Midfielder,24,-,1.FC Rielasingen-Arlen,2017
Johannes Niederberger,Midfielder,20,-,1.FC Rielasingen-Arlen,2017
Timo Sigmund,Midfielder,22,-,1.FC Rielasingen-Arlen,2017
Marvin Ettwein,Midfielder,18,-,1.FC Rielasingen-Arlen,2017
Fabian Möhrle,CM,20,-,1.FC Rielasingen-Arlen,2017
René Greuter,RM,28,-,1.FC Rielasingen-Arlen,2017
Frank Stark,RW,24,-,1.FC Rielasingen-Arlen,2017
Nazif Hajdarovic,ST,33,-,1.FC Rielasingen-Arlen,2017
Sebastian Stark,ST,27,-,1.FC Rielasingen-Arlen,2017
Alen Lekavski,ST,29,-,1.FC Rielasingen-Arlen,2017
Marcel Bohnenstengel,ST,-,-,1.FC Rielasingen-Arlen,2017
Robin Niedhardt,ST,27,-,1.FC Rielasingen-Arlen,2017
Marco Mendes,ST,20,-,1.FC Rielasingen-Arlen,2017
Christian Heller,ST,-,-,1.FC Rielasingen-Arlen,2017
Dennis Klose,GK,24,-,1.FC Rielasingen-Arlen,2018
Asmir Mehmeti,GK,18,-,1.FC Rielasingen-Arlen,2018
Arkadius Richard Patyk,GK,38,-,1.FC Rielasingen-Arlen,2018
David Heisrath,CB,19,-,1.FC Rielasingen-Arlen,2018
Philip Dietrich,CB,22,-,1.FC Rielasingen-Arlen,2018
Pascal Rasmus,CB,24,-,1.FC Rielasingen-Arlen,2018
Benjamin Winterhalder,CB,34,-,1.FC Rielasingen-Arlen,2018
Christoph Matt,CB,23,-,1.FC Rielasingen-Arlen,2018
Dominik Almeida,CB,25,-,1.FC Rielasingen-Arlen,2018
Danny Berger,CB,21,-,1.FC Rielasingen-Arlen,2018
Feriz Sadiku,CDM,18,-,1.FC Rielasingen-Arlen,2018
Tobias Bertsch,CDM,26,-,1.FC Rielasingen-Arlen,2018
Patrick Leschinski,CDM,33,-,1.FC Rielasingen-Arlen,2018
Gian-Luca Wellhäuser,CDM,21,-,1.FC Rielasingen-Arlen,2018
Lars Herrmann,CDM,19,-,1.FC Rielasingen-Arlen,2018
Marvin Ettwein,Midfielder,19,-,1.FC Rielasingen-Arlen,2018
Denis Hoxha,CDM,21,-,1.FC Rielasingen-Arlen,2018
René Greuter,RM,29,-,1.FC Rielasingen-Arlen,2018
Nedzad Plavci,CAM,30,-,1.FC Rielasingen-Arlen,2018
Thomas Kunz,CAM,21,-,1.FC Rielasingen-Arlen,2018
Marko Lekic,CAM,22,-,1.FC Rielasingen-Arlen,2018
Sven Körner,CAM,28,-,1.FC Rielasingen-Arlen,2018
Christian Mauersberger,LW,24,-,1.FC Rielasingen-Arlen,2018
Habil Jonuzi,ST,28,-,1.FC Rielasingen-Arlen,2018
Sebastian Stark,ST,28,-,1.FC Rielasingen-Arlen,2018
Alessandro Fiore Tapia,ST,22,-,1.FC Rielasingen-Arlen,2018
Silvio Battaglia,ST,30,-,1.FC Rielasingen-Arlen,2018
Nico Kunze,ST,20,-,1.FC Rielasingen-Arlen,2018
Marco Mendes,ST,21,-,1.FC Rielasingen-Arlen,2018
Dennis Klose,GK,25,-,1.FC Rielasingen-Arlen,2019
Christian Mendes,GK,47,-,1.FC Rielasingen-Arlen,2019
Asmir Mehmeti,GK,19,-,1.FC Rielasingen-Arlen,2019
Tim Stelzl,GK,18,-,1.FC Rielasingen-Arlen,2019
Arkadius Richard Patyk,GK,39,-,1.FC Rielasingen-Arlen,2019
Süleyman Karacan,CB,24,-,1.FC Rielasingen-Arlen,2019
Pascal Rasmus,CB,25,-,1.FC Rielasingen-Arlen,2019
Benjamin Winterhalder,CB,35,-,1.FC Rielasingen-Arlen,2019
Christoph Matt,CB,24,-,1.FC Rielasingen-Arlen,2019
Noah Löble,CB,20,-,1.FC Rielasingen-Arlen,2019
Louis Spindler,CB,20,-,1.FC Rielasingen-Arlen,2019
Dominik Almeida,CB,26,-,1.FC Rielasingen-Arlen,2019
Daniel Niedermann,CB,27,-,1.FC Rielasingen-Arlen,2019
Daniel Wölfle,CB,34,-,1.FC Rielasingen-Arlen,2019
Danny Berger,CB,22,-,1.FC Rielasingen-Arlen,2019
Frederick Bruno,CB,25,-,1.FC Rielasingen-Arlen,2019
Antonio Ruberto,CDM,20,-,1.FC Rielasingen-Arlen,2019
Feriz Sadiku,CDM,19,-,1.FC Rielasingen-Arlen,2019
Tobias Bertsch,CDM,27,-,1.FC Rielasingen-Arlen,2019
Gian-Luca Wellhäuser,CDM,22,-,1.FC Rielasingen-Arlen,2019
Daniel Wehrle,CDM,26,-,1.FC Rielasingen-Arlen,2019
John Schmidtke,Midfielder,19,-,1.FC Rielasingen-Arlen,2019
Gianluca Serpa,CM,24,-,1.FC Rielasingen-Arlen,2019
Nicola Guglielmelli,CM,22,-,1.FC Rielasingen-Arlen,2019
Julian Hodek,CM,22,-,1.FC Rielasingen-Arlen,2019
Ivo Colic,CM,21,-,1.FC Rielasingen-Arlen,2019
Nedzad Plavci,CAM,31,-,1.FC Rielasingen-Arlen,2019
Thomas Kunz,CAM,22,-,1.FC Rielasingen-Arlen,2019
Sven Körner,CAM,29,-,1.FC Rielasingen-Arlen,2019
Christian Mauersberger,LW,25,-,1.FC Rielasingen-Arlen,2019
Ryotaro Tomizawa,LW,21,-,1.FC Rielasingen-Arlen,2019
Martin Kunz,ST,19,-,1.FC Rielasingen-Arlen,2019
Sebastian Stark,ST,29,-,1.FC Rielasingen-Arlen,2019
Silvio Battaglia,ST,31,-,1.FC Rielasingen-Arlen,2019
Maximilian Bienger,ST,26,-,1.FC Rielasingen-Arlen,2019
Nico Kunze,ST,21,-,1.FC Rielasingen-Arlen,2019
Luka Budic,ST,19,-,1.FC Rielasingen-Arlen,2019
Dennis Klose,GK,26,-,1.FC Rielasingen-Arlen,2020
Joshua Wildenmann,GK,-,-,1.FC Rielasingen-Arlen,2020
Sebastian Kunz,GK,29,-,1.FC Rielasingen-Arlen,2020
Tim Stelzl,GK,19,-,1.FC Rielasingen-Arlen,2020
Pascal Rasmus,CB,26,-,1.FC Rielasingen-Arlen,2020
Christoph Matt,CB,25,-,1.FC Rielasingen-Arlen,2020
Frederick Bruno,CB,26,-,1.FC Rielasingen-Arlen,2020
Louis Spindler,CB,21,-,1.FC Rielasingen-Arlen,2020
Dominik Almeida,CB,27,-,1.FC Rielasingen-Arlen,2020
Daniel Niedermann,CB,28,-,1.FC Rielasingen-Arlen,2020
Danny Berger,CB,23,-,1.FC Rielasingen-Arlen,2020
Tobias Bertsch,CDM,28,-,1.FC Rielasingen-Arlen,2020
Gian-Luca Wellhäuser,CDM,23,-,1.FC Rielasingen-Arlen,2020
Wassim Rahoui,Midfielder,26,-,1.FC Rielasingen-Arlen,2020
John Schmidtke,Midfielder,20,-,1.FC Rielasingen-Arlen,2020
Daniel Wehrle,CDM,27,-,1.FC Rielasingen-Arlen,2020
Gianluca Serpa,CM,25,-,1.FC Rielasingen-Arlen,2020
Nicola Guglielmelli,CM,23,-,1.FC Rielasingen-Arlen,2020
Ivo Colic,CM,22,-,1.FC Rielasingen-Arlen,2020
Thomas Kunz,CAM,23,-,1.FC Rielasingen-Arlen,2020
Ryotaro Tomizawa,LW,22,-,1.FC Rielasingen-Arlen,2020
Leon Sattler,ST,18,-,1.FC Rielasingen-Arlen,2020
Stephan Ohnmacht,ST,26,-,1.FC Rielasingen-Arlen,2020
