name,position,age,value,team,season
David Hohs,GK,27,250 Tsd. €,1.FC Saarbrücken,2014
David Salfeld,GK,24,50 Tsd. €,1.FC Saarbrücken,2014
Julian Wamsbach,GK,18,25 Tsd. €,1.FC Saarbrücken,2014
Peter Chrappan,CB,30,200 Tsd. €,1.FC Saarbrücken,2014
Alexander Hahn,CB,22,100 Tsd. €,1.FC Saarbrücken,2014
Daniel Döringer,CB,24,75 Tsd. €,1.FC Saarbrücken,2014
Steffen Schäfer,CB,21,50 Tsd. €,1.FC Saarbrücken,2014
Mounir Chaftar,LB,29,150 Tsd. €,1.FC Saarbrücken,2014
Hassan Amin,LB,23,100 Tsd. €,1.FC Saarbrücken,2014
Alexandre Mendy,RB,31,450 Tsd. €,1.FC Saarbrücken,2014
Marius Willsch,RB,24,150 Tsd. €,1.FC Saarbrücken,2014
Marco Meyerhöfer,RB,19,25 Tsd. €,1.FC Saarbrücken,2014
Timo Kunert,CDM,28,125 Tsd. €,1.FC Saarbrücken,2014
Christian Sauter,CDM,27,100 Tsd. €,1.FC Saarbrücken,2014
Jordan Steiner,CDM,19,-,1.FC Saarbrücken,2014
Jan Fießer,CM,28,200 Tsd. €,1.FC Saarbrücken,2014
Lukas Kiefer,CM,22,175 Tsd. €,1.FC Saarbrücken,2014
André Mandt,CM,21,100 Tsd. €,1.FC Saarbrücken,2014
Patrick Zoundi,RM,32,200 Tsd. €,1.FC Saarbrücken,2014
Dominik Rohracker,RM,26,200 Tsd. €,1.FC Saarbrücken,2014
Giovanni Runco,LM,19,-,1.FC Saarbrücken,2014
Sven Sökler,CAM,30,400 Tsd. €,1.FC Saarbrücken,2014
Maximilian Rupp,CAM,20,50 Tsd. €,1.FC Saarbrücken,2014
Aleksandar Pranjes,RW,24,25 Tsd. €,1.FC Saarbrücken,2014
Matthew Taylor,ST,33,200 Tsd. €,1.FC Saarbrücken,2014
Felix Luz,ST,33,200 Tsd. €,1.FC Saarbrücken,2014
Dennis Wegner,ST,24,125 Tsd. €,1.FC Saarbrücken,2014
Patrick Schmidt,ST,21,75 Tsd. €,1.FC Saarbrücken,2014
Rufat Dadashov,ST,23,75 Tsd. €,1.FC Saarbrücken,2014
Dominic Altmeier,ST,26,-,1.FC Saarbrücken,2014
David Hohs,GK,28,175 Tsd. €,1.FC Saarbrücken,2015
David Salfeld,GK,25,50 Tsd. €,1.FC Saarbrücken,2015
Moritz Krämer,GK,17,-,1.FC Saarbrücken,2015
Patrik Herbrand,GK,18,-,1.FC Saarbrücken,2015
Filip Luksik,CB,31,200 Tsd. €,1.FC Saarbrücken,2015
Alexander Hahn,CB,23,150 Tsd. €,1.FC Saarbrücken,2015
Peter Chrappan,CB,31,125 Tsd. €,1.FC Saarbrücken,2015
Daniel Döringer,CB,25,100 Tsd. €,1.FC Saarbrücken,2015
Steffen Schäfer,CB,22,100 Tsd. €,1.FC Saarbrücken,2015
Ivan Sachanenko,CB,18,50 Tsd. €,1.FC Saarbrücken,2015
Mounir Chaftar,LB,30,100 Tsd. €,1.FC Saarbrücken,2015
Hassan Amin,LB,24,50 Tsd. €,1.FC Saarbrücken,2015
Alexandre Mendy,RB,32,150 Tsd. €,1.FC Saarbrücken,2015
Marius Willsch,RB,25,100 Tsd. €,1.FC Saarbrücken,2015
Marco Meyerhöfer,RB,20,75 Tsd. €,1.FC Saarbrücken,2015
Christian Sauter,CDM,28,75 Tsd. €,1.FC Saarbrücken,2015
David Puclin,CDM,24,75 Tsd. €,1.FC Saarbrücken,2015
Jordan Steiner,CDM,20,50 Tsd. €,1.FC Saarbrücken,2015
Jan Fießer,CM,29,150 Tsd. €,1.FC Saarbrücken,2015
Lukas Kiefer,CM,23,75 Tsd. €,1.FC Saarbrücken,2015
André Mandt,CM,22,75 Tsd. €,1.FC Saarbrücken,2015
Eduard Löwen,CM,19,-,1.FC Saarbrücken,2015
Dominik Rohracker,RM,27,75 Tsd. €,1.FC Saarbrücken,2015
Patrick Zoundi,RM,33,-,1.FC Saarbrücken,2015
Sven Sökler,CAM,31,150 Tsd. €,1.FC Saarbrücken,2015
Maximilian Rupp,CAM,21,-,1.FC Saarbrücken,2015
Jens Meyer,Second Striker,19,50 Tsd. €,1.FC Saarbrücken,2015
Matthew Taylor,ST,34,150 Tsd. €,1.FC Saarbrücken,2015
Solomon Okoronkwo,ST,29,150 Tsd. €,1.FC Saarbrücken,2015
Dennis Wegner,ST,25,75 Tsd. €,1.FC Saarbrücken,2015
Kevin Behrens,ST,25,75 Tsd. €,1.FC Saarbrücken,2015
Felix Luz,ST,34,-,1.FC Saarbrücken,2015
David Salfeld,GK,26,100 Tsd. €,1.FC Saarbrücken,2016
Ricco Cymer,GK,21,50 Tsd. €,1.FC Saarbrücken,2016
Patrik Herbrand,GK,19,25 Tsd. €,1.FC Saarbrücken,2016
Dominic Rau,CB,26,175 Tsd. €,1.FC Saarbrücken,2016
Steven Zellner,CB,26,150 Tsd. €,1.FC Saarbrücken,2016
Peter Chrappan,CB,32,125 Tsd. €,1.FC Saarbrücken,2016
