name,position,age,value,team,season
Christopher Pfeiffer,GK,24,50 Tsd. €,1.FC Schweinfurt 05,2014
Christoph Saballus,GK,21,25 Tsd. €,1.FC Schweinfurt 05,2014
Felix Reusch,GK,20,25 Tsd. €,1.FC Schweinfurt 05,2014
Marco Janz,CB,22,75 Tsd. €,1.FC Schweinfurt 05,2014
Johannes Bechmann,CB,28,50 Tsd. €,1.FC Schweinfurt 05,2014
Andreas Bauer,CB,24,25 Tsd. €,1.FC Schweinfurt 05,2014
Manuel Müller,CB,23,25 Tsd. €,1.FC Schweinfurt 05,2014
Bastian Lunz,LB,30,75 Tsd. €,1.FC Schweinfurt 05,2014
Philipp Mandelkow,RB,21,-,1.FC Schweinfurt 05,2014
Michael Krämer,CDM,29,75 Tsd. €,1.FC Schweinfurt 05,2014
Michael Kraus,CDM,26,50 Tsd. €,1.FC Schweinfurt 05,2014
Joseph Mensah,CDM,30,-,1.FC Schweinfurt 05,2014
Kevin Fery,CM,21,50 Tsd. €,1.FC Schweinfurt 05,2014
Adrian Dußler,CM,20,50 Tsd. €,1.FC Schweinfurt 05,2014
Dominik Schmitt,CM,19,-,1.FC Schweinfurt 05,2014
Daniel Mache,RM,30,75 Tsd. €,1.FC Schweinfurt 05,2014
Simon Häcker,RM,26,50 Tsd. €,1.FC Schweinfurt 05,2014
Philipp Kleinhenz,RM,23,25 Tsd. €,1.FC Schweinfurt 05,2014
Max Hillenbrand,RM,19,-,1.FC Schweinfurt 05,2014
Steffen Krautschneider,LM,23,75 Tsd. €,1.FC Schweinfurt 05,2014
Martin Thomann,LW,21,-,1.FC Schweinfurt 05,2014
Pablo Pigl,Second Striker,23,100 Tsd. €,1.FC Schweinfurt 05,2014
Maksim Schebak,Second Striker,20,-,1.FC Schweinfurt 05,2014
Tom Jäckel,ST,27,100 Tsd. €,1.FC Schweinfurt 05,2014
Marino Müller,ST,22,75 Tsd. €,1.FC Schweinfurt 05,2014
Ali Yetkin,ST,28,25 Tsd. €,1.FC Schweinfurt 05,2014
Shaban Rugovaj,ST,19,-,1.FC Schweinfurt 05,2014
Christopher Pfeiffer,GK,25,75 Tsd. €,1.FC Schweinfurt 05,2015
Dominic Dachs,GK,21,25 Tsd. €,1.FC Schweinfurt 05,2015
Christoph Saballus,GK,22,25 Tsd. €,1.FC Schweinfurt 05,2015
Julian Schneider,GK,22,25 Tsd. €,1.FC Schweinfurt 05,2015
Julian Glos,GK,20,-,1.FC Schweinfurt 05,2015
Nicolas Riegler,GK,18,-,1.FC Schweinfurt 05,2015
Marco Janz,CB,23,75 Tsd. €,1.FC Schweinfurt 05,2015
Johannes Bechmann,CB,29,75 Tsd. €,1.FC Schweinfurt 05,2015
