name,position,age,value,team,season
Frederic Löhe,GK,26,200 Tsd. €,Alemannia Aachen,2014
Jonas Ermes,GK,23,50 Tsd. €,Alemannia Aachen,2014
Kengo Fukudome,GK,28,25 Tsd. €,Alemannia Aachen,2014
Tim Stienemann,GK,19,25 Tsd. €,Alemannia Aachen,2014
Marcus Hoffmann,CB,27,200 Tsd. €,Alemannia Aachen,2014
Peter Hackenberg,CB,26,150 Tsd. €,Alemannia Aachen,2014
Kris Thackray,CB,27,75 Tsd. €,Alemannia Aachen,2014
Jannik Stevens,LB,22,75 Tsd. €,Alemannia Aachen,2014
Dominik Ernst,RB,24,200 Tsd. €,Alemannia Aachen,2014
Niko Opper,RB,23,50 Tsd. €,Alemannia Aachen,2014
Michael Lejan,CDM,32,125 Tsd. €,Alemannia Aachen,2014
Aïmen Demai,CDM,32,100 Tsd. €,Alemannia Aachen,2014
Bastian Müller,CDM,23,100 Tsd. €,Alemannia Aachen,2014
Tim Lünenbach,CDM,22,75 Tsd. €,Alemannia Aachen,2014
Marvin Brauweiler,CDM,23,25 Tsd. €,Alemannia Aachen,2014
Tim Jerat,CM,33,150 Tsd. €,Alemannia Aachen,2014
Florian Abel,CM,25,50 Tsd. €,Alemannia Aachen,2014
Sebastian Wirtz,RM,22,25 Tsd. €,Alemannia Aachen,2014
Rafael García,LM,21,100 Tsd. €,Alemannia Aachen,2014
Tobias Mohr,LM,19,50 Tsd. €,Alemannia Aachen,2014
Fabian Graudenz,CAM,23,175 Tsd. €,Alemannia Aachen,2014
Dennis Dowidat,CAM,25,150 Tsd. €,Alemannia Aachen,2014
Domagoj Duspara,CAM,27,75 Tsd. €,Alemannia Aachen,2014
Roberto Guirino,CAM,23,50 Tsd. €,Alemannia Aachen,2014
Taku Ito,LW,21,50 Tsd. €,Alemannia Aachen,2014
Maciej Zieba,RW,28,100 Tsd. €,Alemannia Aachen,2014
Kevin Behrens,ST,24,150 Tsd. €,Alemannia Aachen,2014
Viktor Maier,ST,25,125 Tsd. €,Alemannia Aachen,2014
Abedin Krasniqi,ST,29,75 Tsd. €,Alemannia Aachen,2014
Sahin Dagistan,ST,27,75 Tsd. €,Alemannia Aachen,2014
Frederic Löhe,GK,27,150 Tsd. €,Alemannia Aachen,2015
Pierre Kleinheider,GK,26,150 Tsd. €,Alemannia Aachen,2015
Philip Sprint,GK,23,75 Tsd. €,Alemannia Aachen,2015
Gilles Deusings,GK,18,25 Tsd. €,Alemannia Aachen,2015
Jannik Löhden,CB,26,150 Tsd. €,Alemannia Aachen,2015
Jerome Propheter,CB,26,125 Tsd. €,Alemannia Aachen,2015
Peter Hackenberg,CB,27,125 Tsd. €,Alemannia Aachen,2015
Maximilian Rossmann,CB,21,50 Tsd. €,Alemannia Aachen,2015
Nils Hühne,CB,20,-,Alemannia Aachen,2015
David Vrzogic,LB,26,150 Tsd. €,Alemannia Aachen,2015
Karim Kucharzik,LB,18,-,Alemannia Aachen,2015
Dominik Ernst,RB,25,200 Tsd. €,Alemannia Aachen,2015
Nils Winter,RB,22,100 Tsd. €,Alemannia Aachen,2015
Timo Staffeldt,CDM,32,150 Tsd. €,Alemannia Aachen,2015
Bastian Müller,CDM,24,125 Tsd. €,Alemannia Aachen,2015
Aïmen Demai,CDM,33,100 Tsd. €,Alemannia Aachen,2015
Tim Lünenbach,CDM,23,75 Tsd. €,Alemannia Aachen,2015
