name,position,age,value,team,season
Alexander Schwolow,GK,23,400 Tsd. €,Arminia Bielefeld,2014
Jarno Peters,GK,22,100 Tsd. €,Arminia Bielefeld,2014
Christopher Balkenhoff,GK,21,50 Tsd. €,Arminia Bielefeld,2014
Michael Gurski,GK,36,50 Tsd. €,Arminia Bielefeld,2014
Kennet Kostmann,GK,19,-,Arminia Bielefeld,2014
Nikolai Rehnen,GK,18,-,Arminia Bielefeld,2014
Stephan Salger,CB,25,350 Tsd. €,Arminia Bielefeld,2014
Julian Börner,CB,24,350 Tsd. €,Arminia Bielefeld,2014
Felix Burmeister,CB,25,350 Tsd. €,Arminia Bielefeld,2014
Manuel Hornig,CB,32,200 Tsd. €,Arminia Bielefeld,2014
Jerome Propheter,CB,25,175 Tsd. €,Arminia Bielefeld,2014
Leon Rinke,CB,20,-,Arminia Bielefeld,2014
Charalampos Chantzopoulos,CB,20,-,Arminia Bielefeld,2014
Sebastian Schuppan,LB,28,350 Tsd. €,Arminia Bielefeld,2014
Florian Dick,RB,30,500 Tsd. €,Arminia Bielefeld,2014
Jonas Strifler,RB,25,150 Tsd. €,Arminia Bielefeld,2014
Bashkim Ajdini,RB,22,75 Tsd. €,Arminia Bielefeld,2014
Christian Will,RB,20,-,Arminia Bielefeld,2014
Tom Schütz,CDM,27,450 Tsd. €,Arminia Bielefeld,2014
Peer Kluge,CDM,34,200 Tsd. €,Arminia Bielefeld,2014
André Kording,CDM,26,-,Arminia Bielefeld,2014
Manuel Junglas,CM,26,500 Tsd. €,Arminia Bielefeld,2014
Dennis Mast,CM,23,300 Tsd. €,Arminia Bielefeld,2014
Daniel Brinkmann,CM,29,200 Tsd. €,Arminia Bielefeld,2014
Marco Hober,CM,19,50 Tsd. €,Arminia Bielefeld,2014
Sebastian Hille,RM,34,100 Tsd. €,Arminia Bielefeld,2014
Marc Lorenz,LM,26,300 Tsd. €,Arminia Bielefeld,2014
Christian Müller,CAM,31,350 Tsd. €,Arminia Bielefeld,2014
David Ulm,CAM,31,300 Tsd. €,Arminia Bielefeld,2014
Pascal Schmidt,CAM,23,75 Tsd. €,Arminia Bielefeld,2014
Christoph Hemlein,RW,24,450 Tsd. €,Arminia Bielefeld,2014
Fabian Klos,ST,27,600 Tsd. €,Arminia Bielefeld,2014
Koen van der Biezen,ST,29,400 Tsd. €,Arminia Bielefeld,2014
Pascal Testroet,ST,24,300 Tsd. €,Arminia Bielefeld,2014
Stefan Langemann,ST,24,25 Tsd. €,Arminia Bielefeld,2014
Almir Kasumovic,ST,21,-,Arminia Bielefeld,2014
Cihan Bolat,ST,24,-,Arminia Bielefeld,2014
Wolfgang Hesl,GK,30,700 Tsd. €,Arminia Bielefeld,2015
Daniel Davari,GK,28,400 Tsd. €,Arminia Bielefeld,2015
Nikolai Rehnen,GK,19,100 Tsd. €,Arminia Bielefeld,2015
Brian Behrendt,CB,24,750 Tsd. €,Arminia Bielefeld,2015
Julian Börner,CB,25,750 Tsd. €,Arminia Bielefeld,2015
Stephan Salger,CB,26,600 Tsd. €,Arminia Bielefeld,2015
Felix Burmeister,CB,26,350 Tsd. €,Arminia Bielefeld,2015
Manuel Hornig,CB,33,100 Tsd. €,Arminia Bielefeld,2015
Sebastian Schuppan,LB,29,450 Tsd. €,Arminia Bielefeld,2015
Florian Dick,RB,31,650 Tsd. €,Arminia Bielefeld,2015
Steffen Lang,RB,22,200 Tsd. €,Arminia Bielefeld,2015
Jonas Strifler,RB,26,150 Tsd. €,Arminia Bielefeld,2015
Tom Schütz,CDM,28,750 Tsd. €,Arminia Bielefeld,2015
Peer Kluge,CDM,35,125 Tsd. €,Arminia Bielefeld,2015
Manuel Junglas,CM,27,750 Tsd. €,Arminia Bielefeld,2015
Dennis Mast,CM,24,400 Tsd. €,Arminia Bielefeld,2015
Daniel Brinkmann,CM,30,200 Tsd. €,Arminia Bielefeld,2015
Marco Hober,CM,20,100 Tsd. €,Arminia Bielefeld,2015
