name,position,age,value,team,season
Stephan Flauder,GK,29,50 Tsd. €,BFC Dynamo,2014
Nico Hinz,GK,29,25 Tsd. €,BFC Dynamo,2014
Niko Varrelmann,GK,21,25 Tsd. €,BFC Dynamo,2014
Rico Steinhauer,CB,22,100 Tsd. €,BFC Dynamo,2014
Philipp Haastrup,CB,33,75 Tsd. €,BFC Dynamo,2014
Ronald Wolf,CB,28,50 Tsd. €,BFC Dynamo,2014
Patrick Brendel,CB,27,50 Tsd. €,BFC Dynamo,2014
Christof Köhne,CB,26,50 Tsd. €,BFC Dynamo,2014
Richard Ohlow,LB,22,25 Tsd. €,BFC Dynamo,2014
Lukas Novy,RB,24,125 Tsd. €,BFC Dynamo,2014
Philip Saalbach,RB,26,50 Tsd. €,BFC Dynamo,2014
Robin Mannsfeld,RB,20,25 Tsd. €,BFC Dynamo,2014
Joshua Putze,CDM,20,100 Tsd. €,BFC Dynamo,2014
Björn Brunnemann,CM,34,50 Tsd. €,BFC Dynamo,2014
Pablo Iles Cruz,CM,21,-,BFC Dynamo,2014
Christian Preiß,RM,28,50 Tsd. €,BFC Dynamo,2014
Marinko Becke,RM,25,-,BFC Dynamo,2014
Bastian Hohmann,LM,24,100 Tsd. €,BFC Dynamo,2014
Ismet Hasani,LM,27,-,BFC Dynamo,2014
Zlatko Muhovic,CAM,24,150 Tsd. €,BFC Dynamo,2014
Kevin Gutsche,CAM,24,50 Tsd. €,BFC Dynamo,2014
Martin Zurawsky,CAM,24,50 Tsd. €,BFC Dynamo,2014
Lukas Rehbein,CAM,21,50 Tsd. €,BFC Dynamo,2014
Rifat Akbulut,LW,23,50 Tsd. €,BFC Dynamo,2014
Tobias Scharlau,RW,27,25 Tsd. €,BFC Dynamo,2014
Andis Shala,ST,26,125 Tsd. €,BFC Dynamo,2014
Djibril N'Diaye,ST,25,75 Tsd. €,BFC Dynamo,2014
Christopher Mandiangu,ST,23,50 Tsd. €,BFC Dynamo,2014
Tilo Scheffler,ST,20,-,BFC Dynamo,2014
Bernhard Hendl,GK,23,100 Tsd. €,BFC Dynamo,2015
Tim Siegemeyer,GK,19,25 Tsd. €,BFC Dynamo,2015
Kevin Sommer,GK,26,-,BFC Dynamo,2015
Nestor Djengoue,CB,25,150 Tsd. €,BFC Dynamo,2015
Patrick Brendel,CB,28,100 Tsd. €,BFC Dynamo,2015
Philipp Haastrup,CB,34,100 Tsd. €,BFC Dynamo,2015
Adli Lachheb,CB,29,100 Tsd. €,BFC Dynamo,2015
Rico Steinhauer,CB,23,75 Tsd. €,BFC Dynamo,2015
Christof Köhne,CB,27,25 Tsd. €,BFC Dynamo,2015
Robin Mannsfeld,RB,21,50 Tsd. €,BFC Dynamo,2015
Sascha Schünemann,CDM,24,125 Tsd. €,BFC Dynamo,2015
Kevin Weidlich,CDM,26,125 Tsd. €,BFC Dynamo,2015
Joshua Putze,CDM,21,125 Tsd. €,BFC Dynamo,2015
Andreas Güntner,CDM,27,100 Tsd. €,BFC Dynamo,2015
Nils Göwecke,CDM,24,100 Tsd. €,BFC Dynamo,2015
Björn Brunnemann,CM,35,75 Tsd. €,BFC Dynamo,2015
Christian Preiß,RM,29,75 Tsd. €,BFC Dynamo,2015
Andreas Balaskas,RM,19,25 Tsd. €,BFC Dynamo,2015
Zlatko Muhovic,CAM,25,175 Tsd. €,BFC Dynamo,2015
Thiago Rockenbach,CAM,31,100 Tsd. €,BFC Dynamo,2015
Martin Zurawsky,CAM,25,75 Tsd. €,BFC Dynamo,2015
Lukas Rehbein,CAM,22,-,BFC Dynamo,2015
Tino Istvanic,CAM,21,-,BFC Dynamo,2015
Orhan Yıldırım,LW,23,75 Tsd. €,BFC Dynamo,2015
Joey Breitfeld,LW,19,25 Tsd. €,BFC Dynamo,2015
Kai Pröger,RW,24,100 Tsd. €,BFC Dynamo,2015
Djibril N'Diaye,ST,26,100 Tsd. €,BFC Dynamo,2015
Dennis Srbeny,ST,22,75 Tsd. €,BFC Dynamo,2015
Christopher Skade,ST,20,50 Tsd. €,BFC Dynamo,2015
Bernhard Hendl,GK,24,125 Tsd. €,BFC Dynamo,2016
Tim Siegemeyer,GK,20,25 Tsd. €,BFC Dynamo,2016
Kevin Sommer,GK,27,-,BFC Dynamo,2016
Mokhmad-Emi Gazaliev,GK,22,-,BFC Dynamo,2016
Marvin Dumke,CB,20,25 Tsd. €,BFC Dynamo,2016
Joshua Silva,CB,26,100 Tsd. €,BFC Dynamo,2016
Rico Steinhauer,CB,24,100 Tsd. €,BFC Dynamo,2016
David Malembana,CB,21,75 Tsd. €,BFC Dynamo,2016
Christof Köhne,CB,28,50 Tsd. €,BFC Dynamo,2016
Ruben Pilumyan,CB,19,25 Tsd. €,BFC Dynamo,2016
Lucas Müller,CB,19,-,BFC Dynamo,2016
Niklas-Joel May,RB,20,-,BFC Dynamo,2016
Sascha Schünemann,CDM,25,100 Tsd. €,BFC Dynamo,2016
Lukas Bache,CDM,20,100 Tsd. €,BFC Dynamo,2016
Björn Lambach,CDM,25,100 Tsd. €,BFC Dynamo,2016
Nils Göwecke,CDM,25,100 Tsd. €,BFC Dynamo,2016
Tino Schmunck,RM,26,50 Tsd. €,BFC Dynamo,2016
Andreas Balaskas,RM,20,25 Tsd. €,BFC Dynamo,2016
Zlatko Muhovic,CAM,26,175 Tsd. €,BFC Dynamo,2016
Thiago Rockenbach,CAM,32,100 Tsd. €,BFC Dynamo,2016
Adrian Billhardt,CAM,19,25 Tsd. €,BFC Dynamo,2016
Deniz Citlak,CAM,20,25 Tsd. €,BFC Dynamo,2016
Arjan Duraj,CAM,18,-,BFC Dynamo,2016
Joey Breitfeld,LW,20,75 Tsd. €,BFC Dynamo,2016
Otis Breustedt,LW,22,50 Tsd. €,BFC Dynamo,2016
Kai Pröger,RW,25,125 Tsd. €,BFC Dynamo,2016
Dennis Srbeny,ST,23,175 Tsd. €,BFC Dynamo,2016
Vincent Rabiega,ST,22,75 Tsd. €,BFC Dynamo,2016
Andrew Lubega,ST,20,25 Tsd. €,BFC Dynamo,2016
Bernhard Hendl,GK,25,125 Tsd. €,BFC Dynamo,2017
Tim Siegemeyer,GK,21,25 Tsd. €,BFC Dynamo,2017
Kevin Sommer,GK,28,25 Tsd. €,BFC Dynamo,2017
Resad Nuri Eksi,GK,18,-,BFC Dynamo,2017
David Malembana,CB,22,125 Tsd. €,BFC Dynamo,2017
David Haider,CB,26,125 Tsd. €,BFC Dynamo,2017
Joshua Silva,CB,27,100 Tsd. €,BFC Dynamo,2017
Francis Adomah,CB,26,75 Tsd. €,BFC Dynamo,2017
Maciej Kwiatkowski,CB,30,50 Tsd. €,BFC Dynamo,2017
Tyren Kherraz,CB,18,-,BFC Dynamo,2017
Uğurtan Çepni,LB,34,75 Tsd. €,BFC Dynamo,2017
Lucas Brumme,LB,18,25 Tsd. €,BFC Dynamo,2017
Marcel Rausch,RB,21,125 Tsd. €,BFC Dynamo,2017
Björn Lambach,CDM,26,100 Tsd. €,BFC Dynamo,2017
Philip Schulz,CDM,25,75 Tsd. €,BFC Dynamo,2017
Pascal Eifler,RM,20,25 Tsd. €,BFC Dynamo,2017
Flamur Dauti,LM,18,-,BFC Dynamo,2017
Bilal Cubukcu,CAM,31,150 Tsd. €,BFC Dynamo,2017
Erblin Colakaj,CAM,18,25 Tsd. €,BFC Dynamo,2017
Deniz Citlak,CAM,21,25 Tsd. €,BFC Dynamo,2017
Joey Breitfeld,LW,21,75 Tsd. €,BFC Dynamo,2017
Otis Breustedt,LW,23,75 Tsd. €,BFC Dynamo,2017
Rafael Brand,LW,23,50 Tsd. €,BFC Dynamo,2017
Matthias Steinborn,RW,29,125 Tsd. €,BFC Dynamo,2017
Rufat Dadashov,ST,26,250 Tsd. €,BFC Dynamo,2017
