name,position,age,value,team,season
Nikolai Klarkowski,GK,25,-,BFC Preussen,2014
Emre Demir,CB,25,-,BFC Preussen,2014
Denis Osadchenko,CB,25,50 Tsd. €,BFC Preussen,2014
Roman Rießler,CB,34,-,BFC Preussen,2014
Markus Spitzer,LB,30,-,BFC Preussen,2014
Christian Jacobeit,RB,26,-,BFC Preussen,2014
Gianluca Meyer,Midfielder,25,-,BFC Preussen,2014
Nicolas Michalke,Midfielder,24,-,BFC Preussen,2014
Christian Müller,Midfielder,24,-,BFC Preussen,2014
Mario Diederitz,Midfielder,30,-,BFC Preussen,2014
Julian von Gliszczynski,Midfielder,27,-,BFC Preussen,2014
Yasin Demir,Midfielder,24,-,BFC Preussen,2014
Dennis Dort,ST,31,-,BFC Preussen,2014
Dennis Wegner,ST,30,-,BFC Preussen,2014
Selvedin Begzadic,GK,26,-,BFC Preussen,2015
Mateusz Mika,GK,28,-,BFC Preussen,2015
Nikolai Klarkowski,GK,26,-,BFC Preussen,2015
Christian Olm,GK,-,-,BFC Preussen,2015
Sladjan Starcevic,CB,32,-,BFC Preussen,2015
Lukas Mrosek,CB,-,-,BFC Preussen,2015
Ante Zore,CB,30,-,BFC Preussen,2015
Damir Coric,CB,25,-,BFC Preussen,2015
Roman Rießler,CB,35,-,BFC Preussen,2015
Burak Aktas,CB,19,-,BFC Preussen,2015
Niklas Neugebauer,CB,28,-,BFC Preussen,2015
Joshua Lang,LB,21,-,BFC Preussen,2015
Matthias Kindt,LB,35,-,BFC Preussen,2015
Markus Spitzer,LB,31,-,BFC Preussen,2015
Okan Isik,RB,29,-,BFC Preussen,2015
Christian Jacobeit,RB,27,-,BFC Preussen,2015
Magnus Stahlberg,Midfielder,22,25 Tsd. €,BFC Preussen,2015
Nicolas Michalke,Midfielder,25,-,BFC Preussen,2015
Christian Müller,Midfielder,25,-,BFC Preussen,2015
Julian von Gliszczynski,Midfielder,28,-,BFC Preussen,2015
Yannik Lüdtke,Midfielder,20,-,BFC Preussen,2015
Marcel Berner,Midfielder,26,-,BFC Preussen,2015
Gökhan Aslan,Midfielder,-,-,BFC Preussen,2015
Nicklas Horn,Midfielder,20,-,BFC Preussen,2015
Luka Kujundzija,CM,29,-,BFC Preussen,2015
Patrick Reiß,CM,28,-,BFC Preussen,2015
Arber Shuleta,CM,28,-,BFC Preussen,2015
Burak Gevsek,LM,20,-,BFC Preussen,2015
Kevin Capolei,CAM,28,-,BFC Preussen,2015
Eren Özer,CAM,19,-,BFC Preussen,2015
Can Akgün,ST,26,-,BFC Preussen,2015
René Robben,ST,32,-,BFC Preussen,2015
Dennis Wegner,ST,31,-,BFC Preussen,2015
Rommel Abou-Chaker,ST,38,-,BFC Preussen,2015
Henri Gomez Amsatu,ST,22,-,BFC Preussen,2015
Mateusz Mika,GK,29,-,BFC Preussen,2016
Angelo Kempf,GK,21,-,BFC Preussen,2016
Steven Schneider,GK,-,-,BFC Preussen,2016
Edin Becirovic,GK,37,-,BFC Preussen,2016
Emre Demir,CB,27,-,BFC Preussen,2016
Damir Coric,CB,26,-,BFC Preussen,2016
Ante Zore,CB,31,-,BFC Preussen,2016
Lucas Groth,CB,27,-,BFC Preussen,2016
Burak Aktas,CB,20,-,BFC Preussen,2016
Niklas Neugebauer,CB,29,-,BFC Preussen,2016
Joshua Lang,LB,22,-,BFC Preussen,2016
Okan Isik,RB,30,-,BFC Preussen,2016
Christian Jacobeit,RB,28,-,BFC Preussen,2016
Magnus Stahlberg,Midfielder,23,-,BFC Preussen,2016
Nicolas Michalke,Midfielder,26,-,BFC Preussen,2016
Marcel Schulz,Midfielder,28,-,BFC Preussen,2016
Birdal Bingöltekin,Midfielder,-,-,BFC Preussen,2016
Dennis Ewald,Midfielder,-,-,BFC Preussen,2016
Marcel Berner,Midfielder,27,-,BFC Preussen,2016
Julian von Gliszczynski,Midfielder,29,-,BFC Preussen,2016
Nicklas Horn,Midfielder,21,-,BFC Preussen,2016
Moris Fikic,CM,26,-,BFC Preussen,2016
Arber Shuleta,CM,29,-,BFC Preussen,2016
Egzon Ismaili,LM,22,-,BFC Preussen,2016
Can Akgün,ST,27,-,BFC Preussen,2016
Nicolai Kitzing,ST,21,-,BFC Preussen,2016
René Robben,ST,33,-,BFC Preussen,2016
Cenk Ergün,ST,19,-,BFC Preussen,2016
Rommel Abou-Chaker,ST,39,-,BFC Preussen,2016
Malte Hartmann,GK,25,-,BFC Preussen,2017
Mark Ottenhus,GK,-,-,BFC Preussen,2017
Emre Demir,CB,28,-,BFC Preussen,2017
Sladjan Starcevic,CB,34,-,BFC Preussen,2017
Ahmet Cetin,CB,-,-,BFC Preussen,2017
Alexander Häsen,CB,24,-,BFC Preussen,2017
Baran Arslan,CB,-,-,BFC Preussen,2017
Yannik Hartmann,CB,26,-,BFC Preussen,2017
Niklas Neugebauer,CB,30,-,BFC Preussen,2017
Alexander Letz,LB,23,-,BFC Preussen,2017
Christian Jacobeit,RB,29,-,BFC Preussen,2017
Magnus Stahlberg,Midfielder,24,-,BFC Preussen,2017
Gianluca Meyer,Midfielder,28,-,BFC Preussen,2017
Nicolas Michalke,Midfielder,27,-,BFC Preussen,2017
Christian Müller,Midfielder,27,-,BFC Preussen,2017
Yasin Demir,Midfielder,27,-,BFC Preussen,2017
Jonas Kranig,Midfielder,26,-,BFC Preussen,2017
Yannik Lüdtke,Midfielder,22,-,BFC Preussen,2017
Ugur Ates,Midfielder,28,-,BFC Preussen,2017
Birdal Bingöltekin,Midfielder,-,-,BFC Preussen,2017
Fabian Ihlow,Midfielder,20,-,BFC Preussen,2017
