name,position,age,value,team,season
Marcus Rickert,GK,31,-,BFC Viktoria 89 (- 2013),2014
Jannis Gabrielides,GK,24,-,BFC Viktoria 89 (- 2013),2014
Rico Morack,CB,27,175 Tsd. €,BFC Viktoria 89 (- 2013),2014
Murat Doymuş,CB,29,100 Tsd. €,BFC Viktoria 89 (- 2013),2014
Tim Lensinger,CB,30,75 Tsd. €,BFC Viktoria 89 (- 2013),2014
Robert Schröder,CB,27,50 Tsd. €,BFC Viktoria 89 (- 2013),2014
Gökhan Ahmetcik,LB,30,50 Tsd. €,BFC Viktoria 89 (- 2013),2014
Stephan Brehmer,LB,22,25 Tsd. €,BFC Viktoria 89 (- 2013),2014
Julian Austermann,RB,24,50 Tsd. €,BFC Viktoria 89 (- 2013),2014
Patrick Leutloff,CDM,30,75 Tsd. €,BFC Viktoria 89 (- 2013),2014
Thomas Kruschke,CDM,23,50 Tsd. €,BFC Viktoria 89 (- 2013),2014
Maximilian Watzka,RM,29,125 Tsd. €,BFC Viktoria 89 (- 2013),2014
Fabian Fritsche,RM,23,-,BFC Viktoria 89 (- 2013),2014
Ümit Ergirdi,CAM,33,100 Tsd. €,BFC Viktoria 89 (- 2013),2014
Adrijan Antunovic,CAM,26,50 Tsd. €,BFC Viktoria 89 (- 2013),2014
Caner Özcin,ST,21,100 Tsd. €,BFC Viktoria 89 (- 2013),2014
Sebastian Huke,ST,25,75 Tsd. €,BFC Viktoria 89 (- 2013),2014
Nicolai Jelitto,ST,20,25 Tsd. €,BFC Viktoria 89 (- 2013),2014
