name,position,age,value,team,season
Burak Ariman,GK,-,-,BSC Hastedt,2014
Janoe Budak,GK,21,-,BSC Hastedt,2014
Alkan Yücel,GK,29,-,BSC Hastedt,2014
Sascha Hoffmeister,CB,29,-,BSC Hastedt,2014
Belsin Aghasizadeh,CB,28,-,BSC Hastedt,2014
Sören Hartmann,CB,24,-,BSC Hastedt,2014
Alptug Caglar,CB,39,-,BSC Hastedt,2014
Georg Schreider,CB,28,-,BSC Hastedt,2014
Denis Volkolupov,CB,29,-,BSC Hastedt,2014
Emmanuel Ngon à Goufan,CB,29,-,BSC Hastedt,2014
Maciej Gawronski,CB,23,-,BSC Hastedt,2014
Sven Hartmann,CB,25,-,BSC Hastedt,2014
Daniel Meyer,CB,33,-,BSC Hastedt,2014
Kerem Ilkilic,CB,27,-,BSC Hastedt,2014
Pascal Adjeapon,RB,22,-,BSC Hastedt,2014
Sercan Yücel,Midfielder,29,-,BSC Hastedt,2014
Melih Battal,Midfielder,-,-,BSC Hastedt,2014
Burak Yücel,CDM,24,-,BSC Hastedt,2014
Murat Eke,Midfielder,-,-,BSC Hastedt,2014
Samuel Adjei,Midfielder,25,-,BSC Hastedt,2014
Hassan Taha,CM,22,-,BSC Hastedt,2014
Murat Özbek,CAM,23,-,BSC Hastedt,2014
Onur Cavus,RW,22,-,BSC Hastedt,2014
Burak Palankalilar,ST,20,-,BSC Hastedt,2014
Muhammed Eryilmaz,ST,22,-,BSC Hastedt,2014
Mark de la Cruz,ST,22,-,BSC Hastedt,2014
Janoe Budak,GK,22,-,BSC Hastedt,2015
Max Hoffmann,GK,-,-,BSC Hastedt,2015
Safa Kilic,GK,24,-,BSC Hastedt,2015
Mehmet Tugay Tiras,GK,24,-,BSC Hastedt,2015
Sören Hartmann,CB,25,-,BSC Hastedt,2015
Alex Merk,CB,-,-,BSC Hastedt,2015
Joshua Öhlrich,CB,-,-,BSC Hastedt,2015
Dickson Onyeulo,CB,23,-,BSC Hastedt,2015
Serdal Deli,CB,24,-,BSC Hastedt,2015
Sven Hartmann,CB,26,-,BSC Hastedt,2015
Mutalip Kaya,CB,32,-,BSC Hastedt,2015
Ahmet Aydogan,LB,25,-,BSC Hastedt,2015
Dardan Musliu,LB,27,-,BSC Hastedt,2015
Serkan Öztürk,RB,-,-,BSC Hastedt,2015
Tengisbold Riemeyer,CDM,23,-,BSC Hastedt,2015
Mohamed Janine,CDM,23,-,BSC Hastedt,2015
Burak Yücel,CDM,25,-,BSC Hastedt,2015
Ridvan Sahin,CM,21,-,BSC Hastedt,2015
Gökhan Deli,RM,32,-,BSC Hastedt,2015
Sinan Mehmet,LM,20,-,BSC Hastedt,2015
Samet Deli,CAM,32,-,BSC Hastedt,2015
Simon Cakir,LW,24,-,BSC Hastedt,2015
Cansin Cetin,LW,25,-,BSC Hastedt,2015
Onur Cavus,RW,23,-,BSC Hastedt,2015
Sherif Dagher,ST,31,-,BSC Hastedt,2015
Faiz Sekandari,ST,21,-,BSC Hastedt,2015
Nicholas Sudmann,ST,20,-,BSC Hastedt,2015
Mustafa Celik,ST,29,-,BSC Hastedt,2015
Ingo Schilling,ST,29,-,BSC Hastedt,2015
Burak Palankalilar,ST,21,-,BSC Hastedt,2015
Muhammed Eryilmaz,ST,23,-,BSC Hastedt,2015
Malte Lippe,GK,-,-,BSC Hastedt,2016
Mustafa Njie,GK,-,-,BSC Hastedt,2016
Riad Bardhi,GK,27,-,BSC Hastedt,2016
Basat Ibrahimi,GK,-,-,BSC Hastedt,2016
Mehmet Tugay Tiras,GK,25,-,BSC Hastedt,2016
Sinan Yavuz,CB,29,-,BSC Hastedt,2016
John Thöle,CB,29,-,BSC Hastedt,2016
Mutalip Kaya,CB,33,-,BSC Hastedt,2016
Ikrami Olatunji,CB,20,-,BSC Hastedt,2016
Hasan Dalkiran,CB,22,-,BSC Hastedt,2016
Sven Hartmann,CB,27,-,BSC Hastedt,2016
Serdal Deli,CB,25,-,BSC Hastedt,2016
Dickson Onyeulo,CB,24,-,BSC Hastedt,2016
Sedat Yücel,LB,30,-,BSC Hastedt,2016
Dardan Musliu,LB,28,-,BSC Hastedt,2016
Thomas Ilenseer,RB,23,-,BSC Hastedt,2016
Zazan Demir-Ackerschott,Midfielder,20,-,BSC Hastedt,2016
Deniz-Erdem Görgün,CDM,-,-,BSC Hastedt,2016
Mohamed Janine,CDM,24,-,BSC Hastedt,2016
Toray Kara,Midfielder,-,-,BSC Hastedt,2016
Ridvan Sahin,CM,22,-,BSC Hastedt,2016
Marcus Kenneweg,CM,24,-,BSC Hastedt,2016
Seliman Yar,RM,28,-,BSC Hastedt,2016
Murat Budak,RM,20,-,BSC Hastedt,2016
Karl Simon Jäger,RM,18,-,BSC Hastedt,2016
Gökhan Deli,RM,33,-,BSC Hastedt,2016
Sinan Mehmet,LM,21,-,BSC Hastedt,2016
S. Filik,LM,-,-,BSC Hastedt,2016
Burak Yücel,CAM,24,-,BSC Hastedt,2016
Simon Cakir,LW,25,-,BSC Hastedt,2016
Iman Bi-Ria,ST,33,-,BSC Hastedt,2016
Erhan Akgün,ST,30,-,BSC Hastedt,2016
Ingo Schilling,ST,30,-,BSC Hastedt,2016
Burak Palankalilar,ST,22,-,BSC Hastedt,2016
Muhammed Eryilmaz,ST,24,-,BSC Hastedt,2016
Mustafa Celik,ST,30,-,BSC Hastedt,2016
Affam Ifeadigo,ST,20,-,BSC Hastedt,2016
Benjamin Ciosanski,ST,25,-,BSC Hastedt,2016
Yagmur Horata,ST,22,-,BSC Hastedt,2016
Mehmet Tugay Tiras,GK,26,-,BSC Hastedt,2017
Riad Bardhi,GK,28,-,BSC Hastedt,2017
Jasin Jashari,GK,20,-,BSC Hastedt,2017
Serkan Savran,CB,39,-,BSC Hastedt,2017
John Thöle,CB,30,-,BSC Hastedt,2017
Sven Hartmann,CB,28,-,BSC Hastedt,2017
Ikrami Olatunji,CB,21,-,BSC Hastedt,2017
Milad Mansoori,CB,23,-,BSC Hastedt,2017
Hasan Dalkiran,CB,23,-,BSC Hastedt,2017
Dickson Onyeulo,CB,25,-,BSC Hastedt,2017
Sedat Yücel,LB,31,-,BSC Hastedt,2017
Dardan Musliu,LB,29,-,BSC Hastedt,2017
Youness Buduar,RB,26,-,BSC Hastedt,2017
