name,position,age,value,team,season
Christian Pallgen,GK,30,-,BSG Chemie Leipzig,2014
Aron Steffens,GK,23,-,BSG Chemie Leipzig,2014
Nils Gräfe,CB,21,-,BSG Chemie Leipzig,2014
Stefan Karau,CB,29,-,BSG Chemie Leipzig,2014
Alexander Portleroy,CB,27,-,BSG Chemie Leipzig,2014
Marko Trogrlic,CB,24,-,BSG Chemie Leipzig,2014
Kurt Kienitz,CB,22,-,BSG Chemie Leipzig,2014
Philipp Sauer,LB,20,-,BSG Chemie Leipzig,2014
Hannes Rook,LB,22,-,BSG Chemie Leipzig,2014
Vincent Markus,RB,22,-,BSG Chemie Leipzig,2014
Benjamin Schüler,RB,27,-,BSG Chemie Leipzig,2014
David Reich,Midfielder,28,-,BSG Chemie Leipzig,2014
Nico Schönitz,CDM,21,-,BSG Chemie Leipzig,2014
Benjamin Schmidt,CDM,25,-,BSG Chemie Leipzig,2014
Hardy Stapel,Midfielder,23,-,BSG Chemie Leipzig,2014
Marcus Wolf,RM,31,-,BSG Chemie Leipzig,2014
Marvin Hahn,LM,21,-,BSG Chemie Leipzig,2014
Tobias Haufe,CAM,23,-,BSG Chemie Leipzig,2014
Toni Rehm,CAM,25,-,BSG Chemie Leipzig,2014
Adam Fiedler,CAM,22,-,BSG Chemie Leipzig,2014
Sven Schlüchtermann,CAM,28,-,BSG Chemie Leipzig,2014
Norman Lee Gandaa,LW,29,-,BSG Chemie Leipzig,2014
Benno Göschick,ST,28,-,BSG Chemie Leipzig,2014
Andy Müller-Papra,ST,34,-,BSG Chemie Leipzig,2014
Mirko Jentzsch,ST,25,-,BSG Chemie Leipzig,2014
Louis Engelbrecht,ST,22,-,BSG Chemie Leipzig,2014
Maximilian Heyse,ST,25,-,BSG Chemie Leipzig,2014
Christian Pallgen,GK,31,-,BSG Chemie Leipzig,2015
Marcus Dölz,GK,26,-,BSG Chemie Leipzig,2015
Aron Steffens,GK,24,-,BSG Chemie Leipzig,2015
Nils Gräfe,CB,22,-,BSG Chemie Leipzig,2015
Stefan Karau,CB,30,-,BSG Chemie Leipzig,2015
Manuel Wajer,CB,21,-,BSG Chemie Leipzig,2015
Marko Trogrlic,CB,25,-,BSG Chemie Leipzig,2015
Kurt Kienitz,CB,23,-,BSG Chemie Leipzig,2015
