name,position,age,value,team,season
Timo Burgert,GK,31,-,Bahlinger SC,2014
Dennis Müller,GK,26,-,Bahlinger SC,2014
Valentin Köhl,GK,19,-,Bahlinger SC,2014
Mario Neumann,GK,38,-,Bahlinger SC,2014
Andreas Braun,GK,22,-,Bahlinger SC,2014
Manuel Gleichauf,CB,25,-,Bahlinger SC,2014
Walter Adam,CB,23,-,Bahlinger SC,2014
Marc Lerandy,CB,33,-,Bahlinger SC,2014
Tobias Klein,CB,24,-,Bahlinger SC,2014
Nico Beck,CB,19,-,Bahlinger SC,2014
Dennis Bührer,LB,32,-,Bahlinger SC,2014
Bernhard Wiesler,RB,30,-,Bahlinger SC,2014
Yannick Häringer,CDM,25,-,Bahlinger SC,2014
Marco Waldraff,CDM,23,-,Bahlinger SC,2014
Leandro Einecker,CDM,19,-,Bahlinger SC,2014
Damir Imamovic,Midfielder,20,-,Bahlinger SC,2014
Adrian Vollmer,CM,25,-,Bahlinger SC,2014
Mario Kaltenmark,CM,20,-,Bahlinger SC,2014
Colin Kanwischer,LM,24,-,Bahlinger SC,2014
Yashir Islame,CAM,24,-,Bahlinger SC,2014
Michael Schlegel,CAM,28,-,Bahlinger SC,2014
Erich Sautner,CAM,23,-,Bahlinger SC,2014
Ergi Alihoxha,CAM,21,-,Bahlinger SC,2014
Pierre-Christoph Göppert,LW,22,-,Bahlinger SC,2014
Johannes Fiand,RW,25,-,Bahlinger SC,2014
Artur Fellanxa,ST,26,-,Bahlinger SC,2014
Damian Kaminski,ST,24,-,Bahlinger SC,2014
Ferdinand Weide,ST,20,-,Bahlinger SC,2014
Fabian Schleusener,ST,23,-,Bahlinger SC,2014
Dennis Müller,GK,27,75 Tsd. €,Bahlinger SC,2015
Jérôme Reisacher,GK,25,50 Tsd. €,Bahlinger SC,2015
Michael Walz,GK,29,25 Tsd. €,Bahlinger SC,2015
Nikko Diekmann,GK,22,-,Bahlinger SC,2015
Tobias Klein,CB,25,100 Tsd. €,Bahlinger SC,2015
Bryan Gaul,CB,26,75 Tsd. €,Bahlinger SC,2015
Fabian Nopper,CB,26,75 Tsd. €,Bahlinger SC,2015
Walter Adam,CB,24,50 Tsd. €,Bahlinger SC,2015
Joseph Konyit,CB,24,25 Tsd. €,Bahlinger SC,2015
Nico Beck,CB,20,25 Tsd. €,Bahlinger SC,2015
