name,position,age,value,team,season
Bernd Leno,GK,23,"16,00 Mio. €",Bayer 04 Leverkusen,2014
Dario Kresic,GK,31,500 Tsd. €,Bayer 04 Leverkusen,2014
David Yelldell,GK,33,150 Tsd. €,Bayer 04 Leverkusen,2014
Ömer Toprak,CB,25,"18,00 Mio. €",Bayer 04 Leverkusen,2014
Kyriakos Papadopoulos,CB,23,"7,50 Mio. €",Bayer 04 Leverkusen,2014
Tin Jedvaj,CB,19,"7,50 Mio. €",Bayer 04 Leverkusen,2014
Emir Spahic,CB,34,"2,00 Mio. €",Bayer 04 Leverkusen,2014
Lukas Boeder,CB,18,-,Bayer 04 Leverkusen,2014
Wendell,LB,21,"6,00 Mio. €",Bayer 04 Leverkusen,2014
Sebastian Boenisch,LB,28,"2,50 Mio. €",Bayer 04 Leverkusen,2014
Giulio Donati,RB,25,"3,00 Mio. €",Bayer 04 Leverkusen,2014
Roberto Hilbert,RB,30,"2,00 Mio. €",Bayer 04 Leverkusen,2014
Lars Bender,CDM,26,"22,00 Mio. €",Bayer 04 Leverkusen,2014
Hakan Çalhanoğlu,CDM,21,"18,00 Mio. €",Bayer 04 Leverkusen,2014
Stefan Reinartz,CDM,26,"4,50 Mio. €",Bayer 04 Leverkusen,2014
Simon Rolfes,CDM,33,"2,00 Mio. €",Bayer 04 Leverkusen,2014
Marlon Frey,CDM,19,200 Tsd. €,Bayer 04 Leverkusen,2014
Gonzalo Castro,CM,28,"14,00 Mio. €",Bayer 04 Leverkusen,2014
Julian Brandt,CAM,19,"5,00 Mio. €",Bayer 04 Leverkusen,2014
Vladlen Yurchenko,CAM,21,250 Tsd. €,Bayer 04 Leverkusen,2014
Heung-min Son,LW,22,"16,00 Mio. €",Bayer 04 Leverkusen,2014
Levin Öztunali,LW,19,"2,50 Mio. €",Bayer 04 Leverkusen,2014
Robbie Kruse,LW,26,"2,50 Mio. €",Bayer 04 Leverkusen,2014
Karim Bellarabi,RW,25,"8,00 Mio. €",Bayer 04 Leverkusen,2014
Stefan Kießling,ST,31,"9,00 Mio. €",Bayer 04 Leverkusen,2014
Josip Drmic,ST,22,"8,00 Mio. €",Bayer 04 Leverkusen,2014
Bernd Leno,GK,24,"16,00 Mio. €",Bayer 04 Leverkusen,2015
Dario Kresic,GK,32,500 Tsd. €,Bayer 04 Leverkusen,2015
David Yelldell,GK,34,150 Tsd. €,Bayer 04 Leverkusen,2015
Ömer Toprak,CB,26,"18,00 Mio. €",Bayer 04 Leverkusen,2015
Jonathan Tah,CB,20,"12,00 Mio. €",Bayer 04 Leverkusen,2015
Tin Jedvaj,CB,20,"8,00 Mio. €",Bayer 04 Leverkusen,2015
Kyriakos Papadopoulos,CB,24,"7,50 Mio. €",Bayer 04 Leverkusen,2015
André Ramalho,CB,24,"2,50 Mio. €",Bayer 04 Leverkusen,2015
Lukas Boeder,CB,19,150 Tsd. €,Bayer 04 Leverkusen,2015
Joel Abu Hanna,CB,18,-,Bayer 04 Leverkusen,2015
Wendell,LB,22,"15,00 Mio. €",Bayer 04 Leverkusen,2015
Konstantinos Stafylidis,LB,22,"2,00 Mio. €",Bayer 04 Leverkusen,2015
Sebastian Boenisch,LB,29,"1,50 Mio. €",Bayer 04 Leverkusen,2015
Giulio Donati,RB,26,"2,00 Mio. €",Bayer 04 Leverkusen,2015
Roberto Hilbert,RB,31,"2,00 Mio. €",Bayer 04 Leverkusen,2015
Benjamin Henrichs,RB,19,250 Tsd. €,Bayer 04 Leverkusen,2015
