name,position,age,value,team,season
Jürgen Pundt,GK,39,-,Blau-Weiß Lohne,2014
Philip Kreimer,GK,23,-,Blau-Weiß Lohne,2014
Christian Meyer,CB,-,-,Blau-Weiß Lohne,2014
Marius Sandvoß,CB,-,-,Blau-Weiß Lohne,2014
Christian Bröring,CB,-,-,Blau-Weiß Lohne,2014
Jonas Sandvoß,CB,20,-,Blau-Weiß Lohne,2014
David Pundt,CB,23,-,Blau-Weiß Lohne,2014
Felix Oevermann,CB,20,-,Blau-Weiß Lohne,2014
Dino Maieli,CB,-,-,Blau-Weiß Lohne,2014
Kai Westerhoff,CB,21,-,Blau-Weiß Lohne,2014
Jens Warncke,CB,22,-,Blau-Weiß Lohne,2014
Michael Burhorst,Midfielder,-,-,Blau-Weiß Lohne,2014
Sergej Hofmann,Midfielder,-,-,Blau-Weiß Lohne,2014
Tobias Niedfeld,Midfielder,27,-,Blau-Weiß Lohne,2014
Felix Schneppe,Midfielder,19,-,Blau-Weiß Lohne,2014
Lukas Bothe,Midfielder,21,-,Blau-Weiß Lohne,2014
Kevin Tanke,Midfielder,25,-,Blau-Weiß Lohne,2014
Mursel Smakolli,ST,26,-,Blau-Weiß Lohne,2014
Dionysios Ipsilos,ST,28,-,Blau-Weiß Lohne,2014
Rene Hemker,ST,24,-,Blau-Weiß Lohne,2014
Johannes Bröring,ST,-,-,Blau-Weiß Lohne,2014
Marc Menzler,ST,-,-,Blau-Weiß Lohne,2014
Julius Liegmann,ST,-,-,Blau-Weiß Lohne,2014
Jürgen Pundt,GK,40,-,Blau-Weiß Lohne,2015
Jens Reil,GK,38,-,Blau-Weiß Lohne,2015
Tim Kröger,GK,19,-,Blau-Weiß Lohne,2015
Philip Kreimer,GK,24,-,Blau-Weiß Lohne,2015
Simon Kolhoff,GK,20,-,Blau-Weiß Lohne,2015
Jonas Sandvoß,CB,21,-,Blau-Weiß Lohne,2015
Steffen Thoben,CB,-,-,Blau-Weiß Lohne,2015
Marius Sandvoß,CB,-,-,Blau-Weiß Lohne,2015
