name,position,age,value,team,season
Roman Weidenfeller,GK,34,"3,00 Mio. €",Borussia Dortmund,2014
Mitchell Langerak,GK,26,"1,50 Mio. €",Borussia Dortmund,2014
Zlatan Alomerovic,GK,24,200 Tsd. €,Borussia Dortmund,2014
Hendrik Bonmann,GK,21,150 Tsd. €,Borussia Dortmund,2014
Dominik Reimann,GK,18,-,Borussia Dortmund,2014
Mats Hummels,CB,26,"35,00 Mio. €",Borussia Dortmund,2014
Sokratis Papastathopoulos,CB,27,"18,00 Mio. €",Borussia Dortmund,2014
Neven Subotic,CB,26,"16,00 Mio. €",Borussia Dortmund,2014
Matthias Ginter,CB,21,"10,00 Mio. €",Borussia Dortmund,2014
Marian Sarr,CB,20,900 Tsd. €,Borussia Dortmund,2014
Marc Hornschuh,CB,24,250 Tsd. €,Borussia Dortmund,2014
Marcel Schmelzer,LB,27,"7,00 Mio. €",Borussia Dortmund,2014
Jannik Bandowski,LB,21,400 Tsd. €,Borussia Dortmund,2014
Joe Gyau,LB,22,400 Tsd. €,Borussia Dortmund,2014
Jeremy Dudziak,LB,19,200 Tsd. €,Borussia Dortmund,2014
Lukasz Piszczek,RB,30,"11,00 Mio. €",Borussia Dortmund,2014
Kevin Großkreutz,RB,26,"7,50 Mio. €",Borussia Dortmund,2014
Erik Durm,RB,23,"6,00 Mio. €",Borussia Dortmund,2014
Sven Bender,CDM,26,"16,00 Mio. €",Borussia Dortmund,2014
Nuri Şahin,CDM,26,"10,00 Mio. €",Borussia Dortmund,2014
Sebastian Kehl,CDM,35,"1,00 Mio. €",Borussia Dortmund,2014
Oliver Kirch,CDM,32,750 Tsd. €,Borussia Dortmund,2014
Jon Gorenc Stankovic,CDM,19,450 Tsd. €,Borussia Dortmund,2014
Henrikh Mkhitaryan,CM,26,"21,00 Mio. €",Borussia Dortmund,2014
İlkay Gündoğan,CM,24,"20,00 Mio. €",Borussia Dortmund,2014
Kevin Kampl,CM,24,"10,00 Mio. €",Borussia Dortmund,2014
Milos Jojic,CM,23,"2,50 Mio. €",Borussia Dortmund,2014
Mustafa Amini,CM,22,300 Tsd. €,Borussia Dortmund,2014
Mitsuru Maruoka,CM,19,300 Tsd. €,Borussia Dortmund,2014
Marco Reus,CAM,26,"50,00 Mio. €",Borussia Dortmund,2014
Shinji Kagawa,CAM,26,"10,00 Mio. €",Borussia Dortmund,2014
Jonas Hofmann,CAM,22,"4,00 Mio. €",Borussia Dortmund,2014
Jakub Blaszczykowski,RW,29,"12,00 Mio. €",Borussia Dortmund,2014
Khaled Narey,RW,20,200 Tsd. €,Borussia Dortmund,2014
Pierre-Emerick Aubameyang,ST,26,"19,00 Mio. €",Borussia Dortmund,2014
Ciro Immobile,ST,25,"15,00 Mio. €",Borussia Dortmund,2014
Adrián Ramos,ST,29,"9,50 Mio. €",Borussia Dortmund,2014
Roman Bürki,GK,25,"6,00 Mio. €",Borussia Dortmund,2015
Roman Weidenfeller,GK,35,"1,00 Mio. €",Borussia Dortmund,2015
Hendrik Bonmann,GK,22,150 Tsd. €,Borussia Dortmund,2015
Mats Hummels,CB,27,"38,00 Mio. €",Borussia Dortmund,2015
Sokratis Papastathopoulos,CB,28,"22,00 Mio. €",Borussia Dortmund,2015
Matthias Ginter,CB,22,"13,00 Mio. €",Borussia Dortmund,2015
Neven Subotic,CB,27,"11,00 Mio. €",Borussia Dortmund,2015
Patrick Fritsch,CB,17,-,Borussia Dortmund,2015
Marcel Schmelzer,LB,28,"7,00 Mio. €",Borussia Dortmund,2015
Ju-ho Park,LB,29,"2,50 Mio. €",Borussia Dortmund,2015
Lukasz Piszczek,RB,31,"6,00 Mio. €",Borussia Dortmund,2015
Erik Durm,RB,24,"5,00 Mio. €",Borussia Dortmund,2015
Pascal Stenzel,RB,20,500 Tsd. €,Borussia Dortmund,2015
Felix Passlack,RB,18,500 Tsd. €,Borussia Dortmund,2015
Julian Weigl,CDM,20,"14,00 Mio. €",Borussia Dortmund,2015
Sven Bender,CDM,27,"9,00 Mio. €",Borussia Dortmund,2015
Nuri Şahin,CDM,27,"6,50 Mio. €",Borussia Dortmund,2015
Jon Gorenc Stankovic,CDM,20,300 Tsd. €,Borussia Dortmund,2015
İlkay Gündoğan,CM,25,"30,00 Mio. €",Borussia Dortmund,2015
