name,position,age,value,team,season
Yann Sommer,GK,26,"10,00 Mio. €",Borussia Mönchengladbach,2014
Christofer Heimeroth,GK,33,250 Tsd. €,Borussia Mönchengladbach,2014
Janis Blaswich,GK,24,200 Tsd. €,Borussia Mönchengladbach,2014
Álvaro Domínguez,CB,26,"8,50 Mio. €",Borussia Mönchengladbach,2014
Martin Stranzl,CB,35,"1,50 Mio. €",Borussia Mönchengladbach,2014
Roel Brouwers,CB,33,750 Tsd. €,Borussia Mönchengladbach,2014
Oscar Wendt,LB,29,"3,00 Mio. €",Borussia Mönchengladbach,2014
Filip Daems,LB,36,400 Tsd. €,Borussia Mönchengladbach,2014
Tony Jantschke,RB,25,"7,50 Mio. €",Borussia Mönchengladbach,2014
Julian Korb,RB,23,"5,00 Mio. €",Borussia Mönchengladbach,2014
Granit Xhaka,CDM,22,"13,00 Mio. €",Borussia Mönchengladbach,2014
Christoph Kramer,CDM,24,"12,00 Mio. €",Borussia Mönchengladbach,2014
Håvard Nordtveit,CDM,25,"6,00 Mio. €",Borussia Mönchengladbach,2014
Thorben Marx,CDM,34,300 Tsd. €,Borussia Mönchengladbach,2014
Marvin Schulz,CDM,20,200 Tsd. €,Borussia Mönchengladbach,2014
Nico Brandenburger,CDM,20,100 Tsd. €,Borussia Mönchengladbach,2014
Mahmoud Dahoud,CM,19,600 Tsd. €,Borussia Mönchengladbach,2014
Fabian Johnson,LM,27,"5,00 Mio. €",Borussia Mönchengladbach,2014
Bilal Sezer,LM,21,175 Tsd. €,Borussia Mönchengladbach,2014
Marlon Ritter,CAM,20,150 Tsd. €,Borussia Mönchengladbach,2014
Thorgan Hazard,LW,22,"10,00 Mio. €",Borussia Mönchengladbach,2014
Ibrahima Traoré,LW,27,"5,00 Mio. €",Borussia Mönchengladbach,2014
Patrick Herrmann,RW,24,"9,50 Mio. €",Borussia Mönchengladbach,2014
André Hahn,RW,24,"8,00 Mio. €",Borussia Mönchengladbach,2014
Max Kruse,Second Striker,27,"12,00 Mio. €",Borussia Mönchengladbach,2014
Raffael,Second Striker,30,"8,00 Mio. €",Borussia Mönchengladbach,2014
Branimir Hrgota,ST,22,"3,50 Mio. €",Borussia Mönchengladbach,2014
Yann Sommer,GK,27,"10,00 Mio. €",Borussia Mönchengladbach,2015
Tobias Sippel,GK,28,"1,00 Mio. €",Borussia Mönchengladbach,2015
Christofer Heimeroth,GK,34,200 Tsd. €,Borussia Mönchengladbach,2015
Andreas Christensen,CB,20,"8,00 Mio. €",Borussia Mönchengladbach,2015
Álvaro Domínguez,CB,27,"8,00 Mio. €",Borussia Mönchengladbach,2015
Martin Hinteregger,CB,23,"6,00 Mio. €",Borussia Mönchengladbach,2015
