name,position,age,value,team,season
Stefan Tilling,GK,30,-,Bremer SV,2014
Christian Ahlers-Ceglarek,GK,31,-,Bremer SV,2014
Edgar Kary,GK,26,-,Bremer SV,2014
Benjamin Schimmel,GK,27,-,Bremer SV,2014
Finn-Jannes Schale,GK,21,-,Bremer SV,2014
Boris Kaizer,CB,26,-,Bremer SV,2014
Michel Haskamp,CB,29,-,Bremer SV,2014
Jan-Philipp Heine,CB,25,-,Bremer SV,2014
David Haskamp,CB,23,-,Bremer SV,2014
Mark Spohler,CB,23,-,Bremer SV,2014
Moritz Erbs,CB,20,-,Bremer SV,2014
Frithjof Rathjen,CB,22,-,Bremer SV,2014
Ontje Abendroth,LB,31,-,Bremer SV,2014
Andre Waldau,RB,26,-,Bremer SV,2014
Matheus Wild,CDM,28,-,Bremer SV,2014
Dave Otto,CDM,26,-,Bremer SV,2014
Ole Laabs,CDM,29,-,Bremer SV,2014
Jan Moritz Norden,CDM,18,-,Bremer SV,2014
Ahmet Gül,CDM,24,-,Bremer SV,2014
Moussa Alawie,CM,22,-,Bremer SV,2014
Boris Koweschnikow,CM,24,-,Bremer SV,2014
Philipp Schiller,RM,22,-,Bremer SV,2014
Sebastian Kmiec,LW,25,-,Bremer SV,2014
Simon Cakir,LW,23,-,Bremer SV,2014
Christian Schwarz,LW,29,-,Bremer SV,2014
Mert Bicakci,LW,19,-,Bremer SV,2014
Florent Aziri,RW,26,-,Bremer SV,2014
Sebastian Kurkiewicz,RW,27,-,Bremer SV,2014
Iman Bi-Ria,ST,31,-,Bremer SV,2014
Flemming Sager,ST,22,-,Bremer SV,2014
Christian Ahlers-Ceglarek,GK,32,-,Bremer SV,2015
Kevin Kuhfeld,GK,19,-,Bremer SV,2015
Maciej Kwiatkowski,CB,28,-,Bremer SV,2015
Dominic Krogemann,CB,27,-,Bremer SV,2015
Michel Haskamp,CB,30,-,Bremer SV,2015
Ismaila Njie,CB,20,-,Bremer SV,2015
Denis Nukic,CB,29,-,Bremer SV,2015
Frithjof Rathjen,CB,23,-,Bremer SV,2015
Ontje Abendroth,LB,32,-,Bremer SV,2015
Youness Buduar,RB,24,-,Bremer SV,2015
Andre Waldau,RB,27,-,Bremer SV,2015
Matheus Wild,CDM,29,-,Bremer SV,2015
Dave Otto,CDM,27,-,Bremer SV,2015
Ole Laabs,CDM,30,-,Bremer SV,2015
Mats Kaiser,CDM,19,-,Bremer SV,2015
Dragan Millé,CDM,23,-,Bremer SV,2015
Boris Koweschnikow,CM,25,-,Bremer SV,2015
Florian Schiller,RM,26,-,Bremer SV,2015
Philipp Schiller,RM,23,-,Bremer SV,2015
Gökhan Aktas,CAM,25,-,Bremer SV,2015
