name,position,age,value,team,season
Philipp Pentke,GK,30,275 Tsd. €,Chemnitzer FC,2014
Maximilian Reule,GK,21,125 Tsd. €,Chemnitzer FC,2014
Nils Röseler,CB,23,400 Tsd. €,Chemnitzer FC,2014
Marc Endres,CB,24,325 Tsd. €,Chemnitzer FC,2014
Kevin Conrad,CB,24,275 Tsd. €,Chemnitzer FC,2014
Dan-Patrick Poggenberg,LB,23,275 Tsd. €,Chemnitzer FC,2014
Marcel Hofrath,LB,22,200 Tsd. €,Chemnitzer FC,2014
Stefano Cincotta,LB,24,200 Tsd. €,Chemnitzer FC,2014
Tom Scheffel,RB,20,150 Tsd. €,Chemnitzer FC,2014
Tim Hölscher,CDM,20,400 Tsd. €,Chemnitzer FC,2014
Fabian Stenzel,CDM,28,350 Tsd. €,Chemnitzer FC,2014
Karol Karlik,CDM,29,300 Tsd. €,Chemnitzer FC,2014
Marc Lais,CDM,24,250 Tsd. €,Chemnitzer FC,2014
Nicolai Lorenzoni,CDM,23,225 Tsd. €,Chemnitzer FC,2014
Marco Kehl-Gómez,CDM,23,200 Tsd. €,Chemnitzer FC,2014
Marc Hensel,CDM,29,150 Tsd. €,Chemnitzer FC,2014
Tim Danneberg,CM,29,250 Tsd. €,Chemnitzer FC,2014
Ronny Garbuschewski,CAM,29,300 Tsd. €,Chemnitzer FC,2014
Philip Türpitz,CAM,23,275 Tsd. €,Chemnitzer FC,2014
Timo Cecen,CAM,21,150 Tsd. €,Chemnitzer FC,2014
Reagy Ofosu,LW,23,200 Tsd. €,Chemnitzer FC,2014
Christian Mauersberger,LW,20,150 Tsd. €,Chemnitzer FC,2014
Anton Fink,Second Striker,27,500 Tsd. €,Chemnitzer FC,2014
Frank Löning,ST,33,250 Tsd. €,Chemnitzer FC,2014
Markus Ziereis,ST,22,150 Tsd. €,Chemnitzer FC,2014
Sebastian Glasner,ST,30,150 Tsd. €,Chemnitzer FC,2014
Florian Hansch,ST,19,50 Tsd. €,Chemnitzer FC,2014
