name,position,age,value,team,season
André Helmstedt,GK,28,-,Einheit Wernigerode,2014
Stefan Ramme,CB,26,-,Einheit Wernigerode,2014
Mathias Schulze,LB,28,-,Einheit Wernigerode,2014
Leeroy Götz,LB,25,-,Einheit Wernigerode,2014
Mathias Günther,RB,27,-,Einheit Wernigerode,2014
Alexander Kopp,CDM,32,-,Einheit Wernigerode,2014
André Kopp,CM,32,-,Einheit Wernigerode,2014
Tassilo Werner,CAM,27,-,Einheit Wernigerode,2014
Marco Oberstädt,ST,25,-,Einheit Wernigerode,2014
André Helmstedt,GK,29,-,Einheit Wernigerode,2015
Stefan Ramme,CB,27,-,Einheit Wernigerode,2015
Mathias Schulze,LB,29,-,Einheit Wernigerode,2015
Leeroy Götz,LB,26,-,Einheit Wernigerode,2015
Mathias Günther,RB,28,-,Einheit Wernigerode,2015
Alexander Kopp,CDM,33,-,Einheit Wernigerode,2015
André Kopp,CM,33,-,Einheit Wernigerode,2015
Tassilo Werner,CAM,28,-,Einheit Wernigerode,2015
Nick Schmidt,ST,24,-,Einheit Wernigerode,2015
André Helmstedt,GK,30,-,Einheit Wernigerode,2016
Stefan Ramme,CB,28,-,Einheit Wernigerode,2016
Philipp Hinze,CB,21,-,Einheit Wernigerode,2016
Mathias Schulze,LB,30,-,Einheit Wernigerode,2016
Leeroy Götz,LB,27,-,Einheit Wernigerode,2016
Mathias Günther,RB,29,-,Einheit Wernigerode,2016
Alexander Kopp,CDM,34,-,Einheit Wernigerode,2016
André Kopp,CM,34,-,Einheit Wernigerode,2016
Tassilo Werner,CAM,29,-,Einheit Wernigerode,2016
Michael Preuß,ST,33,-,Einheit Wernigerode,2016
Nick Schmidt,ST,25,-,Einheit Wernigerode,2016
André Helmstedt,GK,31,-,Einheit Wernigerode,2017
Stefan Ramme,CB,29,-,Einheit Wernigerode,2017
Danny Wersig,CB,23,-,Einheit Wernigerode,2017
Mathias Schulze,LB,31,-,Einheit Wernigerode,2017
Leeroy Götz,LB,28,-,Einheit Wernigerode,2017
Mathias Günther,RB,30,-,Einheit Wernigerode,2017
Alexander Kopp,CDM,35,-,Einheit Wernigerode,2017
André Kopp,CM,35,-,Einheit Wernigerode,2017
Tassilo Werner,CAM,30,-,Einheit Wernigerode,2017
Max Binsker,CAM,27,-,Einheit Wernigerode,2017
Michael Preuß,ST,34,-,Einheit Wernigerode,2017
Nick Schmidt,ST,26,-,Einheit Wernigerode,2017
Rouven Blecker,ST,20,-,Einheit Wernigerode,2017
André Helmstedt,GK,32,-,Einheit Wernigerode,2018
Danny Wersig,CB,24,-,Einheit Wernigerode,2018
Tomasz Wandzik,CB,25,-,Einheit Wernigerode,2018
Mathias Günther,RB,31,-,Einheit Wernigerode,2018
Artur Galeza,RB,29,-,Einheit Wernigerode,2018
Alexander Kopp,CDM,36,-,Einheit Wernigerode,2018
Gordon Stammer,CDM,24,-,Einheit Wernigerode,2018
Tassilo Werner,CAM,31,-,Einheit Wernigerode,2018
Max Binsker,CAM,28,-,Einheit Wernigerode,2018
Nick Schmidt,ST,27,-,Einheit Wernigerode,2018
Tino Semmer,ST,33,-,Einheit Wernigerode,2018
Rouven Blecker,ST,21,-,Einheit Wernigerode,2018
André Helmstedt,GK,33,-,Einheit Wernigerode,2019
Robert Schmidt,GK,24,-,Einheit Wernigerode,2019
Julian Nebe,GK,21,-,Einheit Wernigerode,2019
Danny Wersig,CB,25,-,Einheit Wernigerode,2019
Marcus Niehoff,CB,19,-,Einheit Wernigerode,2019
Christoph Braitmaier,CB,33,-,Einheit Wernigerode,2019
Mika Hess,CB,21,-,Einheit Wernigerode,2019
Mathias Günther,RB,32,-,Einheit Wernigerode,2019
Marko Fiedler,RB,47,-,Einheit Wernigerode,2019
Felix Kanter,RB,22,-,Einheit Wernigerode,2019
Niclas Kodatis,RB,21,-,Einheit Wernigerode,2019
Artur Galeza,RB,30,-,Einheit Wernigerode,2019
Eric Heindorf,RB,23,-,Einheit Wernigerode,2019
Sebastian Schenk,RB,31,-,Einheit Wernigerode,2019
Maximilian Farwig,CDM,20,-,Einheit Wernigerode,2019
Alexander Kopp,CDM,37,-,Einheit Wernigerode,2019
Mateusz Rogacki,CDM,31,-,Einheit Wernigerode,2019
Gordon Stammer,CDM,25,-,Einheit Wernigerode,2019
Tim Carstens,CM,25,-,Einheit Wernigerode,2019
Steven Rentz,RM,26,-,Einheit Wernigerode,2019
Andy Wipperling-Brendle,CAM,28,-,Einheit Wernigerode,2019
Justin Riemann,CAM,22,-,Einheit Wernigerode,2019
Nick Schmidt,ST,28,-,Einheit Wernigerode,2019
Tino Semmer,ST,34,-,Einheit Wernigerode,2019
Rouven Blecker,ST,22,-,Einheit Wernigerode,2019
Leon Dannhauer,ST,19,-,Einheit Wernigerode,2019
Tobias Plantikow,ST,35,-,Einheit Wernigerode,2019
Tino Leßmann,ST,41,-,Einheit Wernigerode,2019
André Helmstedt,GK,34,-,Einheit Wernigerode,2020
Robert Schmidt,GK,25,-,Einheit Wernigerode,2020
Julian Nebe,GK,22,-,Einheit Wernigerode,2020
Danny Wersig,CB,26,-,Einheit Wernigerode,2020
Christoph Braitmaier,CB,34,-,Einheit Wernigerode,2020
Georg Gampe,CB,20,-,Einheit Wernigerode,2020
Marcus Niehoff,CB,20,-,Einheit Wernigerode,2020
Mika Hess,CB,22,-,Einheit Wernigerode,2020
Aaron Kläfker,CB,20,-,Einheit Wernigerode,2020
Mathias Günther,RB,33,-,Einheit Wernigerode,2020
Felix Kanter,RB,23,-,Einheit Wernigerode,2020
