name,position,age,value,team,season
Rafal Gikiewicz,GK,27,800 Tsd. €,Eintracht Braunschweig,2014
Marjan Petkovic,GK,36,200 Tsd. €,Eintracht Braunschweig,2014
Marcel Correia,CB,26,"1,20 Mio. €",Eintracht Braunschweig,2014
Saulo Decarli,CB,23,600 Tsd. €,Eintracht Braunschweig,2014
Deniz Dogan,CB,35,250 Tsd. €,Eintracht Braunschweig,2014
Matthias Henn,CB,30,200 Tsd. €,Eintracht Braunschweig,2014
Ken Reichel,LB,28,"1,20 Mio. €",Eintracht Braunschweig,2014
Hendrick Zuck,LB,24,650 Tsd. €,Eintracht Braunschweig,2014
Mohammad Baghdadi,LB,18,100 Tsd. €,Eintracht Braunschweig,2014
Vegar Hedenstad,RB,24,"1,40 Mio. €",Eintracht Braunschweig,2014
Benjamin Kessel,RB,27,800 Tsd. €,Eintracht Braunschweig,2014
Maximilian Sauer,RB,21,150 Tsd. €,Eintracht Braunschweig,2014
Mirko Boland,CDM,28,"1,40 Mio. €",Eintracht Braunschweig,2014
Norman Theuerkauf,CDM,28,"1,00 Mio. €",Eintracht Braunschweig,2014
Marc Pfitzner,CDM,30,400 Tsd. €,Eintracht Braunschweig,2014
Jan Washausen,CDM,26,150 Tsd. €,Eintracht Braunschweig,2014
Damir Vrancic,CM,29,450 Tsd. €,Eintracht Braunschweig,2014
Nik Omladic,RM,25,750 Tsd. €,Eintracht Braunschweig,2014
Salim Khelifi,RM,21,400 Tsd. €,Eintracht Braunschweig,2014
Jan Hochscheidt,CAM,27,"1,10 Mio. €",Eintracht Braunschweig,2014
Seung-woo Ryu,CAM,21,650 Tsd. €,Eintracht Braunschweig,2014
Gianluca Korte,CAM,24,200 Tsd. €,Eintracht Braunschweig,2014
Julius Düker,CAM,19,150 Tsd. €,Eintracht Braunschweig,2014
Gerrit Holtmann,LW,20,125 Tsd. €,Eintracht Braunschweig,2014
Raffael Korte,RW,24,600 Tsd. €,Eintracht Braunschweig,2014
Dennis Kruppke,Second Striker,35,400 Tsd. €,Eintracht Braunschweig,2014
Havard Nielsen,ST,21,"2,00 Mio. €",Eintracht Braunschweig,2014
Mushaga Bakenga,ST,22,"1,00 Mio. €",Eintracht Braunschweig,2014
Orhan Ademi,ST,23,700 Tsd. €,Eintracht Braunschweig,2014
Torsten Oehrl,ST,29,500 Tsd. €,Eintracht Braunschweig,2014
Emil Berggreen,ST,22,400 Tsd. €,Eintracht Braunschweig,2014
Haris Hyseni,ST,22,100 Tsd. €,Eintracht Braunschweig,2014
Rafal Gikiewicz,GK,28,900 Tsd. €,Eintracht Braunschweig,2015
Jasmin Fejzic,GK,30,400 Tsd. €,Eintracht Braunschweig,2015
Marcel Engelhardt,GK,23,100 Tsd. €,Eintracht Braunschweig,2015
Marcel Correia,CB,27,"1,30 Mio. €",Eintracht Braunschweig,2015
Saulo Decarli,CB,24,"1,00 Mio. €",Eintracht Braunschweig,2015
Joseph Baffoe,CB,23,900 Tsd. €,Eintracht Braunschweig,2015
Deniz Dogan,CB,36,100 Tsd. €,Eintracht Braunschweig,2015
Ken Reichel,LB,29,"1,30 Mio. €",Eintracht Braunschweig,2015
Hendrick Zuck,LB,25,800 Tsd. €,Eintracht Braunschweig,2015
Niko Kijewski,LB,20,200 Tsd. €,Eintracht Braunschweig,2015
Mohammad Baghdadi,LB,19,150 Tsd. €,Eintracht Braunschweig,2015
Phil Ofosu-Ayeh,RB,24,900 Tsd. €,Eintracht Braunschweig,2015
Maximilian Sauer,RB,22,400 Tsd. €,Eintracht Braunschweig,2015
Mirko Boland,CDM,29,"1,20 Mio. €",Eintracht Braunschweig,2015
Adam Matuszczyk,CDM,27,900 Tsd. €,Eintracht Braunschweig,2015
Marc Pfitzner,CDM,31,350 Tsd. €,Eintracht Braunschweig,2015
Omar Castro,CDM,20,75 Tsd. €,Eintracht Braunschweig,2015
Patrick Schönfeld,CM,27,500 Tsd. €,Eintracht Braunschweig,2015
Damir Vrancic,CM,30,200 Tsd. €,Eintracht Braunschweig,2015
Salim Khelifi,RM,22,800 Tsd. €,Eintracht Braunschweig,2015
Nik Omladic,RM,26,700 Tsd. €,Eintracht Braunschweig,2015
Jan Hochscheidt,CAM,28,800 Tsd. €,Eintracht Braunschweig,2015
Julius Düker,CAM,20,300 Tsd. €,Eintracht Braunschweig,2015
Gerrit Holtmann,LW,21,600 Tsd. €,Eintracht Braunschweig,2015
Emil Berggreen,ST,23,"2,00 Mio. €",Eintracht Braunschweig,2015
Mads Hvilsom,ST,23,750 Tsd. €,Eintracht Braunschweig,2015
Domi Kumbela,ST,32,450 Tsd. €,Eintracht Braunschweig,2015
Torsten Oehrl,ST,30,400 Tsd. €,Eintracht Braunschweig,2015
Orhan Ademi,ST,24,400 Tsd. €,Eintracht Braunschweig,2015
Phillip Tietz,ST,18,300 Tsd. €,Eintracht Braunschweig,2015
Jasmin Fejzic,GK,31,750 Tsd. €,Eintracht Braunschweig,2016
Marcel Engelhardt,GK,24,200 Tsd. €,Eintracht Braunschweig,2016
Saulo Decarli,CB,25,"1,75 Mio. €",Eintracht Braunschweig,2016
Gustav Valsvik,CB,24,"1,30 Mio. €",Eintracht Braunschweig,2016
Joseph Baffoe,CB,24,800 Tsd. €,Eintracht Braunschweig,2016
Marcel Correia,CB,28,800 Tsd. €,Eintracht Braunschweig,2016
Ken Reichel,LB,30,"1,30 Mio. €",Eintracht Braunschweig,2016
Hendrick Zuck,LB,26,500 Tsd. €,Eintracht Braunschweig,2016
Niko Kijewski,LB,21,350 Tsd. €,Eintracht Braunschweig,2016
Phil Ofosu-Ayeh,RB,25,800 Tsd. €,Eintracht Braunschweig,2016
Maximilian Sauer,RB,23,600 Tsd. €,Eintracht Braunschweig,2016
Michael Schulze,RB,28,200 Tsd. €,Eintracht Braunschweig,2016
Quirin Moll,CDM,26,"1,00 Mio. €",Eintracht Braunschweig,2016
Mirko Boland,CDM,30,750 Tsd. €,Eintracht Braunschweig,2016
Adam Matuszczyk,CDM,28,300 Tsd. €,Eintracht Braunschweig,2016
Patrick Schönfeld,CM,28,750 Tsd. €,Eintracht Braunschweig,2016
Nik Omladic,RM,27,"1,00 Mio. €",Eintracht Braunschweig,2016
Salim Khelifi,RM,23,"1,00 Mio. €",Eintracht Braunschweig,2016
Jan Hochscheidt,CAM,29,600 Tsd. €,Eintracht Braunschweig,2016
Julius Biada,CAM,24,500 Tsd. €,Eintracht Braunschweig,2016
Onel Hernández,LW,24,"1,00 Mio. €",Eintracht Braunschweig,2016
Christoffer Nyman,ST,24,"1,50 Mio. €",Eintracht Braunschweig,2016
Suleiman Abdullahi,ST,20,800 Tsd. €,Eintracht Braunschweig,2016
Domi Kumbela,ST,33,450 Tsd. €,Eintracht Braunschweig,2016
Mads Hvilsom,ST,24,400 Tsd. €,Eintracht Braunschweig,2016
Orhan Ademi,ST,25,300 Tsd. €,Eintracht Braunschweig,2016
Phillip Tietz,ST,19,250 Tsd. €,Eintracht Braunschweig,2016
Jasmin Fejzic,GK,32,600 Tsd. €,Eintracht Braunschweig,2017
Marcel Engelhardt,GK,25,200 Tsd. €,Eintracht Braunschweig,2017
Eric Verstappen,GK,24,100 Tsd. €,Eintracht Braunschweig,2017
Gustav Valsvik,CB,25,"1,30 Mio. €",Eintracht Braunschweig,2017
Steve Breitkreuz,CB,26,700 Tsd. €,Eintracht Braunschweig,2017
Joseph Baffoe,CB,25,700 Tsd. €,Eintracht Braunschweig,2017
Louis Samson,CB,22,600 Tsd. €,Eintracht Braunschweig,2017
Frederik Tingager,CB,25,450 Tsd. €,Eintracht Braunschweig,2017
Steffen Nkansah,CB,22,250 Tsd. €,Eintracht Braunschweig,2017
Ken Reichel,LB,31,700 Tsd. €,Eintracht Braunschweig,2017
Hendrick Zuck,LB,27,400 Tsd. €,Eintracht Braunschweig,2017
Niko Kijewski,LB,22,350 Tsd. €,Eintracht Braunschweig,2017
Onur Bulut,RB,24,800 Tsd. €,Eintracht Braunschweig,2017
Georg Teigl,RB,27,600 Tsd. €,Eintracht Braunschweig,2017
Maximilian Sauer,RB,24,450 Tsd. €,Eintracht Braunschweig,2017
Robin Becker,RB,21,350 Tsd. €,Eintracht Braunschweig,2017
Mirko Boland,CDM,31,600 Tsd. €,Eintracht Braunschweig,2017
Quirin Moll,CDM,27,500 Tsd. €,Eintracht Braunschweig,2017
Patrick Schönfeld,CM,29,450 Tsd. €,Eintracht Braunschweig,2017
Salim Khelifi,RM,24,900 Tsd. €,Eintracht Braunschweig,2017
Jan Hochscheidt,CAM,30,600 Tsd. €,Eintracht Braunschweig,2017
