name,position,age,value,team,season
Kevin Trapp,GK,24,"8,00 Mio. €",Eintracht Frankfurt,2014
Felix Wiedwald,GK,25,"1,50 Mio. €",Eintracht Frankfurt,2014
Timo Hildebrand,GK,36,750 Tsd. €,Eintracht Frankfurt,2014
Emil Balayev,GK,21,200 Tsd. €,Eintracht Frankfurt,2014
Yannick Zummack,GK,19,100 Tsd. €,Eintracht Frankfurt,2014
Carlos Zambrano,CB,25,"8,00 Mio. €",Eintracht Frankfurt,2014
Marco Russ,CB,29,"3,00 Mio. €",Eintracht Frankfurt,2014
Bamba Anderson,CB,27,"2,50 Mio. €",Eintracht Frankfurt,2014
Alexander Madlung,CB,32,800 Tsd. €,Eintracht Frankfurt,2014
Bastian Oczipka,LB,26,"3,00 Mio. €",Eintracht Frankfurt,2014
Constant Djakpa,LB,28,"1,50 Mio. €",Eintracht Frankfurt,2014
Timothy Chandler,RB,25,"2,50 Mio. €",Eintracht Frankfurt,2014
Makoto Hasebe,CDM,31,"2,50 Mio. €",Eintracht Frankfurt,2014
Slobodan Medojevic,CDM,24,"2,50 Mio. €",Eintracht Frankfurt,2014
Aleksandar Ignjovski,CDM,24,"2,00 Mio. €",Eintracht Frankfurt,2014
Martin Lanig,CDM,30,600 Tsd. €,Eintracht Frankfurt,2014
Marc Stendera,CM,19,"5,00 Mio. €",Eintracht Frankfurt,2014
Johannes Flum,CM,27,"2,50 Mio. €",Eintracht Frankfurt,2014
David Kinsombi,CM,19,250 Tsd. €,Eintracht Frankfurt,2014
Lucas Piazón,CAM,21,"5,00 Mio. €",Eintracht Frankfurt,2014
Sonny Kittel,CAM,22,500 Tsd. €,Eintracht Frankfurt,2014
Joel Gerezgiher,CAM,19,100 Tsd. €,Eintracht Frankfurt,2014
Takashi Inui,LW,27,"2,50 Mio. €",Eintracht Frankfurt,2014
Stefan Aigner,RW,27,"5,00 Mio. €",Eintracht Frankfurt,2014
Alexander Meier,Second Striker,32,"3,00 Mio. €",Eintracht Frankfurt,2014
Haris Seferovic,ST,23,"6,00 Mio. €",Eintracht Frankfurt,2014
Vaclav Kadlec,ST,23,"3,00 Mio. €",Eintracht Frankfurt,2014
Nelson Valdez,ST,31,"2,00 Mio. €",Eintracht Frankfurt,2014
Luca Waldschmidt,ST,19,500 Tsd. €,Eintracht Frankfurt,2014
Yaffa Yusupha,ST,18,100 Tsd. €,Eintracht Frankfurt,2014
Lukas Hradecky,GK,26,"3,50 Mio. €",Eintracht Frankfurt,2015
Heinz Lindner,GK,25,"1,00 Mio. €",Eintracht Frankfurt,2015
Emil Balayev,GK,22,150 Tsd. €,Eintracht Frankfurt,2015
Yannick Zummack,GK,20,150 Tsd. €,Eintracht Frankfurt,2015
Carlos Zambrano,CB,26,"6,50 Mio. €",Eintracht Frankfurt,2015
Marco Russ,CB,30,"2,50 Mio. €",Eintracht Frankfurt,2015
David Abraham,CB,29,"2,50 Mio. €",Eintracht Frankfurt,2015
Bamba Anderson,CB,28,"1,25 Mio. €",Eintracht Frankfurt,2015
Bastian Oczipka,LB,27,"3,00 Mio. €",Eintracht Frankfurt,2015
Constant Djakpa,LB,29,"1,25 Mio. €",Eintracht Frankfurt,2015
Kaan Ayhan,RB,21,"3,50 Mio. €",Eintracht Frankfurt,2015
Timothy Chandler,RB,26,"2,00 Mio. €",Eintracht Frankfurt,2015
Makoto Hasebe,CDM,32,"2,50 Mio. €",Eintracht Frankfurt,2015
Aleksandar Ignjovski,CDM,25,"2,00 Mio. €",Eintracht Frankfurt,2015
Slobodan Medojevic,CDM,25,"1,50 Mio. €",Eintracht Frankfurt,2015
Yanni Regäsel,CDM,20,750 Tsd. €,Eintracht Frankfurt,2015
Nico Rinderknecht,CDM,18,150 Tsd. €,Eintracht Frankfurt,2015
Stefan Reinartz,CDM,27,-,Eintracht Frankfurt,2015
Marc Stendera,CM,20,"8,00 Mio. €",Eintracht Frankfurt,2015
Johannes Flum,CM,28,"1,25 Mio. €",Eintracht Frankfurt,2015
David Kinsombi,CM,20,300 Tsd. €,Eintracht Frankfurt,2015
Szabolcs Huszti,LM,33,"1,00 Mio. €",Eintracht Frankfurt,2015
Marco Fabián,CAM,26,"5,00 Mio. €",Eintracht Frankfurt,2015
Mijat Gacinovic,CAM,21,"1,50 Mio. €",Eintracht Frankfurt,2015
Änis Ben-Hatira,CAM,27,"1,25 Mio. €",Eintracht Frankfurt,2015
Joel Gerezgiher,CAM,20,500 Tsd. €,Eintracht Frankfurt,2015
Sonny Kittel,CAM,23,500 Tsd. €,Eintracht Frankfurt,2015
Takashi Inui,LW,28,"3,00 Mio. €",Eintracht Frankfurt,2015
Stefan Aigner,RW,28,"4,50 Mio. €",Eintracht Frankfurt,2015
Alexander Meier,Second Striker,33,"3,00 Mio. €",Eintracht Frankfurt,2015
Haris Seferovic,ST,24,"5,50 Mio. €",Eintracht Frankfurt,2015
Luc Castaignos,ST,23,"4,00 Mio. €",Eintracht Frankfurt,2015
Vaclav Kadlec,ST,24,"2,00 Mio. €",Eintracht Frankfurt,2015
Luca Waldschmidt,ST,20,"1,00 Mio. €",Eintracht Frankfurt,2015
Enis Bunjaki,ST,18,100 Tsd. €,Eintracht Frankfurt,2015
Lukas Hradecky,GK,27,"4,50 Mio. €",Eintracht Frankfurt,2016
Heinz Lindner,GK,26,"1,00 Mio. €",Eintracht Frankfurt,2016
Leon Bätge,GK,19,100 Tsd. €,Eintracht Frankfurt,2016
Jesús Vallejo,CB,20,"8,00 Mio. €",Eintracht Frankfurt,2016
David Abraham,CB,30,"4,00 Mio. €",Eintracht Frankfurt,2016
Michael Hector,CB,24,"3,00 Mio. €",Eintracht Frankfurt,2016
Marco Russ,CB,31,"2,00 Mio. €",Eintracht Frankfurt,2016
Andersson Ordóñez,CB,23,750 Tsd. €,Eintracht Frankfurt,2016
Furkan Zorba,CB,19,150 Tsd. €,Eintracht Frankfurt,2016
Noel Knothe,CB,18,-,Eintracht Frankfurt,2016
Deji Beyreuther,CB,17,-,Eintracht Frankfurt,2016
Bastian Oczipka,LB,28,"3,50 Mio. €",Eintracht Frankfurt,2016
Taleb Tawatha,LB,25,"1,50 Mio. €",Eintracht Frankfurt,2016
Timothy Chandler,RB,27,"3,50 Mio. €",Eintracht Frankfurt,2016
Guillermo Varela,RB,24,750 Tsd. €,Eintracht Frankfurt,2016
Marius Wolf,RB,22,500 Tsd. €,Eintracht Frankfurt,2016
Omar Mascarell,CDM,24,"4,50 Mio. €",Eintracht Frankfurt,2016
