name,position,age,value,team,season
Johannes Höcker,GK,30,100 Tsd. €,Eintracht Norderstedt,2014
Mirko Oest,GK,20,50 Tsd. €,Eintracht Norderstedt,2014
Patrick Hartmann,GK,19,-,Eintracht Norderstedt,2014
Linus Büchler,CB,21,50 Tsd. €,Eintracht Norderstedt,2014
Marin Mandic,CB,26,100 Tsd. €,Eintracht Norderstedt,2014
Jan-Henrik Kaetow,CB,25,50 Tsd. €,Eintracht Norderstedt,2014
Clifford Aniteye,CB,21,50 Tsd. €,Eintracht Norderstedt,2014
Hamajak Bojadgian,CB,18,25 Tsd. €,Eintracht Norderstedt,2014
Dane Kummerfeld,LB,23,75 Tsd. €,Eintracht Norderstedt,2014
Steven Lindener,LB,24,50 Tsd. €,Eintracht Norderstedt,2014
Jan-Philipp Rose,LB,29,50 Tsd. €,Eintracht Norderstedt,2014
Steffen Heinemann,RB,23,75 Tsd. €,Eintracht Norderstedt,2014
Juri Marxen,RB,20,50 Tsd. €,Eintracht Norderstedt,2014
Deran Toksöz,CDM,27,100 Tsd. €,Eintracht Norderstedt,2014
Marius Browarczyk,CDM,26,75 Tsd. €,Eintracht Norderstedt,2014
Philipp Koch,CDM,24,75 Tsd. €,Eintracht Norderstedt,2014
Nico Schluchtmann,CDM,19,-,Eintracht Norderstedt,2014
Marco Schultz,CM,23,50 Tsd. €,Eintracht Norderstedt,2014
Yayar Kunath,RM,26,75 Tsd. €,Eintracht Norderstedt,2014
Erdinc Güner,RM,23,50 Tsd. €,Eintracht Norderstedt,2014
Martin Kubon,RM,25,25 Tsd. €,Eintracht Norderstedt,2014
Linus Meyer,CAM,23,100 Tsd. €,Eintracht Norderstedt,2014
Gerrit Pressel,CAM,25,75 Tsd. €,Eintracht Norderstedt,2014
Jirdjanik Ghazaryan,CAM,22,50 Tsd. €,Eintracht Norderstedt,2014
Yakup Telli,CAM,18,-,Eintracht Norderstedt,2014
Björn Nadler,LW,30,100 Tsd. €,Eintracht Norderstedt,2014
Sinisa Veselinovic,ST,24,150 Tsd. €,Eintracht Norderstedt,2014
Jan Lüneburg,ST,24,75 Tsd. €,Eintracht Norderstedt,2014
Pablo Kunter,ST,19,50 Tsd. €,Eintracht Norderstedt,2014
Morike Sako,ST,33,50 Tsd. €,Eintracht Norderstedt,2014
Nick Scharkowski,ST,23,25 Tsd. €,Eintracht Norderstedt,2014
Johannes Höcker,GK,31,100 Tsd. €,Eintracht Norderstedt,2015
Ole Springer,GK,24,100 Tsd. €,Eintracht Norderstedt,2015
Patrick Hartmann,GK,20,25 Tsd. €,Eintracht Norderstedt,2015
Marin Mandic,CB,27,100 Tsd. €,Eintracht Norderstedt,2015
Jeremy Karikari,CB,28,100 Tsd. €,Eintracht Norderstedt,2015
Tim Petersen,CB,30,75 Tsd. €,Eintracht Norderstedt,2015
Clifford Aniteye,CB,22,75 Tsd. €,Eintracht Norderstedt,2015
Hamajak Bojadgian,CB,19,50 Tsd. €,Eintracht Norderstedt,2015
Marcus Coffie,CB,21,25 Tsd. €,Eintracht Norderstedt,2015
Steven Lindener,LB,25,75 Tsd. €,Eintracht Norderstedt,2015
Jan-Philipp Rose,LB,30,75 Tsd. €,Eintracht Norderstedt,2015
Dane Kummerfeld,LB,24,50 Tsd. €,Eintracht Norderstedt,2015
René Jozic,RB,19,50 Tsd. €,Eintracht Norderstedt,2015
Juri Marxen,RB,21,50 Tsd. €,Eintracht Norderstedt,2015
Deran Toksöz,CDM,28,125 Tsd. €,Eintracht Norderstedt,2015
Philipp Koch,CDM,25,100 Tsd. €,Eintracht Norderstedt,2015
Nico Schluchtmann,CDM,20,50 Tsd. €,Eintracht Norderstedt,2015
David Karg,CM,23,75 Tsd. €,Eintracht Norderstedt,2015
Marco Schultz,CM,24,50 Tsd. €,Eintracht Norderstedt,2015
Yayar Kunath,RM,27,100 Tsd. €,Eintracht Norderstedt,2015
Linus Meyer,CAM,24,100 Tsd. €,Eintracht Norderstedt,2015
Thure Ilgner,CAM,20,50 Tsd. €,Eintracht Norderstedt,2015
Gerrit Pressel,CAM,26,-,Eintracht Norderstedt,2015
Björn Nadler,LW,31,100 Tsd. €,Eintracht Norderstedt,2015
Ermir Zekjiri,LW,27,75 Tsd. €,Eintracht Norderstedt,2015
Haris Kevac,LW,20,50 Tsd. €,Eintracht Norderstedt,2015
Ante Kutschke,RW,19,25 Tsd. €,Eintracht Norderstedt,2015
Jan Lüneburg,ST,25,125 Tsd. €,Eintracht Norderstedt,2015
Pablo Kunter,ST,20,50 Tsd. €,Eintracht Norderstedt,2015
Onur Akdogan,ST,22,25 Tsd. €,Eintracht Norderstedt,2015
Johannes Höcker,GK,32,125 Tsd. €,Eintracht Norderstedt,2016
Lars Huxsohl,GK,21,50 Tsd. €,Eintracht Norderstedt,2016
Marvis Kreitling,GK,20,25 Tsd. €,Eintracht Norderstedt,2016
Lukas Benner,GK,20,25 Tsd. €,Eintracht Norderstedt,2016
Patrick Hartmann,GK,21,-,Eintracht Norderstedt,2016
René Heide,GK,19,-,Eintracht Norderstedt,2016
Marin Mandic,CB,28,100 Tsd. €,Eintracht Norderstedt,2016
Jeremy Karikari,CB,29,100 Tsd. €,Eintracht Norderstedt,2016
Marcus Coffie,CB,22,75 Tsd. €,Eintracht Norderstedt,2016
Hamajak Bojadgian,CB,20,50 Tsd. €,Eintracht Norderstedt,2016
Jan-Philipp Rose,LB,31,75 Tsd. €,Eintracht Norderstedt,2016
Dane Kummerfeld,LB,25,50 Tsd. €,Eintracht Norderstedt,2016
Steven Lindener,LB,26,50 Tsd. €,Eintracht Norderstedt,2016
Jordan Brown,RB,25,100 Tsd. €,Eintracht Norderstedt,2016
Juri Marxen,RB,22,50 Tsd. €,Eintracht Norderstedt,2016
René Jozic,RB,20,25 Tsd. €,Eintracht Norderstedt,2016
Deran Toksöz,CDM,29,100 Tsd. €,Eintracht Norderstedt,2016
Philipp Koch,CDM,26,75 Tsd. €,Eintracht Norderstedt,2016
Fynn Rathjen,CDM,19,25 Tsd. €,Eintracht Norderstedt,2016
David Karg,CM,24,50 Tsd. €,Eintracht Norderstedt,2016
Yayar Kunath,RM,28,50 Tsd. €,Eintracht Norderstedt,2016
Linus Meyer,CAM,25,100 Tsd. €,Eintracht Norderstedt,2016
Haris Kevac,LW,21,50 Tsd. €,Eintracht Norderstedt,2016
Kang-min Choi,LW,24,50 Tsd. €,Eintracht Norderstedt,2016
Ermir Zekjiri,LW,28,50 Tsd. €,Eintracht Norderstedt,2016
Isaac Akyere,LW,26,25 Tsd. €,Eintracht Norderstedt,2016
Björn Nadler,LW,32,-,Eintracht Norderstedt,2016
Felix Drinkuth,RW,22,125 Tsd. €,Eintracht Norderstedt,2016
Ante Kutschke,RW,20,25 Tsd. €,Eintracht Norderstedt,2016
Jan Lüneburg,ST,26,100 Tsd. €,Eintracht Norderstedt,2016
Laurynas Kulikas,ST,23,50 Tsd. €,Eintracht Norderstedt,2016
Johannes Höcker,GK,33,100 Tsd. €,Eintracht Norderstedt,2017
Lars Huxsohl,GK,22,75 Tsd. €,Eintracht Norderstedt,2017
René Heide,GK,20,25 Tsd. €,Eintracht Norderstedt,2017
Marin Mandic,CB,29,100 Tsd. €,Eintracht Norderstedt,2017
Til Bauman,CB,23,75 Tsd. €,Eintracht Norderstedt,2017
Marcus Coffie,CB,23,75 Tsd. €,Eintracht Norderstedt,2017
Hamajak Bojadgian,CB,21,75 Tsd. €,Eintracht Norderstedt,2017
Jan Schrage,CB,20,25 Tsd. €,Eintracht Norderstedt,2017
Dane Kummerfeld,LB,26,75 Tsd. €,Eintracht Norderstedt,2017
Jan-Philipp Rose,LB,32,75 Tsd. €,Eintracht Norderstedt,2017
Steven Lindener,LB,27,50 Tsd. €,Eintracht Norderstedt,2017
Jordan Brown,RB,26,100 Tsd. €,Eintracht Norderstedt,2017
Juri Marxen,RB,23,50 Tsd. €,Eintracht Norderstedt,2017
Deran Toksöz,CDM,30,100 Tsd. €,Eintracht Norderstedt,2017
Philipp Koch,CDM,27,75 Tsd. €,Eintracht Norderstedt,2017
Vico Meien,CDM,20,50 Tsd. €,Eintracht Norderstedt,2017
Yayar Kunath,RM,29,50 Tsd. €,Eintracht Norderstedt,2017
Linus Meyer,CAM,26,125 Tsd. €,Eintracht Norderstedt,2017
Kang-min Choi,LW,25,75 Tsd. €,Eintracht Norderstedt,2017
