name,position,age,value,team,season
David Buchholz,GK,30,100 Tsd. €,FC 08 Homburg,2014
Kevin Broll,GK,19,25 Tsd. €,FC 08 Homburg,2014
Mirko Vogel,GK,20,-,FC 08 Homburg,2014
Tobias Rott,GK,34,-,FC 08 Homburg,2014
Jonas Merhej,GK,18,-,FC 08 Homburg,2014
Jonas Weisenstein,GK,19,-,FC 08 Homburg,2014
Nils Fischer,CB,28,200 Tsd. €,FC 08 Homburg,2014
Clément Halet,CB,31,100 Tsd. €,FC 08 Homburg,2014
Sebastian Wolf,CB,30,100 Tsd. €,FC 08 Homburg,2014
Emil Noll,CB,36,100 Tsd. €,FC 08 Homburg,2014
Bono Marjanovic,CB,20,25 Tsd. €,FC 08 Homburg,2014
Andreas Gaebler,RB,31,150 Tsd. €,FC 08 Homburg,2014
Tim Stegerer,RB,26,150 Tsd. €,FC 08 Homburg,2014
Nino Lacagnina,RB,22,25 Tsd. €,FC 08 Homburg,2014
Steven Kröner,CDM,25,100 Tsd. €,FC 08 Homburg,2014
André Kilian,CDM,28,75 Tsd. €,FC 08 Homburg,2014
Michael Palisse,Midfielder,20,-,FC 08 Homburg,2014
Christian Blessing,CDM,21,-,FC 08 Homburg,2014
Frederic Ehrmann,CM,21,25 Tsd. €,FC 08 Homburg,2014
Marc Gallego,RM,29,100 Tsd. €,FC 08 Homburg,2014
Christian Grimm,LM,28,100 Tsd. €,FC 08 Homburg,2014
Jaron Schäfer,LM,21,25 Tsd. €,FC 08 Homburg,2014
Nico Zimmermann,CAM,29,125 Tsd. €,FC 08 Homburg,2014
Giancarlo Pinna,CAM,26,50 Tsd. €,FC 08 Homburg,2014
Leon Böhnlein,LW,18,-,FC 08 Homburg,2014
Chadli Amri,RW,30,200 Tsd. €,FC 08 Homburg,2014
Thierry Steinmetz,Second Striker,31,150 Tsd. €,FC 08 Homburg,2014
Michael Deutsche,Second Striker,23,-,FC 08 Homburg,2014
Kai Hesse,ST,30,175 Tsd. €,FC 08 Homburg,2014
Angelo Vaccaro,ST,33,150 Tsd. €,FC 08 Homburg,2014
Patrick Schmidt,ST,21,75 Tsd. €,FC 08 Homburg,2014
Matteo Timpone,ST,22,50 Tsd. €,FC 08 Homburg,2014
Florian Fromlowitz,GK,29,100 Tsd. €,FC 08 Homburg,2015
David Buchholz,GK,31,50 Tsd. €,FC 08 Homburg,2015
Tobias Trautner,GK,21,50 Tsd. €,FC 08 Homburg,2015
Jonas Weisenstein,GK,20,25 Tsd. €,FC 08 Homburg,2015
Nils Fischer,CB,29,125 Tsd. €,FC 08 Homburg,2015
Azur Velagic,CB,24,75 Tsd. €,FC 08 Homburg,2015
Sebastian Wolf,CB,31,75 Tsd. €,FC 08 Homburg,2015
Emil Noll,CB,37,50 Tsd. €,FC 08 Homburg,2015
Jan Eichmann,CB,20,25 Tsd. €,FC 08 Homburg,2015
