name,position,age,value,team,season
Marwin Hitz,GK,27,"2,50 Mio. €",FC Augsburg,2014
Alexander Manninger,GK,38,300 Tsd. €,FC Augsburg,2014
Ioannis Gelios,GK,23,100 Tsd. €,FC Augsburg,2014
Ragnar Klavan,CB,29,"2,50 Mio. €",FC Augsburg,2014
Jan-Ingwer Callsen-Bracker,CB,30,"2,50 Mio. €",FC Augsburg,2014
Jeong-ho Hong,CB,25,"1,50 Mio. €",FC Augsburg,2014
Christoph Janker,CB,30,300 Tsd. €,FC Augsburg,2014
Max Reinthaler,CB,20,100 Tsd. €,FC Augsburg,2014
Abdul Rahman Baba,LB,20,"5,00 Mio. €",FC Augsburg,2014
Marcel de Jong,LB,28,800 Tsd. €,FC Augsburg,2014
Arif Ekin,LB,19,100 Tsd. €,FC Augsburg,2014
Paul Verhaegh,RB,31,"2,00 Mio. €",FC Augsburg,2014
Ronny Philp,RB,26,400 Tsd. €,FC Augsburg,2014
Dominik Reinhardt,RB,30,250 Tsd. €,FC Augsburg,2014
Raphael Framberger,RB,19,100 Tsd. €,FC Augsburg,2014
Pierre-Emile Højbjerg,CDM,19,"4,00 Mio. €",FC Augsburg,2014
Daniel Baier,CDM,31,"3,00 Mio. €",FC Augsburg,2014
Dominik Kohr,CDM,21,"2,00 Mio. €",FC Augsburg,2014
Marco Schuster,CDM,19,125 Tsd. €,FC Augsburg,2014
Maik Uhde,CDM,21,100 Tsd. €,FC Augsburg,2014
Tim Rieder,CDM,21,100 Tsd. €,FC Augsburg,2014
Jan Moravek,CM,25,"1,20 Mio. €",FC Augsburg,2014
Markus Feulner,CM,33,"1,00 Mio. €",FC Augsburg,2014
Halil Altıntop,CAM,32,"2,00 Mio. €",FC Augsburg,2014
Erik Thommy,CAM,20,300 Tsd. €,FC Augsburg,2014
Bastian Kurz,CAM,18,-,FC Augsburg,2014
Tobias Werner,LW,29,"3,00 Mio. €",FC Augsburg,2014
Caiuby,LW,26,"1,00 Mio. €",FC Augsburg,2014
Tim Matavz,ST,26,"3,50 Mio. €",FC Augsburg,2014
Raúl Bobadilla,ST,28,"3,00 Mio. €",FC Augsburg,2014
Shawn Parker,ST,22,"1,75 Mio. €",FC Augsburg,2014
Alexander Esswein,ST,25,"1,50 Mio. €",FC Augsburg,2014
Dong-won Ji,ST,24,"1,50 Mio. €",FC Augsburg,2014
Nikola Djurdjic,ST,29,"1,30 Mio. €",FC Augsburg,2014
Sascha Mölders,ST,30,"1,25 Mio. €",FC Augsburg,2014
Marwin Hitz,GK,28,"4,50 Mio. €",FC Augsburg,2015
Alexander Manninger,GK,39,200 Tsd. €,FC Augsburg,2015
Ioannis Gelios,GK,24,100 Tsd. €,FC Augsburg,2015
Yannik Oettl,GK,19,-,FC Augsburg,2015
Ragnar Klavan,CB,30,"3,50 Mio. €",FC Augsburg,2015
Jeffrey Gouweleeuw,CB,24,"3,00 Mio. €",FC Augsburg,2015
Jeong-ho Hong,CB,26,"2,50 Mio. €",FC Augsburg,2015
Jan-Ingwer Callsen-Bracker,CB,31,"2,00 Mio. €",FC Augsburg,2015
Christoph Janker,CB,31,300 Tsd. €,FC Augsburg,2015
Max Reinthaler,CB,21,100 Tsd. €,FC Augsburg,2015
Abdul Rahman Baba,LB,21,"13,00 Mio. €",FC Augsburg,2015
Philipp Max,LB,22,"2,50 Mio. €",FC Augsburg,2015
Konstantinos Stafylidis,LB,22,"2,00 Mio. €",FC Augsburg,2015
Arif Ekin,LB,20,100 Tsd. €,FC Augsburg,2015
Paul Verhaegh,RB,32,"2,00 Mio. €",FC Augsburg,2015
Daniel Opare,RB,25,"1,50 Mio. €",FC Augsburg,2015
Raphael Framberger,RB,20,100 Tsd. €,FC Augsburg,2015
Daniel Baier,CDM,32,"3,00 Mio. €",FC Augsburg,2015
Dominik Kohr,CDM,22,"3,00 Mio. €",FC Augsburg,2015
Marco Schuster,CDM,20,125 Tsd. €,FC Augsburg,2015
Maik Uhde,CDM,22,100 Tsd. €,FC Augsburg,2015
Tim Rieder,CDM,22,100 Tsd. €,FC Augsburg,2015
Ja-cheol Koo,CM,27,"4,50 Mio. €",FC Augsburg,2015
Jan Moravek,CM,26,"1,00 Mio. €",FC Augsburg,2015
Markus Feulner,CM,34,750 Tsd. €,FC Augsburg,2015
Halil Altıntop,CAM,33,"1,25 Mio. €",FC Augsburg,2015
Piotr Trochowski,CAM,32,750 Tsd. €,FC Augsburg,2015
Erik Thommy,CAM,21,250 Tsd. €,FC Augsburg,2015
Bastian Kurz,CAM,19,100 Tsd. €,FC Augsburg,2015
Tobias Werner,LW,30,"2,50 Mio. €",FC Augsburg,2015
Caiuby,LW,27,"2,00 Mio. €",FC Augsburg,2015
Raúl Bobadilla,ST,29,"5,50 Mio. €",FC Augsburg,2015
Alfred Finnbogason,ST,27,"5,00 Mio. €",FC Augsburg,2015
Alexander Esswein,ST,26,"2,50 Mio. €",FC Augsburg,2015
Tim Matavz,ST,27,"2,00 Mio. €",FC Augsburg,2015
Dong-won Ji,ST,25,"1,50 Mio. €",FC Augsburg,2015
Albian Ajeti,ST,19,"1,00 Mio. €",FC Augsburg,2015
Sascha Mölders,ST,31,750 Tsd. €,FC Augsburg,2015
Shawn Parker,ST,23,750 Tsd. €,FC Augsburg,2015
Marwin Hitz,GK,29,"4,00 Mio. €",FC Augsburg,2016
Andreas Luthe,GK,30,500 Tsd. €,FC Augsburg,2016
Ioannis Gelios,GK,25,100 Tsd. €,FC Augsburg,2016
Martin Hinteregger,CB,24,"8,00 Mio. €",FC Augsburg,2016
Jeffrey Gouweleeuw,CB,25,"3,50 Mio. €",FC Augsburg,2016
Kevin Danso,CB,18,"1,00 Mio. €",FC Augsburg,2016
Marvin Friedrich,CB,21,750 Tsd. €,FC Augsburg,2016
Jan-Ingwer Callsen-Bracker,CB,32,500 Tsd. €,FC Augsburg,2016
Christoph Janker,CB,32,300 Tsd. €,FC Augsburg,2016
Konstantinos Stafylidis,LB,23,"4,50 Mio. €",FC Augsburg,2016
Philipp Max,LB,23,"3,50 Mio. €",FC Augsburg,2016
Daniel Opare,RB,26,"1,25 Mio. €",FC Augsburg,2016
Paul Verhaegh,RB,33,"1,00 Mio. €",FC Augsburg,2016
Georg Teigl,RB,26,750 Tsd. €,FC Augsburg,2016
Raphael Framberger,RB,21,250 Tsd. €,FC Augsburg,2016
Dominik Kohr,CDM,23,"3,50 Mio. €",FC Augsburg,2016
Daniel Baier,CDM,33,"1,50 Mio. €",FC Augsburg,2016
Gojko Kacar,CDM,30,"1,00 Mio. €",FC Augsburg,2016
Tim Rieder,CDM,23,300 Tsd. €,FC Augsburg,2016
Marco Schuster,CDM,21,125 Tsd. €,FC Augsburg,2016
Ja-cheol Koo,CM,28,"4,50 Mio. €",FC Augsburg,2016
Moritz Leitner,CM,24,"1,00 Mio. €",FC Augsburg,2016
Jan Moravek,CM,27,750 Tsd. €,FC Augsburg,2016
Markus Feulner,CM,35,300 Tsd. €,FC Augsburg,2016
Jonathan Schmid,RM,27,"3,00 Mio. €",FC Augsburg,2016
Erik Thommy,CAM,22,650 Tsd. €,FC Augsburg,2016
Halil Altıntop,CAM,34,500 Tsd. €,FC Augsburg,2016
Julian Günther-Schmidt,CAM,22,125 Tsd. €,FC Augsburg,2016
Caiuby,LW,28,"2,00 Mio. €",FC Augsburg,2016
Alfred Finnbogason,ST,28,"4,50 Mio. €",FC Augsburg,2016
Raúl Bobadilla,ST,30,"4,00 Mio. €",FC Augsburg,2016
Alexander Esswein,ST,27,"2,50 Mio. €",FC Augsburg,2016
Dong-won Ji,ST,26,"2,00 Mio. €",FC Augsburg,2016
Albian Ajeti,ST,20,"1,50 Mio. €",FC Augsburg,2016
Takashi Usami,ST,25,"1,00 Mio. €",FC Augsburg,2016
Tim Matavz,ST,28,900 Tsd. €,FC Augsburg,2016
Shawn Parker,ST,24,300 Tsd. €,FC Augsburg,2016
Marwin Hitz,GK,30,"4,00 Mio. €",FC Augsburg,2017
Andreas Luthe,GK,31,500 Tsd. €,FC Augsburg,2017
Fabian Giefer,GK,28,350 Tsd. €,FC Augsburg,2017
Ioannis Gelios,GK,26,150 Tsd. €,FC Augsburg,2017
Martin Hinteregger,CB,25,"10,00 Mio. €",FC Augsburg,2017
Jeffrey Gouweleeuw,CB,26,"8,00 Mio. €",FC Augsburg,2017
Kevin Danso,CB,19,"6,00 Mio. €",FC Augsburg,2017
Jan-Ingwer Callsen-Bracker,CB,33,250 Tsd. €,FC Augsburg,2017
Christoph Janker,CB,33,150 Tsd. €,FC Augsburg,2017
Philipp Max,LB,24,"15,00 Mio. €",FC Augsburg,2017
Konstantinos Stafylidis,LB,24,"3,50 Mio. €",FC Augsburg,2017
Kilian Jakob,LB,20,200 Tsd. €,FC Augsburg,2017
Romario Rösch,LB,18,-,FC Augsburg,2017
Daniel Opare,RB,27,"1,00 Mio. €",FC Augsburg,2017
Raphael Framberger,RB,22,750 Tsd. €,FC Augsburg,2017
Simon Asta,RB,17,-,FC Augsburg,2017
Rani Khedira,CDM,24,"3,50 Mio. €",FC Augsburg,2017
Daniel Baier,CDM,34,"1,00 Mio. €",FC Augsburg,2017
Gojko Kacar,CDM,31,500 Tsd. €,FC Augsburg,2017
Ja-cheol Koo,CM,29,"3,50 Mio. €",FC Augsburg,2017
Jan Moravek,CM,28,750 Tsd. €,FC Augsburg,2017
Jonathan Schmid,RM,28,"2,50 Mio. €",FC Augsburg,2017
Marcel Heller,RM,32,"1,00 Mio. €",FC Augsburg,2017
Erik Thommy,CAM,23,"5,00 Mio. €",FC Augsburg,2017
Marco Richter,CAM,20,"1,00 Mio. €",FC Augsburg,2017
Efkan Bekiroğlu,CAM,22,200 Tsd. €,FC Augsburg,2017
Caiuby,LW,29,"5,00 Mio. €",FC Augsburg,2017
Michael Gregoritsch,ST,24,"14,00 Mio. €",FC Augsburg,2017
Alfred Finnbogason,ST,29,"10,00 Mio. €",FC Augsburg,2017
Sergio Córdova,ST,20,"1,50 Mio. €",FC Augsburg,2017
Dong-won Ji,ST,27,"1,00 Mio. €",FC Augsburg,2017
Shawn Parker,ST,25,150 Tsd. €,FC Augsburg,2017
Maurice Malone,ST,17,-,FC Augsburg,2017
Gregor Kobel,GK,21,"6,00 Mio. €",FC Augsburg,2018
Andreas Luthe,GK,32,700 Tsd. €,FC Augsburg,2018
Fabian Giefer,GK,29,300 Tsd. €,FC Augsburg,2018
Benjamin Leneis,GK,20,300 Tsd. €,FC Augsburg,2018
Martin Hinteregger,CB,26,"16,00 Mio. €",FC Augsburg,2018
Jeffrey Gouweleeuw,CB,27,"12,00 Mio. €",FC Augsburg,2018
Kevin Danso,CB,20,"8,00 Mio. €",FC Augsburg,2018
Reece Oxford,CB,20,"4,00 Mio. €",FC Augsburg,2018
Felix Götze,CB,21,"1,00 Mio. €",FC Augsburg,2018
Jozo Stanic,CB,20,200 Tsd. €,FC Augsburg,2018
Christoph Janker,CB,34,100 Tsd. €,FC Augsburg,2018
Jan-Ingwer Callsen-Bracker,CB,34,100 Tsd. €,FC Augsburg,2018
Philipp Max,LB,25,"17,00 Mio. €",FC Augsburg,2018
Konstantinos Stafylidis,LB,25,"3,00 Mio. €",FC Augsburg,2018
Kilian Jakob,LB,21,200 Tsd. €,FC Augsburg,2018
Romario Rösch,LB,19,200 Tsd. €,FC Augsburg,2018
Raphael Framberger,RB,23,"1,00 Mio. €",FC Augsburg,2018
Georg Teigl,RB,28,700 Tsd. €,FC Augsburg,2018
Simon Asta,RB,18,250 Tsd. €,FC Augsburg,2018
Rani Khedira,CDM,25,"10,00 Mio. €",FC Augsburg,2018
Daniel Baier,CDM,35,800 Tsd. €,FC Augsburg,2018
Tim Rieder,CDM,25,300 Tsd. €,FC Augsburg,2018
Felix Schwarzholz,CDM,19,100 Tsd. €,FC Augsburg,2018
Stefano Russo,CDM,19,-,FC Augsburg,2018
Ja-cheol Koo,CM,30,"3,50 Mio. €",FC Augsburg,2018
Jan Moravek,CM,29,750 Tsd. €,FC Augsburg,2018
Jonathan Schmid,RM,29,"5,00 Mio. €",FC Augsburg,2018
Marco Richter,CAM,21,"7,00 Mio. €",FC Augsburg,2018
Fredrik Jensen,CAM,21,"2,50 Mio. €",FC Augsburg,2018
Julian Günther-Schmidt,CAM,24,250 Tsd. €,FC Augsburg,2018
Caiuby,LW,30,"1,50 Mio. €",FC Augsburg,2018
