name,position,age,value,team,season
Manuel Neuer,GK,29,"45,00 Mio. €",FC Bayern München,2014
Pepe Reina,GK,32,"4,00 Mio. €",FC Bayern München,2014
Tom Starke,GK,34,500 Tsd. €,FC Bayern München,2014
Leopold Zingerle,GK,21,150 Tsd. €,FC Bayern München,2014
Ivan Lucic,GK,20,100 Tsd. €,FC Bayern München,2014
Jérôme Boateng,CB,26,"40,00 Mio. €",FC Bayern München,2014
David Alaba,CB,23,"38,00 Mio. €",FC Bayern München,2014
Javi Martínez,CB,26,"30,00 Mio. €",FC Bayern München,2014
Medhi Benatia,CB,28,"28,00 Mio. €",FC Bayern München,2014
Dante,CB,31,"11,00 Mio. €",FC Bayern München,2014
Holger Badstuber,CB,26,"7,50 Mio. €",FC Bayern München,2014
Juan Bernat,LB,22,"15,00 Mio. €",FC Bayern München,2014
Philipp Lahm,RB,31,"28,00 Mio. €",FC Bayern München,2014
Rafinha,RB,29,"9,00 Mio. €",FC Bayern München,2014
Mitchell Weiser,RB,21,750 Tsd. €,FC Bayern München,2014
Xabi Alonso,CDM,33,"8,00 Mio. €",FC Bayern München,2014
Pierre-Emile Højbjerg,CDM,19,"4,00 Mio. €",FC Bayern München,2014
Gianluca Gaudino,CDM,18,"2,50 Mio. €",FC Bayern München,2014
Rico Strieder,CDM,22,75 Tsd. €,FC Bayern München,2014
Bastian Schweinsteiger,CM,30,"28,00 Mio. €",FC Bayern München,2014
Thiago Alcántara,CM,24,"25,00 Mio. €",FC Bayern München,2014
Sebastian Rode,CM,24,"9,00 Mio. €",FC Bayern München,2014
Julian Green,CM,20,"1,50 Mio. €",FC Bayern München,2014
Lucas Scholl,CM,18,-,FC Bayern München,2014
Lukas Görtler,RM,21,50 Tsd. €,FC Bayern München,2014
Mario Götze,CAM,23,"50,00 Mio. €",FC Bayern München,2014
Xherdan Shaqiri,CAM,23,"18,00 Mio. €",FC Bayern München,2014
Franck Ribéry,LW,32,"32,00 Mio. €",FC Bayern München,2014
Sinan Kurt,LW,18,"1,00 Mio. €",FC Bayern München,2014
Arjen Robben,RW,31,"33,00 Mio. €",FC Bayern München,2014
Thomas Müller,Second Striker,25,"55,00 Mio. €",FC Bayern München,2014
Robert Lewandowski,ST,26,"50,00 Mio. €",FC Bayern München,2014
