name,position,age,value,team,season
Raphael Koczor,GK,26,200 Tsd. €,FC Carl Zeiss Jena,2014
Tino Berbig,GK,34,150 Tsd. €,FC Carl Zeiss Jena,2014
Niklas Wollert,GK,20,-,FC Carl Zeiss Jena,2014
Jakob Pieles,GK,20,-,FC Carl Zeiss Jena,2014
Stefan Schmidt,GK,18,-,FC Carl Zeiss Jena,2014
Justin Gerlach,CB,25,150 Tsd. €,FC Carl Zeiss Jena,2014
Marius Grösch,CB,21,125 Tsd. €,FC Carl Zeiss Jena,2014
Pierre Becken,CB,27,125 Tsd. €,FC Carl Zeiss Jena,2014
Filip Krstic,CB,26,100 Tsd. €,FC Carl Zeiss Jena,2014
Christoph Klippel,CB,28,-,FC Carl Zeiss Jena,2014
André Schmidt,CB,26,-,FC Carl Zeiss Jena,2014
Arne Reetz,CB,26,-,FC Carl Zeiss Jena,2014
Thomas Ströhl,LB,26,100 Tsd. €,FC Carl Zeiss Jena,2014
Fabian Raithel,LB,19,25 Tsd. €,FC Carl Zeiss Jena,2014
Morten Timm,LB,19,-,FC Carl Zeiss Jena,2014
Florian Giebel,RB,21,50 Tsd. €,FC Carl Zeiss Jena,2014
Dominik Bock,RB,20,50 Tsd. €,FC Carl Zeiss Jena,2014
Sören Eismann,CDM,27,150 Tsd. €,FC Carl Zeiss Jena,2014
Andreas Löser,CDM,23,25 Tsd. €,FC Carl Zeiss Jena,2014
Daniel Rupf,CM,29,125 Tsd. €,FC Carl Zeiss Jena,2014
René Eckardt,CM,25,125 Tsd. €,FC Carl Zeiss Jena,2014
Tom Geißler,CM,31,125 Tsd. €,FC Carl Zeiss Jena,2014
Maximilian Schlegel,LM,18,-,FC Carl Zeiss Jena,2014
Alexander Hettich,CAM,27,150 Tsd. €,FC Carl Zeiss Jena,2014
Dusan Crnomut,CAM,19,75 Tsd. €,FC Carl Zeiss Jena,2014
Luca Bürger,CAM,18,-,FC Carl Zeiss Jena,2014
Artur Mergel,CAM,17,-,FC Carl Zeiss Jena,2014
Tino Schmidt,LW,21,150 Tsd. €,FC Carl Zeiss Jena,2014
Maximilian Wolfram,LW,18,-,FC Carl Zeiss Jena,2014
Vitaliy Lux,ST,26,150 Tsd. €,FC Carl Zeiss Jena,2014
Velimir Jovanovic,ST,27,150 Tsd. €,FC Carl Zeiss Jena,2014
Jakub Wiezik,ST,23,125 Tsd. €,FC Carl Zeiss Jena,2014
Maxim Banaskiewicz,ST,23,100 Tsd. €,FC Carl Zeiss Jena,2014
Yves Brinkmann,ST,22,50 Tsd. €,FC Carl Zeiss Jena,2014
Mathis Böhler,ST,19,-,FC Carl Zeiss Jena,2014
Johannes Pieles,ST,19,-,FC Carl Zeiss Jena,2014
Raphael Koczor,GK,27,150 Tsd. €,FC Carl Zeiss Jena,2015
Jakob Pieles,GK,21,50 Tsd. €,FC Carl Zeiss Jena,2015
Stefan Schmidt,GK,19,50 Tsd. €,FC Carl Zeiss Jena,2015
René Klingbeil,CB,35,250 Tsd. €,FC Carl Zeiss Jena,2015
Justin Gerlach,CB,26,125 Tsd. €,FC Carl Zeiss Jena,2015
Filip Krstic,CB,27,100 Tsd. €,FC Carl Zeiss Jena,2015
Mërgim Vojvoda,RB,21,75 Tsd. €,FC Carl Zeiss Jena,2015
Florian Giebel,RB,22,50 Tsd. €,FC Carl Zeiss Jena,2015
Dominik Bock,RB,21,50 Tsd. €,FC Carl Zeiss Jena,2015
Tommy Barth,RB,19,-,FC Carl Zeiss Jena,2015
Robin Krauße,CDM,22,300 Tsd. €,FC Carl Zeiss Jena,2015
Sören Eismann,CDM,28,125 Tsd. €,FC Carl Zeiss Jena,2015
Sven Reimann,CDM,22,100 Tsd. €,FC Carl Zeiss Jena,2015
Niclas Erlbeck,CDM,23,75 Tsd. €,FC Carl Zeiss Jena,2015
Tom Eichberger,CDM,20,25 Tsd. €,FC Carl Zeiss Jena,2015
René Eckardt,CM,26,125 Tsd. €,FC Carl Zeiss Jena,2015
Manfred Starke,CM,25,75 Tsd. €,FC Carl Zeiss Jena,2015
Maximilian Schlegel,LM,19,75 Tsd. €,FC Carl Zeiss Jena,2015
Dusan Crnomut,CAM,20,75 Tsd. €,FC Carl Zeiss Jena,2015
Artur Mergel,CAM,18,50 Tsd. €,FC Carl Zeiss Jena,2015
Luca Bürger,CAM,19,50 Tsd. €,FC Carl Zeiss Jena,2015
Maximilian Wolfram,LW,19,75 Tsd. €,FC Carl Zeiss Jena,2015
Velimir Jovanovic,ST,28,125 Tsd. €,FC Carl Zeiss Jena,2015
Jakub Wiezik,ST,24,100 Tsd. €,FC Carl Zeiss Jena,2015
Bédi Buval,ST,30,100 Tsd. €,FC Carl Zeiss Jena,2015
Tom Nattermann,ST,23,100 Tsd. €,FC Carl Zeiss Jena,2015
Marcel Bär,ST,24,100 Tsd. €,FC Carl Zeiss Jena,2015
Johannes Pieles,ST,20,75 Tsd. €,FC Carl Zeiss Jena,2015
Mathis Böhler,ST,20,50 Tsd. €,FC Carl Zeiss Jena,2015
Raphael Koczor,GK,28,150 Tsd. €,FC Carl Zeiss Jena,2016
Stefan Schmidt,GK,20,50 Tsd. €,FC Carl Zeiss Jena,2016
Jakob Pieles,GK,22,50 Tsd. €,FC Carl Zeiss Jena,2016
Max Meurer,GK,19,-,FC Carl Zeiss Jena,2016
René Klingbeil,CB,36,175 Tsd. €,FC Carl Zeiss Jena,2016
Justin Gerlach,CB,27,150 Tsd. €,FC Carl Zeiss Jena,2016
Dennis Slamar,CB,22,100 Tsd. €,FC Carl Zeiss Jena,2016
Filip Krstic,CB,28,75 Tsd. €,FC Carl Zeiss Jena,2016
Fırat Suçsuz,LB,21,100 Tsd. €,FC Carl Zeiss Jena,2016
Guillaume Cros,LB,22,50 Tsd. €,FC Carl Zeiss Jena,2016
Morten Timm,LB,21,-,FC Carl Zeiss Jena,2016
Matthias Kühne,RB,29,125 Tsd. €,FC Carl Zeiss Jena,2016
Dominik Bock,RB,22,100 Tsd. €,FC Carl Zeiss Jena,2016
Shkodran Zeqiri,RB,19,75 Tsd. €,FC Carl Zeiss Jena,2016
Florian Giebel,RB,23,-,FC Carl Zeiss Jena,2016
Sören Eismann,CDM,29,150 Tsd. €,FC Carl Zeiss Jena,2016
Niclas Erlbeck,CDM,24,125 Tsd. €,FC Carl Zeiss Jena,2016
Sven Reimann,CDM,23,75 Tsd. €,FC Carl Zeiss Jena,2016
Tom Krahnert,CDM,20,25 Tsd. €,FC Carl Zeiss Jena,2016
René Eckardt,CM,27,175 Tsd. €,FC Carl Zeiss Jena,2016
Manfred Starke,CM,26,175 Tsd. €,FC Carl Zeiss Jena,2016
Maximilian Schlegel,LM,20,100 Tsd. €,FC Carl Zeiss Jena,2016
Artur Mergel,CAM,19,50 Tsd. €,FC Carl Zeiss Jena,2016
Maximilian Wolfram,LW,20,100 Tsd. €,FC Carl Zeiss Jena,2016
Davud Tuma,LW,21,100 Tsd. €,FC Carl Zeiss Jena,2016
Timmy Thiele,ST,25,175 Tsd. €,FC Carl Zeiss Jena,2016
Bédi Buval,ST,31,125 Tsd. €,FC Carl Zeiss Jena,2016
Florian Dietz,ST,18,75 Tsd. €,FC Carl Zeiss Jena,2016
Raphael Koczor,GK,29,200 Tsd. €,FC Carl Zeiss Jena,2017
Jo Coppens,GK,27,175 Tsd. €,FC Carl Zeiss Jena,2017
Stefan Schmidt,GK,21,50 Tsd. €,FC Carl Zeiss Jena,2017
Wojciech Sadlowski,GK,20,-,FC Carl Zeiss Jena,2017
Dennis Slamar,CB,23,250 Tsd. €,FC Carl Zeiss Jena,2017
Jan Löhmannsröben,CB,27,225 Tsd. €,FC Carl Zeiss Jena,2017
Justin Gerlach,CB,28,175 Tsd. €,FC Carl Zeiss Jena,2017
Marius Grösch,CB,24,175 Tsd. €,FC Carl Zeiss Jena,2017
Valentin Reitstetter,CB,20,-,FC Carl Zeiss Jena,2017
Guillaume Cros,LB,23,350 Tsd. €,FC Carl Zeiss Jena,2017
Florian Brügmann,LB,27,275 Tsd. €,FC Carl Zeiss Jena,2017
Fırat Suçsuz,LB,22,175 Tsd. €,FC Carl Zeiss Jena,2017
Dominik Bock,RB,23,175 Tsd. €,FC Carl Zeiss Jena,2017
Matthias Kühne,RB,30,150 Tsd. €,FC Carl Zeiss Jena,2017
Sören Eismann,CDM,30,200 Tsd. €,FC Carl Zeiss Jena,2017
Kevin Pannewitz,CDM,26,150 Tsd. €,FC Carl Zeiss Jena,2017
Niclas Erlbeck,CDM,25,125 Tsd. €,FC Carl Zeiss Jena,2017
Justin Schau,CDM,19,75 Tsd. €,FC Carl Zeiss Jena,2017
Tom Krahnert,CDM,21,50 Tsd. €,FC Carl Zeiss Jena,2017
René Eckardt,CM,28,250 Tsd. €,FC Carl Zeiss Jena,2017
Manfred Starke,CM,27,250 Tsd. €,FC Carl Zeiss Jena,2017
