name,position,age,value,team,season
Kevin Müller,GK,24,350 Tsd. €,FC Energie Cottbus,2014
René Renno,GK,36,100 Tsd. €,FC Energie Cottbus,2014
Fritz Pflug,GK,19,50 Tsd. €,FC Energie Cottbus,2014
Max Oberschmidt,GK,20,50 Tsd. €,FC Energie Cottbus,2014
Marvin Jäschke,GK,17,-,FC Energie Cottbus,2014
Avdo Spahic,GK,18,-,FC Energie Cottbus,2014
Patrick Wolf,CB,26,100 Tsd. €,FC Energie Cottbus,2014
Cédric Mimbala,CB,28,275 Tsd. €,FC Energie Cottbus,2014
Uwe Möhrle,CB,35,250 Tsd. €,FC Energie Cottbus,2014
Thomas Hübener,CB,33,200 Tsd. €,FC Energie Cottbus,2014
Marcel Kapplinghaus,CB,20,50 Tsd. €,FC Energie Cottbus,2014
Philipp Knechtel,CB,19,-,FC Energie Cottbus,2014
Filip Kusic,CB,19,-,FC Energie Cottbus,2014
Tim Häußler,CB,17,-,FC Energie Cottbus,2014
Robert Berger,RB,18,175 Tsd. €,FC Energie Cottbus,2014
Tobias Gerstmann,RB,20,50 Tsd. €,FC Energie Cottbus,2014
Manuel Zeitz,CDM,24,350 Tsd. €,FC Energie Cottbus,2014
Robin Szarka,CDM,23,250 Tsd. €,FC Energie Cottbus,2014
Rok Elsner,CDM,29,200 Tsd. €,FC Energie Cottbus,2014
Nikolas Ledgerwood,CDM,30,200 Tsd. €,FC Energie Cottbus,2014
Paterson Chato,CDM,18,75 Tsd. €,FC Energie Cottbus,2014
Lukas Bache,CDM,18,-,FC Energie Cottbus,2014
Jonas Zickert,CDM,17,-,FC Energie Cottbus,2014
Fanol Perdedaj,CM,23,350 Tsd. €,FC Energie Cottbus,2014
Christopher Lemke,CM,20,-,FC Energie Cottbus,2014
Anton Makarenko,LM,26,225 Tsd. €,FC Energie Cottbus,2014
Ronny Garbuschewski,CAM,29,300 Tsd. €,FC Energie Cottbus,2014
Torsten Mattuschka,CAM,34,300 Tsd. €,FC Energie Cottbus,2014
Marco Holz,CAM,25,250 Tsd. €,FC Energie Cottbus,2014
Sven Michel,LW,24,350 Tsd. €,FC Energie Cottbus,2014
Leonhard Kaufmann,RW,26,250 Tsd. €,FC Energie Cottbus,2014
Nils Gottschick,RW,21,100 Tsd. €,FC Energie Cottbus,2014
Frederick Kyereh,RW,21,100 Tsd. €,FC Energie Cottbus,2014
Paul Maurer,RW,19,-,FC Energie Cottbus,2014
Tim Kleindienst,ST,19,400 Tsd. €,FC Energie Cottbus,2014
Zbynek Pospech,ST,32,250 Tsd. €,FC Energie Cottbus,2014
Fabian Pawela,ST,29,175 Tsd. €,FC Energie Cottbus,2014
Paul Röwer,ST,20,75 Tsd. €,FC Energie Cottbus,2014
Andy Hebler,ST,26,50 Tsd. €,FC Energie Cottbus,2014
Daniel Lück,GK,25,150 Tsd. €,FC Energie Cottbus,2015
René Renno,GK,37,100 Tsd. €,FC Energie Cottbus,2015
Avdo Spahic,GK,19,100 Tsd. €,FC Energie Cottbus,2015
Mateusz Trochanowski,GK,24,-,FC Energie Cottbus,2015
Cédric Mimbala,CB,29,250 Tsd. €,FC Energie Cottbus,2015
Christopher Schorch,CB,27,250 Tsd. €,FC Energie Cottbus,2015
Uwe Möhrle,CB,36,200 Tsd. €,FC Energie Cottbus,2015
Nestor Djengoue,CB,25,150 Tsd. €,FC Energie Cottbus,2015
Thomas Hübener,CB,34,150 Tsd. €,FC Energie Cottbus,2015
Tim Häußler,CB,18,100 Tsd. €,FC Energie Cottbus,2015
Philipp Knechtel,CB,20,75 Tsd. €,FC Energie Cottbus,2015
Malte Karbstein,CB,18,75 Tsd. €,FC Energie Cottbus,2015
Michael Czyborra,CB,18,-,FC Energie Cottbus,2015
Valentin Crețu,RB,27,200 Tsd. €,FC Energie Cottbus,2015
Robert Berger,RB,19,175 Tsd. €,FC Energie Cottbus,2015
Manuel Zeitz,CDM,25,300 Tsd. €,FC Energie Cottbus,2015
Robin Szarka,CDM,24,250 Tsd. €,FC Energie Cottbus,2015
Nikolas Ledgerwood,CDM,31,200 Tsd. €,FC Energie Cottbus,2015
Jonas Zickert,CDM,18,200 Tsd. €,FC Energie Cottbus,2015
Lukas Bache,CDM,19,-,FC Energie Cottbus,2015
