name,position,age,value,team,season
Martin Männel,GK,27,800 Tsd. €,FC Erzgebirge Aue,2014
Sascha Kirschstein,GK,35,150 Tsd. €,FC Erzgebirge Aue,2014
Marius Schulze,GK,22,100 Tsd. €,FC Erzgebirge Aue,2014
Mario Seidel,GK,20,100 Tsd. €,FC Erzgebirge Aue,2014
Iván González,CB,27,600 Tsd. €,FC Erzgebirge Aue,2014
Stipe Vucur,CB,23,600 Tsd. €,FC Erzgebirge Aue,2014
Michael Fink,CB,33,500 Tsd. €,FC Erzgebirge Aue,2014
Nils Miatke,CB,25,500 Tsd. €,FC Erzgebirge Aue,2014
Filip Luksik,CB,30,400 Tsd. €,FC Erzgebirge Aue,2014
René Klingbeil,CB,34,400 Tsd. €,FC Erzgebirge Aue,2014
Thomas Paulus,CB,33,300 Tsd. €,FC Erzgebirge Aue,2014
Román Golobart,CB,23,200 Tsd. €,FC Erzgebirge Aue,2014
Benedikt Krug,CB,20,100 Tsd. €,FC Erzgebirge Aue,2014
Marcin Sieber,CB,19,100 Tsd. €,FC Erzgebirge Aue,2014
Fabian Müller,LB,28,700 Tsd. €,FC Erzgebirge Aue,2014
Sebastian Hertner,LB,24,300 Tsd. €,FC Erzgebirge Aue,2014
Thorsten Schulz,LB,30,250 Tsd. €,FC Erzgebirge Aue,2014
Vladimir Rankovic,RB,22,350 Tsd. €,FC Erzgebirge Aue,2014
Oliver Schröder,CDM,35,250 Tsd. €,FC Erzgebirge Aue,2014
Rico Benatelli,CM,23,800 Tsd. €,FC Erzgebirge Aue,2014
Patrick Schönfeld,CM,26,500 Tsd. €,FC Erzgebirge Aue,2014
Clemens Fandrich,CM,24,300 Tsd. €,FC Erzgebirge Aue,2014
Mike Könnecke,CM,26,250 Tsd. €,FC Erzgebirge Aue,2014
Philip Hauck,CM,22,150 Tsd. €,FC Erzgebirge Aue,2014
Felix Kunert,RM,23,100 Tsd. €,FC Erzgebirge Aue,2014
Selçuk Alibaz,CAM,25,550 Tsd. €,FC Erzgebirge Aue,2014
Dorian Diring,CAM,23,350 Tsd. €,FC Erzgebirge Aue,2014
Romario Kortzorg,LW,25,800 Tsd. €,FC Erzgebirge Aue,2014
Alexander Dartsch,LW,20,150 Tsd. €,FC Erzgebirge Aue,2014
Arvydas Novikovas,RW,24,500 Tsd. €,FC Erzgebirge Aue,2014
Bobby Wood,ST,22,450 Tsd. €,FC Erzgebirge Aue,2014
Henri Anier,ST,24,400 Tsd. €,FC Erzgebirge Aue,2014
Stefan Mugosa,ST,23,400 Tsd. €,FC Erzgebirge Aue,2014
Solomon Okoronkwo,ST,28,300 Tsd. €,FC Erzgebirge Aue,2014
Frank Löning,ST,33,250 Tsd. €,FC Erzgebirge Aue,2014
Thomas Sonntag,ST,19,100 Tsd. €,FC Erzgebirge Aue,2014
Killien Jungen,ST,20,100 Tsd. €,FC Erzgebirge Aue,2014
Martin Männel,GK,28,450 Tsd. €,FC Erzgebirge Aue,2015
Robert Jendrusch,GK,20,75 Tsd. €,FC Erzgebirge Aue,2015
Mario Seidel,GK,21,75 Tsd. €,FC Erzgebirge Aue,2015
Steve Breitkreuz,CB,24,375 Tsd. €,FC Erzgebirge Aue,2015
Adam Susac,CB,27,350 Tsd. €,FC Erzgebirge Aue,2015
Louis Samson,CB,20,300 Tsd. €,FC Erzgebirge Aue,2015
Pawel Baranowski,CB,25,250 Tsd. €,FC Erzgebirge Aue,2015
Julian Riedel,CB,24,225 Tsd. €,FC Erzgebirge Aue,2015
Nils Miatke,CB,26,225 Tsd. €,FC Erzgebirge Aue,2015
Marcin Sieber,CB,20,100 Tsd. €,FC Erzgebirge Aue,2015
Benedikt Krug,CB,21,75 Tsd. €,FC Erzgebirge Aue,2015
Sebastian Hertner,LB,25,300 Tsd. €,FC Erzgebirge Aue,2015
Simon Handle,LB,23,275 Tsd. €,FC Erzgebirge Aue,2015
Calogero Rizzuto,RB,24,300 Tsd. €,FC Erzgebirge Aue,2015
Ömer Yildirim,RB,22,75 Tsd. €,FC Erzgebirge Aue,2015
Philipp Riese,CDM,26,350 Tsd. €,FC Erzgebirge Aue,2015
Mike Könnecke,CM,27,200 Tsd. €,FC Erzgebirge Aue,2015
Philip Hauck,CM,23,150 Tsd. €,FC Erzgebirge Aue,2015
Christian Tiffert,CM,34,100 Tsd. €,FC Erzgebirge Aue,2015
Hakki Yildiz,CM,20,50 Tsd. €,FC Erzgebirge Aue,2015
Mario Kvesic,CAM,24,350 Tsd. €,FC Erzgebirge Aue,2015
Marcel Schelle,CAM,18,-,FC Erzgebirge Aue,2015
Ivan Franjic,CAM,18,-,FC Erzgebirge Aue,2015
Simon Skarlatidis,RW,25,275 Tsd. €,FC Erzgebirge Aue,2015
