name,position,age,value,team,season
Sebastian Tiszai,GK,27,-,FC Gütersloh,2014
Hendrik Müller,GK,26,-,FC Gütersloh,2014
Christopher Rump,GK,19,-,FC Gütersloh,2014
Simon Schubert,CB,24,-,FC Gütersloh,2014
Waldemar Jurez,CB,29,-,FC Gütersloh,2014
Lars Beuckmann,CB,25,-,FC Gütersloh,2014
Timon Weinreich,CB,18,-,FC Gütersloh,2014
Thomas Rath,LB,27,-,FC Gütersloh,2014
Gerrit Weinreich,LB,21,-,FC Gütersloh,2014
Philippe Soethe,LB,24,-,FC Gütersloh,2014
Zakaria Azrioual,LB,19,-,FC Gütersloh,2014
Lucas Meiertoberens,RB,20,-,FC Gütersloh,2014
Florian Kraus,CDM,28,-,FC Gütersloh,2014
Lasse Fischer-Riepe,CDM,30,-,FC Gütersloh,2014
Janis Kraus,CDM,25,-,FC Gütersloh,2014
René Kagels,Midfielder,28,-,FC Gütersloh,2014
Alexander Schiller,CDM,39,-,FC Gütersloh,2014
Matthäus Wieckowicz,CM,27,-,FC Gütersloh,2014
Fatih Gürer,RM,22,-,FC Gütersloh,2014
Dastin Szymanski,RM,23,-,FC Gütersloh,2014
Tugay Yilmaz,CAM,21,-,FC Gütersloh,2014
Kamil Orhan,ST,30,-,FC Gütersloh,2014
Nico Schürmann,ST,22,-,FC Gütersloh,2014
Ufuk Basdas,ST,30,-,FC Gütersloh,2014
Lars Schröder,ST,25,-,FC Gütersloh,2014
Vadim Thomas,ST,26,-,FC Gütersloh,2014
Marc Birkenhake,ST,25,-,FC Gütersloh,2014
Christopher Rump,GK,20,-,FC Gütersloh,2015
Hendrik Müller,GK,27,-,FC Gütersloh,2015
Yannick Ellguth,GK,22,-,FC Gütersloh,2015
Simon Schubert,CB,25,-,FC Gütersloh,2015
Waldemar Jurez,CB,30,-,FC Gütersloh,2015
Lars Beuckmann,CB,26,-,FC Gütersloh,2015
Cinar Sansar,LB,21,-,FC Gütersloh,2015
Zakaria Azrioual,LB,20,-,FC Gütersloh,2015
Sedekia Haukambe,RB,30,-,FC Gütersloh,2015
Enis Cömert,Midfielder,22,-,FC Gütersloh,2015
Samy Benmbarek,CDM,21,-,FC Gütersloh,2015
Florian Kraus,CDM,29,-,FC Gütersloh,2015
Lasse Fischer-Riepe,CDM,31,-,FC Gütersloh,2015
Janis Kraus,CDM,26,-,FC Gütersloh,2015
Lennard Warweg,CM,28,-,FC Gütersloh,2015
Matthäus Wieckowicz,CM,28,-,FC Gütersloh,2015
Thomas Specht,CM,20,-,FC Gütersloh,2015
Christian Schröer,CM,26,-,FC Gütersloh,2015
Fatih Gürer,RM,23,-,FC Gütersloh,2015
Dastin Szymanski,RM,24,-,FC Gütersloh,2015
