name,position,age,value,team,season
Marcel Schuhen,GK,22,175 Tsd. €,FC Hansa Rostock,2014
Johannes Brinkies,GK,22,150 Tsd. €,FC Hansa Rostock,2014
Robin Schröder,GK,19,50 Tsd. €,FC Hansa Rostock,2014
Jörg Hahnel,GK,33,-,FC Hansa Rostock,2014
Denis Weidlich,CB,28,375 Tsd. €,FC Hansa Rostock,2014
Steven Ruprecht,CB,28,275 Tsd. €,FC Hansa Rostock,2014
Oliver Hüsing,CB,22,250 Tsd. €,FC Hansa Rostock,2014
Marco Kofler,CB,26,250 Tsd. €,FC Hansa Rostock,2014
Tommy Grupe,CB,23,175 Tsd. €,FC Hansa Rostock,2014
Christian Stuff,CB,32,125 Tsd. €,FC Hansa Rostock,2014
Markus Gröger,CB,24,125 Tsd. €,FC Hansa Rostock,2014
Jovan Vidovic,CB,26,125 Tsd. €,FC Hansa Rostock,2014
Sebastian Pelzer,CB,34,100 Tsd. €,FC Hansa Rostock,2014
Shervin Radjabali-Fardi,LB,24,350 Tsd. €,FC Hansa Rostock,2014
Mikko Sumusalo,LB,25,250 Tsd. €,FC Hansa Rostock,2014
Aykut Erdogan,LB,20,100 Tsd. €,FC Hansa Rostock,2014
Lukas Scherff,LB,18,75 Tsd. €,FC Hansa Rostock,2014
Maximilian Ahlschwede,RB,25,200 Tsd. €,FC Hansa Rostock,2014
Max Christiansen,CDM,18,500 Tsd. €,FC Hansa Rostock,2014
Julian Jakobs,Midfielder,25,225 Tsd. €,FC Hansa Rostock,2014
Kai Schwertfeger,CDM,26,225 Tsd. €,FC Hansa Rostock,2014
Robin Krauße,CDM,21,200 Tsd. €,FC Hansa Rostock,2014
José-Alex Ikeng,CDM,27,150 Tsd. €,FC Hansa Rostock,2014
Sascha Schünemann,CDM,23,150 Tsd. €,FC Hansa Rostock,2014
Nico Matern,CDM,22,50 Tsd. €,FC Hansa Rostock,2014
Martin Pett,CDM,28,-,FC Hansa Rostock,2014
David Blacha,CM,24,375 Tsd. €,FC Hansa Rostock,2014
Aleksandar Stevanovic,CM,23,250 Tsd. €,FC Hansa Rostock,2014
Manfred Starke,CM,24,100 Tsd. €,FC Hansa Rostock,2014
