name,position,age,value,team,season
Robin Kraski,GK,23,75 Tsd. €,FC Nöttingen,2014
Bünyamin Karagöz,GK,20,25 Tsd. €,FC Nöttingen,2014
Oliver Nell,GK,25,25 Tsd. €,FC Nöttingen,2014
Xaver Pendinger,GK,20,25 Tsd. €,FC Nöttingen,2014
Thomas Bromma,GK,22,-,FC Nöttingen,2014
Daniel Schiek,CB,20,50 Tsd. €,FC Nöttingen,2014
Holger Fuchs,CB,24,75 Tsd. €,FC Nöttingen,2014
Timo Brenner,CB,25,75 Tsd. €,FC Nöttingen,2014
Thorben Schmidt,CB,24,75 Tsd. €,FC Nöttingen,2014
Sascha Walter,CB,22,50 Tsd. €,FC Nöttingen,2014
Moritz Bischoff,CB,29,50 Tsd. €,FC Nöttingen,2014
Tobias Müller,CB,20,25 Tsd. €,FC Nöttingen,2014
Niklas Tasky,CB,24,-,FC Nöttingen,2014
Simon Frank,LB,24,25 Tsd. €,FC Nöttingen,2014
Felix Zachmann,CDM,27,50 Tsd. €,FC Nöttingen,2014
Marc Schneckenberger,CDM,27,50 Tsd. €,FC Nöttingen,2014
Reinhard Schenker,CM,27,50 Tsd. €,FC Nöttingen,2014
Nico Plattek,CM,22,-,FC Nöttingen,2014
Kevin Ruiz,RM,24,100 Tsd. €,FC Nöttingen,2014
Mario Bilger,LM,27,75 Tsd. €,FC Nöttingen,2014
Mario Hohn,LM,26,50 Tsd. €,FC Nöttingen,2014
Niko Dobros,LM,22,50 Tsd. €,FC Nöttingen,2014
André Fließ,CAM,23,75 Tsd. €,FC Nöttingen,2014
Niklas Hecht-Zirpel,CAM,21,50 Tsd. €,FC Nöttingen,2014
Riccardo Di Piazza,CAM,26,-,FC Nöttingen,2014
Leutrim Neziraj,Second Striker,27,50 Tsd. €,FC Nöttingen,2014
Sebastian Hofmann,Second Striker,31,25 Tsd. €,FC Nöttingen,2014
Michael Schürg,ST,30,125 Tsd. €,FC Nöttingen,2014
Maximilian Pfeiffer,ST,23,25 Tsd. €,FC Nöttingen,2014
Robin Kraski,GK,24,-,FC Nöttingen,2015
Bünyamin Karagöz,GK,21,-,FC Nöttingen,2015
Andreas Dups,GK,24,-,FC Nöttingen,2015
Sascha Walter,CB,23,-,FC Nöttingen,2015
Holger Fuchs,CB,25,-,FC Nöttingen,2015
Moritz Bischoff,CB,30,-,FC Nöttingen,2015
Timo Brenner,CB,26,-,FC Nöttingen,2015
Thorben Schmidt,CB,25,-,FC Nöttingen,2015
Niklas Kolbe,CB,19,-,FC Nöttingen,2015
Simon Frank,LB,25,-,FC Nöttingen,2015
Colin Bitzer,RB,20,-,FC Nöttingen,2015
Sebastian Schönthaler,RB,22,-,FC Nöttingen,2015
