name,position,age,value,team,season
Stefan Barck,GK,20,-,FC Oberneuland,2014
Peter Koppo,GK,43,-,FC Oberneuland,2014
Matthias Fischer,GK,31,-,FC Oberneuland,2014
Lars Hobuß,CB,19,-,FC Oberneuland,2014
Philip Perez,CB,-,-,FC Oberneuland,2014
Felix Jaekel,CB,25,-,FC Oberneuland,2014
Jan-Hendrik Rauh,CB,-,-,FC Oberneuland,2014
Marc-Patrick Hatke,LB,25,-,FC Oberneuland,2014
Patrick Hermann,RB,27,-,FC Oberneuland,2014
Gerrit Kubin,RB,30,-,FC Oberneuland,2014
Maximilian Otto,RB,26,-,FC Oberneuland,2014
Julian Stroppel,Midfielder,31,50 Tsd. €,FC Oberneuland,2014
Sven Sinning,Midfielder,-,-,FC Oberneuland,2014
Felix Mann,Midfielder,-,-,FC Oberneuland,2014
David Driscoll,Midfielder,-,-,FC Oberneuland,2014
Ömer Toprak,Midfielder,-,-,FC Oberneuland,2014
Alexander Gossow,Midfielder,-,-,FC Oberneuland,2014
Steffen Vogel,Midfielder,-,-,FC Oberneuland,2014
Mohamed Eke,Midfielder,-,-,FC Oberneuland,2014
Vadim Yatsenko,Midfielder,28,-,FC Oberneuland,2014
Dennis Meyer,RM,35,-,FC Oberneuland,2014
Patrick Wendt,LM,22,-,FC Oberneuland,2014
Mutalip Bucuka,CAM,35,-,FC Oberneuland,2014
Sven Meinecke,CAM,33,-,FC Oberneuland,2014
Benedetto Muzzicato,CAM,36,-,FC Oberneuland,2014
Sascha Jütting,CAM,31,-,FC Oberneuland,2014
Mirza Begovic,CAM,33,-,FC Oberneuland,2014
Boban Bojanic,LW,21,-,FC Oberneuland,2014
Sadmir Bahonic,ST,-,-,FC Oberneuland,2014
Robertino Nolte,ST,24,-,FC Oberneuland,2014
Marco Ordenewitz,ST,24,-,FC Oberneuland,2014
Vafing Jabateh,ST,22,-,FC Oberneuland,2014
Lars Petershagen,ST,-,-,FC Oberneuland,2014
Marcel Lorenz,ST,-,-,FC Oberneuland,2014
Marco Behrens,GK,28,-,FC Oberneuland,2015
Jan-Hendrik Gronewold,GK,24,-,FC Oberneuland,2015
Peter Koppo,GK,44,-,FC Oberneuland,2015
Kevin Lange,GK,-,-,FC Oberneuland,2015
Matthias Fischer,GK,32,-,FC Oberneuland,2015
Tjark Rathjen,GK,19,-,FC Oberneuland,2015
Erkan Sacma,CB,31,-,FC Oberneuland,2015
Jan-Hendrik Rauh,CB,-,-,FC Oberneuland,2015
John Tunde Ashogbon,CB,28,-,FC Oberneuland,2015
Boris Kaizer,CB,27,-,FC Oberneuland,2015
David Haskamp,CB,24,-,FC Oberneuland,2015
Isaac Kofi Donyina,CB,21,-,FC Oberneuland,2015
Erik-Ove Henningsson,CB,25,-,FC Oberneuland,2015
Moritz Erbs,CB,21,-,FC Oberneuland,2015
Niklas Ordenewitz,LB,18,-,FC Oberneuland,2015
Marc-Patrick Hatke,LB,26,-,FC Oberneuland,2015
