name,position,age,value,team,season
Ralf Fährmann,GK,26,"6,00 Mio. €",FC Schalke 04,2014
Fabian Giefer,GK,25,"2,00 Mio. €",FC Schalke 04,2014
Timon Wellenreuther,GK,19,400 Tsd. €,FC Schalke 04,2014
Christian Wetklo,GK,35,150 Tsd. €,FC Schalke 04,2014
Benedikt Höwedes,CB,27,"18,00 Mio. €",FC Schalke 04,2014
Joel Matip,CB,23,"16,00 Mio. €",FC Schalke 04,2014
Matija Nastasić,CB,22,"13,00 Mio. €",FC Schalke 04,2014
Roman Neustädter,CB,27,"9,00 Mio. €",FC Schalke 04,2014
Sead Kolasinac,CB,22,"7,00 Mio. €",FC Schalke 04,2014
Felipe Santana,CB,29,"2,25 Mio. €",FC Schalke 04,2014
Marvin Friedrich,CB,19,500 Tsd. €,FC Schalke 04,2014
Thilo Kehrer,CB,18,-,FC Schalke 04,2014
Dennis Aogo,LB,28,"5,00 Mio. €",FC Schalke 04,2014
Christian Fuchs,LB,29,"3,00 Mio. €",FC Schalke 04,2014
Atsuto Uchida,RB,27,"9,00 Mio. €",FC Schalke 04,2014
Kaan Ayhan,RB,20,"5,00 Mio. €",FC Schalke 04,2014
Pascal Itter,RB,20,200 Tsd. €,FC Schalke 04,2014
Marco Höger,CDM,25,"5,00 Mio. €",FC Schalke 04,2014
Jan Kirchhoff,CDM,24,"3,00 Mio. €",FC Schalke 04,2014
Marcel Sobottka,CDM,21,250 Tsd. €,FC Schalke 04,2014
Leon Goretzka,CM,20,"7,50 Mio. €",FC Schalke 04,2014
Axel Borgmann,CM,20,100 Tsd. €,FC Schalke 04,2014
Max Meyer,CAM,19,"15,00 Mio. €",FC Schalke 04,2014
Kevin-Prince Boateng,CAM,28,"12,00 Mio. €",FC Schalke 04,2014
Tranquillo Barnetta,CAM,30,"3,00 Mio. €",FC Schalke 04,2014
Julian Draxler,LW,21,"25,00 Mio. €",FC Schalke 04,2014
Donis Avdijaj,LW,18,"1,50 Mio. €",FC Schalke 04,2014
Jefferson Farfán,RW,30,"12,00 Mio. €",FC Schalke 04,2014
Sidney Sam,RW,27,"5,00 Mio. €",FC Schalke 04,2014
Christian Clemens,RW,23,"2,00 Mio. €",FC Schalke 04,2014
Leroy Sané,RW,19,"1,50 Mio. €",FC Schalke 04,2014
Maurice Multhaup,RW,18,-,FC Schalke 04,2014
Klaas-Jan Huntelaar,ST,31,"11,00 Mio. €",FC Schalke 04,2014
Eric-Maxim Choupo-Moting,ST,26,"10,00 Mio. €",FC Schalke 04,2014
Chinedu Obasi,ST,29,"1,50 Mio. €",FC Schalke 04,2014
Felix Platte,ST,19,150 Tsd. €,FC Schalke 04,2014
Ralf Fährmann,GK,27,"9,00 Mio. €",FC Schalke 04,2015
Fabian Giefer,GK,26,750 Tsd. €,FC Schalke 04,2015
Michael Gspurning,GK,35,200 Tsd. €,FC Schalke 04,2015
Alexander Nübel,GK,19,200 Tsd. €,FC Schalke 04,2015
Christian Wetklo,GK,36,100 Tsd. €,FC Schalke 04,2015
Joel Matip,CB,24,"18,00 Mio. €",FC Schalke 04,2015
Benedikt Höwedes,CB,28,"16,00 Mio. €",FC Schalke 04,2015
Matija Nastasić,CB,23,"14,00 Mio. €",FC Schalke 04,2015
Sead Kolasinac,CB,23,"7,00 Mio. €",FC Schalke 04,2015
Roman Neustädter,CB,28,"7,00 Mio. €",FC Schalke 04,2015
Marvin Friedrich,CB,20,750 Tsd. €,FC Schalke 04,2015
Thilo Kehrer,CB,19,250 Tsd. €,FC Schalke 04,2015
Dennis Aogo,LB,29,"4,50 Mio. €",FC Schalke 04,2015
Atsuto Uchida,RB,28,"6,00 Mio. €",FC Schalke 04,2015
Júnior Caiçara,RB,27,"5,00 Mio. €",FC Schalke 04,2015
Kaan Ayhan,RB,21,"3,50 Mio. €",FC Schalke 04,2015
Sascha Riether,RB,33,"1,00 Mio. €",FC Schalke 04,2015
Johannes Geis,CDM,22,"15,00 Mio. €",FC Schalke 04,2015
Pierre-Emile Højbjerg,CDM,20,"6,00 Mio. €",FC Schalke 04,2015
Marco Höger,CDM,26,"4,00 Mio. €",FC Schalke 04,2015
Leon Goretzka,CM,21,"13,00 Mio. €",FC Schalke 04,2015
Alessandro Schöpf,CM,22,"5,00 Mio. €",FC Schalke 04,2015
Max Meyer,CAM,20,"16,00 Mio. €",FC Schalke 04,2015
Younès Belhanda,CAM,26,"7,50 Mio. €",FC Schalke 04,2015
Julian Draxler,LW,22,"24,00 Mio. €",FC Schalke 04,2015
Fabian Reese,LW,18,150 Tsd. €,FC Schalke 04,2015
Leroy Sané,RW,20,"18,00 Mio. €",FC Schalke 04,2015
Sidney Sam,RW,28,"2,00 Mio. €",FC Schalke 04,2015
Eric-Maxim Choupo-Moting,ST,27,"10,00 Mio. €",FC Schalke 04,2015
Klaas-Jan Huntelaar,ST,32,"6,50 Mio. €",FC Schalke 04,2015
Franco Di Santo,ST,27,"4,50 Mio. €",FC Schalke 04,2015
Felix Platte,ST,20,300 Tsd. €,FC Schalke 04,2015
Ralf Fährmann,GK,28,"9,00 Mio. €",FC Schalke 04,2016
Fabian Giefer,GK,27,500 Tsd. €,FC Schalke 04,2016
Timon Wellenreuther,GK,21,300 Tsd. €,FC Schalke 04,2016
Alexander Nübel,GK,20,300 Tsd. €,FC Schalke 04,2016
Benedikt Höwedes,CB,29,"18,00 Mio. €",FC Schalke 04,2016
Sead Kolasinac,CB,24,"15,00 Mio. €",FC Schalke 04,2016
Matija Nastasić,CB,24,"12,00 Mio. €",FC Schalke 04,2016
Thilo Kehrer,CB,20,"3,50 Mio. €",FC Schalke 04,2016
Holger Badstuber,CB,28,"2,50 Mio. €",FC Schalke 04,2016
Naldo,CB,34,"1,50 Mio. €",FC Schalke 04,2016
Phil Neumann,CB,19,125 Tsd. €,FC Schalke 04,2016
Abdul Rahman Baba,LB,22,"8,00 Mio. €",FC Schalke 04,2016
Dennis Aogo,LB,30,"1,50 Mio. €",FC Schalke 04,2016
Coke,RB,30,"4,00 Mio. €",FC Schalke 04,2016
Júnior Caiçara,RB,28,"3,00 Mio. €",FC Schalke 04,2016
Kaan Ayhan,RB,22,"1,25 Mio. €",FC Schalke 04,2016
Atsuto Uchida,RB,29,"1,00 Mio. €",FC Schalke 04,2016
Sascha Riether,RB,34,500 Tsd. €,FC Schalke 04,2016
Joshua Bitter,RB,20,125 Tsd. €,FC Schalke 04,2016
Nabil Bentaleb,CDM,22,"18,00 Mio. €",FC Schalke 04,2016
Johannes Geis,CDM,23,"10,00 Mio. €",FC Schalke 04,2016
Benjamin Stambouli,CDM,26,"6,00 Mio. €",FC Schalke 04,2016
Leon Goretzka,CM,22,"23,00 Mio. €",FC Schalke 04,2016
Alessandro Schöpf,CM,23,"7,50 Mio. €",FC Schalke 04,2016
Weston McKennie,CM,18,100 Tsd. €,FC Schalke 04,2016
Max Meyer,CAM,21,"14,00 Mio. €",FC Schalke 04,2016
Yevgen Konoplyanka,LW,27,"10,00 Mio. €",FC Schalke 04,2016
Donis Avdijaj,LW,20,"2,00 Mio. €",FC Schalke 04,2016
Fabian Reese,LW,19,500 Tsd. €,FC Schalke 04,2016
Daniel Caligiuri,RW,29,"5,00 Mio. €",FC Schalke 04,2016
Sidney Sam,RW,29,750 Tsd. €,FC Schalke 04,2016
Bernard Tekpetey,RW,19,300 Tsd. €,FC Schalke 04,2016
Breel Embolo,ST,20,"20,00 Mio. €",FC Schalke 04,2016
Guido Burgstaller,ST,28,"7,00 Mio. €",FC Schalke 04,2016
Eric-Maxim Choupo-Moting,ST,28,"6,00 Mio. €",FC Schalke 04,2016
Franco Di Santo,ST,28,"2,50 Mio. €",FC Schalke 04,2016
Klaas-Jan Huntelaar,ST,33,"2,00 Mio. €",FC Schalke 04,2016
Felix Platte,ST,21,500 Tsd. €,FC Schalke 04,2016
Haji Wright,ST,19,-,FC Schalke 04,2016
Ralf Fährmann,GK,29,"13,00 Mio. €",FC Schalke 04,2017
Alexander Nübel,GK,21,500 Tsd. €,FC Schalke 04,2017
Michael Langer,GK,33,200 Tsd. €,FC Schalke 04,2017
Thilo Kehrer,CB,21,"18,00 Mio. €",FC Schalke 04,2017
Matija Nastasić,CB,25,"17,00 Mio. €",FC Schalke 04,2017
Benedikt Höwedes,CB,30,"9,00 Mio. €",FC Schalke 04,2017
Pablo Insua,CB,24,"2,50 Mio. €",FC Schalke 04,2017
Naldo,CB,35,"1,50 Mio. €",FC Schalke 04,2017
Abdul Rahman Baba,LB,23,"8,00 Mio. €",FC Schalke 04,2017
Bastian Oczipka,LB,29,"7,00 Mio. €",FC Schalke 04,2017
Coke,RB,31,"2,00 Mio. €",FC Schalke 04,2017
Sascha Riether,RB,35,500 Tsd. €,FC Schalke 04,2017
Nabil Bentaleb,CDM,23,"18,00 Mio. €",FC Schalke 04,2017
Benjamin Stambouli,CDM,27,"9,00 Mio. €",FC Schalke 04,2017
Johannes Geis,CDM,24,"5,00 Mio. €",FC Schalke 04,2017
Leon Goretzka,CM,23,"40,00 Mio. €",FC Schalke 04,2017
Weston McKennie,CM,19,"6,50 Mio. €",FC Schalke 04,2017
Alessandro Schöpf,CM,24,"5,00 Mio. €",FC Schalke 04,2017
Amine Harit,CAM,21,"25,00 Mio. €",FC Schalke 04,2017
Max Meyer,CAM,22,"18,00 Mio. €",FC Schalke 04,2017
Marko Pjaca,LW,23,"15,00 Mio. €",FC Schalke 04,2017
Yevgen Konoplyanka,LW,28,"10,00 Mio. €",FC Schalke 04,2017
Fabian Reese,LW,20,750 Tsd. €,FC Schalke 04,2017
Daniel Caligiuri,RW,30,"7,50 Mio. €",FC Schalke 04,2017
Bernard Tekpetey,RW,20,400 Tsd. €,FC Schalke 04,2017
Breel Embolo,ST,21,"18,00 Mio. €",FC Schalke 04,2017
Guido Burgstaller,ST,29,"13,00 Mio. €",FC Schalke 04,2017
Franco Di Santo,ST,29,"2,50 Mio. €",FC Schalke 04,2017
Cedric Teuchert,ST,21,"1,50 Mio. €",FC Schalke 04,2017
Alexander Nübel,GK,22,"12,00 Mio. €",FC Schalke 04,2018
Ralf Fährmann,GK,30,"5,00 Mio. €",FC Schalke 04,2018
Michael Langer,GK,34,100 Tsd. €,FC Schalke 04,2018
Yannic Lenze,GK,18,-,FC Schalke 04,2018
Matija Nastasić,CB,26,"18,00 Mio. €",FC Schalke 04,2018
Salif Sané,CB,28,"12,00 Mio. €",FC Schalke 04,2018
Jeffrey Bruma,CB,27,"2,50 Mio. €",FC Schalke 04,2018
Pablo Insua,CB,25,"1,50 Mio. €",FC Schalke 04,2018
Naldo,CB,36,500 Tsd. €,FC Schalke 04,2018
George Timotheou,CB,21,200 Tsd. €,FC Schalke 04,2018
Niklas Wiemann,CB,20,-,FC Schalke 04,2018
Abdul Rahman Baba,LB,24,"5,00 Mio. €",FC Schalke 04,2018
Hamza Mendyl,LB,21,"4,00 Mio. €",FC Schalke 04,2018
Bastian Oczipka,LB,30,"4,00 Mio. €",FC Schalke 04,2018
Jonas Carls,LB,22,200 Tsd. €,FC Schalke 04,2018
Sascha Riether,RB,36,300 Tsd. €,FC Schalke 04,2018
Nabil Bentaleb,CDM,24,"13,00 Mio. €",FC Schalke 04,2018
Benjamin Stambouli,CDM,28,"10,00 Mio. €",FC Schalke 04,2018
Sebastian Rudy,CDM,29,"9,00 Mio. €",FC Schalke 04,2018
Omar Mascarell,CDM,26,"8,00 Mio. €",FC Schalke 04,2018
Weston McKennie,CM,20,"20,00 Mio. €",FC Schalke 04,2018
Suat Serdar,CM,22,"13,00 Mio. €",FC Schalke 04,2018
Alessandro Schöpf,CM,25,"5,00 Mio. €",FC Schalke 04,2018
Nassim Boujellab,CM,20,"1,50 Mio. €",FC Schalke 04,2018
Philip Fontein,CM,25,-,FC Schalke 04,2018
Amine Harit,CAM,22,"10,00 Mio. €",FC Schalke 04,2018
Steven Skrzybski,CAM,26,"3,50 Mio. €",FC Schalke 04,2018
Yevgen Konoplyanka,LW,29,"6,50 Mio. €",FC Schalke 04,2018
Ahmed Kutucu,LW,19,"4,50 Mio. €",FC Schalke 04,2018
Fabian Reese,LW,21,600 Tsd. €,FC Schalke 04,2018
Rabbi Matondo,RW,18,"9,00 Mio. €",FC Schalke 04,2018
Daniel Caligiuri,RW,31,"6,50 Mio. €",FC Schalke 04,2018
Benjamin Goller,RW,20,400 Tsd. €,FC Schalke 04,2018
Breel Embolo,ST,22,"14,00 Mio. €",FC Schalke 04,2018
Mark Uth,ST,27,"12,00 Mio. €",FC Schalke 04,2018
Guido Burgstaller,ST,30,"5,50 Mio. €",FC Schalke 04,2018
Franco Di Santo,ST,30,"2,00 Mio. €",FC Schalke 04,2018
Cedric Teuchert,ST,22,"1,50 Mio. €",FC Schalke 04,2018
Haji Wright,ST,21,500 Tsd. €,FC Schalke 04,2018
Alexander Nübel,GK,23,"9,50 Mio. €",FC Schalke 04,2019
Markus Schubert,GK,22,"1,80 Mio. €",FC Schalke 04,2019
Michael Langer,GK,35,100 Tsd. €,FC Schalke 04,2019
Ozan Kabak,CB,20,"29,00 Mio. €",FC Schalke 04,2019
Matija Nastasić,CB,27,"13,00 Mio. €",FC Schalke 04,2019
Salif Sané,CB,29,"9,50 Mio. €",FC Schalke 04,2019
Jean-Clair Todibo,CB,20,"9,00 Mio. €",FC Schalke 04,2019
Timo Becker,CB,23,650 Tsd. €,FC Schalke 04,2019
Malick Thiaw,CB,18,-,FC Schalke 04,2019
Juan Miranda,LB,20,"4,00 Mio. €",FC Schalke 04,2019
Bastian Oczipka,LB,31,"3,20 Mio. €",FC Schalke 04,2019
