name,position,age,value,team,season
Philipp Tschauner,GK,29,600 Tsd. €,FC St. Pauli,2014
Robin Himmelmann,GK,26,300 Tsd. €,FC St. Pauli,2014
Philipp Heerwagen,GK,32,150 Tsd. €,FC St. Pauli,2014
Lasse Sobiech,CB,24,900 Tsd. €,FC St. Pauli,2014
Daniel Buballa,CB,25,800 Tsd. €,FC St. Pauli,2014
Sören Gonther,CB,28,800 Tsd. €,FC St. Pauli,2014
Marcel Halstenberg,CB,23,700 Tsd. €,FC St. Pauli,2014
Philipp Ziereis,CB,22,500 Tsd. €,FC St. Pauli,2014
Markus Thorandt,CB,34,350 Tsd. €,FC St. Pauli,2014
Tjorben Uphoff,CB,20,100 Tsd. €,FC St. Pauli,2014
Sebastian Schachten,RB,30,700 Tsd. €,FC St. Pauli,2014
Jan-Philipp Kalla,RB,28,600 Tsd. €,FC St. Pauli,2014
Julian Koch,CDM,24,750 Tsd. €,FC St. Pauli,2014
Tom Trybull,CDM,22,600 Tsd. €,FC St. Pauli,2014
Bernd Nehrig,CDM,28,600 Tsd. €,FC St. Pauli,2014
Okan Kurt,CDM,20,350 Tsd. €,FC St. Pauli,2014
Andrey Startsev,CDM,21,250 Tsd. €,FC St. Pauli,2014
Marc Rzatkowski,CM,25,800 Tsd. €,FC St. Pauli,2014
Christopher Buchtmann,CM,23,700 Tsd. €,FC St. Pauli,2014
Dennis Daube,CM,25,650 Tsd. €,FC St. Pauli,2014
Enis Alushi,CM,29,650 Tsd. €,FC St. Pauli,2014
Sebastian Maier,CM,21,600 Tsd. €,FC St. Pauli,2014
Florian Kringe,CM,32,350 Tsd. €,FC St. Pauli,2014
Armando Cooper,CM,27,350 Tsd. €,FC St. Pauli,2014
Bentley Baxter Bahn,CM,22,175 Tsd. €,FC St. Pauli,2014
Dennis Rosin,CAM,19,100 Tsd. €,FC St. Pauli,2014
Kyoung-rok Choi,CAM,20,100 Tsd. €,FC St. Pauli,2014
Maurice Litka,LW,19,200 Tsd. €,FC St. Pauli,2014
Waldemar Sobota,RW,28,"1,50 Mio. €",FC St. Pauli,2014
Michael Görlitz,RW,28,600 Tsd. €,FC St. Pauli,2014
Ante Budimir,ST,23,800 Tsd. €,FC St. Pauli,2014
Christopher Nöthe,ST,27,750 Tsd. €,FC St. Pauli,2014
John Verhoek,ST,26,700 Tsd. €,FC St. Pauli,2014
Lennart Thy,ST,23,600 Tsd. €,FC St. Pauli,2014
Nico Empen,ST,19,150 Tsd. €,FC St. Pauli,2014
Robin Himmelmann,GK,27,900 Tsd. €,FC St. Pauli,2015
Philipp Heerwagen,GK,33,150 Tsd. €,FC St. Pauli,2015
Svend Brodersen,GK,19,100 Tsd. €,FC St. Pauli,2015
Marcel Halstenberg,CB,24,"2,50 Mio. €",FC St. Pauli,2015
Lasse Sobiech,CB,25,"1,30 Mio. €",FC St. Pauli,2015
Philipp Ziereis,CB,23,"1,00 Mio. €",FC St. Pauli,2015
Daniel Buballa,CB,26,900 Tsd. €,FC St. Pauli,2015
Marc Hornschuh,CB,25,600 Tsd. €,FC St. Pauli,2015
Sören Gonther,CB,29,600 Tsd. €,FC St. Pauli,2015
Davidson Eden,CB,28,150 Tsd. €,FC St. Pauli,2015
Jeremy Dudziak,LB,20,700 Tsd. €,FC St. Pauli,2015
Joël Keller,LB,21,200 Tsd. €,FC St. Pauli,2015
Jan-Philipp Kalla,RB,29,550 Tsd. €,FC St. Pauli,2015
Bernd Nehrig,CDM,29,500 Tsd. €,FC St. Pauli,2015
Andrey Startsev,CDM,22,200 Tsd. €,FC St. Pauli,2015
Okan Kurt,CDM,21,200 Tsd. €,FC St. Pauli,2015
Marc Rzatkowski,CM,26,"1,50 Mio. €",FC St. Pauli,2015
Christopher Buchtmann,CM,24,700 Tsd. €,FC St. Pauli,2015
Sebastian Maier,CM,22,700 Tsd. €,FC St. Pauli,2015
Enis Alushi,CM,30,550 Tsd. €,FC St. Pauli,2015
Yannick Deichmann,RM,21,200 Tsd. €,FC St. Pauli,2015
Kyoung-rok Choi,CAM,21,400 Tsd. €,FC St. Pauli,2015
Dennis Rosin,CAM,20,100 Tsd. €,FC St. Pauli,2015
Fafà Picault,LW,25,250 Tsd. €,FC St. Pauli,2015
Maurice Litka,LW,20,200 Tsd. €,FC St. Pauli,2015
Waldemar Sobota,RW,29,900 Tsd. €,FC St. Pauli,2015
