name,position,age,value,team,season
Semir Svraka,GK,27,-,FC Teutonia 05 Ottensen,2014
Morten Peetz,GK,25,-,FC Teutonia 05 Ottensen,2014
Marcel Groth,CB,25,-,FC Teutonia 05 Ottensen,2014
Burak Gezer,CB,22,-,FC Teutonia 05 Ottensen,2014
Ibrahim Sonay,CB,25,-,FC Teutonia 05 Ottensen,2014
Niclas Spranger,CB,20,-,FC Teutonia 05 Ottensen,2014
Ersin Kücük,CB,22,-,FC Teutonia 05 Ottensen,2014
Jorma Eggers,LB,20,-,FC Teutonia 05 Ottensen,2014
André Friebe,LB,26,-,FC Teutonia 05 Ottensen,2014
Jefferson Nosa,LB,19,-,FC Teutonia 05 Ottensen,2014
Mesut Sonay,RB,22,-,FC Teutonia 05 Ottensen,2014
Jeffrey Soebagio,Midfielder,30,-,FC Teutonia 05 Ottensen,2014
Pierre Baptista,Midfielder,28,-,FC Teutonia 05 Ottensen,2014
Marc Hartmann,CDM,28,-,FC Teutonia 05 Ottensen,2014
George Hastedt,CDM,20,-,FC Teutonia 05 Ottensen,2014
Filipe Fernandes,Midfielder,22,-,FC Teutonia 05 Ottensen,2014
Konstantinos Papatrehas,Midfielder,25,-,FC Teutonia 05 Ottensen,2014
Jannik Zorzi,Midfielder,28,-,FC Teutonia 05 Ottensen,2014
Giannis Goulios,Midfielder,22,-,FC Teutonia 05 Ottensen,2014
Moritz Monska,Midfielder,-,-,FC Teutonia 05 Ottensen,2014
Marcel Hartmann,CDM,20,-,FC Teutonia 05 Ottensen,2014
Dejan Glisovic,Midfielder,27,-,FC Teutonia 05 Ottensen,2014
Malte Piechottka,CDM,27,-,FC Teutonia 05 Ottensen,2014
Zoran Pecelj,CDM,26,-,FC Teutonia 05 Ottensen,2014
Diego Ballester-Martinez,Midfielder,21,-,FC Teutonia 05 Ottensen,2014
Stefano Avarello,CM,26,-,FC Teutonia 05 Ottensen,2014
Julien Usko,CAM,24,-,FC Teutonia 05 Ottensen,2014
Abdurrahman Senay,Second Striker,23,-,FC Teutonia 05 Ottensen,2014
Simon Radtke,ST,32,-,FC Teutonia 05 Ottensen,2014
Alan Besic,ST,33,-,FC Teutonia 05 Ottensen,2014
Awudu Moro,ST,23,-,FC Teutonia 05 Ottensen,2014
Samir Spahik,ST,21,-,FC Teutonia 05 Ottensen,2014
Marcel Plewka,ST,31,-,FC Teutonia 05 Ottensen,2014
Jonas Hjortskov,GK,28,-,FC Teutonia 05 Ottensen,2015
Semir Svraka,GK,28,-,FC Teutonia 05 Ottensen,2015
Morten Peetz,GK,26,-,FC Teutonia 05 Ottensen,2015
Lukas Dau,CB,31,-,FC Teutonia 05 Ottensen,2015
Cem Müller,CB,29,-,FC Teutonia 05 Ottensen,2015
Hugo da Silva,CB,27,-,FC Teutonia 05 Ottensen,2015
Marcel Groth,CB,26,-,FC Teutonia 05 Ottensen,2015
Sidiki Straub,CB,29,-,FC Teutonia 05 Ottensen,2015
Patrick Silva,CB,26,-,FC Teutonia 05 Ottensen,2015
Niclas Spranger,CB,21,-,FC Teutonia 05 Ottensen,2015
Ersin Kücük,CB,23,-,FC Teutonia 05 Ottensen,2015
André Friebe,LB,27,-,FC Teutonia 05 Ottensen,2015
Jefferson Nosa,LB,20,-,FC Teutonia 05 Ottensen,2015
Mesut Sonay,RB,23,-,FC Teutonia 05 Ottensen,2015
Yunis Abdalla,Midfielder,22,-,FC Teutonia 05 Ottensen,2015
Okan Bektas,Midfielder,30,-,FC Teutonia 05 Ottensen,2015
Nils Boldt,CDM,34,-,FC Teutonia 05 Ottensen,2015
George Hastedt,CDM,21,-,FC Teutonia 05 Ottensen,2015
Filipe Fernandes,Midfielder,23,-,FC Teutonia 05 Ottensen,2015
Liborio-Luca Mazzagati,Midfielder,18,-,FC Teutonia 05 Ottensen,2015
Konstantinos Chercheletzis,Midfielder,22,-,FC Teutonia 05 Ottensen,2015
Jannik Zorzi,Midfielder,29,-,FC Teutonia 05 Ottensen,2015
Giannis Goulios,Midfielder,23,-,FC Teutonia 05 Ottensen,2015
Moritz Monska,Midfielder,-,-,FC Teutonia 05 Ottensen,2015
Marcel Hartmann,CDM,21,-,FC Teutonia 05 Ottensen,2015
Dejan Glisovic,Midfielder,28,-,FC Teutonia 05 Ottensen,2015
Malte Piechottka,CDM,28,-,FC Teutonia 05 Ottensen,2015
Zoran Pecelj,CDM,27,-,FC Teutonia 05 Ottensen,2015
Dieter Forkert,RM,21,-,FC Teutonia 05 Ottensen,2015
Julien Usko,CAM,25,-,FC Teutonia 05 Ottensen,2015
Abdurrahman Senay,Second Striker,24,-,FC Teutonia 05 Ottensen,2015
Frank Saaba,ST,29,-,FC Teutonia 05 Ottensen,2015
Onur Bektas,ST,26,-,FC Teutonia 05 Ottensen,2015
Pascal Pietsch,ST,27,-,FC Teutonia 05 Ottensen,2015
Sofian Abdalla,ST,19,-,FC Teutonia 05 Ottensen,2015
Kemo Hagenah,ST,19,-,FC Teutonia 05 Ottensen,2015
Samir Spahik,ST,22,-,FC Teutonia 05 Ottensen,2015
Marcel Plewka,ST,32,-,FC Teutonia 05 Ottensen,2015
Maximilian Rohrbach,GK,25,-,FC Teutonia 05 Ottensen,2016
Philipp Wagner,GK,18,-,FC Teutonia 05 Ottensen,2016
Semir Svraka,GK,29,-,FC Teutonia 05 Ottensen,2016
El Nino Burmester,CB,18,-,FC Teutonia 05 Ottensen,2016
