name,position,age,value,team,season
Sebastian Brune,GK,21,100 Tsd. €,FC Viktoria 1889 Berlin,2014
Sebastian Patzler,GK,24,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Martin Gromotka,GK,22,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Marcus Rickert,GK,31,-,FC Viktoria 1889 Berlin,2014
Jannis Gabrielides,GK,24,-,FC Viktoria 1889 Berlin,2014
Ferdinand Hahn,GK,19,-,FC Viktoria 1889 Berlin,2014
Rico Morack,CB,27,175 Tsd. €,FC Viktoria 1889 Berlin,2014
Kevin Kahlert,CB,25,150 Tsd. €,FC Viktoria 1889 Berlin,2014
Michael Laletin,CB,26,100 Tsd. €,FC Viktoria 1889 Berlin,2014
Murat Doymuş,CB,29,100 Tsd. €,FC Viktoria 1889 Berlin,2014
Tim Lensinger,CB,30,75 Tsd. €,FC Viktoria 1889 Berlin,2014
Robert Schröder,CB,27,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Charbel Chougourou,CB,20,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Gökhan Ahmetcik,LB,30,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Stephan Brehmer,LB,22,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Julian Austermann,RB,24,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Patrick Leutloff,CDM,30,75 Tsd. €,FC Viktoria 1889 Berlin,2014
Thomas Kruschke,CDM,23,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Joel Zachow,Midfielder,23,-,FC Viktoria 1889 Berlin,2014
Yannik Lüdtke,Midfielder,19,-,FC Viktoria 1889 Berlin,2014
Maximilian Watzka,RM,29,125 Tsd. €,FC Viktoria 1889 Berlin,2014
Fabian Fritsche,RM,23,-,FC Viktoria 1889 Berlin,2014
Charles Takyi,CAM,30,250 Tsd. €,FC Viktoria 1889 Berlin,2014
Ümit Ergirdi,CAM,33,100 Tsd. €,FC Viktoria 1889 Berlin,2014
Adrijan Antunovic,CAM,26,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Marino Stawrakakis,CAM,21,-,FC Viktoria 1889 Berlin,2014
Atsushi Nishizawa,CAM,24,-,FC Viktoria 1889 Berlin,2014
Sabit Alimanovic,LW,29,50 Tsd. €,FC Viktoria 1889 Berlin,2014
Sebastian Stachnik,RW,29,-,FC Viktoria 1889 Berlin,2014
Milan Ferencik,Second Striker,24,175 Tsd. €,FC Viktoria 1889 Berlin,2014
Caner Özcin,ST,21,100 Tsd. €,FC Viktoria 1889 Berlin,2014
Kiyan Soltanpour,ST,25,75 Tsd. €,FC Viktoria 1889 Berlin,2014
Sebastian Huke,ST,25,75 Tsd. €,FC Viktoria 1889 Berlin,2014
Paul Röwer,ST,20,75 Tsd. €,FC Viktoria 1889 Berlin,2014
Fatih Yigitusagi,ST,31,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Will Siakam,ST,19,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Nicolai Jelitto,ST,20,25 Tsd. €,FC Viktoria 1889 Berlin,2014
Abdulkadir Beyazit,ST,18,-,FC Viktoria 1889 Berlin,2014
Justin Merz,GK,23,100 Tsd. €,FC Viktoria 1889 Berlin,2015
Lucas Menz,GK,25,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Roman Görtz,GK,42,-,FC Viktoria 1889 Berlin,2015
Tom Schmidt,GK,25,-,FC Viktoria 1889 Berlin,2015
Jack Krause,GK,19,-,FC Viktoria 1889 Berlin,2015
Mike Eglseder,CB,23,100 Tsd. €,FC Viktoria 1889 Berlin,2015
David Hollwitz,CB,27,100 Tsd. €,FC Viktoria 1889 Berlin,2015
Joshua Silva,CB,25,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Wael Karim,CB,20,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Tim Lensinger,CB,31,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Emrah Krizevac,CB,20,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Glodi Zingu,CB,22,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Oliver Hofmann,RB,23,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Julian Hentschel,RB,19,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Robin Mannsfeld,RB,21,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Bünyamin Capar,RB,19,-,FC Viktoria 1889 Berlin,2015
Maik Haubitz,CDM,23,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Magnus Stahlberg,Midfielder,22,25 Tsd. €,FC Viktoria 1889 Berlin,2015
Kevin Giese,CDM,23,-,FC Viktoria 1889 Berlin,2015
Maximilian Watzka,RM,30,125 Tsd. €,FC Viktoria 1889 Berlin,2015
Ümit Ergirdi,CAM,34,125 Tsd. €,FC Viktoria 1889 Berlin,2015
Charles Takyi,CAM,31,100 Tsd. €,FC Viktoria 1889 Berlin,2015
Martin Zurawsky,CAM,25,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Pascal Borowski,CAM,22,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Nils Stettin,LW,19,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Mattia Trianni,LW,23,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Karim Benyamina,ST,34,125 Tsd. €,FC Viktoria 1889 Berlin,2015
Caner Özcin,ST,22,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Kiyan Soltanpour,ST,26,75 Tsd. €,FC Viktoria 1889 Berlin,2015
Dominik Boettcher,ST,21,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Abdulkadir Beyazit,ST,19,50 Tsd. €,FC Viktoria 1889 Berlin,2015
Nicolai Jelitto,ST,21,25 Tsd. €,FC Viktoria 1889 Berlin,2015
Dominik Kisiel,GK,27,125 Tsd. €,FC Viktoria 1889 Berlin,2016
Pascal Kühn,GK,20,50 Tsd. €,FC Viktoria 1889 Berlin,2016
Nico Fischer,GK,18,-,FC Viktoria 1889 Berlin,2016
Thomas Franke,CB,29,100 Tsd. €,FC Viktoria 1889 Berlin,2016
Patrick Brendel,CB,29,100 Tsd. €,FC Viktoria 1889 Berlin,2016
David Hollwitz,CB,28,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Tim Lensinger,CB,32,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Luka Sarac,CB,22,50 Tsd. €,FC Viktoria 1889 Berlin,2016
Glodi Zingu,CB,23,50 Tsd. €,FC Viktoria 1889 Berlin,2016
Kenan Günaydin,CB,19,25 Tsd. €,FC Viktoria 1889 Berlin,2016
Tobias Gunte,CB,20,25 Tsd. €,FC Viktoria 1889 Berlin,2016
Lennart Buchholz,CB,19,-,FC Viktoria 1889 Berlin,2016
Kwabe Schulz,CB,18,-,FC Viktoria 1889 Berlin,2016
Severin Mihm,RB,26,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Chris Reher,RB,23,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Oliver Hofmann,RB,24,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Maik Haubitz,CDM,24,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Serkan Tokgöz,CDM,19,25 Tsd. €,FC Viktoria 1889 Berlin,2016
Christian Skoda,CM,26,100 Tsd. €,FC Viktoria 1889 Berlin,2016
Ugurcan Yilmaz,CM,22,50 Tsd. €,FC Viktoria 1889 Berlin,2016
Maximilian Watzka,RM,31,100 Tsd. €,FC Viktoria 1889 Berlin,2016
Ümit Ergirdi,CAM,35,100 Tsd. €,FC Viktoria 1889 Berlin,2016
Eren Basaran,CAM,19,-,FC Viktoria 1889 Berlin,2016
Ali Erne,CAM,21,-,FC Viktoria 1889 Berlin,2016
Mattia Trianni,LW,24,100 Tsd. €,FC Viktoria 1889 Berlin,2016
Ozan Pekdemir,LW,25,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Karim Benyamina,ST,35,75 Tsd. €,FC Viktoria 1889 Berlin,2016
Karim Darwiche,ST,18,-,FC Viktoria 1889 Berlin,2016
Dominik Kisiel,GK,28,100 Tsd. €,FC Viktoria 1889 Berlin,2017
Pascal Kühn,GK,21,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Daniel Schulz,CB,32,150 Tsd. €,FC Viktoria 1889 Berlin,2017
Patrick Brendel,CB,30,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Tobias Gunte,CB,21,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Kwabe Schulz,CB,19,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Mohamed El Ahmar,CB,21,25 Tsd. €,FC Viktoria 1889 Berlin,2017
Thomas Franke,CB,30,-,FC Viktoria 1889 Berlin,2017
Julian Hartmann,CB,19,-,FC Viktoria 1889 Berlin,2017
Oğuzhan Matur,LB,18,-,FC Viktoria 1889 Berlin,2017
Oliver Hofmann,RB,25,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Chris Reher,RB,24,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Tobias Hasse,RB,22,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Niklas Brandt,CDM,26,150 Tsd. €,FC Viktoria 1889 Berlin,2017
Sascha Schünemann,CDM,26,100 Tsd. €,FC Viktoria 1889 Berlin,2017
Pascal Maiwald,CDM,18,-,FC Viktoria 1889 Berlin,2017
Christian Skoda,CM,27,100 Tsd. €,FC Viktoria 1889 Berlin,2017
Daniel Kaiser,CM,27,100 Tsd. €,FC Viktoria 1889 Berlin,2017
Ugurcan Yilmaz,CM,23,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Mcmoordy Hüther,CM,18,-,FC Viktoria 1889 Berlin,2017
Patrick Lux,CM,18,-,FC Viktoria 1889 Berlin,2017
Florian Riedel,RM,28,100 Tsd. €,FC Viktoria 1889 Berlin,2017
Thomaz Klingl,RM,22,-,FC Viktoria 1889 Berlin,2017
Ümit Ergirdi,CAM,36,75 Tsd. €,FC Viktoria 1889 Berlin,2017
Can Sakar,CAM,21,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Eren Basaran,CAM,20,25 Tsd. €,FC Viktoria 1889 Berlin,2017
Murat Bildirici,LW,25,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Benyas-Solomon Junge-Abiol,LW,19,-,FC Viktoria 1889 Berlin,2017
Abu Bakarr Kargbo,ST,25,150 Tsd. €,FC Viktoria 1889 Berlin,2017
Joaquím Makangu,ST,27,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Batikan Yilmaz,ST,18,50 Tsd. €,FC Viktoria 1889 Berlin,2017
Justin Hippe,ST,21,25 Tsd. €,FC Viktoria 1889 Berlin,2017
Karim Benyamina,ST,36,-,FC Viktoria 1889 Berlin,2017
Atakan Karadeniz,ST,19,-,FC Viktoria 1889 Berlin,2017
Stephan Flauder,GK,33,100 Tsd. €,FC Viktoria 1889 Berlin,2018
Antonis Efthymakis,GK,21,25 Tsd. €,FC Viktoria 1889 Berlin,2018
Marek Große,GK,25,25 Tsd. €,FC Viktoria 1889 Berlin,2018
Melvin Williams,GK,17,-,FC Viktoria 1889 Berlin,2018
Thomas Konrad,CB,29,250 Tsd. €,FC Viktoria 1889 Berlin,2018
Christoph Menz,CB,30,225 Tsd. €,FC Viktoria 1889 Berlin,2018
Marcus Hoffmann,CB,31,150 Tsd. €,FC Viktoria 1889 Berlin,2018
Patrick Kapp,CB,21,150 Tsd. €,FC Viktoria 1889 Berlin,2018
Cimo Röcker,CB,25,100 Tsd. €,FC Viktoria 1889 Berlin,2018
Kwabe Schulz,CB,20,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Tobias Gunte,CB,22,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Christian Hanne,CB,29,50 Tsd. €,FC Viktoria 1889 Berlin,2018
Jonas Techie-Menson,LB,20,25 Tsd. €,FC Viktoria 1889 Berlin,2018
Andreas Scheidl,RB,24,100 Tsd. €,FC Viktoria 1889 Berlin,2018
Jürgen Gjasula,CDM,33,200 Tsd. €,FC Viktoria 1889 Berlin,2018
Marco Schikora,CDM,24,125 Tsd. €,FC Viktoria 1889 Berlin,2018
Pascal Maiwald,CDM,19,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Daniel Kaiser,CM,28,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Mcmoordy Hüther,CM,19,50 Tsd. €,FC Viktoria 1889 Berlin,2018
Ugurcan Yilmaz,CM,24,50 Tsd. €,FC Viktoria 1889 Berlin,2018
Okan Aydin,CAM,25,250 Tsd. €,FC Viktoria 1889 Berlin,2018
Timo Gebhart,CAM,30,150 Tsd. €,FC Viktoria 1889 Berlin,2018
Aykut Soyak,CAM,24,125 Tsd. €,FC Viktoria 1889 Berlin,2018
Timur Gayret,CAM,20,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Eren Basaran,CAM,21,-,FC Viktoria 1889 Berlin,2018
Rafael Brand,LW,24,75 Tsd. €,FC Viktoria 1889 Berlin,2018
Benyas-Solomon Junge-Abiol,LW,20,75 Tsd. €,FC Viktoria 1889 Berlin,2018
