name,position,age,value,team,season
Nico Pellatz,GK,28,200 Tsd. €,FC Viktoria Köln,2014
Michael Vogel,GK,22,50 Tsd. €,FC Viktoria Köln,2014
Dennis Begas,GK,20,25 Tsd. €,FC Viktoria Köln,2014
Daniel Reiche,CB,27,200 Tsd. €,FC Viktoria Köln,2014
Markus Brzenska,CB,31,150 Tsd. €,FC Viktoria Köln,2014
Jannik Löhden,CB,25,100 Tsd. €,FC Viktoria Köln,2014
Sebastian Spinrath,CB,23,100 Tsd. €,FC Viktoria Köln,2014
Andreas Schäfer,LB,32,150 Tsd. €,FC Viktoria Köln,2014
Patrick Koronkiewicz,RB,24,200 Tsd. €,FC Viktoria Köln,2014
Silvio Pagano,RB,29,150 Tsd. €,FC Viktoria Köln,2014
Stefan Hickl,RB,27,75 Tsd. €,FC Viktoria Köln,2014
Marcel Deelen,RB,21,50 Tsd. €,FC Viktoria Köln,2014
Lukas Nottbeck,Midfielder,26,175 Tsd. €,FC Viktoria Köln,2014
Claus Costa,CDM,31,150 Tsd. €,FC Viktoria Köln,2014
Timo Staffeldt,CDM,31,150 Tsd. €,FC Viktoria Köln,2014
Mehdi Reichert,CDM,18,-,FC Viktoria Köln,2014
André Dej,CM,23,150 Tsd. €,FC Viktoria Köln,2014
Alessandro Riedle,CM,23,75 Tsd. €,FC Viktoria Köln,2014
René Klingenburg,CM,21,75 Tsd. €,FC Viktoria Köln,2014
Dennis Brock,CM,20,50 Tsd. €,FC Viktoria Köln,2014
Mike Wunderlich,CAM,29,200 Tsd. €,FC Viktoria Köln,2014
Jules Schwadorf,CAM,22,125 Tsd. €,FC Viktoria Köln,2014
Gaetano Manno,Second Striker,32,100 Tsd. €,FC Viktoria Köln,2014
Malte Nieweler,Second Striker,21,50 Tsd. €,FC Viktoria Köln,2014
Masatoshi Hamanaka,Second Striker,26,50 Tsd. €,FC Viktoria Köln,2014
Fatih Candan,ST,25,300 Tsd. €,FC Viktoria Köln,2014
Tim Väyrynen,ST,22,200 Tsd. €,FC Viktoria Köln,2014
Timo Röttger,ST,29,150 Tsd. €,FC Viktoria Köln,2014
Jerome Assauer,ST,27,100 Tsd. €,FC Viktoria Köln,2014
Marcus Steegmann,ST,34,75 Tsd. €,FC Viktoria Köln,2014
Mohamed Dahas,ST,19,25 Tsd. €,FC Viktoria Köln,2014
Jakub Merlan-Jarecki,ST,19,25 Tsd. €,FC Viktoria Köln,2014
Nico Pellatz,GK,29,200 Tsd. €,FC Viktoria Köln,2015
Alexander Monath,GK,22,50 Tsd. €,FC Viktoria Köln,2015
Michael Vogel,GK,23,25 Tsd. €,FC Viktoria Köln,2015
Daniel Reiche,CB,28,200 Tsd. €,FC Viktoria Köln,2015
Markus Brzenska,CB,32,150 Tsd. €,FC Viktoria Köln,2015
Tobias Haitz,CB,24,150 Tsd. €,FC Viktoria Köln,2015
Edwin Schwarz,CB,21,125 Tsd. €,FC Viktoria Köln,2015
Dominik Lanius,CB,19,25 Tsd. €,FC Viktoria Köln,2015
Patrick Koronkiewicz,RB,25,150 Tsd. €,FC Viktoria Köln,2015
Dennis Malura,RB,32,125 Tsd. €,FC Viktoria Köln,2015
Florian Heister,RB,19,50 Tsd. €,FC Viktoria Köln,2015
Lukas Nottbeck,Midfielder,27,175 Tsd. €,FC Viktoria Köln,2015
Claus Costa,CDM,32,150 Tsd. €,FC Viktoria Köln,2015
Michael Lejan,CDM,33,125 Tsd. €,FC Viktoria Köln,2015
Mehdi Reichert,CDM,19,25 Tsd. €,FC Viktoria Köln,2015
Tim Jerat,CM,34,150 Tsd. €,FC Viktoria Köln,2015
René Klingenburg,CM,22,100 Tsd. €,FC Viktoria Köln,2015
Connor Krempicki,CM,21,75 Tsd. €,FC Viktoria Köln,2015
Mike Wunderlich,CAM,30,200 Tsd. €,FC Viktoria Köln,2015
Jules Schwadorf,CAM,23,125 Tsd. €,FC Viktoria Köln,2015
Roberto Guirino,CAM,24,50 Tsd. €,FC Viktoria Köln,2015
Jules Reimerink,LW,26,200 Tsd. €,FC Viktoria Köln,2015
Fatih Candan,ST,26,200 Tsd. €,FC Viktoria Köln,2015
David Jansen,ST,28,175 Tsd. €,FC Viktoria Köln,2015
Sven Kreyer,ST,25,125 Tsd. €,FC Viktoria Köln,2015
Freddy Mombongo-Dues,ST,30,100 Tsd. €,FC Viktoria Köln,2015
Fabio Dias,ST,23,50 Tsd. €,FC Viktoria Köln,2015
Sebastian van Santen,ST,20,25 Tsd. €,FC Viktoria Köln,2015
David Bors,ST,21,25 Tsd. €,FC Viktoria Köln,2015
Marcus Steegmann,ST,35,-,FC Viktoria Köln,2015
Philipp Kühn,GK,24,200 Tsd. €,FC Viktoria Köln,2016
Nico Pellatz,GK,30,100 Tsd. €,FC Viktoria Köln,2016
Alexander Monath,GK,23,50 Tsd. €,FC Viktoria Köln,2016
René Monjeamb,GK,26,-,FC Viktoria Köln,2016
Daniel Reiche,CB,29,200 Tsd. €,FC Viktoria Köln,2016
Dominik Lanius,CB,20,150 Tsd. €,FC Viktoria Köln,2016
Edwin Schwarz,CB,22,125 Tsd. €,FC Viktoria Köln,2016
Markus Brzenska,CB,33,100 Tsd. €,FC Viktoria Köln,2016
Tom Isecke,CB,19,25 Tsd. €,FC Viktoria Köln,2016
Sascha Eichmeier,LB,27,175 Tsd. €,FC Viktoria Köln,2016
Andrejs Ciganiks,LB,20,50 Tsd. €,FC Viktoria Köln,2016
Patrick Koronkiewicz,RB,26,175 Tsd. €,FC Viktoria Köln,2016
Florian Heister,RB,20,50 Tsd. €,FC Viktoria Köln,2016
Lukas Nottbeck,Midfielder,28,150 Tsd. €,FC Viktoria Köln,2016
Michael Lejan,CDM,34,125 Tsd. €,FC Viktoria Köln,2016
Marco Fiore,CDM,28,75 Tsd. €,FC Viktoria Köln,2016
Mehdi Reichert,CDM,20,25 Tsd. €,FC Viktoria Köln,2016
Tom-Luca Klein,Midfielder,18,-,FC Viktoria Köln,2016
Felix Backszat,CM,27,150 Tsd. €,FC Viktoria Köln,2016
Tim Jerat,CM,35,50 Tsd. €,FC Viktoria Köln,2016
Hamza Saghiri,CM,20,50 Tsd. €,FC Viktoria Köln,2016
Mike Wunderlich,CAM,31,200 Tsd. €,FC Viktoria Köln,2016
Timm Golley,CAM,26,175 Tsd. €,FC Viktoria Köln,2016
Kevin Holzweiler,RW,22,125 Tsd. €,FC Viktoria Köln,2016
Marcel Gottschling,RW,23,100 Tsd. €,FC Viktoria Köln,2016
Sven Kreyer,ST,26,175 Tsd. €,FC Viktoria Köln,2016
David Jansen,ST,29,150 Tsd. €,FC Viktoria Köln,2016
Fatih Candan,ST,27,150 Tsd. €,FC Viktoria Köln,2016
Dastit Bulliqi,ST,19,-,FC Viktoria Köln,2016
Sebastian Patzler,GK,27,150 Tsd. €,FC Viktoria Köln,2017
Florian Sowade,GK,21,50 Tsd. €,FC Viktoria Köln,2017
Daniel Reiche,CB,30,200 Tsd. €,FC Viktoria Köln,2017
Tobias Willers,CB,31,200 Tsd. €,FC Viktoria Köln,2017
Dominik Lanius,CB,21,150 Tsd. €,FC Viktoria Köln,2017
Leander Goralski,CB,24,100 Tsd. €,FC Viktoria Köln,2017
Sascha Herröder,CB,30,75 Tsd. €,FC Viktoria Köln,2017
André Wallenborn,CB,23,75 Tsd. €,FC Viktoria Köln,2017
Tom Isecke,CB,20,25 Tsd. €,FC Viktoria Köln,2017
Sascha Eichmeier,LB,28,175 Tsd. €,FC Viktoria Köln,2017
Simon Handle,LB,25,150 Tsd. €,FC Viktoria Köln,2017
Steffen Lang,RB,24,150 Tsd. €,FC Viktoria Köln,2017
Patrick Koronkiewicz,RB,27,150 Tsd. €,FC Viktoria Köln,2017
Lukas Nottbeck,Midfielder,29,150 Tsd. €,FC Viktoria Köln,2017
Marco Fiore,CDM,29,75 Tsd. €,FC Viktoria Köln,2017
Kai Klefisch,CDM,18,-,FC Viktoria Köln,2017
Felix Backszat,CM,28,150 Tsd. €,FC Viktoria Köln,2017
Manuel Junglas,CM,29,150 Tsd. €,FC Viktoria Köln,2017
Tobias Müller,CM,25,125 Tsd. €,FC Viktoria Köln,2017
Hamza Saghiri,CM,21,25 Tsd. €,FC Viktoria Köln,2017
Mike Wunderlich,CAM,32,200 Tsd. €,FC Viktoria Köln,2017
Timm Golley,CAM,27,200 Tsd. €,FC Viktoria Köln,2017
Hendrik Lohmar,CAM,22,100 Tsd. €,FC Viktoria Köln,2017
Kevin Holzweiler,RW,23,150 Tsd. €,FC Viktoria Köln,2017
Sven Kreyer,ST,27,175 Tsd. €,FC Viktoria Köln,2017
Kemal Rüzgar,ST,23,125 Tsd. €,FC Viktoria Köln,2017
Marc Brasnic,ST,21,75 Tsd. €,FC Viktoria Köln,2017
Sebastian Patzler,GK,28,150 Tsd. €,FC Viktoria Köln,2018
Mark Depta,GK,21,100 Tsd. €,FC Viktoria Köln,2018
Ron Meyer,GK,21,25 Tsd. €,FC Viktoria Köln,2018
Daniel Reiche,CB,31,200 Tsd. €,FC Viktoria Köln,2018
Tobias Willers,CB,32,200 Tsd. €,FC Viktoria Köln,2018
Stefano Maier,CB,26,150 Tsd. €,FC Viktoria Köln,2018
André Wallenborn,CB,24,50 Tsd. €,FC Viktoria Köln,2018
Dario De Vita,CB,19,-,FC Viktoria Köln,2018
Simon Handle,LB,26,175 Tsd. €,FC Viktoria Köln,2018
Fabian Baumgärtel,LB,29,175 Tsd. €,FC Viktoria Köln,2018
Sascha Eichmeier,LB,29,125 Tsd. €,FC Viktoria Köln,2018
Steffen Lang,RB,25,150 Tsd. €,FC Viktoria Köln,2018
Patrick Koronkiewicz,RB,28,150 Tsd. €,FC Viktoria Köln,2018
Sebastian Wimmer,CDM,25,175 Tsd. €,FC Viktoria Köln,2018
Hajdar Shala,CDM,20,25 Tsd. €,FC Viktoria Köln,2018
Kai Klefisch,CDM,19,25 Tsd. €,FC Viktoria Köln,2018
Jannis Fraundörfer,CDM,20,25 Tsd. €,FC Viktoria Köln,2018
Blessing Bamidele,CDM,19,-,FC Viktoria Köln,2018
Felix Backszat,CM,29,175 Tsd. €,FC Viktoria Köln,2018
Hamza Saghiri,CM,22,125 Tsd. €,FC Viktoria Köln,2018
Mike Wunderlich,CAM,33,175 Tsd. €,FC Viktoria Köln,2018
Timm Golley,CAM,28,175 Tsd. €,FC Viktoria Köln,2018
Christian Derflinger,CAM,25,150 Tsd. €,FC Viktoria Köln,2018
Hendrik Lohmar,CAM,23,75 Tsd. €,FC Viktoria Köln,2018
Dimitrios Popovic,LW,24,75 Tsd. €,FC Viktoria Köln,2018
Kevin Holzweiler,RW,24,175 Tsd. €,FC Viktoria Köln,2018
Marcel Gottschling,RW,25,100 Tsd. €,FC Viktoria Köln,2018
Sven Kreyer,ST,28,150 Tsd. €,FC Viktoria Köln,2018
Lucas Musculus,ST,28,150 Tsd. €,FC Viktoria Köln,2018
Nicolas Hebisch,ST,29,125 Tsd. €,FC Viktoria Köln,2018
Albert Bunjaku,ST,35,100 Tsd. €,FC Viktoria Köln,2018
Yves Mfumu,ST,21,50 Tsd. €,FC Viktoria Köln,2018
Moussa Dembele,ST,18,-,FC Viktoria Köln,2018
Daniel Mesenhöler,GK,24,300 Tsd. €,FC Viktoria Köln,2019
André Weis,GK,30,200 Tsd. €,FC Viktoria Köln,2019
Sebastian Patzler,GK,29,125 Tsd. €,FC Viktoria Köln,2019
Mark Depta,GK,22,100 Tsd. €,FC Viktoria Köln,2019
Lars Dietz,CB,23,225 Tsd. €,FC Viktoria Köln,2019
Sead Hajrovic,CB,27,225 Tsd. €,FC Viktoria Köln,2019
Bernard Kyere,CB,24,175 Tsd. €,FC Viktoria Köln,2019
Tobias Willers,CB,33,150 Tsd. €,FC Viktoria Köln,2019
Dominik Lanius,CB,23,150 Tsd. €,FC Viktoria Köln,2019
Dario De Vita,CB,20,100 Tsd. €,FC Viktoria Köln,2019
Alexander Höck,CB,18,-,FC Viktoria Köln,2019
Jonas Carls,LB,23,300 Tsd. €,FC Viktoria Köln,2019
Simon Handle,LB,27,250 Tsd. €,FC Viktoria Köln,2019
Jan-Lukas Funke,LB,20,100 Tsd. €,FC Viktoria Köln,2019
Sascha Eichmeier,LB,30,75 Tsd. €,FC Viktoria Köln,2019
Steffen Lang,RB,26,175 Tsd. €,FC Viktoria Köln,2019
Patrick Koronkiewicz,RB,29,150 Tsd. €,FC Viktoria Köln,2019
Fabian Holthaus,CDM,25,200 Tsd. €,FC Viktoria Köln,2019
Moritz Fritz,CDM,26,175 Tsd. €,FC Viktoria Köln,2019
Mart Ristl,CDM,23,175 Tsd. €,FC Viktoria Köln,2019
Kai Klefisch,CDM,20,125 Tsd. €,FC Viktoria Köln,2019
André Dej,CM,28,225 Tsd. €,FC Viktoria Köln,2019
Hamza Saghiri,CM,23,125 Tsd. €,FC Viktoria Köln,2019
Timo Hölscher,CM,20,50 Tsd. €,FC Viktoria Köln,2019
Mike Wunderlich,CAM,34,150 Tsd. €,FC Viktoria Köln,2019
Suheyel Najar,CAM,24,100 Tsd. €,FC Viktoria Köln,2019
Steven Lewerenz,LW,29,300 Tsd. €,FC Viktoria Köln,2019
Kevin Holzweiler,RW,25,200 Tsd. €,FC Viktoria Köln,2019
Marcel Gottschling,RW,26,175 Tsd. €,FC Viktoria Köln,2019
Ernesto Carratala-Jimenez,RW,20,50 Tsd. €,FC Viktoria Köln,2019
Michael Seaton,ST,24,250 Tsd. €,FC Viktoria Köln,2019
Richmond Tachie,ST,21,125 Tsd. €,FC Viktoria Köln,2019
Albert Bunjaku,ST,36,125 Tsd. €,FC Viktoria Köln,2019
Sven Kreyer,ST,29,125 Tsd. €,FC Viktoria Köln,2019
Sebastian Mielitz,GK,31,275 Tsd. €,FC Viktoria Köln,2020
André Weis,GK,31,150 Tsd. €,FC Viktoria Köln,2020
Yannik Bangsow,GK,23,75 Tsd. €,FC Viktoria Köln,2020
Maximilian Rossmann,CB,26,300 Tsd. €,FC Viktoria Köln,2020
Michael Schultz,CB,28,300 Tsd. €,FC Viktoria Köln,2020
Jeremias Lorch,CB,25,250 Tsd. €,FC Viktoria Köln,2020
Sead Hajrovic,CB,28,200 Tsd. €,FC Viktoria Köln,2020
Bernard Kyere,CB,25,150 Tsd. €,FC Viktoria Köln,2020
Dominik Lanius,CB,24,125 Tsd. €,FC Viktoria Köln,2020
Alexander Höck,CB,19,75 Tsd. €,FC Viktoria Köln,2020
Dario De Vita,CB,21,75 Tsd. €,FC Viktoria Köln,2020
Maximilian Fischer,CB,19,-,FC Viktoria Köln,2020
Paul Weist,CB,19,-,FC Viktoria Köln,2020
İlhan Altuntaş,CB,18,-,FC Viktoria Köln,2020
Simon Handle,LB,28,225 Tsd. €,FC Viktoria Köln,2020
Luca Stellwagen,LB,22,125 Tsd. €,FC Viktoria Köln,2020
Niklas May,LB,19,-,FC Viktoria Köln,2020
Patrick Koronkiewicz,RB,30,150 Tsd. €,FC Viktoria Köln,2020
Kai Klefisch,CDM,21,350 Tsd. €,FC Viktoria Köln,2020
Moritz Fritz,CDM,27,175 Tsd. €,FC Viktoria Köln,2020
Fabian Holthaus,CDM,26,150 Tsd. €,FC Viktoria Köln,2020
Marten Imping,Midfielder,19,-,FC Viktoria Köln,2020
René Klingenburg,CM,27,225 Tsd. €,FC Viktoria Köln,2020
André Dej,CM,29,150 Tsd. €,FC Viktoria Köln,2020
Enes Tubluk,CM,21,50 Tsd. €,FC Viktoria Köln,2020
Marcel Risse,RM,31,500 Tsd. €,FC Viktoria Köln,2020
Mike Wunderlich,CAM,35,150 Tsd. €,FC Viktoria Köln,2020
Lucas Cueto,LW,25,300 Tsd. €,FC Viktoria Köln,2020
Youssef Amyn,LW,17,-,FC Viktoria Köln,2020
Marcel Gottschling,RW,27,200 Tsd. €,FC Viktoria Köln,2020
Kevin Holzweiler,RW,26,175 Tsd. €,FC Viktoria Köln,2020
Timmy Thiele,ST,29,275 Tsd. €,FC Viktoria Köln,2020
Michael Seaton,ST,25,125 Tsd. €,FC Viktoria Köln,2020
Albert Bunjaku,ST,37,100 Tsd. €,FC Viktoria Köln,2020
Seok-ju Hong,ST,18,-,FC Viktoria Köln,2020
Moritz Nicolas,GK,24,350 Tsd. €,FC Viktoria Köln,2021
Sebastian Mielitz,GK,32,250 Tsd. €,FC Viktoria Köln,2021
Elias Bördner,GK,20,200 Tsd. €,FC Viktoria Köln,2021
Kevin Rauhut,GK,32,75 Tsd. €,FC Viktoria Köln,2021
Jakob Brambach,GK,19,-,FC Viktoria Köln,2021
Jamil Siebert,CB,20,350 Tsd. €,FC Viktoria Köln,2021
Maximilian Rossmann,CB,27,250 Tsd. €,FC Viktoria Köln,2021
Daniel Buballa,CB,32,250 Tsd. €,FC Viktoria Köln,2021
Jeremias Lorch,CB,26,225 Tsd. €,FC Viktoria Köln,2021
Christoph Greger,CB,25,225 Tsd. €,FC Viktoria Köln,2021
Aaron Berzel,CB,30,175 Tsd. €,FC Viktoria Köln,2021
Alexander Höck,CB,20,75 Tsd. €,FC Viktoria Köln,2021
Dario De Vita,CB,22,50 Tsd. €,FC Viktoria Köln,2021
Phil Zimmermann,CB,19,-,FC Viktoria Köln,2021
İlhan Altuntaş,CB,19,-,FC Viktoria Köln,2021
David Kubatta,CB,18,-,FC Viktoria Köln,2021
Simon Handle,LB,29,225 Tsd. €,FC Viktoria Köln,2021
Niklas May,LB,20,150 Tsd. €,FC Viktoria Köln,2021
Tim Schirmer,LB,19,-,FC Viktoria Köln,2021
Florian Heister,RB,25,200 Tsd. €,FC Viktoria Köln,2021
Patrick Koronkiewicz,RB,31,150 Tsd. €,FC Viktoria Köln,2021
Oualid Mhamdi,RB,19,-,FC Viktoria Köln,2021
Kai Klefisch,CDM,22,400 Tsd. €,FC Viktoria Köln,2021
Patrick Sontheimer,CDM,23,350 Tsd. €,FC Viktoria Köln,2021
Moritz Fritz,CDM,28,200 Tsd. €,FC Viktoria Köln,2021
Benjamin Hemcke,CM,19,100 Tsd. €,FC Viktoria Köln,2021
Florian Engelhardt,CM,19,-,FC Viktoria Köln,2021
Marcel Risse,RM,32,450 Tsd. €,FC Viktoria Köln,2021
Ben Hompesch,LM,19,-,FC Viktoria Köln,2021
David Philipp,CAM,22,300 Tsd. €,FC Viktoria Köln,2021
Federico Palacios,CAM,27,225 Tsd. €,FC Viktoria Köln,2021
Luca Marseiler,CAM,25,225 Tsd. €,FC Viktoria Köln,2021
Joel Vieting,CAM,19,-,FC Viktoria Köln,2021
Youssef Amyn,LW,18,400 Tsd. €,FC Viktoria Köln,2021
Luca de Meester,RW,18,-,FC Viktoria Köln,2021
Nikolaj Möller,ST,19,300 Tsd. €,FC Viktoria Köln,2021
Lenn Jastremski,ST,21,300 Tsd. €,FC Viktoria Köln,2021
Seok-ju Hong,ST,19,300 Tsd. €,FC Viktoria Köln,2021
Timmy Thiele,ST,30,225 Tsd. €,FC Viktoria Köln,2021
Albert Bunjaku,ST,38,-,FC Viktoria Köln,2021
Elvin Jashari,ST,19,-,FC Viktoria Köln,2021
Ben Voll,GK,22,300 Tsd. €,FC Viktoria Köln,2022
Elias Bördner,GK,21,150 Tsd. €,FC Viktoria Köln,2022
Kevin Rauhut,GK,33,75 Tsd. €,FC Viktoria Köln,2022
Juri Schüchter,GK,19,-,FC Viktoria Köln,2022
Jamil Siebert,CB,21,700 Tsd. €,FC Viktoria Köln,2022
Michael Schultz,CB,30,300 Tsd. €,FC Viktoria Köln,2022
Lars Dietz,CB,26,250 Tsd. €,FC Viktoria Köln,2022
Christoph Greger,CB,26,250 Tsd. €,FC Viktoria Köln,2022
Jeremias Lorch,CB,27,175 Tsd. €,FC Viktoria Köln,2022
Daniel Buballa,CB,33,125 Tsd. €,FC Viktoria Köln,2022
İlhan Altuntaş,CB,20,75 Tsd. €,FC Viktoria Köln,2022
David Kubatta,CB,19,25 Tsd. €,FC Viktoria Köln,2022
Kaden Amaniampong,CB,19,-,FC Viktoria Köln,2022
Simon Handle,LB,30,250 Tsd. €,FC Viktoria Köln,2022
Niklas May,LB,21,225 Tsd. €,FC Viktoria Köln,2022
Patrick Koronkiewicz,RB,32,175 Tsd. €,FC Viktoria Köln,2022
Florian Heister,RB,26,150 Tsd. €,FC Viktoria Köln,2022
Patrick Sontheimer,CDM,24,400 Tsd. €,FC Viktoria Köln,2022
Moritz Fritz,CDM,29,200 Tsd. €,FC Viktoria Köln,2022
Hamza Saghiri,CM,26,175 Tsd. €,FC Viktoria Köln,2022
Benjamin Hemcke,CM,20,75 Tsd. €,FC Viktoria Köln,2022
Florian Engelhardt,CM,20,25 Tsd. €,FC Viktoria Köln,2022
Ben Klefisch,CM,20,-,FC Viktoria Köln,2022
Marcel Risse,RM,33,300 Tsd. €,FC Viktoria Köln,2022
David Philipp,CAM,23,300 Tsd. €,FC Viktoria Köln,2022
Mike Wunderlich,CAM,37,200 Tsd. €,FC Viktoria Köln,2022
Luca Marseiler,CAM,26,200 Tsd. €,FC Viktoria Köln,2022
Federico Palacios,CAM,28,150 Tsd. €,FC Viktoria Köln,2022
Youssef Amyn,LW,19,400 Tsd. €,FC Viktoria Köln,2022
Simon Stehle,RW,21,200 Tsd. €,FC Viktoria Köln,2022
Luca de Meester,RW,19,75 Tsd. €,FC Viktoria Köln,2022
Robin Meißner,ST,23,500 Tsd. €,FC Viktoria Köln,2022
André Becker,ST,26,250 Tsd. €,FC Viktoria Köln,2022
Kevin Lankford,ST,24,200 Tsd. €,FC Viktoria Köln,2022
Seok-ju Hong,ST,20,200 Tsd. €,FC Viktoria Köln,2022
Ben Voll,GK,23,500 Tsd. €,FC Viktoria Köln,2023
Kevin Rauhut,GK,34,100 Tsd. €,FC Viktoria Köln,2023
Elias Bördner,GK,22,75 Tsd. €,FC Viktoria Köln,2023
Michael Schultz,CB,31,300 Tsd. €,FC Viktoria Köln,2023
Jeremias Lorch,CB,28,300 Tsd. €,FC Viktoria Köln,2023
Christoph Greger,CB,27,225 Tsd. €,FC Viktoria Köln,2023
Lars Dietz,CB,27,200 Tsd. €,FC Viktoria Köln,2023
David Kubatta,CB,20,125 Tsd. €,FC Viktoria Köln,2023
Zoumana Keita,CB,18,-,FC Viktoria Köln,2023
Niklas May,LB,22,300 Tsd. €,FC Viktoria Köln,2023
Simon Handle,LB,31,200 Tsd. €,FC Viktoria Köln,2023
Jonah Sticker,LB,20,125 Tsd. €,FC Viktoria Köln,2023
Sidny Lopes Cabral,RB,21,300 Tsd. €,FC Viktoria Köln,2023
Florian Heister,RB,27,150 Tsd. €,FC Viktoria Köln,2023
Patrick Koronkiewicz,RB,33,150 Tsd. €,FC Viktoria Köln,2023
Sisco Ngambia Dzonga,RB,18,-,FC Viktoria Köln,2023
Stefano Russo,CDM,24,275 Tsd. €,FC Viktoria Köln,2023
Moritz Fritz,CDM,30,200 Tsd. €,FC Viktoria Köln,2023
Joel Udelhoven,CDM,18,-,FC Viktoria Köln,2023
Florian Engelhardt,CM,21,200 Tsd. €,FC Viktoria Köln,2023
Kaan Karaduman,CM,19,-,FC Viktoria Köln,2023
Hassan Ali,RM,18,-,FC Viktoria Köln,2023
Luca Marseiler,CAM,27,750 Tsd. €,FC Viktoria Köln,2023
David Philipp,CAM,24,350 Tsd. €,FC Viktoria Köln,2023
Bryan Henning,CAM,29,300 Tsd. €,FC Viktoria Köln,2023
Donny Bogicevic,CAM,22,225 Tsd. €,FC Viktoria Köln,2023
Suheyel Najar,CAM,28,150 Tsd. €,FC Viktoria Köln,2023
Thomas Idel,CAM,24,125 Tsd. €,FC Viktoria Köln,2023
Lasse Soldanski,CAM,18,-,FC Viktoria Köln,2023
Said El Mala,LW,17,300 Tsd. €,FC Viktoria Köln,2023
Luca de Meester,RW,20,200 Tsd. €,FC Viktoria Köln,2023
Ron Preßler,RW,18,-,FC Viktoria Köln,2023
André Becker,ST,27,300 Tsd. €,FC Viktoria Köln,2023
Tobias Anselm,ST,24,250 Tsd. €,FC Viktoria Köln,2023
Valdrin Mustafa,ST,26,200 Tsd. €,FC Viktoria Köln,2023
Seok-ju Hong,ST,21,150 Tsd. €,FC Viktoria Köln,2023
Kevin Lankford,ST,25,125 Tsd. €,FC Viktoria Köln,2023
Malek El Mala,ST,19,100 Tsd. €,FC Viktoria Köln,2023
Dudu,GK,26,225 Tsd. €,FC Viktoria Köln,2024
Kevin Rauhut,GK,35,100 Tsd. €,FC Viktoria Köln,2024
Oleksandr Petrenko,GK,18,-,FC Viktoria Köln,2024
