name,position,age,value,team,season
Frank Steigelmann,GK,35,50 Tsd. €,FK Pirmasens,2014
Matthias Gize,GK,20,25 Tsd. €,FK Pirmasens,2014
Ronny Fahr,GK,33,25 Tsd. €,FK Pirmasens,2014
Mirko Bitzer,GK,41,25 Tsd. €,FK Pirmasens,2014
Benedikt Fath,GK,19,-,FK Pirmasens,2014
Karsten Köpke,GK,19,-,FK Pirmasens,2014
Marco Steil,CB,27,100 Tsd. €,FK Pirmasens,2014
Simon Maurer,CB,25,50 Tsd. €,FK Pirmasens,2014
Alexander Heinze,CB,21,25 Tsd. €,FK Pirmasens,2014
Robin Purdy,CB,22,25 Tsd. €,FK Pirmasens,2014
Florian Hasemann,CB,22,-,FK Pirmasens,2014
Karsten Schug,LB,27,50 Tsd. €,FK Pirmasens,2014
Sascha Hammann,LB,22,50 Tsd. €,FK Pirmasens,2014
Benjamin Peters,LB,26,-,FK Pirmasens,2014
Mathäus Gornik,RB,26,25 Tsd. €,FK Pirmasens,2014
Adam Bouzid,CDM,27,100 Tsd. €,FK Pirmasens,2014
Christian Henn,CDM,28,75 Tsd. €,FK Pirmasens,2014
David Becker,CDM,23,25 Tsd. €,FK Pirmasens,2014
Attila Baum,CDM,29,25 Tsd. €,FK Pirmasens,2014
Jannik Nagel,CDM,22,25 Tsd. €,FK Pirmasens,2014
Dennie Reh,CDM,23,25 Tsd. €,FK Pirmasens,2014
Jannik Sommer,RM,23,50 Tsd. €,FK Pirmasens,2014
Florian Bicking,RM,20,-,FK Pirmasens,2014
Robin Mertinitz,LM,25,50 Tsd. €,FK Pirmasens,2014
Patrick Freyer,LM,26,50 Tsd. €,FK Pirmasens,2014
Niklas Kupper,LM,23,25 Tsd. €,FK Pirmasens,2014
Sebastian Reinert,CAM,28,75 Tsd. €,FK Pirmasens,2014
Sebastian Schmitt,CAM,22,25 Tsd. €,FK Pirmasens,2014
Dennis Gerlinger,RW,24,100 Tsd. €,FK Pirmasens,2014
Jascha Conzelmann,RW,23,25 Tsd. €,FK Pirmasens,2014
Christopher Ludy,ST,22,25 Tsd. €,FK Pirmasens,2014
Felix Bürger,ST,22,25 Tsd. €,FK Pirmasens,2014
Christian Henel,ST,27,-,FK Pirmasens,2014
Benjamin Auer,ST,34,-,FK Pirmasens,2014
Mark Hoffmann,ST,23,-,FK Pirmasens,2014
Christoph Batke,ST,19,-,FK Pirmasens,2014
Daniel Kläs,GK,24,75 Tsd. €,FK Pirmasens,2015
Frank Steigelmann,GK,36,50 Tsd. €,FK Pirmasens,2015
Ronny Fahr,GK,34,25 Tsd. €,FK Pirmasens,2015
Matthias Gize,GK,21,25 Tsd. €,FK Pirmasens,2015
Frederik Eitel,CB,21,-,FK Pirmasens,2015
Simon Maurer,CB,26,100 Tsd. €,FK Pirmasens,2015
Marco Steil,CB,28,100 Tsd. €,FK Pirmasens,2015
Alexander Heinze,CB,22,75 Tsd. €,FK Pirmasens,2015
Yannick Grieß,CB,20,-,FK Pirmasens,2015
Sascha Hammann,LB,23,75 Tsd. €,FK Pirmasens,2015
Karsten Schug,LB,28,50 Tsd. €,FK Pirmasens,2015
Christian Schubert,RB,19,-,FK Pirmasens,2015
Manuel Grünnagel,RB,20,-,FK Pirmasens,2015
David Becker,CDM,24,100 Tsd. €,FK Pirmasens,2015
Adam Bouzid,CDM,28,75 Tsd. €,FK Pirmasens,2015
Christian Henn,CDM,29,50 Tsd. €,FK Pirmasens,2015
Florian Opitz,CDM,28,25 Tsd. €,FK Pirmasens,2015
Christian Grimm,LM,29,75 Tsd. €,FK Pirmasens,2015
Patrick Freyer,LM,27,75 Tsd. €,FK Pirmasens,2015
Sebastian Reinert,CAM,29,100 Tsd. €,FK Pirmasens,2015
Alexander Schmieden,CAM,22,50 Tsd. €,FK Pirmasens,2015
Luca Eichhorn,CAM,18,-,FK Pirmasens,2015
Nigel Bier,RW,23,50 Tsd. €,FK Pirmasens,2015
Benjamin Auer,ST,35,100 Tsd. €,FK Pirmasens,2015
Felix Bürger,ST,23,75 Tsd. €,FK Pirmasens,2015
Heraldo Jorrin,ST,22,25 Tsd. €,FK Pirmasens,2015
Christopher Ludy,ST,23,25 Tsd. €,FK Pirmasens,2015
Dennis Krob,ST,23,-,FK Pirmasens,2015
Daniel Kläs,GK,25,75 Tsd. €,FK Pirmasens,2016
Frank Steigelmann,GK,37,25 Tsd. €,FK Pirmasens,2016
Matthias Gize,GK,22,25 Tsd. €,FK Pirmasens,2016
Mirko Bitzer,GK,43,25 Tsd. €,FK Pirmasens,2016
Oliver Seitz,GK,19,-,FK Pirmasens,2016
Marco Steil,CB,29,100 Tsd. €,FK Pirmasens,2016
Alexander Heinze,CB,23,75 Tsd. €,FK Pirmasens,2016
Yannick Grieß,CB,21,25 Tsd. €,FK Pirmasens,2016
Yannick Osée,CB,20,-,FK Pirmasens,2016
Sascha Hammann,LB,24,75 Tsd. €,FK Pirmasens,2016
Selim Avci,LB,23,25 Tsd. €,FK Pirmasens,2016
Manuel Grünnagel,RB,21,50 Tsd. €,FK Pirmasens,2016
Christian Schubert,RB,20,-,FK Pirmasens,2016
David Becker,CDM,25,100 Tsd. €,FK Pirmasens,2016
Adam Bouzid,CDM,29,75 Tsd. €,FK Pirmasens,2016
Mikail Erdem,Midfielder,23,-,FK Pirmasens,2016
Salif Cissé,CM,23,75 Tsd. €,FK Pirmasens,2016
Dominik Rohracker,RM,28,75 Tsd. €,FK Pirmasens,2016
Christian Grimm,LM,30,75 Tsd. €,FK Pirmasens,2016
Patrick Freyer,LM,28,75 Tsd. €,FK Pirmasens,2016
Sebastian Reinert,CAM,30,100 Tsd. €,FK Pirmasens,2016
Jonas Singer,LW,19,25 Tsd. €,FK Pirmasens,2016
Felix Bürger,ST,24,100 Tsd. €,FK Pirmasens,2016
Can Cemil Özer,ST,27,75 Tsd. €,FK Pirmasens,2016
Charlie Rugg,ST,26,75 Tsd. €,FK Pirmasens,2016
Dennis Krob,ST,24,25 Tsd. €,FK Pirmasens,2016
Benjamin Auer,ST,36,-,FK Pirmasens,2016
Christopher Ludy,ST,24,-,FK Pirmasens,2016
Matthias Gize,GK,23,-,FK Pirmasens,2017
Daniel Kläs,GK,26,-,FK Pirmasens,2017
Maximilian Cölsch,GK,17,-,FK Pirmasens,2017
Oliver Seitz,GK,20,-,FK Pirmasens,2017
Daniel Kamphues,GK,19,-,FK Pirmasens,2017
Yannick Grieß,CB,22,-,FK Pirmasens,2017
Marco Steil,CB,30,-,FK Pirmasens,2017
Lorenzo Valentini,CB,20,-,FK Pirmasens,2017
Yannick Osée,CB,21,-,FK Pirmasens,2017
Jens Schaufler,LB,36,-,FK Pirmasens,2017
Sascha Hammann,LB,25,-,FK Pirmasens,2017
Manuel Grünnagel,RB,22,-,FK Pirmasens,2017
Christian Schubert,RB,21,-,FK Pirmasens,2017
Jan Luca Rebmann,RB,19,-,FK Pirmasens,2017
David Becker,CDM,26,-,FK Pirmasens,2017
Sebastian Brenner,CDM,21,-,FK Pirmasens,2017
Salif Cissé,CM,24,-,FK Pirmasens,2017
Paolo Valentini,CM,20,-,FK Pirmasens,2017
Christian Grimm,LM,31,-,FK Pirmasens,2017
Patrick Freyer,LM,29,-,FK Pirmasens,2017
Mauro Martin,LM,20,-,FK Pirmasens,2017
Sebastian Reinert,CAM,31,-,FK Pirmasens,2017
Luca Eichhorn,CAM,20,-,FK Pirmasens,2017
Sandro Kempf,CAM,19,-,FK Pirmasens,2017
Jonas Singer,LW,20,-,FK Pirmasens,2017
David Kazaryan,Second Striker,20,-,FK Pirmasens,2017
Dennis Krob,ST,25,-,FK Pirmasens,2017
Christopher Ludy,ST,25,-,FK Pirmasens,2017
Felix Bürger,ST,25,-,FK Pirmasens,2017
Erik Bischof,ST,18,-,FK Pirmasens,2017
Benjamin Reitz,GK,21,75 Tsd. €,FK Pirmasens,2018
Daniel Kläs,GK,27,50 Tsd. €,FK Pirmasens,2018
Matthias Gize,GK,24,25 Tsd. €,FK Pirmasens,2018
Thorsten Hodel,GK,40,25 Tsd. €,FK Pirmasens,2018
Yannick Osée,CB,22,75 Tsd. €,FK Pirmasens,2018
Marco Steil,CB,31,75 Tsd. €,FK Pirmasens,2018
Yannick Grieß,CB,23,50 Tsd. €,FK Pirmasens,2018
