name,position,age,value,team,season
Patric Klandt,GK,31,600 Tsd. €,FSV Frankfurt,2014
Sören Pirson,GK,29,200 Tsd. €,FSV Frankfurt,2014
Jannis Pellowski,GK,23,100 Tsd. €,FSV Frankfurt,2014
Tom Beugelsdijk,CB,24,750 Tsd. €,FSV Frankfurt,2014
Manuel Konrad,CB,27,700 Tsd. €,FSV Frankfurt,2014
Alexander Bittroff,CB,26,600 Tsd. €,FSV Frankfurt,2014
Joan Oumari,CB,26,500 Tsd. €,FSV Frankfurt,2014
Björn Schlicke,CB,34,300 Tsd. €,FSV Frankfurt,2014
Florian Ballas,CB,22,150 Tsd. €,FSV Frankfurt,2014
Alexander Huber,RB,30,500 Tsd. €,FSV Frankfurt,2014
Sofian Chahed,RB,32,-,FSV Frankfurt,2014
Hanno Balitsch,CDM,34,600 Tsd. €,FSV Frankfurt,2014
Markus Ballmert,CDM,21,200 Tsd. €,FSV Frankfurt,2014
Patrick Schorr,CDM,20,150 Tsd. €,FSV Frankfurt,2014
Marcel Kaffenberger,CDM,21,150 Tsd. €,FSV Frankfurt,2014
Ahmed Azaouagh,CDM,21,100 Tsd. €,FSV Frankfurt,2014
Marc-André Kruska,CM,28,700 Tsd. €,FSV Frankfurt,2014
Joni Kauko,CM,24,450 Tsd. €,FSV Frankfurt,2014
Fabian Burdenski,CM,23,150 Tsd. €,FSV Frankfurt,2014
Zafer Yelen,CAM,28,450 Tsd. €,FSV Frankfurt,2014
Faton Toski,CAM,28,300 Tsd. €,FSV Frankfurt,2014
Timm Golley,CAM,24,300 Tsd. €,FSV Frankfurt,2014
Denis Epstein,LW,28,800 Tsd. €,FSV Frankfurt,2014
Vincenzo Grifo,LW,22,700 Tsd. €,FSV Frankfurt,2014
Mario Engels,LW,21,400 Tsd. €,FSV Frankfurt,2014
Florijon Belegu,LW,22,100 Tsd. €,FSV Frankfurt,2014
Odise Roshi,RW,24,400 Tsd. €,FSV Frankfurt,2014
Edmond Kapllani,ST,32,600 Tsd. €,FSV Frankfurt,2014
Mohamed Amine Aoudia,ST,28,600 Tsd. €,FSV Frankfurt,2014
Zlatko Dedic,ST,30,500 Tsd. €,FSV Frankfurt,2014
André Schembri,ST,29,450 Tsd. €,FSV Frankfurt,2014
André Weis,GK,26,700 Tsd. €,FSV Frankfurt,2015
Sören Pirson,GK,30,200 Tsd. €,FSV Frankfurt,2015
Jannis Pellowski,GK,24,100 Tsd. €,FSV Frankfurt,2015
Joan Oumari,CB,27,800 Tsd. €,FSV Frankfurt,2015
Lukas Gugganig,CB,21,800 Tsd. €,FSV Frankfurt,2015
Manuel Konrad,CB,28,700 Tsd. €,FSV Frankfurt,2015
Florian Ballas,CB,23,500 Tsd. €,FSV Frankfurt,2015
Shawn Barry,CB,26,400 Tsd. €,FSV Frankfurt,2015
Alexander Bittroff,CB,27,350 Tsd. €,FSV Frankfurt,2015
Gabriel Silva,CB,21,100 Tsd. €,FSV Frankfurt,2015
Mateo Andacic,CB,18,100 Tsd. €,FSV Frankfurt,2015
Ehsan Hajsafi,LB,26,900 Tsd. €,FSV Frankfurt,2015
Heinrich Schmidtgal,LB,30,200 Tsd. €,FSV Frankfurt,2015
Alexander Huber,RB,31,500 Tsd. €,FSV Frankfurt,2015
Niki Zimling,CDM,31,800 Tsd. €,FSV Frankfurt,2015
Nahom Gebru,CDM,19,100 Tsd. €,FSV Frankfurt,2015
Fanol Perdedaj,CM,24,700 Tsd. €,FSV Frankfurt,2015
Marc-André Kruska,CM,29,400 Tsd. €,FSV Frankfurt,2015
Zsolt Kalmár,CM,21,400 Tsd. €,FSV Frankfurt,2015
Denis Mangafic,CM,26,150 Tsd. €,FSV Frankfurt,2015
Besar Halimi,CAM,21,900 Tsd. €,FSV Frankfurt,2015
Felipe Pires,CAM,21,800 Tsd. €,FSV Frankfurt,2015
Joel Gerezgiher,CAM,20,500 Tsd. €,FSV Frankfurt,2015
Timm Golley,CAM,25,300 Tsd. €,FSV Frankfurt,2015
Yann Rolim,CAM,21,200 Tsd. €,FSV Frankfurt,2015
Denis Epstein,LW,29,600 Tsd. €,FSV Frankfurt,2015
Mario Engels,LW,22,500 Tsd. €,FSV Frankfurt,2015
Zlatko Dedic,ST,31,500 Tsd. €,FSV Frankfurt,2015
Dani Schahin,ST,26,400 Tsd. €,FSV Frankfurt,2015
Edmond Kapllani,ST,33,350 Tsd. €,FSV Frankfurt,2015
Taiwo Awoniyi,ST,18,300 Tsd. €,FSV Frankfurt,2015
In-hyeok Park,ST,20,200 Tsd. €,FSV Frankfurt,2015
Sören Pirson,GK,31,150 Tsd. €,FSV Frankfurt,2016
Jannis Pellowski,GK,25,100 Tsd. €,FSV Frankfurt,2016
Matay Birol,GK,19,50 Tsd. €,FSV Frankfurt,2016
Shawn Barry,CB,27,300 Tsd. €,FSV Frankfurt,2016
Marc Heitmeier,CB,32,175 Tsd. €,FSV Frankfurt,2016
Steffen Schäfer,CB,23,175 Tsd. €,FSV Frankfurt,2016
Christopher Schorch,CB,28,150 Tsd. €,FSV Frankfurt,2016
Mateo Andacic,CB,19,50 Tsd. €,FSV Frankfurt,2016
La'Vere Corbin-Ong,LB,26,275 Tsd. €,FSV Frankfurt,2016
