name,position,age,value,team,season
Marcel Subke,GK,23,-,FSV Optik Rathenow,2014
Jean-Pierre Pacher,GK,19,-,FSV Optik Rathenow,2014
Lucas Vicentín,GK,24,-,FSV Optik Rathenow,2014
Mario Delvalle,CB,31,-,FSV Optik Rathenow,2014
Hassan Oumari,LB,28,-,FSV Optik Rathenow,2014
Marcus Stachnik,LB,20,-,FSV Optik Rathenow,2014
Marcel Bahr,RB,20,-,FSV Optik Rathenow,2014
Eliseu Baldé,RB,24,-,FSV Optik Rathenow,2014
Fatih Yilmaz,CDM,26,100 Tsd. €,FSV Optik Rathenow,2014
Aykut Tekyildirim,CDM,22,-,FSV Optik Rathenow,2014
Jakob Regulski,CDM,22,-,FSV Optik Rathenow,2014
Marek Novak,CDM,20,-,FSV Optik Rathenow,2014
Alexander Wuthe,CDM,19,-,FSV Optik Rathenow,2014
Benjamin Huxol,CDM,19,-,FSV Optik Rathenow,2014
Semir Duljevic,CM,21,-,FSV Optik Rathenow,2014
Bene Brecht,RM,23,-,FSV Optik Rathenow,2014
Petrus Baldes,RM,24,-,FSV Optik Rathenow,2014
Benjamin Wilcke,RM,25,-,FSV Optik Rathenow,2014
Salih Cetin,RM,23,-,FSV Optik Rathenow,2014
Kamil Czuba,LM,23,-,FSV Optik Rathenow,2014
Hakan Cankaya,CAM,29,-,FSV Optik Rathenow,2014
Jerome Leroy,CAM,25,-,FSV Optik Rathenow,2014
Martin Weber,CAM,19,-,FSV Optik Rathenow,2014
Martin Skrehot,CAM,23,-,FSV Optik Rathenow,2014
Stephan Boachie,LW,27,-,FSV Optik Rathenow,2014
Murat Turhan,ST,28,-,FSV Optik Rathenow,2014
Shelby Printemps,ST,24,-,FSV Optik Rathenow,2014
Omid Saberdest,ST,22,-,FSV Optik Rathenow,2014
Joshua Breto,ST,25,-,FSV Optik Rathenow,2014
Marcel Subke,GK,24,50 Tsd. €,FSV Optik Rathenow,2015
Adam Hobbs,GK,22,50 Tsd. €,FSV Optik Rathenow,2015
Lucas Vicentín,GK,25,25 Tsd. €,FSV Optik Rathenow,2015
Bjarne Rogall,GK,26,25 Tsd. €,FSV Optik Rathenow,2015
Emre Cakmakci,CB,22,25 Tsd. €,FSV Optik Rathenow,2015
Emre Turan,CB,25,75 Tsd. €,FSV Optik Rathenow,2015
Jonas Hildebrandt,CB,19,50 Tsd. €,FSV Optik Rathenow,2015
Baris Odabas,LB,25,75 Tsd. €,FSV Optik Rathenow,2015
Marcus Stachnik,LB,21,75 Tsd. €,FSV Optik Rathenow,2015
Eliseu Baldé,RB,25,75 Tsd. €,FSV Optik Rathenow,2015
Marcel Bahr,RB,21,75 Tsd. €,FSV Optik Rathenow,2015
Benjamin Huxol,CDM,20,25 Tsd. €,FSV Optik Rathenow,2015
Tunay Deniz,CM,22,100 Tsd. €,FSV Optik Rathenow,2015
Semir Duljevic,CM,22,75 Tsd. €,FSV Optik Rathenow,2015
Cihan Ucar,CM,21,75 Tsd. €,FSV Optik Rathenow,2015
Fabian Istefo,RM,22,50 Tsd. €,FSV Optik Rathenow,2015
Benjamin Wilcke,RM,26,50 Tsd. €,FSV Optik Rathenow,2015
Salih Cetin,RM,24,25 Tsd. €,FSV Optik Rathenow,2015
Petrus Baldes,RM,25,-,FSV Optik Rathenow,2015
Egzon Ismaili,LM,21,75 Tsd. €,FSV Optik Rathenow,2015
Victor Lindau,CAM,21,50 Tsd. €,FSV Optik Rathenow,2015
Jerome Leroy,CAM,26,50 Tsd. €,FSV Optik Rathenow,2015
Martin Weber,CAM,20,25 Tsd. €,FSV Optik Rathenow,2015
Stephan Boachie,LW,28,75 Tsd. €,FSV Optik Rathenow,2015
Dragan Erkic,LW,23,50 Tsd. €,FSV Optik Rathenow,2015
Kevin Adewumi,LW,20,50 Tsd. €,FSV Optik Rathenow,2015
Murat Turhan,ST,29,50 Tsd. €,FSV Optik Rathenow,2015
Ahmet Sağat,ST,20,50 Tsd. €,FSV Optik Rathenow,2015
Shelby Printemps,ST,25,25 Tsd. €,FSV Optik Rathenow,2015
Marcel Subke,GK,25,-,FSV Optik Rathenow,2016
Jean-Pierre Pacher,GK,21,-,FSV Optik Rathenow,2016
Bjarne Rogall,GK,27,-,FSV Optik Rathenow,2016
Marcel Machalski,GK,24,-,FSV Optik Rathenow,2016
Emre Turan,CB,26,-,FSV Optik Rathenow,2016
Julian Ringhof,CB,28,-,FSV Optik Rathenow,2016
Marc Langner,CB,26,-,FSV Optik Rathenow,2016
Karol Hallmann,CB,21,-,FSV Optik Rathenow,2016
Marcus Stachnik,LB,22,-,FSV Optik Rathenow,2016
Marcel Bahr,RB,22,-,FSV Optik Rathenow,2016
Suguru Watanabe,RB,23,-,FSV Optik Rathenow,2016
Benjamin Huxol,CDM,21,-,FSV Optik Rathenow,2016
Dominik Bradburn (Krause),CDM,19,-,FSV Optik Rathenow,2016
Semir Duljevic,CM,23,-,FSV Optik Rathenow,2016
Cihan Ucar,CM,22,-,FSV Optik Rathenow,2016
Benjamin Wilcke,RM,27,-,FSV Optik Rathenow,2016
Arda Dülek,LM,21,-,FSV Optik Rathenow,2016
Victor Lindau,CAM,22,-,FSV Optik Rathenow,2016
Jerome Leroy,CAM,27,-,FSV Optik Rathenow,2016
Martin Weber,CAM,21,-,FSV Optik Rathenow,2016
Süleyman Kapan,CAM,25,-,FSV Optik Rathenow,2016
Caga Aslan,CAM,21,-,FSV Optik Rathenow,2016
Stephan Boachie,LW,29,-,FSV Optik Rathenow,2016
Dragan Erkic,LW,24,-,FSV Optik Rathenow,2016
Murat Turhan,ST,30,-,FSV Optik Rathenow,2016
Yusaku Wasaki,ST,22,-,FSV Optik Rathenow,2016
Ricardo Hain,ST,19,-,FSV Optik Rathenow,2016
Nicolas Krause,ST,24,-,FSV Optik Rathenow,2016
Marcel Subke,GK,26,-,FSV Optik Rathenow,2017
Jean-Pierre Pacher,GK,22,-,FSV Optik Rathenow,2017
Bjarne Rogall,GK,28,-,FSV Optik Rathenow,2017
Lukas Kycek,GK,20,-,FSV Optik Rathenow,2017
Patrick Baudis,CB,21,-,FSV Optik Rathenow,2017
Emre Turan,CB,27,-,FSV Optik Rathenow,2017
Aleksandar Bilbija,CB,20,-,FSV Optik Rathenow,2017
Burak Tasar,CB,19,-,FSV Optik Rathenow,2017
Julian Ringhof,CB,29,-,FSV Optik Rathenow,2017
Marc Langner,CB,27,-,FSV Optik Rathenow,2017
Marcus Stachnik,LB,23,-,FSV Optik Rathenow,2017
George Moushi,LB,22,-,FSV Optik Rathenow,2017
Suguru Watanabe,RB,24,-,FSV Optik Rathenow,2017
Dominik Bradburn (Krause),CDM,20,-,FSV Optik Rathenow,2017
Oscar Ortiz,CDM,23,-,FSV Optik Rathenow,2017
Benjamin Wilcke,RM,28,-,FSV Optik Rathenow,2017
Süleyman Kapan,CAM,26,-,FSV Optik Rathenow,2017
Jerome Leroy,CAM,28,-,FSV Optik Rathenow,2017
Cüneyt Top,CAM,24,-,FSV Optik Rathenow,2017
Luiz Schack,CAM,19,-,FSV Optik Rathenow,2017
Kevin Adewumi,LW,22,-,FSV Optik Rathenow,2017
Askin Yildiz,RW,20,-,FSV Optik Rathenow,2017
Tevfik Turan,RW,20,-,FSV Optik Rathenow,2017
Murat Turhan,ST,31,-,FSV Optik Rathenow,2017
Caner Özcin,ST,24,-,FSV Optik Rathenow,2017
Nii Weber,ST,19,-,FSV Optik Rathenow,2017
Luis Zwick,GK,25,75 Tsd. €,FSV Optik Rathenow,2018
Fabio Pluntke,GK,19,25 Tsd. €,FSV Optik Rathenow,2018
Bjarne Rogall,GK,29,-,FSV Optik Rathenow,2018
Marcel Subke,GK,27,-,FSV Optik Rathenow,2018
Emre Turan,CB,28,75 Tsd. €,FSV Optik Rathenow,2018
Aleksandar Bilbija,CB,21,50 Tsd. €,FSV Optik Rathenow,2018
Marc Langner,CB,28,50 Tsd. €,FSV Optik Rathenow,2018
Patrick Baudis,CB,22,-,FSV Optik Rathenow,2018
Oğuzhan Matur,LB,19,25 Tsd. €,FSV Optik Rathenow,2018
Jonas Techie-Menson,LB,20,25 Tsd. €,FSV Optik Rathenow,2018
Suguru Watanabe,RB,25,50 Tsd. €,FSV Optik Rathenow,2018
Robin Techie-Menson,RB,20,50 Tsd. €,FSV Optik Rathenow,2018
Oscar Ortiz,CDM,24,50 Tsd. €,FSV Optik Rathenow,2018
Leon Hellwig,CDM,28,50 Tsd. €,FSV Optik Rathenow,2018
Yavuz Aydogdu,CDM,21,50 Tsd. €,FSV Optik Rathenow,2018
Hasan Gül,CM,20,25 Tsd. €,FSV Optik Rathenow,2018
Benjamin Wilcke,RM,29,50 Tsd. €,FSV Optik Rathenow,2018
Süleyman Kapan,CAM,27,75 Tsd. €,FSV Optik Rathenow,2018
Cüneyt Top,CAM,25,50 Tsd. €,FSV Optik Rathenow,2018
Jerome Leroy,CAM,29,50 Tsd. €,FSV Optik Rathenow,2018
Luiz Schack,CAM,20,25 Tsd. €,FSV Optik Rathenow,2018
Hasan Akcakaya,CAM,20,25 Tsd. €,FSV Optik Rathenow,2018
Kevin Adewumi,LW,23,50 Tsd. €,FSV Optik Rathenow,2018
Shelby Printemps,ST,28,75 Tsd. €,FSV Optik Rathenow,2018
Caner Özcin,ST,25,75 Tsd. €,FSV Optik Rathenow,2018
Leon Dippert,ST,23,50 Tsd. €,FSV Optik Rathenow,2018
Nii Weber,ST,20,50 Tsd. €,FSV Optik Rathenow,2018
Murat Turhan,ST,32,-,FSV Optik Rathenow,2018
Atakan Karadeniz,ST,20,-,FSV Optik Rathenow,2018
Lucas Hiemann,GK,21,50 Tsd. €,FSV Optik Rathenow,2019
Direnc Güven,GK,20,25 Tsd. €,FSV Optik Rathenow,2019
Vjaceslavs Serdcevs,GK,20,-,FSV Optik Rathenow,2019
Glodi Zingu,CB,26,75 Tsd. €,FSV Optik Rathenow,2019
Aleksandar Bilbija,CB,22,50 Tsd. €,FSV Optik Rathenow,2019
Marc Langner,CB,29,50 Tsd. €,FSV Optik Rathenow,2019
Emre Turan,CB,29,50 Tsd. €,FSV Optik Rathenow,2019
Darius Amados,CB,20,25 Tsd. €,FSV Optik Rathenow,2019
Berkan Alimler,LB,20,75 Tsd. €,FSV Optik Rathenow,2019
Oğuzhan Matur,LB,20,25 Tsd. €,FSV Optik Rathenow,2019
Jonas Techie-Menson,LB,21,-,FSV Optik Rathenow,2019
