name,position,age,value,team,season
Robin Strellen,GK,21,-,FSV Salmrohr,2014
Karl-Heinz Kieren,GK,45,-,FSV Salmrohr,2014
Daniel Ternes,GK,22,-,FSV Salmrohr,2014
Lars Schäfer,CB,32,-,FSV Salmrohr,2014
Maximilian Düpre,CB,18,-,FSV Salmrohr,2014
Timo Heinz,CB,24,-,FSV Salmrohr,2014
Dominik Zwick,CB,26,-,FSV Salmrohr,2014
Daniel Braun,LB,22,-,FSV Salmrohr,2014
Pascal Meschak,RB,26,-,FSV Salmrohr,2014
Daniel Petersch,RB,24,-,FSV Salmrohr,2014
Michael Kohns,CDM,20,-,FSV Salmrohr,2014
Daniel Bartsch,CDM,28,-,FSV Salmrohr,2014
Daniel Schraps,CDM,30,-,FSV Salmrohr,2014
Gary Kolkes,Midfielder,19,-,FSV Salmrohr,2014
Nicolas Hartmann,Midfielder,19,-,FSV Salmrohr,2014
Tobias Bauer,CM,26,-,FSV Salmrohr,2014
Sebastian Ting,CM,26,-,FSV Salmrohr,2014
Marc Inhestern,CM,20,-,FSV Salmrohr,2014
Matondo Makiadi,RM,26,-,FSV Salmrohr,2014
Ricardo Couto Pinto,RM,19,-,FSV Salmrohr,2014
Tim Hartmann,LW,25,-,FSV Salmrohr,2014
Julian Bidon,ST,24,-,FSV Salmrohr,2014
Sebastian Schäfer,ST,23,-,FSV Salmrohr,2014
Fabian Helbig,ST,22,-,FSV Salmrohr,2014
Tobias Baier,ST,26,-,FSV Salmrohr,2014
Christian Schroeder,ST,21,-,FSV Salmrohr,2014
Karl-Heinz Kieren,GK,46,-,FSV Salmrohr,2015
Daniel Ternes,GK,23,-,FSV Salmrohr,2015
Andreas Sicken,GK,35,-,FSV Salmrohr,2015
Deniz Siga,CB,27,-,FSV Salmrohr,2015
Lars Schäfer,CB,33,-,FSV Salmrohr,2015
Maximilian Düpre,CB,19,-,FSV Salmrohr,2015
Timo Heinz,CB,25,-,FSV Salmrohr,2015
Gianluca Bohr,LB,21,-,FSV Salmrohr,2015
Daniel Braun,LB,23,-,FSV Salmrohr,2015
Harel Ntela,RB,18,-,FSV Salmrohr,2015
Pascal Meschak,RB,27,-,FSV Salmrohr,2015
Marcel Ewertz,CDM,22,-,FSV Salmrohr,2015
Michael Kohns,CDM,21,-,FSV Salmrohr,2015
Kader Touré,Midfielder,21,-,FSV Salmrohr,2015
Daniel Bartsch,CDM,29,-,FSV Salmrohr,2015
Daniel Schraps,CDM,31,-,FSV Salmrohr,2015
Nicolas Hartmann,Midfielder,20,-,FSV Salmrohr,2015
Julian Barz,Midfielder,22,-,FSV Salmrohr,2015
Niklas Lames,CDM,18,-,FSV Salmrohr,2015
Felix Leuschen,Midfielder,19,-,FSV Salmrohr,2015
Florian Gelbe,Midfielder,19,-,FSV Salmrohr,2015
Gary Kolkes,Midfielder,20,-,FSV Salmrohr,2015
Klaus Hamper,Midfielder,26,-,FSV Salmrohr,2015
Sebastian Ting,CM,27,-,FSV Salmrohr,2015
Marc Inhestern,CM,21,-,FSV Salmrohr,2015
Ricardo Couto Pinto,RM,20,-,FSV Salmrohr,2015
Tim Hartmann,LW,26,-,FSV Salmrohr,2015
Fabian Helbig,ST,23,-,FSV Salmrohr,2015
Meliani Saim,ST,22,-,FSV Salmrohr,2015
Christian Schroeder,ST,22,-,FSV Salmrohr,2015
Ekene Anthony Ozoh,ST,26,-,FSV Salmrohr,2015
Karl-Heinz Kieren,GK,47,-,FSV Salmrohr,2016
Andreas Sicken,GK,36,-,FSV Salmrohr,2016
Simon Schmitt,GK,26,-,FSV Salmrohr,2016
Benjamin Pelz,GK,19,-,FSV Salmrohr,2016
Daniel Ternes,GK,24,-,FSV Salmrohr,2016
Dominik Schmidt,GK,20,-,FSV Salmrohr,2016
Lars Schäfer,CB,34,-,FSV Salmrohr,2016
Maximilian Düpre,CB,20,-,FSV Salmrohr,2016
Gianluca Bohr,LB,22,-,FSV Salmrohr,2016
Daniel Braun,LB,24,-,FSV Salmrohr,2016
Harel Ntela,RB,19,-,FSV Salmrohr,2016
Fabian Müllen,RB,19,-,FSV Salmrohr,2016
Pascal Meschak,RB,28,-,FSV Salmrohr,2016
Michael Kohns,CDM,22,-,FSV Salmrohr,2016
Kader Touré,Midfielder,22,-,FSV Salmrohr,2016
Daniel Bartsch,CDM,30,-,FSV Salmrohr,2016
Daniel Schraps,CDM,32,-,FSV Salmrohr,2016
Niklas Lames,CDM,19,-,FSV Salmrohr,2016
Florian Gelbe,Midfielder,20,-,FSV Salmrohr,2016
Rasheed Eichhorn,CDM,19,-,FSV Salmrohr,2016
Patrick Herres,CM,27,-,FSV Salmrohr,2016
Sebastian Ting,CM,28,-,FSV Salmrohr,2016
Marc Inhestern,CM,22,-,FSV Salmrohr,2016
Tim Hartmann,LW,27,-,FSV Salmrohr,2016
Yannick Lauer,ST,19,-,FSV Salmrohr,2016
Daniel Mehrfeld,ST,25,-,FSV Salmrohr,2016
Marco Unnerstall,ST,23,-,FSV Salmrohr,2016
Walid Hammou,ST,25,-,FSV Salmrohr,2016
Fabian Helbig,ST,24,-,FSV Salmrohr,2016
Peter Schädler,ST,21,-,FSV Salmrohr,2016
Meliani Saim,ST,23,-,FSV Salmrohr,2016
Tim Denis,ST,20,-,FSV Salmrohr,2016
Ekene Anthony Ozoh,ST,27,-,FSV Salmrohr,2016
Philipp Basquit,GK,27,-,FSV Salmrohr,2017
Karl-Heinz Kieren,GK,48,-,FSV Salmrohr,2017
Daniel Ternes,GK,25,-,FSV Salmrohr,2017
Simon Schmitt,GK,27,-,FSV Salmrohr,2017
Nico Neukirch,GK,19,-,FSV Salmrohr,2017
Dominik Schmidt,GK,21,-,FSV Salmrohr,2017
Leon Gilz,CB,20,-,FSV Salmrohr,2017
Kai Bernard,CB,19,-,FSV Salmrohr,2017
