name,position,age,value,team,season
Konstantin Filatov,GK,25,-,FSV Union Fürstenwalde,2014
Björn Oelze,GK,36,-,FSV Union Fürstenwalde,2014
Gerard Binder,GK,20,-,FSV Union Fürstenwalde,2014
Michael Vrazilov,GK,26,-,FSV Union Fürstenwalde,2014
Kevin Schulz,GK,24,-,FSV Union Fürstenwalde,2014
Tim Patze,GK,27,-,FSV Union Fürstenwalde,2014
Markus Mätschke,CB,28,-,FSV Union Fürstenwalde,2014
Amadeus Wallschläger,CB,29,-,FSV Union Fürstenwalde,2014
Maximilian Weyer,CB,27,-,FSV Union Fürstenwalde,2014
Robert Weinert,CB,20,-,FSV Union Fürstenwalde,2014
Christian Mlynarczyk,CB,30,-,FSV Union Fürstenwalde,2014
Lucas Bähr,CB,22,-,FSV Union Fürstenwalde,2014
Markus Kaiser,LB,21,-,FSV Union Fürstenwalde,2014
Mark Schmidt,LB,28,-,FSV Union Fürstenwalde,2014
Christian Schulze,RB,23,-,FSV Union Fürstenwalde,2014
Maximilian Kallensee,RB,20,-,FSV Union Fürstenwalde,2014
Philipp Sellmann,RB,19,-,FSV Union Fürstenwalde,2014
Michael Braune,CDM,29,-,FSV Union Fürstenwalde,2014
Iheb Ben Abdallah,CDM,27,-,FSV Union Fürstenwalde,2014
Oliver Kryzanowski,Midfielder,20,-,FSV Union Fürstenwalde,2014
Stefan Vrazilov,Midfielder,30,-,FSV Union Fürstenwalde,2014
Tim Strey,Midfielder,19,-,FSV Union Fürstenwalde,2014
Jacob Naskrenski,Midfielder,19,-,FSV Union Fürstenwalde,2014
Rifat Gelici,CM,24,-,FSV Union Fürstenwalde,2014
Christopher Lemke,CM,20,-,FSV Union Fürstenwalde,2014
Daniel Dreßler,LM,35,-,FSV Union Fürstenwalde,2014
Lukoki Kalixto,CAM,27,-,FSV Union Fürstenwalde,2014
Sapir Shalev,CAM,22,-,FSV Union Fürstenwalde,2014
Darryl Geurts,LW,20,-,FSV Union Fürstenwalde,2014
Majuran Kesavan,RW,23,-,FSV Union Fürstenwalde,2014
