name,position,age,value,team,season
Patrick Siefkes,GK,25,125 Tsd. €,FSV Wacker Nordhausen,2014
Oliver Birnbaum,GK,26,75 Tsd. €,FSV Wacker Nordhausen,2014
Norman Wohlfeld,GK,27,50 Tsd. €,FSV Wacker Nordhausen,2014
Pascal Bertram,GK,20,25 Tsd. €,FSV Wacker Nordhausen,2014
Jan Löhmannsröben,CB,24,125 Tsd. €,FSV Wacker Nordhausen,2014
Robert Stark,CB,28,100 Tsd. €,FSV Wacker Nordhausen,2014
Johannes Bergmann,CB,20,50 Tsd. €,FSV Wacker Nordhausen,2014
David Urban,CB,23,50 Tsd. €,FSV Wacker Nordhausen,2014
Lasse Schlüter,LB,23,125 Tsd. €,FSV Wacker Nordhausen,2014
Jan Benes,RB,32,-,FSV Wacker Nordhausen,2014
René Wagner,RB,26,-,FSV Wacker Nordhausen,2014
Jindrich Pelan,RB,32,-,FSV Wacker Nordhausen,2014
Matthias Peßolat,CDM,30,125 Tsd. €,FSV Wacker Nordhausen,2014
Matti Langer,CDM,25,100 Tsd. €,FSV Wacker Nordhausen,2014
Nils Pfingsten-Reddig,CM,33,150 Tsd. €,FSV Wacker Nordhausen,2014
Felix Robrecht,CM,21,50 Tsd. €,FSV Wacker Nordhausen,2014
Maik Georgi,RM,27,100 Tsd. €,FSV Wacker Nordhausen,2014
Marcel Goslar,RM,26,75 Tsd. €,FSV Wacker Nordhausen,2014
Kevin Schulze,LM,23,125 Tsd. €,FSV Wacker Nordhausen,2014
Martin Hauswald,LM,33,100 Tsd. €,FSV Wacker Nordhausen,2014
Dennis Carl,LM,22,50 Tsd. €,FSV Wacker Nordhausen,2014
Christoph Rischker,CAM,26,100 Tsd. €,FSV Wacker Nordhausen,2014
Manuel Farrona Pulido,LW,22,100 Tsd. €,FSV Wacker Nordhausen,2014
Nils Pichinot,ST,25,100 Tsd. €,FSV Wacker Nordhausen,2014
Tino Semmer,ST,29,100 Tsd. €,FSV Wacker Nordhausen,2014
Jon Mogge,ST,18,25 Tsd. €,FSV Wacker Nordhausen,2014
Tino Berbig,GK,35,125 Tsd. €,FSV Wacker Nordhausen,2015
Norman Wohlfeld,GK,28,75 Tsd. €,FSV Wacker Nordhausen,2015
Pascal Bertram,GK,21,25 Tsd. €,FSV Wacker Nordhausen,2015
Kevin Nennhuber,CB,28,125 Tsd. €,FSV Wacker Nordhausen,2015
Pierre Becken,CB,28,125 Tsd. €,FSV Wacker Nordhausen,2015
Philipp Blume,CB,23,100 Tsd. €,FSV Wacker Nordhausen,2015
Christian Hanne,CB,26,75 Tsd. €,FSV Wacker Nordhausen,2015
Sascha Herröder,CB,28,75 Tsd. €,FSV Wacker Nordhausen,2015
Johannes Bergmann,CB,21,50 Tsd. €,FSV Wacker Nordhausen,2015
Lasse Schlüter,LB,24,125 Tsd. €,FSV Wacker Nordhausen,2015
Pascal Bieler,LB,30,75 Tsd. €,FSV Wacker Nordhausen,2015
Matthias Peßolat,CDM,31,100 Tsd. €,FSV Wacker Nordhausen,2015
Matti Langer,CDM,26,100 Tsd. €,FSV Wacker Nordhausen,2015
Florian Schröter,CDM,18,-,FSV Wacker Nordhausen,2015
Felix Schwerdt,CDM,20,-,FSV Wacker Nordhausen,2015
Nils Pfingsten-Reddig,CM,34,125 Tsd. €,FSV Wacker Nordhausen,2015
Maik Georgi,RM,28,75 Tsd. €,FSV Wacker Nordhausen,2015
Marcel Goslar,RM,27,50 Tsd. €,FSV Wacker Nordhausen,2015
Kevin Schulze,LM,24,100 Tsd. €,FSV Wacker Nordhausen,2015
Corvin Behrens,LM,29,100 Tsd. €,FSV Wacker Nordhausen,2015
Dennis Carl,LM,23,75 Tsd. €,FSV Wacker Nordhausen,2015
Christoph Rischker,CAM,27,100 Tsd. €,FSV Wacker Nordhausen,2015
Nils Pichinot,ST,26,125 Tsd. €,FSV Wacker Nordhausen,2015
Benjamin Förster,ST,26,125 Tsd. €,FSV Wacker Nordhausen,2015
Tino Semmer,ST,30,125 Tsd. €,FSV Wacker Nordhausen,2015
Joaquím Makangu,ST,25,75 Tsd. €,FSV Wacker Nordhausen,2015
Michél Harrer,ST,29,75 Tsd. €,FSV Wacker Nordhausen,2015
Jon Mogge,ST,19,25 Tsd. €,FSV Wacker Nordhausen,2015
Jonas Ernst,ST,20,-,FSV Wacker Nordhausen,2015
Tino Berbig,GK,36,100 Tsd. €,FSV Wacker Nordhausen,2016
Kevin Rauhut,GK,27,100 Tsd. €,FSV Wacker Nordhausen,2016
Pascal Bertram,GK,22,25 Tsd. €,FSV Wacker Nordhausen,2016
Kevin Nennhuber,CB,29,100 Tsd. €,FSV Wacker Nordhausen,2016
Nestor Djengoue,CB,26,100 Tsd. €,FSV Wacker Nordhausen,2016
Pierre Becken,CB,29,100 Tsd. €,FSV Wacker Nordhausen,2016
Johannes Bergmann,CB,22,75 Tsd. €,FSV Wacker Nordhausen,2016
Yannick Günzel,CB,21,75 Tsd. €,FSV Wacker Nordhausen,2016
Sascha Herröder,CB,29,75 Tsd. €,FSV Wacker Nordhausen,2016
Petar Lela,CB,23,50 Tsd. €,FSV Wacker Nordhausen,2016
Philipp Blume,CB,24,-,FSV Wacker Nordhausen,2016
Lasse Schlüter,LB,25,100 Tsd. €,FSV Wacker Nordhausen,2016
Mounir Chaftar,LB,31,100 Tsd. €,FSV Wacker Nordhausen,2016
Tobias Becker,CDM,31,125 Tsd. €,FSV Wacker Nordhausen,2016
Matthias Peßolat,CDM,32,125 Tsd. €,FSV Wacker Nordhausen,2016
Felix Schwerdt,CDM,21,25 Tsd. €,FSV Wacker Nordhausen,2016
Florian Schröter,CDM,19,25 Tsd. €,FSV Wacker Nordhausen,2016
Erik Schneider,CDM,19,25 Tsd. €,FSV Wacker Nordhausen,2016
Nils Pfingsten-Reddig,CM,35,125 Tsd. €,FSV Wacker Nordhausen,2016
