name,position,age,value,team,season
Marian Unger,GK,31,125 Tsd. €,FSV Zwickau,2014
Steven Braunsdorf,GK,23,50 Tsd. €,FSV Zwickau,2014
Denny Kallisch,GK,26,-,FSV Zwickau,2014
Toni Wachsmuth,CB,28,150 Tsd. €,FSV Zwickau,2014
Robert Paul,CB,30,125 Tsd. €,FSV Zwickau,2014
Davy Frick,CB,25,125 Tsd. €,FSV Zwickau,2014
Florian Eggert,CB,29,100 Tsd. €,FSV Zwickau,2014
Sebastian Mai,CB,21,100 Tsd. €,FSV Zwickau,2014
Benjamin Fuß,CB,25,75 Tsd. €,FSV Zwickau,2014
Mike Baumann,CB,30,50 Tsd. €,FSV Zwickau,2014
Tim Baumann,CB,20,25 Tsd. €,FSV Zwickau,2014
Christoph Göbel,LB,26,125 Tsd. €,FSV Zwickau,2014
Aleksandr Morozov,LB,22,50 Tsd. €,FSV Zwickau,2014
Patrick Göbel,RB,21,150 Tsd. €,FSV Zwickau,2014
Michael Schlicht,CDM,21,50 Tsd. €,FSV Zwickau,2014
Benjamin Keller,CDM,18,-,FSV Zwickau,2014
Philipp Röhr,CM,28,100 Tsd. €,FSV Zwickau,2014
Patrick Grandner,LM,27,125 Tsd. €,FSV Zwickau,2014
André Luge,LM,24,125 Tsd. €,FSV Zwickau,2014
Manuel Stiefel,CAM,30,125 Tsd. €,FSV Zwickau,2014
Oliver Genausch,ST,24,100 Tsd. €,FSV Zwickau,2014
Marc-Philipp Zimmermann,ST,25,100 Tsd. €,FSV Zwickau,2014
Max Gehrmann,ST,20,25 Tsd. €,FSV Zwickau,2014
Karsten Werneke,ST,24,-,FSV Zwickau,2014
Alexander Langner,ST,20,-,FSV Zwickau,2014
Marian Unger,GK,32,125 Tsd. €,FSV Zwickau,2015
Tom Neukam,GK,22,25 Tsd. €,FSV Zwickau,2015
Denny Kallisch,GK,27,-,FSV Zwickau,2015
Maximilian Rosenkranz,GK,19,-,FSV Zwickau,2015
Patrick Wolf,CB,27,100 Tsd. €,FSV Zwickau,2015
Toni Wachsmuth,CB,29,150 Tsd. €,FSV Zwickau,2015
Sebastian Mai,CB,22,150 Tsd. €,FSV Zwickau,2015
Robert Paul,CB,31,125 Tsd. €,FSV Zwickau,2015
Davy Frick,CB,26,125 Tsd. €,FSV Zwickau,2015
Tim Baumann,CB,21,25 Tsd. €,FSV Zwickau,2015
Christoph Göbel,LB,27,125 Tsd. €,FSV Zwickau,2015
Aleksandr Morozov,LB,23,50 Tsd. €,FSV Zwickau,2015
Robert Berger,RB,19,175 Tsd. €,FSV Zwickau,2015
Patrick Göbel,RB,22,175 Tsd. €,FSV Zwickau,2015
René Lange,CDM,27,125 Tsd. €,FSV Zwickau,2015
Michael Schlicht,CDM,22,100 Tsd. €,FSV Zwickau,2015
Benjamin Keller,CDM,19,25 Tsd. €,FSV Zwickau,2015
Patrick Grandner,LM,28,100 Tsd. €,FSV Zwickau,2015
Jonas Mack,LW,18,-,FSV Zwickau,2015
Morris Schröter,RW,20,50 Tsd. €,FSV Zwickau,2015
Tim Wüstenhagen,RW,18,-,FSV Zwickau,2015
Jonas Nietfeld,ST,22,150 Tsd. €,FSV Zwickau,2015
Aykut Öztürk,ST,28,125 Tsd. €,FSV Zwickau,2015
Oliver Genausch,ST,25,100 Tsd. €,FSV Zwickau,2015
Marc-Philipp Zimmermann,ST,26,100 Tsd. €,FSV Zwickau,2015
Kevin Bönisch,ST,21,50 Tsd. €,FSV Zwickau,2015
Paul Henschke,ST,18,-,FSV Zwickau,2015
Johannes Brinkies,GK,24,275 Tsd. €,FSV Zwickau,2016
Marian Unger,GK,33,100 Tsd. €,FSV Zwickau,2016
Maximilian Rosenkranz,GK,20,50 Tsd. €,FSV Zwickau,2016
Patrick Wolf,CB,28,125 Tsd. €,FSV Zwickau,2016
Jonas Acquistapace,CB,28,275 Tsd. €,FSV Zwickau,2016
Nils Miatke,CB,27,275 Tsd. €,FSV Zwickau,2016
Toni Wachsmuth,CB,30,250 Tsd. €,FSV Zwickau,2016
Davy Frick,CB,27,225 Tsd. €,FSV Zwickau,2016
Marcel Gebers,CB,31,150 Tsd. €,FSV Zwickau,2016
Robert Paul,CB,32,125 Tsd. €,FSV Zwickau,2016
Lukas Wilton,CB,22,100 Tsd. €,FSV Zwickau,2016
Alexander Sorge,CB,24,100 Tsd. €,FSV Zwickau,2016
Christoph Göbel,LB,28,175 Tsd. €,FSV Zwickau,2016
Patrick Göbel,RB,23,350 Tsd. €,FSV Zwickau,2016
Robert Berger,RB,20,150 Tsd. €,FSV Zwickau,2016
René Lange,CDM,28,200 Tsd. €,FSV Zwickau,2016
Michael Schlicht,CDM,23,100 Tsd. €,FSV Zwickau,2016
Benjamin Keller,CDM,20,-,FSV Zwickau,2016
Mike Könnecke,CM,28,300 Tsd. €,FSV Zwickau,2016
Robert Koch,CM,31,225 Tsd. €,FSV Zwickau,2016
Julian Hodek,CM,19,-,FSV Zwickau,2016
Martin Juhar,LM,29,150 Tsd. €,FSV Zwickau,2016
Felix Geisler,CAM,20,100 Tsd. €,FSV Zwickau,2016
Morris Schröter,RW,21,250 Tsd. €,FSV Zwickau,2016
Jonas Nietfeld,ST,23,300 Tsd. €,FSV Zwickau,2016
Marcel Bär,ST,25,225 Tsd. €,FSV Zwickau,2016
Aykut Öztürk,ST,29,175 Tsd. €,FSV Zwickau,2016
Ronny König,ST,34,175 Tsd. €,FSV Zwickau,2016
Marc-Philipp Zimmermann,ST,27,125 Tsd. €,FSV Zwickau,2016
Oliver Genausch,ST,26,100 Tsd. €,FSV Zwickau,2016
Kevin Bönisch,ST,22,25 Tsd. €,FSV Zwickau,2016
Johannes Brinkies,GK,25,300 Tsd. €,FSV Zwickau,2017
Lukas Cichos,GK,22,100 Tsd. €,FSV Zwickau,2017
Max Sprang,GK,17,50 Tsd. €,FSV Zwickau,2017
Nico Antonitsch,CB,26,300 Tsd. €,FSV Zwickau,2017
Anthony Barylla,CB,21,275 Tsd. €,FSV Zwickau,2017
Nils Miatke,CB,28,275 Tsd. €,FSV Zwickau,2017
Jonas Acquistapace,CB,29,250 Tsd. €,FSV Zwickau,2017
Davy Frick,CB,28,250 Tsd. €,FSV Zwickau,2017
Toni Wachsmuth,CB,31,200 Tsd. €,FSV Zwickau,2017
Ali Odabas,CB,24,100 Tsd. €,FSV Zwickau,2017
Alexander Sorge,CB,25,75 Tsd. €,FSV Zwickau,2017
Moritz Ullmann,CB,18,-,FSV Zwickau,2017
Christoph Göbel,LB,29,150 Tsd. €,FSV Zwickau,2017
Jan Washausen,CDM,29,250 Tsd. €,FSV Zwickau,2017
René Lange,CDM,29,225 Tsd. €,FSV Zwickau,2017
Fridolin Wagner,CM,20,275 Tsd. €,FSV Zwickau,2017
Bentley Baxter Bahn,CM,25,275 Tsd. €,FSV Zwickau,2017
Mike Könnecke,CM,29,275 Tsd. €,FSV Zwickau,2017
Robert Koch,CM,32,150 Tsd. €,FSV Zwickau,2017
Julian Hodek,CM,20,50 Tsd. €,FSV Zwickau,2017
Daniel Gremsl,RM,25,200 Tsd. €,FSV Zwickau,2017
Ronny Garbuschewski,CAM,32,125 Tsd. €,FSV Zwickau,2017
Christian Mauersberger,LW,23,125 Tsd. €,FSV Zwickau,2017
Morris Schröter,RW,22,275 Tsd. €,FSV Zwickau,2017
Sinan Tekerci,RW,24,175 Tsd. €,FSV Zwickau,2017
Fabian Schnabel,RW,24,100 Tsd. €,FSV Zwickau,2017
Fabian Eisele,ST,23,200 Tsd. €,FSV Zwickau,2017
Aykut Öztürk,ST,30,150 Tsd. €,FSV Zwickau,2017
Ronny König,ST,35,150 Tsd. €,FSV Zwickau,2017
Dimitrios Ferfelis,ST,25,100 Tsd. €,FSV Zwickau,2017
Johannes Brinkies,GK,26,325 Tsd. €,FSV Zwickau,2018
Matti Kamenz,GK,20,100 Tsd. €,FSV Zwickau,2018
Max Sprang,GK,18,50 Tsd. €,FSV Zwickau,2018
Marius Kuhl,GK,18,-,FSV Zwickau,2018
Nico Antonitsch,CB,27,300 Tsd. €,FSV Zwickau,2018
Anthony Barylla,CB,22,275 Tsd. €,FSV Zwickau,2018
Davy Frick,CB,29,250 Tsd. €,FSV Zwickau,2018
Nils Miatke,CB,29,250 Tsd. €,FSV Zwickau,2018
Toni Wachsmuth,CB,32,200 Tsd. €,FSV Zwickau,2018
Bryan Gaul,CB,29,175 Tsd. €,FSV Zwickau,2018
Alexander Sorge,CB,26,100 Tsd. €,FSV Zwickau,2018
Nico Beyer,CB,22,100 Tsd. €,FSV Zwickau,2018
Julius Reinhardt,CDM,31,250 Tsd. €,FSV Zwickau,2018
René Lange,CDM,30,175 Tsd. €,FSV Zwickau,2018
Mike Könnecke,CM,30,250 Tsd. €,FSV Zwickau,2018
Julian Hodek,CM,21,50 Tsd. €,FSV Zwickau,2018
Daniel Gremsl,RM,26,150 Tsd. €,FSV Zwickau,2018
Alexandros Kartalis,LM,24,175 Tsd. €,FSV Zwickau,2018
Manolo Rodas,LM,22,100 Tsd. €,FSV Zwickau,2018
Christian Bickel,CAM,28,225 Tsd. €,FSV Zwickau,2018
Kevin Hoffmann,CAM,24,100 Tsd. €,FSV Zwickau,2018
Janik Mäder,CAM,22,100 Tsd. €,FSV Zwickau,2018
Morris Schröter,RW,23,250 Tsd. €,FSV Zwickau,2018
Tarsis Bonga,RW,22,175 Tsd. €,FSV Zwickau,2018
McKinze Gaines,RW,21,150 Tsd. €,FSV Zwickau,2018
Lion Lauberbach,ST,21,300 Tsd. €,FSV Zwickau,2018
Ronny König,ST,36,125 Tsd. €,FSV Zwickau,2018
Johannes Brinkies,GK,27,300 Tsd. €,FSV Zwickau,2019
Matti Kamenz,GK,21,100 Tsd. €,FSV Zwickau,2019
Max Sprang,GK,19,50 Tsd. €,FSV Zwickau,2019
Davy Frick,CB,30,250 Tsd. €,FSV Zwickau,2019
Nils Miatke,CB,30,225 Tsd. €,FSV Zwickau,2019
Christopher Handke,CB,31,200 Tsd. €,FSV Zwickau,2019
Maurice Hehne,CB,23,175 Tsd. €,FSV Zwickau,2019
Ali Odabas,CB,26,125 Tsd. €,FSV Zwickau,2019
Can Coskun,LB,22,150 Tsd. €,FSV Zwickau,2019
Sascha Härtel,LB,21,125 Tsd. €,FSV Zwickau,2019
Johannes Dörfler,RB,23,175 Tsd. €,FSV Zwickau,2019
Fabio Viteritti,CDM,27,250 Tsd. €,FSV Zwickau,2019
Julius Reinhardt,CDM,32,225 Tsd. €,FSV Zwickau,2019
Sebastian Wimmer,CDM,26,125 Tsd. €,FSV Zwickau,2019
René Lange,CDM,31,125 Tsd. €,FSV Zwickau,2019
Leon Jensen,CM,23,200 Tsd. €,FSV Zwickau,2019
Mike Könnecke,CM,31,200 Tsd. €,FSV Zwickau,2019
Marcus Godinho,RM,23,200 Tsd. €,FSV Zwickau,2019
