name,position,age,value,team,season
Daniel Reck,GK,26,75 Tsd. €,FT Braunschweig,2014
Timo Keul,GK,20,25 Tsd. €,FT Braunschweig,2014
Timmi Frommer,GK,22,-,FT Braunschweig,2014
Marian Fritz,GK,21,-,FT Braunschweig,2014
Helge Keller,GK,27,-,FT Braunschweig,2014
Hendrik Neumann,CB,23,25 Tsd. €,FT Braunschweig,2014
Fabian Krüger,CB,26,75 Tsd. €,FT Braunschweig,2014
Marvin Fricke,CB,24,50 Tsd. €,FT Braunschweig,2014
Stefan Riedel,LB,30,25 Tsd. €,FT Braunschweig,2014
Okan Uysal,RB,22,-,FT Braunschweig,2014
Dominik Franke,CDM,24,75 Tsd. €,FT Braunschweig,2014
Jan Lührs,CDM,28,50 Tsd. €,FT Braunschweig,2014
Marco Behrens,CDM,25,50 Tsd. €,FT Braunschweig,2014
Rick Kaupert,CDM,23,50 Tsd. €,FT Braunschweig,2014
Mats Neumann,CDM,19,25 Tsd. €,FT Braunschweig,2014
Shahin Faridonpur,CDM,22,25 Tsd. €,FT Braunschweig,2014
Aaron Samawatie,CDM,24,-,FT Braunschweig,2014
Sascha Podleska,CDM,18,-,FT Braunschweig,2014
Leudy Franco,Midfielder,19,-,FT Braunschweig,2014
Oliver Fiedler,RM,26,50 Tsd. €,FT Braunschweig,2014
Julian Bräunig,RM,25,50 Tsd. €,FT Braunschweig,2014
Julian Eggers,LM,25,75 Tsd. €,FT Braunschweig,2014
Erva Onbasiogullari,LM,22,25 Tsd. €,FT Braunschweig,2014
Jan-Philipp Walther,LM,23,25 Tsd. €,FT Braunschweig,2014
Nils Gehde,CAM,21,50 Tsd. €,FT Braunschweig,2014
Timo Richter,RW,25,25 Tsd. €,FT Braunschweig,2014
Maximilian Agge,RW,27,25 Tsd. €,FT Braunschweig,2014
Philipp Stucki,ST,24,75 Tsd. €,FT Braunschweig,2014
Ersin Arayici,ST,23,50 Tsd. €,FT Braunschweig,2014
Adrian Morton,ST,26,25 Tsd. €,FT Braunschweig,2014
Christian Ebeling,ST,23,25 Tsd. €,FT Braunschweig,2014
Jonas Kierdorf,ST,25,-,FT Braunschweig,2014
Lennart Hoffmann,ST,18,-,FT Braunschweig,2014
Timo Keul,GK,21,-,FT Braunschweig,2015
Daniel Reck,GK,27,-,FT Braunschweig,2015
Marvin Hoffmann,GK,20,-,FT Braunschweig,2015
Helge Keller,GK,28,-,FT Braunschweig,2015
Marian Fritz,GK,22,-,FT Braunschweig,2015
Hendrik Neumann,CB,24,-,FT Braunschweig,2015
Fabian Krüger,CB,27,-,FT Braunschweig,2015
Marvin Fricke,CB,25,-,FT Braunschweig,2015
Paul Lakaschus,CB,20,-,FT Braunschweig,2015
Jannik Winkelmann,CB,21,-,FT Braunschweig,2015
Stefan Riedel,LB,31,-,FT Braunschweig,2015
Kevin Hintersdorf,LB,25,-,FT Braunschweig,2015
Marcel Schreyer,RB,22,-,FT Braunschweig,2015
Aaron Samawatie,CDM,25,-,FT Braunschweig,2015
Arne Schmidt,CDM,32,-,FT Braunschweig,2015
Marco Behrens,CDM,26,-,FT Braunschweig,2015
Rick Kaupert,CDM,24,-,FT Braunschweig,2015
Berkan Alim,Midfielder,19,-,FT Braunschweig,2015
Kaan Öztürk,Midfielder,21,-,FT Braunschweig,2015
Engin Yüksek,Midfielder,25,-,FT Braunschweig,2015
Sascha Podleska,CDM,19,-,FT Braunschweig,2015
Oliver Fiedler,RM,27,-,FT Braunschweig,2015
Julian Bräunig,RM,26,-,FT Braunschweig,2015
Julian Eggers,LM,26,-,FT Braunschweig,2015
Nils Gehde,CAM,22,-,FT Braunschweig,2015
Steffen Blechner,CAM,20,-,FT Braunschweig,2015
Maximilian Agge,RW,28,-,FT Braunschweig,2015
Adrian Morton,ST,27,-,FT Braunschweig,2015
Jonas Kierdorf,ST,26,-,FT Braunschweig,2015
Christian Ebeling,ST,24,-,FT Braunschweig,2015
Jannis Kerscher,ST,21,-,FT Braunschweig,2015
Lennart Hoffmann,ST,19,-,FT Braunschweig,2015
