name,position,age,value,team,season
Patrick Rösch,GK,26,100 Tsd. €,FV Illertissen,2014
Benjamin Huber,GK,29,25 Tsd. €,FV Illertissen,2014
Kim Anders,GK,23,25 Tsd. €,FV Illertissen,2014
Stefan Bufler,GK,26,-,FV Illertissen,2014
Ulrich Klar,CB,28,75 Tsd. €,FV Illertissen,2014
Michael Passer,CB,28,75 Tsd. €,FV Illertissen,2014
Manuel Strahler,CB,22,50 Tsd. €,FV Illertissen,2014
Sebastian Enderle,LB,26,100 Tsd. €,FV Illertissen,2014
Tobias Heikenwälder,LB,29,75 Tsd. €,FV Illertissen,2014
Stephan Böck,RB,27,75 Tsd. €,FV Illertissen,2014
Eduard Thommy,RB,24,50 Tsd. €,FV Illertissen,2014
Moritz Nebel,CDM,23,100 Tsd. €,FV Illertissen,2014
Marco Hahn,CDM,22,75 Tsd. €,FV Illertissen,2014
Lukas Kling,CDM,25,75 Tsd. €,FV Illertissen,2014
Simon Zweifel,CDM,27,25 Tsd. €,FV Illertissen,2014
Christoph Amann,CDM,25,25 Tsd. €,FV Illertissen,2014
Felix Hörger,CM,24,25 Tsd. €,FV Illertissen,2014
Christian Essig,RM,29,100 Tsd. €,FV Illertissen,2014
Marc Hämmerle,RM,29,100 Tsd. €,FV Illertissen,2014
Sezai Zehiroğlu,LM,26,50 Tsd. €,FV Illertissen,2014
Dominic Robinson,LM,23,25 Tsd. €,FV Illertissen,2014
Andreas Hindelang,LW,28,75 Tsd. €,FV Illertissen,2014
Maximilian Löw,LW,23,50 Tsd. €,FV Illertissen,2014
Sebastian Schaller,LW,24,50 Tsd. €,FV Illertissen,2014
Andreas Spann,ST,31,150 Tsd. €,FV Illertissen,2014
Ardian Morina,ST,21,75 Tsd. €,FV Illertissen,2014
Ilir Tupella,ST,23,-,FV Illertissen,2014
Furkan Akaydin,ST,20,-,FV Illertissen,2014
Patrick Rösch,GK,27,100 Tsd. €,FV Illertissen,2015
Felix Kielkopf,GK,19,75 Tsd. €,FV Illertissen,2015
Kim Anders,GK,24,25 Tsd. €,FV Illertissen,2015
