name,position,age,value,team,season
Philipp Pless,GK,24,-,FV Ravensburg,2014
Julian Hinkel,GK,23,-,FV Ravensburg,2014
Dominik Buss,GK,24,-,FV Ravensburg,2014
Clemens Frey,GK,19,-,FV Ravensburg,2014
Olcay Gür,CB,24,-,FV Ravensburg,2014
Manuel Litz,CB,27,-,FV Ravensburg,2014
Johannes Joser,CB,29,-,FV Ravensburg,2014
Sebastian Mähr,CB,24,-,FV Ravensburg,2014
Jascha Fiesel,LB,23,-,FV Ravensburg,2014
Thomas Zimmermann,RB,23,-,FV Ravensburg,2014
Daniel Hörtkorn,CDM,27,-,FV Ravensburg,2014
Samuel Zimmerer,Midfielder,21,-,FV Ravensburg,2014
Christian Halder,Midfielder,20,-,FV Ravensburg,2014
Patrice Roth,Midfielder,19,-,FV Ravensburg,2014
Simon Kraft,Midfielder,19,-,FV Ravensburg,2014
Lukas Baur,Midfielder,19,-,FV Ravensburg,2014
Ralf Heimgartner,CDM,27,-,FV Ravensburg,2014
Maschkour Gbadamassi,CDM,22,-,FV Ravensburg,2014
Sebastian Reiner,CDM,24,-,FV Ravensburg,2014
Simon Wetzel,Midfielder,22,-,FV Ravensburg,2014
Christian Barth,CDM,23,-,FV Ravensburg,2014
Harun Toprak,RM,27,-,FV Ravensburg,2014
Johannes Vees,CAM,29,-,FV Ravensburg,2014
Jona Boneberger,CAM,24,-,FV Ravensburg,2014
Nicolas Jann,LW,23,-,FV Ravensburg,2014
Rahman Soyudogru,ST,26,-,FV Ravensburg,2014
Omar Jatta,ST,26,-,FV Ravensburg,2014
Andreas Kalteis,ST,24,-,FV Ravensburg,2014
Steffen Wohlfarth,ST,31,-,FV Ravensburg,2014
Jonas Klawitter,ST,25,-,FV Ravensburg,2014
Dominik Wohlfarth,GK,38,-,FV Ravensburg,2015
Kevin Kraus,GK,26,-,FV Ravensburg,2015
Haris Mesic,GK,26,-,FV Ravensburg,2015
Moritz Harting,GK,22,-,FV Ravensburg,2015
Julian Hinkel,GK,24,-,FV Ravensburg,2015
Clemens Frey,GK,20,-,FV Ravensburg,2015
Jonas Huchler,GK,18,-,FV Ravensburg,2015
Olcay Gür,CB,25,-,FV Ravensburg,2015
Manuel Litz,CB,28,-,FV Ravensburg,2015
Johannes Joser,CB,30,-,FV Ravensburg,2015
Sebastian Mähr,CB,25,-,FV Ravensburg,2015
Steffen Friedrich,LB,23,-,FV Ravensburg,2015
Jascha Fiesel,LB,24,-,FV Ravensburg,2015
Thomas Zimmermann,RB,24,-,FV Ravensburg,2015
Daniel Hörtkorn,CDM,28,-,FV Ravensburg,2015
Benjamin Mähr,Midfielder,28,-,FV Ravensburg,2015
Ralf Heimgartner,CDM,28,-,FV Ravensburg,2015
Maschkour Gbadamassi,CDM,23,-,FV Ravensburg,2015
Sebastian Reiner,CDM,25,-,FV Ravensburg,2015
Simon Wetzel,Midfielder,23,-,FV Ravensburg,2015
Moritz Jeggle,CDM,22,-,FV Ravensburg,2015
Harun Toprak,RM,28,-,FV Ravensburg,2015
Ndriqim Halili,CAM,23,-,FV Ravensburg,2015
Jona Boneberger,CAM,25,-,FV Ravensburg,2015
Dominik Bentele,LW,25,-,FV Ravensburg,2015
Jonas Wiest,LW,24,-,FV Ravensburg,2015
Nicolas Jann,LW,24,-,FV Ravensburg,2015
Rahman Soyudogru,ST,27,-,FV Ravensburg,2015
Steffen Wohlfarth,ST,32,-,FV Ravensburg,2015
Axel Maucher,ST,21,-,FV Ravensburg,2015
Kevin Kraus,GK,27,-,FV Ravensburg,2016
Haris Mesic,GK,27,-,FV Ravensburg,2016
Jonas Huchler,GK,19,-,FV Ravensburg,2016
Clemens Frey,GK,21,-,FV Ravensburg,2016
Emil Noll,CB,38,-,FV Ravensburg,2016
Manuel Litz,CB,29,-,FV Ravensburg,2016
Philipp Altmann,CB,21,-,FV Ravensburg,2016
Sebastian Mähr,CB,26,-,FV Ravensburg,2016
Samuel Boneberger,CB,19,-,FV Ravensburg,2016
Jascha Fiesel,LB,25,-,FV Ravensburg,2016
Thomas Zimmermann,RB,25,-,FV Ravensburg,2016
Alexander Gorte,CDM,29,-,FV Ravensburg,2016
Robert Henning,CDM,31,-,FV Ravensburg,2016
Daniel Hörtkorn,CDM,29,-,FV Ravensburg,2016
Simon Kraft,Midfielder,21,-,FV Ravensburg,2016
Marian Pfluger,Midfielder,20,-,FV Ravensburg,2016
Ralf Heimgartner,CDM,29,-,FV Ravensburg,2016
Moritz Jeggle,CDM,23,-,FV Ravensburg,2016
Sebastian Reiner,CDM,26,-,FV Ravensburg,2016
Marvin Müller,CDM,18,-,FV Ravensburg,2016
Marcel Fetscher,Midfielder,21,-,FV Ravensburg,2016
Felix Widmann,Midfielder,20,-,FV Ravensburg,2016
Maschkour Gbadamassi,CDM,24,-,FV Ravensburg,2016
Dominik Damjanovic,CM,21,-,FV Ravensburg,2016
Harun Toprak,RM,29,-,FV Ravensburg,2016
Luca Gruler,CAM,22,-,FV Ravensburg,2016
Jona Boneberger,CAM,26,-,FV Ravensburg,2016
Jonas Wiest,LW,25,-,FV Ravensburg,2016
Rahman Soyudogru,ST,28,-,FV Ravensburg,2016
Steffen Wohlfarth,ST,33,-,FV Ravensburg,2016
Jonas Klawitter,ST,27,-,FV Ravensburg,2016
Axel Maucher,ST,22,-,FV Ravensburg,2016
Felix Bonelli,ST,21,-,FV Ravensburg,2016
Felix Schäch,ST,19,-,FV Ravensburg,2016
Alexander Klotz,ST,26,-,FV Ravensburg,2016
Dominik Wohlfarth,GK,40,-,FV Ravensburg,2017
Kevin Kraus,GK,28,-,FV Ravensburg,2017
Haris Mesic,GK,28,-,FV Ravensburg,2017
Niklas Volo,GK,19,-,FV Ravensburg,2017
Philipp Altmann,CB,22,-,FV Ravensburg,2017
Sebastian Mähr,CB,27,-,FV Ravensburg,2017
Samuel Boneberger,CB,20,-,FV Ravensburg,2017
Jascha Fiesel,LB,26,-,FV Ravensburg,2017
Thomas Zimmermann,RB,26,-,FV Ravensburg,2017
Bartosz Broniszewski,CDM,30,-,FV Ravensburg,2017
Robert Henning,CDM,32,-,FV Ravensburg,2017
Daniel Hörtkorn,CDM,30,-,FV Ravensburg,2017
Pascal Weiß,Midfielder,19,-,FV Ravensburg,2017
Samuel Walter,Midfielder,18,-,FV Ravensburg,2017
Ralf Heimgartner,CDM,30,-,FV Ravensburg,2017
Moritz Jeggle,CDM,24,-,FV Ravensburg,2017
Sebastian Reiner,CDM,27,-,FV Ravensburg,2017
Simon Kraft,Midfielder,22,-,FV Ravensburg,2017
Marcel Fetscher,Midfielder,22,-,FV Ravensburg,2017
Felix Widmann,Midfielder,21,-,FV Ravensburg,2017
Maschkour Gbadamassi,CDM,25,-,FV Ravensburg,2017
Felix Hörger,CM,27,-,FV Ravensburg,2017
Dominik Damjanovic,CM,22,-,FV Ravensburg,2017
Harun Toprak,RM,30,-,FV Ravensburg,2017
Burhan Soyudogru,CAM,22,-,FV Ravensburg,2017
Jona Boneberger,CAM,27,-,FV Ravensburg,2017
Burak Çoban,LW,23,25 Tsd. €,FV Ravensburg,2017
Max Chrobok,LW,20,-,FV Ravensburg,2017
Rahman Soyudogru,ST,29,-,FV Ravensburg,2017
Steffen Wohlfarth,ST,34,-,FV Ravensburg,2017
Robin Hettel,ST,19,-,FV Ravensburg,2017
Felix Schäch,ST,20,-,FV Ravensburg,2017
Luka Borgelott,GK,25,-,FV Ravensburg,2018
Kevin Kraus,GK,29,-,FV Ravensburg,2018
Haris Mesic,GK,29,-,FV Ravensburg,2018
Sebastian Segbers,GK,19,-,FV Ravensburg,2018
Niklas Volo,GK,20,-,FV Ravensburg,2018
Petar Susac,CB,21,-,FV Ravensburg,2018
Philipp Altmann,CB,23,-,FV Ravensburg,2018
Samuel Boneberger,CB,21,-,FV Ravensburg,2018
Sebastian Mähr,CB,28,-,FV Ravensburg,2018
Moritz Strauß,LB,23,-,FV Ravensburg,2018
Jascha Fiesel,LB,27,-,FV Ravensburg,2018
Thomas Zimmermann,RB,27,-,FV Ravensburg,2018
Bartosz Broniszewski,CDM,31,-,FV Ravensburg,2018
Daniel Hörtkorn,CDM,31,-,FV Ravensburg,2018
Samuel Walter,Midfielder,19,-,FV Ravensburg,2018
Moritz Jeggle,CDM,25,-,FV Ravensburg,2018
Sebastian Reiner,CDM,28,-,FV Ravensburg,2018
Marcel Fetscher,Midfielder,23,-,FV Ravensburg,2018
Maschkour Gbadamassi,CDM,26,-,FV Ravensburg,2018
Felix Hörger,CM,28,-,FV Ravensburg,2018
Burhan Soyudogru,CAM,23,-,FV Ravensburg,2018
Jona Boneberger,CAM,28,-,FV Ravensburg,2018
Max Chrobok,LW,21,-,FV Ravensburg,2018
Pascal Maier,RW,21,-,FV Ravensburg,2018
Rahman Soyudogru,ST,30,-,FV Ravensburg,2018
Steffen Wohlfarth,ST,35,-,FV Ravensburg,2018
Daniel Schachtschneider,ST,30,-,FV Ravensburg,2018
Felix Schäch,ST,21,-,FV Ravensburg,2018
Robin Hettel,ST,20,-,FV Ravensburg,2018
Dominik Wohlfarth,GK,42,-,FV Ravensburg,2019
Kevin Kraus,GK,30,-,FV Ravensburg,2019
Luka Borgelott,GK,26,-,FV Ravensburg,2019
Haris Mesic,GK,30,-,FV Ravensburg,2019
