name,position,age,value,team,season
Michael Rensing,GK,31,600 Tsd. €,Fortuna Düsseldorf,2014
Lars Unnerstall,GK,24,500 Tsd. €,Fortuna Düsseldorf,2014
Robin Heller,GK,20,150 Tsd. €,Fortuna Düsseldorf,2014
Jonathan Tah,CB,19,"4,00 Mio. €",Fortuna Düsseldorf,2014
Bruno Soares,CB,26,900 Tsd. €,Fortuna Düsseldorf,2014
Christopher Avevor,CB,23,800 Tsd. €,Fortuna Düsseldorf,2014
Dustin Bomheuer,CB,24,500 Tsd. €,Fortuna Düsseldorf,2014
Robin Urban,CB,21,150 Tsd. €,Fortuna Düsseldorf,2014
Maurice Pluntke,CB,21,100 Tsd. €,Fortuna Düsseldorf,2014
Lukas Schmitz,LB,26,700 Tsd. €,Fortuna Düsseldorf,2014
Heinrich Schmidtgal,LB,29,350 Tsd. €,Fortuna Düsseldorf,2014
Julian Schauerte,RB,27,"1,00 Mio. €",Fortuna Düsseldorf,2014
Tugrul Erat,RB,23,500 Tsd. €,Fortuna Düsseldorf,2014
Christian Weber,RB,31,250 Tsd. €,Fortuna Düsseldorf,2014
Marvin Ajani,RB,21,100 Tsd. €,Fortuna Düsseldorf,2014
Adam Bodzek,CDM,29,"1,00 Mio. €",Fortuna Düsseldorf,2014
Christian Gartner,CM,21,700 Tsd. €,Fortuna Düsseldorf,2014
Andreas Lambertz,CM,30,550 Tsd. €,Fortuna Düsseldorf,2014
Sérgio da Silva Pinto,CM,34,500 Tsd. €,Fortuna Düsseldorf,2014
Oliver Fink,CM,33,400 Tsd. €,Fortuna Düsseldorf,2014
Kaan Akca,CM,21,75 Tsd. €,Fortuna Düsseldorf,2014
Axel Bellinghausen,LM,32,600 Tsd. €,Fortuna Düsseldorf,2014
Michael Liendl,CAM,29,900 Tsd. €,Fortuna Düsseldorf,2014
Timm Golley,CAM,24,300 Tsd. €,Fortuna Düsseldorf,2014
Ben Halloran,RW,23,800 Tsd. €,Fortuna Düsseldorf,2014
Charlison Benschop,ST,25,"2,00 Mio. €",Fortuna Düsseldorf,2014
Joel Pohjanpalo,ST,20,"1,50 Mio. €",Fortuna Düsseldorf,2014
Erwin Hoffer,ST,28,850 Tsd. €,Fortuna Düsseldorf,2014
Mathis Bolly,ST,24,650 Tsd. €,Fortuna Düsseldorf,2014
Ihlas Bebou,ST,21,150 Tsd. €,Fortuna Düsseldorf,2014
Michael Rensing,GK,32,700 Tsd. €,Fortuna Düsseldorf,2015
Lars Unnerstall,GK,25,500 Tsd. €,Fortuna Düsseldorf,2015
Tim Wiesner,GK,19,150 Tsd. €,Fortuna Düsseldorf,2015
Alexander Madlung,CB,33,600 Tsd. €,Fortuna Düsseldorf,2015
Christian Strohdiek,CB,28,600 Tsd. €,Fortuna Düsseldorf,2015
Karim Haggui,CB,32,500 Tsd. €,Fortuna Düsseldorf,2015
Christopher Avevor,CB,24,500 Tsd. €,Fortuna Düsseldorf,2015
Kevin Akpoguma,CB,21,400 Tsd. €,Fortuna Düsseldorf,2015
Robin Bormuth,CB,20,100 Tsd. €,Fortuna Düsseldorf,2015
Lukas Schmitz,LB,27,700 Tsd. €,Fortuna Düsseldorf,2015
Emmanuel Iyoha,LB,18,200 Tsd. €,Fortuna Düsseldorf,2015
Charalampos Mavrias,RB,22,"1,00 Mio. €",Fortuna Düsseldorf,2015
Julian Schauerte,RB,28,900 Tsd. €,Fortuna Düsseldorf,2015
Tugrul Erat,RB,24,200 Tsd. €,Fortuna Düsseldorf,2015
Julian Koch,CDM,25,700 Tsd. €,Fortuna Düsseldorf,2015
Adam Bodzek,CDM,30,500 Tsd. €,Fortuna Düsseldorf,2015
Fabian Holthaus,CDM,21,300 Tsd. €,Fortuna Düsseldorf,2015
Marcel Sobottka,CDM,22,250 Tsd. €,Fortuna Düsseldorf,2015
Justin Toshiki Kinjo,CDM,19,100 Tsd. €,Fortuna Düsseldorf,2015
Kerem Demirbay,CM,22,"1,30 Mio. €",Fortuna Düsseldorf,2015
Christian Gartner,CM,22,400 Tsd. €,Fortuna Düsseldorf,2015
Oliver Fink,CM,34,300 Tsd. €,Fortuna Düsseldorf,2015
Sérgio da Silva Pinto,CM,35,150 Tsd. €,Fortuna Düsseldorf,2015
Kaan Akca,CM,22,150 Tsd. €,Fortuna Düsseldorf,2015
Axel Bellinghausen,LM,33,500 Tsd. €,Fortuna Düsseldorf,2015
Sercan Sararer,CAM,26,750 Tsd. €,Fortuna Düsseldorf,2015
Michael Liendl,CAM,30,600 Tsd. €,Fortuna Düsseldorf,2015
Joel Pohjanpalo,ST,21,"1,50 Mio. €",Fortuna Düsseldorf,2015
Nikola Djurdjic,ST,30,"1,00 Mio. €",Fortuna Düsseldorf,2015
Mike van Duinen,ST,24,800 Tsd. €,Fortuna Düsseldorf,2015
Didier Ya Konan,ST,32,800 Tsd. €,Fortuna Düsseldorf,2015
Ihlas Bebou,ST,22,550 Tsd. €,Fortuna Düsseldorf,2015
Mathis Bolly,ST,25,450 Tsd. €,Fortuna Düsseldorf,2015
Kemal Rüzgar,ST,21,150 Tsd. €,Fortuna Düsseldorf,2015
Michael Rensing,GK,33,600 Tsd. €,Fortuna Düsseldorf,2016
Lars Unnerstall,GK,26,300 Tsd. €,Fortuna Düsseldorf,2016
Justin vom Steeg,GK,20,100 Tsd. €,Fortuna Düsseldorf,2016
Tim Wiesner,GK,20,100 Tsd. €,Fortuna Düsseldorf,2016
Kevin Akpoguma,CB,22,"1,25 Mio. €",Fortuna Düsseldorf,2016
Robin Bormuth,CB,21,700 Tsd. €,Fortuna Düsseldorf,2016
Andre Hoffmann,CB,24,500 Tsd. €,Fortuna Düsseldorf,2016
Alexander Madlung,CB,34,250 Tsd. €,Fortuna Düsseldorf,2016
Lukas Schmitz,LB,28,800 Tsd. €,Fortuna Düsseldorf,2016
Emmanuel Iyoha,LB,19,350 Tsd. €,Fortuna Düsseldorf,2016
Anderson Lucoqui,LB,19,150 Tsd. €,Fortuna Düsseldorf,2016
Kaan Ayhan,RB,22,"1,25 Mio. €",Fortuna Düsseldorf,2016
Julian Schauerte,RB,29,700 Tsd. €,Fortuna Düsseldorf,2016
Marcel Sobottka,CDM,23,800 Tsd. €,Fortuna Düsseldorf,2016
Julian Koch,CDM,26,500 Tsd. €,Fortuna Düsseldorf,2016
Adam Bodzek,CDM,31,450 Tsd. €,Fortuna Düsseldorf,2016
Gökhan Gül,CDM,18,250 Tsd. €,Fortuna Düsseldorf,2016
Justin Toshiki Kinjo,CDM,20,100 Tsd. €,Fortuna Düsseldorf,2016
Christian Gartner,CM,23,500 Tsd. €,Fortuna Düsseldorf,2016
Oliver Fink,CM,35,250 Tsd. €,Fortuna Düsseldorf,2016
Taylan Duman,CM,19,125 Tsd. €,Fortuna Düsseldorf,2016
Axel Bellinghausen,LM,34,250 Tsd. €,Fortuna Düsseldorf,2016
Arianit Ferati,CAM,19,400 Tsd. €,Fortuna Düsseldorf,2016
Özkan Yıldırım,CAM,24,250 Tsd. €,Fortuna Düsseldorf,2016
Marlon Ritter,CAM,22,200 Tsd. €,Fortuna Düsseldorf,2016
Rouwen Hennings,ST,29,"1,50 Mio. €",Fortuna Düsseldorf,2016
Ihlas Bebou,ST,23,"1,50 Mio. €",Fortuna Düsseldorf,2016
Maecky Ngombo,ST,22,450 Tsd. €,Fortuna Düsseldorf,2016
Jerome Kiesewetter,ST,24,300 Tsd. €,Fortuna Düsseldorf,2016
Didier Ya Konan,ST,33,200 Tsd. €,Fortuna Düsseldorf,2016
Kemal Rüzgar,ST,22,150 Tsd. €,Fortuna Düsseldorf,2016
Karlo Majic,ST,19,-,Fortuna Düsseldorf,2016
Raphael Wolf,GK,30,"1,00 Mio. €",Fortuna Düsseldorf,2017
Michael Rensing,GK,34,400 Tsd. €,Fortuna Düsseldorf,2017
Thorsten Stuckmann,GK,37,100 Tsd. €,Fortuna Düsseldorf,2017
Tim Wiesner,GK,21,100 Tsd. €,Fortuna Düsseldorf,2017
Mario Zelic,GK,18,-,Fortuna Düsseldorf,2017
Andre Hoffmann,CB,25,"1,50 Mio. €",Fortuna Düsseldorf,2017
Robin Bormuth,CB,22,"1,00 Mio. €",Fortuna Düsseldorf,2017
Niko Gießelmann,LB,26,"1,50 Mio. €",Fortuna Düsseldorf,2017
Lukas Schmitz,LB,29,600 Tsd. €,Fortuna Düsseldorf,2017
Anderson Lucoqui,LB,20,150 Tsd. €,Fortuna Düsseldorf,2017
Kaan Ayhan,RB,23,"3,00 Mio. €",Fortuna Düsseldorf,2017
Jean Zimmer,RB,24,"1,25 Mio. €",Fortuna Düsseldorf,2017
Julian Schauerte,RB,30,600 Tsd. €,Fortuna Düsseldorf,2017
Jean Ndécky,RB,21,100 Tsd. €,Fortuna Düsseldorf,2017
Marcel Sobottka,CDM,24,"2,50 Mio. €",Fortuna Düsseldorf,2017
Adam Bodzek,CDM,32,400 Tsd. €,Fortuna Düsseldorf,2017
Gökhan Gül,CDM,19,200 Tsd. €,Fortuna Düsseldorf,2017
Florian Neuhaus,CM,21,"3,00 Mio. €",Fortuna Düsseldorf,2017
Oliver Fink,CM,36,250 Tsd. €,Fortuna Düsseldorf,2017
Taylan Duman,CM,20,150 Tsd. €,Fortuna Düsseldorf,2017
Axel Bellinghausen,LM,35,100 Tsd. €,Fortuna Düsseldorf,2017
Genki Haraguchi,CAM,27,"3,50 Mio. €",Fortuna Düsseldorf,2017
Kianz Froese,CAM,22,150 Tsd. €,Fortuna Düsseldorf,2017
Davor Lovren,LW,19,500 Tsd. €,Fortuna Düsseldorf,2017
Ihlas Bebou,ST,24,"8,50 Mio. €",Fortuna Düsseldorf,2017
Benito Raman,ST,23,"2,50 Mio. €",Fortuna Düsseldorf,2017
Rouwen Hennings,ST,30,"1,50 Mio. €",Fortuna Düsseldorf,2017
Takashi Usami,ST,26,"1,25 Mio. €",Fortuna Düsseldorf,2017
Havard Nielsen,ST,24,600 Tsd. €,Fortuna Düsseldorf,2017
Emir Kujovic,ST,30,500 Tsd. €,Fortuna Düsseldorf,2017
Jerome Kiesewetter,ST,25,250 Tsd. €,Fortuna Düsseldorf,2017
Karlo Majic,ST,20,125 Tsd. €,Fortuna Düsseldorf,2017
Michael Rensing,GK,35,500 Tsd. €,Fortuna Düsseldorf,2018
Raphael Wolf,GK,31,500 Tsd. €,Fortuna Düsseldorf,2018
Jannick Theißen,GK,21,100 Tsd. €,Fortuna Düsseldorf,2018
Jaroslav Drobný,GK,39,100 Tsd. €,Fortuna Düsseldorf,2018
Tim Wiesner,GK,22,100 Tsd. €,Fortuna Düsseldorf,2018
Marcin Kaminski,CB,27,"3,50 Mio. €",Fortuna Düsseldorf,2018
Andre Hoffmann,CB,26,"2,50 Mio. €",Fortuna Düsseldorf,2018
Robin Bormuth,CB,23,"1,75 Mio. €",Fortuna Düsseldorf,2018
Niko Gießelmann,LB,27,"4,00 Mio. €",Fortuna Düsseldorf,2018
Markus Suttner,LB,32,"1,50 Mio. €",Fortuna Düsseldorf,2018
Diego Contento,LB,29,"1,00 Mio. €",Fortuna Düsseldorf,2018
Emmanuel Iyoha,LB,21,900 Tsd. €,Fortuna Düsseldorf,2018
Georgios Siadas,LB,19,200 Tsd. €,Fortuna Düsseldorf,2018
Kaan Ayhan,RB,24,"9,00 Mio. €",Fortuna Düsseldorf,2018
