name,position,age,value,team,season
Pascal Nagel,GK,24,100 Tsd. €,Germania Halberstadt,2014
Danilo Dersewski,GK,25,25 Tsd. €,Germania Halberstadt,2014
Fabian Guderitz,GK,18,25 Tsd. €,Germania Halberstadt,2014
Jan-Christian Meier,CB,25,100 Tsd. €,Germania Halberstadt,2014
Kevin Nennhuber,CB,27,75 Tsd. €,Germania Halberstadt,2014
Frederic Schütze,CB,21,50 Tsd. €,Germania Halberstadt,2014
Danny Wersig,CB,20,50 Tsd. €,Germania Halberstadt,2014
Marcel Probst,CB,32,-,Germania Halberstadt,2014
Christopher Reinhard,LB,30,100 Tsd. €,Germania Halberstadt,2014
Arbnor Dervishaj,LB,23,50 Tsd. €,Germania Halberstadt,2014
Baptiste Buntschu,LB,25,25 Tsd. €,Germania Halberstadt,2014
Jan Nagel,RB,24,125 Tsd. €,Germania Halberstadt,2014
Kevin Schlitte,RB,33,100 Tsd. €,Germania Halberstadt,2014
Robert Rode,RB,21,25 Tsd. €,Germania Halberstadt,2014
Philip Schubert,CDM,27,125 Tsd. €,Germania Halberstadt,2014
Carl-Christoph Labisch,CDM,24,75 Tsd. €,Germania Halberstadt,2014
Tommy Müller,CDM,26,50 Tsd. €,Germania Halberstadt,2014
Max Worbs,CM,24,75 Tsd. €,Germania Halberstadt,2014
Ivan Ristovski,LM,24,50 Tsd. €,Germania Halberstadt,2014
Telmo Teixeira,CAM,27,75 Tsd. €,Germania Halberstadt,2014
Tom Fraus,RW,23,25 Tsd. €,Germania Halberstadt,2014
Florian Beil,ST,26,75 Tsd. €,Germania Halberstadt,2014
Christopher Kullmann,ST,28,75 Tsd. €,Germania Halberstadt,2014
Pascal Eggert,ST,22,50 Tsd. €,Germania Halberstadt,2014
Nick Schmidt,ST,23,25 Tsd. €,Germania Halberstadt,2014
Denny Piele,ST,26,-,Germania Halberstadt,2014
Pascal Nagel,GK,25,75 Tsd. €,Germania Halberstadt,2015
Samuel Aubele,GK,22,75 Tsd. €,Germania Halberstadt,2015
Fabian Guderitz,GK,19,25 Tsd. €,Germania Halberstadt,2015
David Paulus,GK,20,-,Germania Halberstadt,2015
Jan-Christian Meier,CB,26,100 Tsd. €,Germania Halberstadt,2015
Francis Adomah,CB,24,75 Tsd. €,Germania Halberstadt,2015
