name,position,age,value,team,season
Christian Person,GK,35,-,Greifswalder FC,2015
Marcel Rüh,GK,41,-,Greifswalder FC,2015
Stefan Schmidt,GK,25,-,Greifswalder FC,2015
Stefan Hafermann,GK,43,-,Greifswalder FC,2015
Nico Barz,GK,20,-,Greifswalder FC,2015
Kacper Chruscinski,CB,24,-,Greifswalder FC,2015
Kristaps Freimanis,CB,29,-,Greifswalder FC,2015
Patrick Henkel,CB,26,-,Greifswalder FC,2015
Charbel Chougourou,CB,21,-,Greifswalder FC,2015
Robert Stachowiak,CB,26,-,Greifswalder FC,2015
André Gellentin,CB,28,-,Greifswalder FC,2015
Mike Bütterich,LB,20,-,Greifswalder FC,2015
Daniel Colak,LB,26,-,Greifswalder FC,2015
Marco Kröger,RB,27,-,Greifswalder FC,2015
Clemens Galonski,RB,25,-,Greifswalder FC,2015
Florian Schröder,RB,20,-,Greifswalder FC,2015
Denis Simdorn,CDM,25,-,Greifswalder FC,2015
Christoph Maybauer,Midfielder,34,-,Greifswalder FC,2015
Ole Grunow,Midfielder,20,-,Greifswalder FC,2015
Maximilian Stöck,CM,27,-,Greifswalder FC,2015
Tom Selchow,RM,21,-,Greifswalder FC,2015
Dan Sendroiu,CAM,29,-,Greifswalder FC,2015
Christian Gutjahr,CAM,25,-,Greifswalder FC,2015
Kevin Beutin,LW,21,-,Greifswalder FC,2015
Nick Lösel,RW,25,-,Greifswalder FC,2015
Damian Staniszewski,Second Striker,36,-,Greifswalder FC,2015
Sebastian Olszar,ST,34,-,Greifswalder FC,2015
Tommy Greinert,ST,33,-,Greifswalder FC,2015
Philipp Sundt,ST,20,-,Greifswalder FC,2015
Frank Rohde,ST,27,-,Greifswalder FC,2015
Johannes Schönfeld,ST,20,-,Greifswalder FC,2015
Christian Person,GK,36,-,Greifswalder FC,2016
Stefan Hafermann,GK,44,-,Greifswalder FC,2016
Nico Barz,GK,21,-,Greifswalder FC,2016
Alexander Glandt,CB,37,-,Greifswalder FC,2016
John Berger,CB,25,-,Greifswalder FC,2016
Patrick Henkel,CB,27,-,Greifswalder FC,2016
Charbel Chougourou,CB,22,-,Greifswalder FC,2016
André Gellentin,CB,29,-,Greifswalder FC,2016
Mike Bütterich,LB,21,-,Greifswalder FC,2016
Daniel Colak,LB,27,-,Greifswalder FC,2016
Marco Kröger,RB,28,-,Greifswalder FC,2016
Sebastian Skupke,RB,31,-,Greifswalder FC,2016
Max Kruse,RB,20,-,Greifswalder FC,2016
Denis Simdorn,CDM,26,-,Greifswalder FC,2016
Artur Esko,CDM,19,-,Greifswalder FC,2016
Sven Hartwig,CM,32,-,Greifswalder FC,2016
Tom Selchow,RM,22,-,Greifswalder FC,2016
Dan Sendroiu,CAM,30,-,Greifswalder FC,2016
Christian Gutjahr,CAM,26,-,Greifswalder FC,2016
Kevin Beutin,LW,22,-,Greifswalder FC,2016
Nick Lösel,RW,26,-,Greifswalder FC,2016
Sebastian Olszar,ST,35,-,Greifswalder FC,2016
Maxim Banaskiewicz,ST,25,-,Greifswalder FC,2016
Velimir Jovanovic,ST,29,-,Greifswalder FC,2016
Alexander Schadofske,ST,20,-,Greifswalder FC,2016
Philipp Sundt,ST,21,-,Greifswalder FC,2016
Johannes Schönfeld,ST,21,-,Greifswalder FC,2016
Frank Rohde,ST,28,-,Greifswalder FC,2016
Christian Person,GK,37,-,Greifswalder FC,2017
Stefan Hafermann,GK,45,-,Greifswalder FC,2017
Nico Barz,GK,22,-,Greifswalder FC,2017
Roderich Weit,GK,18,-,Greifswalder FC,2017
Martin Leu,GK,20,-,Greifswalder FC,2017
John Berger,CB,26,-,Greifswalder FC,2017
Patrick Henkel,CB,28,-,Greifswalder FC,2017
Charbel Chougourou,CB,23,-,Greifswalder FC,2017
André Gellentin,CB,30,-,Greifswalder FC,2017
Mike Bütterich,LB,22,-,Greifswalder FC,2017
Tom Effland,LB,27,-,Greifswalder FC,2017
Marco Kröger,RB,29,-,Greifswalder FC,2017
Clemens Galonski,RB,27,-,Greifswalder FC,2017
Florian Schröder,RB,22,-,Greifswalder FC,2017
Max Kruse,RB,21,-,Greifswalder FC,2017
Sven Hartwig,CM,33,-,Greifswalder FC,2017
Markus Schönfeld,CM,19,-,Greifswalder FC,2017
Tom Selchow,RM,23,-,Greifswalder FC,2017
Dan Sendroiu,CAM,31,-,Greifswalder FC,2017
Christian Gutjahr,CAM,27,-,Greifswalder FC,2017
Marc Mickley,CAM,19,-,Greifswalder FC,2017
Kevin Beutin,LW,23,-,Greifswalder FC,2017
Nick Lösel,RW,27,-,Greifswalder FC,2017
Sebastian Olszar,ST,36,-,Greifswalder FC,2017
Maxim Banaskiewicz,ST,26,-,Greifswalder FC,2017
Velimir Jovanovic,ST,30,-,Greifswalder FC,2017
Ryo Miyazaki,ST,20,-,Greifswalder FC,2017
Frank Rohde,ST,29,-,Greifswalder FC,2017
Nico Barz,GK,23,-,Greifswalder FC,2018
Roderich Weit,GK,19,-,Greifswalder FC,2018
Martin Leu,GK,21,-,Greifswalder FC,2018
Patrick Henkel,CB,29,-,Greifswalder FC,2018
John Berger,CB,27,-,Greifswalder FC,2018
Charbel Chougourou,CB,24,-,Greifswalder FC,2018
Arkadiusz Czarnecki,CB,31,-,Greifswalder FC,2018
Julian Rüh,CB,18,-,Greifswalder FC,2018
Hannes Mietzelfeld,LB,24,-,Greifswalder FC,2018
Tom Effland,LB,28,-,Greifswalder FC,2018
Mike Bütterich,LB,23,-,Greifswalder FC,2018
Marco Kröger,RB,30,-,Greifswalder FC,2018
Florian Otto,RB,20,-,Greifswalder FC,2018
Max Kruse,RB,22,-,Greifswalder FC,2018
Florian Schröder,RB,23,-,Greifswalder FC,2018
Hannes Lange,CDM,18,-,Greifswalder FC,2018
Nauhan,CM,21,-,Greifswalder FC,2018
Tom Selchow,RM,24,-,Greifswalder FC,2018
Luca Klatt,RM,17,-,Greifswalder FC,2018
Khalid Ahmadi,CAM,19,-,Greifswalder FC,2018
Marc Mickley,CAM,20,-,Greifswalder FC,2018
Nick Lösel,RW,28,-,Greifswalder FC,2018
Sebastian Olszar,ST,37,-,Greifswalder FC,2018
Maxim Banaskiewicz,ST,27,-,Greifswalder FC,2018
Ryo Miyazaki,ST,21,-,Greifswalder FC,2018
Frank Rohde,ST,30,-,Greifswalder FC,2018
Fatlind Memaj,ST,20,-,Greifswalder FC,2018
Peterson Appiah,ST,22,-,Greifswalder FC,2018
Stefan Hafermann,GK,47,-,Greifswalder FC,2019
Karl-Eric Bernhardt,GK,19,-,Greifswalder FC,2019
Nico Barz,GK,24,-,Greifswalder FC,2019
Roderich Weit,GK,20,-,Greifswalder FC,2019
Martin Leu,GK,22,-,Greifswalder FC,2019
John Berger,CB,28,-,Greifswalder FC,2019
Charbel Chougourou,CB,25,-,Greifswalder FC,2019
Arkadiusz Czarnecki,CB,32,-,Greifswalder FC,2019
Julian Rüh,CB,19,-,Greifswalder FC,2019
Mike Bütterich,LB,24,-,Greifswalder FC,2019
Marco Kröger,RB,31,-,Greifswalder FC,2019
Florian Otto,RB,21,-,Greifswalder FC,2019
Florian Schröder,RB,24,-,Greifswalder FC,2019
Jannis Farr,RB,20,-,Greifswalder FC,2019
Arvid Töllner,CDM,20,-,Greifswalder FC,2019
Tetsu Horiuchi,CDM,25,-,Greifswalder FC,2019
Kamil Pozniak,CM,30,-,Greifswalder FC,2019
Tom Selchow,RM,25,-,Greifswalder FC,2019
Luca Klatt,RM,18,-,Greifswalder FC,2019
Denny Felgenhauer,CAM,20,-,Greifswalder FC,2019
Tom Fraus,RW,28,-,Greifswalder FC,2019
Robin Krolikowski,RW,21,-,Greifswalder FC,2019
Nick Lösel,RW,29,-,Greifswalder FC,2019
Velimir Jovanovic,ST,32,-,Greifswalder FC,2019
Maxim Banaskiewicz,ST,28,-,Greifswalder FC,2019
Ryo Miyazaki,ST,22,-,Greifswalder FC,2019
Fatlind Memaj,ST,21,-,Greifswalder FC,2019
Peterson Appiah,ST,23,-,Greifswalder FC,2019
Stefan Hafermann,GK,48,-,Greifswalder FC,2020
Martin Leu,GK,23,-,Greifswalder FC,2020
Adam Marczuk,GK,25,-,Greifswalder FC,2020
John Berger,CB,29,-,Greifswalder FC,2020
Finn Berk,CB,21,-,Greifswalder FC,2020
Julian Rüh,CB,20,-,Greifswalder FC,2020
Mike Bütterich,LB,25,-,Greifswalder FC,2020
Marco Kröger,RB,32,-,Greifswalder FC,2020
Jannis Farr,RB,21,-,Greifswalder FC,2020
Florian Otto,RB,22,-,Greifswalder FC,2020
Sascha Schünemann,CDM,29,-,Greifswalder FC,2020
Kamil Pozniak,CM,31,-,Greifswalder FC,2020
Lovro Sindik,CM,29,-,Greifswalder FC,2020
Tom Selchow,RM,26,-,Greifswalder FC,2020
