name,position,age,value,team,season
Dennis Bock,GK,28,-,HSV Barmbek-Uhlenhorst,2014
Steven Pagenkop,GK,23,-,HSV Barmbek-Uhlenhorst,2014
Sascha Kmoch,GK,20,-,HSV Barmbek-Uhlenhorst,2014
Kaspars Plendiskis,GK,21,-,HSV Barmbek-Uhlenhorst,2014
André Tholen,GK,30,-,HSV Barmbek-Uhlenhorst,2014
Mirko Wiedemann,CB,20,-,HSV Barmbek-Uhlenhorst,2014
Mike Griesch,CB,30,-,HSV Barmbek-Uhlenhorst,2014
Ali Abou Khalil,CB,20,-,HSV Barmbek-Uhlenhorst,2014
Sebastian Klitzke,CB,30,-,HSV Barmbek-Uhlenhorst,2014
Fabio Dammann,CB,21,-,HSV Barmbek-Uhlenhorst,2014
Marc Lange,LB,25,-,HSV Barmbek-Uhlenhorst,2014
Tom Bober,LB,26,-,HSV Barmbek-Uhlenhorst,2014
Louis Rytina,LB,22,-,HSV Barmbek-Uhlenhorst,2014
Niklas Müller-Leitloff,LB,24,-,HSV Barmbek-Uhlenhorst,2014
Dennis Bohnhorst,RB,30,-,HSV Barmbek-Uhlenhorst,2014
Hagen Bastian,RB,19,-,HSV Barmbek-Uhlenhorst,2014
Tolga Odabas,RB,25,-,HSV Barmbek-Uhlenhorst,2014
Heiner Twardawa,RB,28,-,HSV Barmbek-Uhlenhorst,2014
Gene Carlson,RB,28,-,HSV Barmbek-Uhlenhorst,2014
Kevin Lange,Midfielder,21,-,HSV Barmbek-Uhlenhorst,2014
Cassian Borkowski,Midfielder,23,-,HSV Barmbek-Uhlenhorst,2014
Amin Ahmed,CDM,22,-,HSV Barmbek-Uhlenhorst,2014
Felix Feuerlein,Midfielder,19,-,HSV Barmbek-Uhlenhorst,2014
Lars Feuerlein,Midfielder,19,-,HSV Barmbek-Uhlenhorst,2014
Ibrahim Koné,Midfielder,19,-,HSV Barmbek-Uhlenhorst,2014
Pierre Paszek,CM,20,-,HSV Barmbek-Uhlenhorst,2014
Tarek Pressel,CM,18,-,HSV Barmbek-Uhlenhorst,2014
Christian Merkle,CM,20,-,HSV Barmbek-Uhlenhorst,2014
Jon Hoeft,CM,27,-,HSV Barmbek-Uhlenhorst,2014
Aleksey Bugrov,LW,23,-,HSV Barmbek-Uhlenhorst,2014
Luis Honig,LW,18,-,HSV Barmbek-Uhlenhorst,2014
Janis Korczanowski,RW,23,-,HSV Barmbek-Uhlenhorst,2014
Tobias Leuthold,ST,28,-,HSV Barmbek-Uhlenhorst,2014
Achraf Ouro-Gnaou,ST,24,-,HSV Barmbek-Uhlenhorst,2014
Boris Schinzel,ST,24,-,HSV Barmbek-Uhlenhorst,2014
Lasse Keunemann,ST,20,-,HSV Barmbek-Uhlenhorst,2014
Robin Polzin,ST,21,-,HSV Barmbek-Uhlenhorst,2014
Adrian Sousa,ST,21,-,HSV Barmbek-Uhlenhorst,2014
Ivan Sa Borges,ST,28,-,HSV Barmbek-Uhlenhorst,2014
Stefan Hölscher,GK,35,-,HSV Barmbek-Uhlenhorst,2015
Heiner Thormählen,GK,37,-,HSV Barmbek-Uhlenhorst,2015
Sascha Kmoch,GK,21,-,HSV Barmbek-Uhlenhorst,2015
André Tholen,GK,31,-,HSV Barmbek-Uhlenhorst,2015
Kaspars Plendiskis,GK,22,-,HSV Barmbek-Uhlenhorst,2015
Mirko Wiedemann,CB,21,-,HSV Barmbek-Uhlenhorst,2015
Mike Griesch,CB,31,-,HSV Barmbek-Uhlenhorst,2015
Sebastian Clausen,CB,28,-,HSV Barmbek-Uhlenhorst,2015
Sebastian Klitzke,CB,31,-,HSV Barmbek-Uhlenhorst,2015
Fabio Dammann,CB,22,-,HSV Barmbek-Uhlenhorst,2015
