name,position,age,value,team,season
Pierre Kleinheider,GK,25,250 Tsd. €,Hallescher FC,2014
Lukas Königshofer,GK,26,200 Tsd. €,Hallescher FC,2014
Niklas Lomb,GK,21,150 Tsd. €,Hallescher FC,2014
Dominik Kisiel,GK,25,75 Tsd. €,Hallescher FC,2014
Tom Müller,GK,17,-,Hallescher FC,2014
Marcel Franke,CB,22,400 Tsd. €,Hallescher FC,2014
Dominic Rau,CB,24,250 Tsd. €,Hallescher FC,2014
Patrick Mouaya,CB,30,150 Tsd. €,Hallescher FC,2014
Florian Krebs,CB,26,150 Tsd. €,Hallescher FC,2014
Max Barnofsky,CB,20,50 Tsd. €,Hallescher FC,2014
Florian Brügmann,LB,24,250 Tsd. €,Hallescher FC,2014
Daniel Ziebig,LB,32,200 Tsd. €,Hallescher FC,2014
Marcel Baude,RB,25,150 Tsd. €,Hallescher FC,2014
Maximilian Jansen,CDM,22,300 Tsd. €,Hallescher FC,2014
Tim Kruse,CDM,32,250 Tsd. €,Hallescher FC,2014
Ivica Banovic,CDM,34,200 Tsd. €,Hallescher FC,2014
Marco Engelhardt,CDM,34,200 Tsd. €,Hallescher FC,2014
Alexander Schmitt,CDM,19,50 Tsd. €,Hallescher FC,2014
Robert Schick,LM,21,200 Tsd. €,Hallescher FC,2014
Sascha Pfeffer,CAM,28,300 Tsd. €,Hallescher FC,2014
Tony Schmidt,CAM,26,200 Tsd. €,Hallescher FC,2014
Akaki Gogia,LW,23,475 Tsd. €,Hallescher FC,2014
Sören Bertram,RW,24,400 Tsd. €,Hallescher FC,2014
Selim Aydemir,RW,24,200 Tsd. €,Hallescher FC,2014
Björn Ziegenbein,RW,29,175 Tsd. €,Hallescher FC,2014
Toni Lindenhahn,RW,24,150 Tsd. €,Hallescher FC,2014
Timo Furuholm,ST,27,400 Tsd. €,Hallescher FC,2014
Osayamen Osawe,ST,21,150 Tsd. €,Hallescher FC,2014
Stanley Ratifo,ST,20,75 Tsd. €,Hallescher FC,2014
Fabian Bredlow,GK,21,300 Tsd. €,Hallescher FC,2015
Lukas Königshofer,GK,27,150 Tsd. €,Hallescher FC,2015
Tom Müller,GK,18,50 Tsd. €,Hallescher FC,2015
Jonas Acquistapace,CB,27,350 Tsd. €,Hallescher FC,2015
Stefan Kleineheismann,CB,28,300 Tsd. €,Hallescher FC,2015
Dominic Rau,CB,25,275 Tsd. €,Hallescher FC,2015
Robin Urban,CB,22,150 Tsd. €,Hallescher FC,2015
Max Barnofsky,CB,21,150 Tsd. €,Hallescher FC,2015
Patrick Mouaya,CB,31,100 Tsd. €,Hallescher FC,2015
André Wallenborn,CB,21,75 Tsd. €,Hallescher FC,2015
Florian Brügmann,LB,25,300 Tsd. €,Hallescher FC,2015
Marcel Baude,RB,26,175 Tsd. €,Hallescher FC,2015
Maximilian Jansen,CDM,23,275 Tsd. €,Hallescher FC,2015
Tim Kruse,CDM,33,200 Tsd. €,Hallescher FC,2015
Ivica Banovic,CDM,35,150 Tsd. €,Hallescher FC,2015
Marco Engelhardt,CDM,35,150 Tsd. €,Hallescher FC,2015
Yanick Tobias,CDM,17,-,Hallescher FC,2015
Tobias Müller,CM,23,200 Tsd. €,Hallescher FC,2015
Mike-Steven Bähre,CM,20,100 Tsd. €,Hallescher FC,2015
Dorian Diring,CAM,24,300 Tsd. €,Hallescher FC,2015
Sascha Pfeffer,CAM,29,225 Tsd. €,Hallescher FC,2015
Lukas Stagge,CAM,19,-,Hallescher FC,2015
Sören Bertram,RW,25,550 Tsd. €,Hallescher FC,2015
Selim Aydemir,RW,25,225 Tsd. €,Hallescher FC,2015
Toni Lindenhahn,RW,25,175 Tsd. €,Hallescher FC,2015
Björn Ziegenbein,RW,30,150 Tsd. €,Hallescher FC,2015
Osayamen Osawe,ST,22,425 Tsd. €,Hallescher FC,2015
Timo Furuholm,ST,28,350 Tsd. €,Hallescher FC,2015
Fabian Bredlow,GK,22,450 Tsd. €,Hallescher FC,2016
Oliver Schnitzler,GK,21,200 Tsd. €,Hallescher FC,2016
Michael Netolitzky,GK,23,100 Tsd. €,Hallescher FC,2016
